date,Bonds,Precious Metals,Private Credit,Public Equities,Reinsurance,Digital Assets,Private Equity & Venture,Equity Indices,Equity ETFs,Real Estate,Carbon Credits,Oil,Industrial Metals,Commodities,Commodity Baskets,Natural Gas,Agricultural Commodities,Mixed Public Markets
2024-11-07,1693001355.0,1146507040.0,,2528305.733333334,,25090387.476082005,195372119.04982024,3618603.733333333,2015.3302961275624,,16335799.0,,6.0,,,,211.0,
2024-11-08,1691747354.0,1166520386.0,,2714323.266666666,,25073860.16400912,195241281.01078588,3594093.2666666666,2020.5922551252847,,15330445.0,,6.0,,,,211.0,
2024-11-09,1693442713.0,1155151597.0,,2934446.8,,25209547.851936217,195110442.9717514,3636298.8,2025.8542141230068,,15523683.0,,6.0,,,,213.0,
2024-11-10,1695167107.0,1152749590.0,,3136830.333333333,,25215210.53986333,194979604.93271697,3653793.3333333335,2031.116173120729,,15492536.0,,6.0,,,,213.0,
2024-11-11,1696275364.0,1153160593.0,,3250487.8666666667,,25220873.22779044,194848766.8936826,3654394.866666666,2036.378132118451,,15278242.0,,6.0,,,,213.0,
2024-11-12,1713822144.0,1125819199.0,,3290832.4,,25226535.91571754,194717928.8546481,3660513.4,2041.6400911161727,,15466947.0,,6.0,,,,213.0,
2024-11-13,1706306231.0,1111374677.0,,3521026.933333333,,25026398.603644647,194587090.8156137,3664848.933333333,2046.902050113896,,15343966.0,,6.0,,,,213.0,
2024-11-14,1725712601.0,1109541226.0,,3692917.4666666654,,24015764.291571755,194456252.7765793,3642581.466666667,2052.1640091116174,,14334751.0,,6.0,,,,213.0,
2024-11-15,1730844971.0,1104032576.0,,3423056.0,,30019257.97949886,194325414.737545,3654274.0,2057.4259681093395,,14141557.0,,6.0,,,,213.0,
2024-11-16,1732747189.0,1104402117.0,,3334362.0,,30051895.667425968,194194576.69851056,3611158.0,2062.6879271070616,,13925915.0,,6.0,,,,213.0,
2024-11-17,1733770313.0,1102608415.0,,3563906.0,,30057558.35535308,194063738.6594761,3587943.0,2067.949886104784,,14002549.0,,6.0,,,,213.0,
2024-11-18,1739801219.0,1109444189.0,,3563906.0,,30063221.043280184,193932900.62044173,3587943.0,2073.211845102506,,13561561.0,,6.0,,,,213.0,
