date,Taker Buy Ratio
2020-11-12,0.5060055
2020-11-13,0.50760775
2020-11-14,0.50796125
2020-11-15,0.50948083
2020-11-16,0.50817606
2020-11-17,0.5102529
2020-11-18,0.51008605
2020-11-19,0.50684865
2020-11-20,0.50650632
2020-11-21,0.50764391
2020-11-22,0.5125924
2020-11-23,0.50656199
2020-11-24,0.51063591
2020-11-25,0.50738263
2020-11-26,0.50852356
2020-11-27,0.50882938
2020-11-28,0.51053807
2020-11-29,0.51174464
2020-11-30,0.51048304
2020-12-01,0.51565185
2020-12-02,0.50809998
2020-12-03,0.52008651
2020-12-04,0.50651972
2020-12-05,0.50982647
2020-12-06,0.50830508
2020-12-07,0.50490128
2020-12-08,0.50654184
2020-12-09,0.50980972
2020-12-10,0.50834014
2020-12-11,0.50695745
2020-12-12,0.51807664
2020-12-13,0.50913867
2020-12-14,0.50503558
2020-12-15,0.50050305
2020-12-16,0.50845038
2020-12-17,0.50944606
2020-12-18,0.50708402
2020-12-19,0.51468891
2020-12-20,0.5136032
2020-12-21,0.4999537
2020-12-22,0.50485052
2020-12-23,0.50745198
2020-12-24,0.50773115
2020-12-25,0.50126185
2020-12-26,0.50565295
2020-12-27,0.50916684
2020-12-28,0.50234589
2020-12-29,0.50659811
2020-12-30,0.5020284
2020-12-31,0.50447057
2021-01-01,0.51056633
2021-01-02,0.50744337
2021-01-03,0.50853469
2021-01-04,0.50489808
2021-01-05,0.5041062
2021-01-06,0.50813298
2021-01-07,0.50448829
2021-01-08,0.50184801
2021-01-09,0.50833357
2021-01-10,0.50173349
2021-01-11,0.50663202
2021-01-12,0.50577541
2021-01-13,0.5126608
2021-01-14,0.50260047
2021-01-15,0.50684058
2021-01-16,0.50912658
2021-01-17,0.49894495
2021-01-18,0.50832819
2021-01-19,0.50314342
2021-01-20,0.50097164
2021-01-21,0.50081039
2021-01-22,0.50385214
2021-01-23,0.5053208
2021-01-24,0.5052229
2021-01-25,0.49868204
2021-01-26,0.50086689
2021-01-27,0.50070046
2021-01-28,0.51048516
2021-01-29,0.500299
2021-01-30,0.50257186
2021-01-31,0.49965479
2021-02-01,0.5027763
2021-02-02,0.50572954
2021-02-03,0.50166205
2021-02-04,0.49730846
2021-02-05,0.50313191
2021-02-06,0.50091026
2021-02-07,0.49613333
2021-02-08,0.50520605
2021-02-09,0.50039402
2021-02-10,0.499814
2021-02-11,0.49762593
2021-02-12,0.49826674
2021-02-13,0.49844288
2021-02-14,0.50842449
2021-02-15,0.50048454
2021-02-16,0.50396011
2021-02-17,0.49761443
2021-02-18,0.49931022
2021-02-19,0.49431349
2021-02-20,0.49233288
2021-02-21,0.49599647
2021-02-22,0.49649216
2021-02-23,0.49781382
2021-02-24,0.49435361
2021-02-25,0.48989934
2021-02-26,0.48794385
2021-02-27,0.50146118
2021-02-28,0.50105423
2021-03-01,0.50474445
2021-03-02,0.49565413
2021-03-03,0.50047825
2021-03-04,0.49634704
2021-03-05,0.5007643
2021-03-06,0.49981156
2021-03-07,0.50064548
2021-03-08,0.49587417
2021-03-09,0.49477437
2021-03-10,0.4900745
2021-03-11,0.50204571
2021-03-12,0.49167664
2021-03-13,0.50016088
2021-03-14,0.49021888
