date,timestamp_utc,Market Cap
2016-06-18,2016-06-18T00:00:00Z,917062581.409749
2016-06-19,2016-06-19T00:00:00Z,993413709.332151
2016-06-20,2016-06-20T00:00:00Z,959218722.3347964
2016-06-21,2016-06-21T00:00:00Z,1090986391.54677
2016-06-22,2016-06-22T00:00:00Z,1094112552.1210551
2016-06-23,2016-06-23T00:00:00Z,1122989365.2955196
2016-06-24,2016-06-24T00:00:00Z,1165983387.250453
2016-06-25,2016-06-25T00:00:00Z,1166193398.024736
2016-06-26,2016-06-26T00:00:00Z,1141418260.5933344
2016-06-27,2016-06-27T00:00:00Z,1143194640.565271
2016-06-28,2016-06-28T00:00:00Z,987371198.4538836
2016-06-29,2016-06-29T00:00:00Z,1038433538.579
2016-06-30,2016-06-30T00:00:00Z,1012262120.8465618
2016-07-01,2016-07-01T00:00:00Z,1006605196.9864136
2016-07-02,2016-07-02T00:00:00Z,986619173.7246506
2016-07-03,2016-07-03T00:00:00Z,962943536.3147218
2016-07-04,2016-07-04T00:00:00Z,936841097.8128164
2016-07-05,2016-07-05T00:00:00Z,865060524.8603691
2016-07-06,2016-07-06T00:00:00Z,864585754.6347493
2016-07-07,2016-07-07T00:00:00Z,824203568.7847583
2016-07-08,2016-07-08T00:00:00Z,930863249.6309574
2016-07-09,2016-07-09T00:00:00Z,892121286.3781433
2016-07-10,2016-07-10T00:00:00Z,897217824.4493008
2016-07-11,2016-07-11T00:00:00Z,864048707.7534889
2016-07-12,2016-07-12T00:00:00Z,862524116.9735254
2016-07-13,2016-07-13T00:00:00Z,854830709.6689513
2016-07-14,2016-07-14T00:00:00Z,944286384.7861048
2016-07-15,2016-07-15T00:00:00Z,983849105.2683952
2016-07-16,2016-07-16T00:00:00Z,960292920.5477644
2016-07-17,2016-07-17T00:00:00Z,923883427.7099286
2016-07-18,2016-07-18T00:00:00Z,910206847.3993613
2016-07-19,2016-07-19T00:00:00Z,957713565.9029378
2016-07-20,2016-07-20T00:00:00Z,1024536993.8504044
