date,Active Addresses
2022-12-05,1293658
2022-12-06,1129514
2022-12-07,1050270
2022-12-08,1319712
2022-12-09,1076741
2022-12-10,2811617
2022-12-11,958133
2022-12-12,1305263
2022-12-13,1093287
2022-12-14,1289397
2022-12-15,979194
2022-12-16,1009312
2022-12-17,968705
2022-12-18,857211
2022-12-19,1076338
2022-12-20,1035457
2022-12-21,1002832
2022-12-22,940245
2022-12-23,909448
2022-12-24,777002
2022-12-25,731376
2022-12-26,888089
2022-12-27,941915
2022-12-28,960558
2022-12-29,962826
2022-12-30,912051
2022-12-31,832212
2023-01-01,735109
2023-01-02,836537
2023-01-03,890624
2023-01-04,947320
2023-01-05,967071
2023-01-06,965085
2023-01-07,846991
2023-01-08,853710
2023-01-09,1086560
2023-01-10,991379
2023-01-11,935618
2023-01-12,973312
2023-01-13,983041
2023-01-14,864595
2023-01-15,814024
2023-01-16,1033433
2023-01-17,973156
2023-01-18,831372
2023-01-19,858560
2023-01-20,845128
2023-01-21,707388
2023-01-22,683556
2023-01-23,836948
2023-01-24,803707
2023-01-25,829884
2023-01-26,772912
2023-01-27,788841
2023-01-28,739348
2023-01-29,770130
2023-01-30,876243
2023-01-31,872847
2023-02-01,875170
2023-02-02,957330
2023-02-03,906333
2023-02-04,849249
2023-02-05,774062
2023-02-06,756408
2023-02-07,751391
2023-02-08,828270
2023-02-09,833701
2023-02-10,795631
2023-02-11,700596
2023-02-12,606856
2023-02-13,745935
2023-02-14,746440
2023-02-15,756590
2023-02-16,762723
2023-02-17,759435
2023-02-18,668960
2023-02-19,645274
2023-02-20,803300
2023-02-21,772550
2023-02-22,774243
2023-02-23,773906
2023-02-24,760867
2023-02-25,678669
2023-02-26,641426
2023-02-27,784869
2023-02-28,792210
2023-03-01,840698
2023-03-02,807686
2023-03-03,771327
2023-03-04,685825
2023-03-05,652131
2023-03-06,763620
2023-03-07,804561
2023-03-08,787423
2023-03-09,820127
2023-03-10,842638
2023-03-11,723594
2023-03-12,645321
2023-03-13,841399
2023-03-14,839745
2023-03-15,843955
2023-03-16,843872
2023-03-17,838571
2023-03-18,717237
2023-03-19,670529
2023-03-20,871640
2023-03-21,820110
2023-03-22,837478
2023-03-23,874660
2023-03-24,825606
2023-03-25,718346
2023-03-26,679891
2023-03-27,881247
2023-03-28,940330
2023-03-29,982325
2023-03-30,875051
2023-03-31,881806
2023-04-01,754779
2023-04-02,748913
2023-04-03,943982
2023-04-04,965954
2023-04-05,932208
2023-04-06,929680
2023-04-07,909519
2023-04-08,905762
2023-04-09,788134
2023-04-10,1014661
2023-04-11,1014213
2023-04-12,1008537
2023-04-13,1016594
2023-04-14,1029323
2023-04-15,829261
2023-04-16,734700
2023-04-17,1045311
2023-04-18,1028752
2023-04-19,1039796
2023-04-20,977034
2023-04-21,924683
2023-04-22,709034
2023-04-23,682981
2023-04-24,900277
2023-04-25,999076
2023-04-26,1032338
2023-04-27,1012170
2023-04-28,1043099
2023-04-29,857795
2023-04-30,849043
2023-05-01,1047592
2023-05-02,1061994
2023-05-03,1073715
2023-05-04,1062416
