date,Estimated Leverage Ratio
2019-09-10,0.0502318
2019-09-11,0.04975483
2019-09-12,0.05157072
2019-09-13,0.05127068
2019-09-14,0.05591083
2019-09-15,0.05570487
2019-09-16,0.05698592
2019-09-17,0.05389367
2019-09-18,0.05496734
2019-09-19,0.05445408
2019-09-20,0.05646982
2019-09-21,0.05687196
2019-09-22,0.05490612
2019-09-23,0.05202381
2019-09-24,0.0460177
2019-09-25,0.03971579
2019-09-26,0.03795666
2019-09-27,0.03886399
2019-09-28,0.03829705
2019-09-29,0.0374521
2019-09-30,0.03869592
2019-10-01,0.03800709
2019-10-02,0.03808129
2019-10-03,0.04029838
2019-10-04,0.04279858
2019-10-05,0.04189733
2019-10-06,0.04218966
2019-10-07,0.0419069
2019-10-08,0.04293291
2019-10-09,0.04648561
2019-10-10,0.04494742
2019-10-11,0.04305481
2019-10-12,0.04156065
2019-10-13,0.04113173
2019-10-14,0.04235429
2019-10-15,0.04275333
2019-10-16,0.04373771
2019-10-17,0.04325883
2019-10-18,0.04259798
2019-10-19,0.04258754
2019-10-20,0.04103252
2019-10-21,0.04300186
2019-10-22,0.04509934
2019-10-23,0.04199173
2019-10-24,0.04330581
2019-10-25,0.04018715
2019-10-26,0.03601226
2019-10-27,0.03861977
2019-10-28,0.03915019
2019-10-29,0.04481117
2019-10-30,0.04244252
2019-10-31,0.04177021
2019-11-01,0.04250247
2019-11-02,0.04223811
2019-11-03,0.04221449
2019-11-04,0.04438744
2019-11-05,0.04586373
2019-11-06,0.04489186
2019-11-07,0.04802403
2019-11-08,0.04605006
2019-11-09,0.04529514
2019-11-10,0.04730348
2019-11-11,0.04701184
2019-11-12,0.04768725
2019-11-13,0.0505019
2019-11-14,0.05131226
2019-11-15,0.05331484
2019-11-16,0.04884639
2019-11-17,0.05013691
2019-11-18,0.05076703
2019-11-19,0.0515039
2019-11-20,0.04914591
2019-11-21,0.05287138
2019-11-22,0.04917105
2019-11-23,0.04812438
2019-11-24,0.05187783
2019-11-25,0.04896238
2019-11-26,0.04451923
2019-11-27,0.04799121
2019-11-28,0.0465889
2019-11-29,0.04513857
2019-11-30,0.04458709
2019-12-01,0.04547208
2019-12-02,0.04590127
2019-12-03,0.04724865
2019-12-04,0.05187951
2019-12-05,0.05327668
2019-12-06,0.05391912
2019-12-07,0.05377917
2019-12-08,0.05866674
2019-12-09,0.05440768
2019-12-10,0.05668911
2019-12-11,0.05902225
2019-12-12,0.05761483
2019-12-13,0.05541459
2019-12-14,0.0574
2019-12-15,0.05488786
2019-12-16,0.06146748
2019-12-17,0.06582246
2019-12-18,0.06116912
2019-12-19,0.05900307
2019-12-20,0.05745301
2019-12-21,0.05666894
2019-12-22,0.05971142
2019-12-23,0.05334961
2019-12-24,0.05535927
2019-12-25,0.05329563
2019-12-26,0.0546
2019-12-27,0.05306414
2019-12-28,0.05445167
2019-12-29,0.05551058
2019-12-30,0.05432968
2019-12-31,0.05507665
2020-01-01,0.05477197
2020-01-02,0.05601955
2020-01-03,0.0588561
2020-01-04,0.05921218
2020-01-05,0.05752278
2020-01-06,0.05993455
2020-01-07,0.0597212
2020-01-08,0.0570717
2020-01-09,0.05705084
2020-01-10,0.06086162
2020-01-11,0.05938007
2020-01-12,0.06165101
2020-01-13,0.06314389
2020-01-14,0.06544573
2020-01-15,0.06254897
2020-01-16,0.0655034
2020-01-17,0.06444346
2020-01-18,0.06707558
2020-01-19,0.06476303
2020-01-20,0.06448034
2020-01-21,0.0637085
2020-01-22,0.06497757
2020-01-23,0.0632497
2020-01-24,0.06460031
2020-01-25,0.06225915
2020-01-26,0.06618878
2020-01-27,0.06525572
2020-01-28,0.06687745
2020-01-29,0.06522636
2020-01-30,0.0681186
2020-01-31,0.06732883
2020-02-01,0.0657736
2020-02-02,0.06976942
2020-02-03,0.06636512
2020-02-04,0.06618752
2020-02-05,0.07688151
2020-02-06,0.07023086
2020-02-07,0.06971211
2020-02-08,0.07097614
2020-02-09,0.07229812
2020-02-10,0.07092129
2020-02-11,0.07114229
2020-02-12,0.06885633
2020-02-13,0.07322964
2020-02-14,0.07640033
2020-02-15,0.07153008
2020-02-16,0.06754792
2020-02-17,0.06833258
2020-02-18,0.0665075
2020-02-19,0.06697208
2020-02-20,0.06303447
2020-02-21,0.06382803
2020-02-22,0.06215194
2020-02-23,0.06729757
2020-02-24,0.06095755
2020-02-25,0.06241406
2020-02-26,0.06878471
2020-02-27,0.06310753
2020-02-28,0.06329
2020-02-29,0.06198013
2020-03-01,0.06158131
2020-03-02,0.05917763
2020-03-03,0.06105968
2020-03-04,0.06245642
2020-03-05,0.06962885
2020-03-06,0.06975993
2020-03-07,0.06647325
2020-03-08,0.06617095
2020-03-09,0.06457742
2020-03-10,0.06211977
2020-03-11,0.06243457
2020-03-12,0.04902917
2020-03-13,0.03379413
2020-03-14,0.0357682
2020-03-15,0.03911496
2020-03-16,0.04233077
2020-03-17,0.03854963
2020-03-18,0.03758181
2020-03-19,0.0355585
2020-03-20,0.03404179
2020-03-21,0.03606292
2020-03-22,0.04027841
2020-03-23,0.03326336
2020-03-24,0.03589322
2020-03-25,0.0348846
2020-03-26,0.03707056
2020-03-27,0.03929427
2020-03-28,0.03929319
2020-03-29,0.03777182
2020-03-30,0.03925904
2020-03-31,0.04175629
2020-04-01,0.04181996
2020-04-02,0.0405545
2020-04-03,0.0403921
2020-04-04,0.03946701
2020-04-05,0.03895774
2020-04-06,0.0405467
2020-04-07,0.03939499
2020-04-08,0.03820679
2020-04-09,0.03607899
2020-04-10,0.03652737
2020-04-11,0.03673509
2020-04-12,0.03787447
2020-04-13,0.0374175
2020-04-14,0.0390202
2020-04-15,0.03863277
2020-04-16,0.03872659
2020-04-17,0.03848933
2020-04-18,0.04277689
2020-04-19,0.03881941
2020-04-20,0.03825131
2020-04-21,0.03835634
2020-04-22,0.04061623
2020-04-23,0.04058768
2020-04-24,0.0385627
2020-04-25,0.04229283
2020-04-26,0.04237454
2020-04-27,0.04074294
2020-04-28,0.04389252
2020-04-29,0.0461557
2020-04-30,0.03565725
2020-05-01,0.03843076
2020-05-02,0.03990725
2020-05-03,0.03925322
2020-05-04,0.03900556
2020-05-05,0.03817612
2020-05-06,0.04023866
2020-05-07,0.04557766
2020-05-08,0.04124086
2020-05-09,0.05412555
2020-05-10,0.04811389
2020-05-11,0.04930955
2020-05-12,0.04882577
2020-05-13,0.0526093
2020-05-14,0.06384022
2020-05-15,0.06534622
2020-05-16,0.06364118
2020-05-17,0.06627237
2020-05-18,0.06663461
2020-05-19,0.06923646
2020-05-20,0.06744573
2020-05-21,0.06715407
2020-05-22,0.06515227
2020-05-23,0.06378629
2020-05-24,0.06533856
2020-05-25,0.06247352
2020-05-26,0.06388231
2020-05-27,0.06756914
2020-05-28,0.07531375
2020-05-29,0.07577271
2020-05-30,0.07549651
2020-05-31,0.07168792
2020-06-01,0.07927103
2020-06-02,0.06983738
2020-06-03,0.06895431
2020-06-04,0.06849765
2020-06-05,0.06783808
2020-06-06,0.06805346
2020-06-07,0.06944737
2020-06-08,0.07329446
2020-06-09,0.07007052
2020-06-10,0.07658469
2020-06-11,0.07415788
2020-06-12,0.06905161
2020-06-13,0.06683305
2020-06-14,0.07108185
2020-06-15,0.06831739
2020-06-16,0.06918349
2020-06-17,0.06612273
2020-06-18,0.06878429
2020-06-19,0.06763953
2020-06-20,0.06829344
2020-06-21,0.06839669
2020-06-22,0.07643822
2020-06-23,0.08684479
2020-06-24,0.08370854
2020-06-25,0.08077786
2020-06-26,0.08605175
2020-06-27,0.08976833
2020-06-28,0.08579571
2020-06-29,0.08477993
2020-06-30,0.08586187
2020-07-01,0.09415732
2020-07-02,0.08762447
2020-07-03,0.08810533
2020-07-04,0.08900771
2020-07-05,0.08808846
2020-07-06,0.09648048
2020-07-07,0.09348454
2020-07-08,0.10640031
2020-07-09,0.09831159
2020-07-10,0.096889
2020-07-11,0.0956342
2020-07-12,0.0930057
2020-07-13,0.09367841
2020-07-14,0.09398644
2020-07-15,0.09778466
2020-07-16,0.10054888
2020-07-17,0.09809345
2020-07-18,0.09833359
2020-07-19,0.10112892
2020-07-20,0.09711325
2020-07-21,0.11028295
2020-07-22,0.10567779
2020-07-23,0.10814288
2020-07-24,0.11099124
2020-07-25,0.10576489
2020-07-26,0.10947768
2020-07-27,0.10612272
2020-07-28,0.10336734
2020-07-29,0.10553459
2020-07-30,0.11059465
2020-07-31,0.1102003
2020-08-01,0.11143423
2020-08-02,0.09748714
2020-08-03,0.09931154
2020-08-04,0.10404705
2020-08-05,0.10877277
2020-08-06,0.10955085
2020-08-07,0.10607817
2020-08-08,0.10153137
2020-08-09,0.10339061
2020-08-10,0.10451974
2020-08-11,0.10543888
2020-08-12,0.1012983
2020-08-13,0.11093382
2020-08-14,0.114313
2020-08-15,0.11582817
2020-08-16,0.1105341
2020-08-17,0.10928296
2020-08-18,0.11023664
2020-08-19,0.10483659
2020-08-20,0.10282291
2020-08-21,0.10391312
2020-08-22,0.09816047
2020-08-23,0.09746162
2020-08-24,0.09947463
2020-08-25,0.10386874
2020-08-26,0.09754687
2020-08-27,0.09487808
2020-08-28,0.09493303
2020-08-29,0.09794061
2020-08-30,0.10154559
2020-08-31,0.10740659
2020-09-01,0.11170569
2020-09-02,0.10406247
2020-09-03,0.09224326
2020-09-04,0.09060132
2020-09-05,0.09069247
2020-09-06,0.08440129
2020-09-07,0.08348304
2020-09-08,0.0866622
2020-09-09,0.08946001
2020-09-10,0.0931005
2020-09-11,0.09350851
2020-09-12,0.09605817
2020-09-13,0.09438772
2020-09-14,0.09291607
2020-09-15,0.0916925
2020-09-16,0.09115664
2020-09-17,0.09931992
2020-09-18,0.0965801
2020-09-19,0.09489857
2020-09-20,0.0969772
2020-09-21,0.10057416
2020-09-22,0.099775
2020-09-23,0.0994701
2020-09-24,0.09217131
2020-09-25,0.0869834
2020-09-26,0.08813002
2020-09-27,0.08906421
2020-09-28,0.08950703
2020-09-29,0.09052049
2020-09-30,0.09086179
2020-10-01,0.08844685
2020-10-02,0.09000042
2020-10-03,0.09125824
2020-10-04,0.09020249
2020-10-05,0.0874983
2020-10-06,0.09176524
2020-10-07,0.09139002
2020-10-08,0.09089535
2020-10-09,0.09065367
2020-10-10,0.09192903
2020-10-11,0.09372539
2020-10-12,0.09576282
2020-10-13,0.09470822
2020-10-14,0.09545292
2020-10-15,0.09293003
2020-10-16,0.09023802
2020-10-17,0.08906942
2020-10-18,0.09029925
2020-10-19,0.09335589
2020-10-20,0.09145241
2020-10-21,0.10163669
2020-10-22,0.10503946
2020-10-23,0.10845227
2020-10-24,0.10831973
2020-10-25,0.10802391
2020-10-26,0.10583873
2020-10-27,0.1023755
2020-10-28,0.10136975
2020-10-29,0.10011654
2020-10-30,0.09782234
2020-10-31,0.09630906
2020-11-01,0.09921255
2020-11-02,0.10039631
2020-11-03,0.09751086
2020-11-04,0.10588191
2020-11-05,0.10778283
2020-11-06,0.11702469
2020-11-07,0.1133427
2020-11-08,0.11578371
2020-11-09,0.11673636
2020-11-10,0.11975631
2020-11-11,0.1274549
2020-11-12,0.12472065
2020-11-13,0.13808986
2020-11-14,0.13404315
2020-11-15,0.13378146
2020-11-16,0.13065845
2020-11-17,0.13650673
2020-11-18,0.1214096
2020-11-19,0.1159036
2020-11-20,0.13073108
2020-11-21,0.13193138
2020-11-22,0.12980298
2020-11-23,0.12977971
2020-11-24,0.13034273
2020-11-25,0.12305747
2020-11-26,0.0994012
2020-11-27,0.10059006
2020-11-28,0.09920955
2020-11-29,0.0995273
2020-11-30,0.10689156
2020-12-01,0.10465748
2020-12-02,0.1043629
2020-12-03,0.11027059
2020-12-04,0.10489039
2020-12-05,0.10093226
2020-12-06,0.10067326
2020-12-07,0.10453156
2020-12-08,0.11038267
2020-12-09,0.10084443
2020-12-10,0.10058431
2020-12-11,0.10275625
2020-12-12,0.10411718
2020-12-13,0.10528749
2020-12-14,0.10463802
2020-12-15,0.10686043
2020-12-16,0.11959497
2020-12-17,0.11830384
2020-12-18,0.12069416
2020-12-19,0.1244964
2020-12-20,0.12070731
2020-12-21,0.11615239
2020-12-22,0.11637051
2020-12-23,0.11028426
2020-12-24,0.10490476
2020-12-25,0.10442043
2020-12-26,0.11024235
2020-12-27,0.11757657
2020-12-28,0.12572268
2020-12-29,0.1244408
2020-12-30,0.12544908
2020-12-31,0.11819523
2021-01-01,0.11700849
2021-01-02,0.11479549
2021-01-03,0.11677415
2021-01-04,0.11990912
2021-01-05,0.11848674
2021-01-06,0.12878281
2021-01-07,0.13225225
2021-01-08,0.11715414
2021-01-09,0.1263445
2021-01-10,0.12699546
2021-01-11,0.10797696
2021-01-12,0.10741159
2021-01-13,0.10718342
2021-01-14,0.10893187
2021-01-15,0.1086097
2021-01-16,0.11406942
2021-01-17,0.11346619
2021-01-18,0.1165579
2021-01-19,0.13313364
2021-01-20,0.11856492
2021-01-21,0.1181602
2021-01-22,0.1077859
2021-01-23,0.11396464
2021-01-24,0.12221268
2021-01-25,0.13179198
2021-01-26,0.11723486
2021-01-27,0.11620105
2021-01-28,0.11908386
2021-01-29,0.12490818
2021-01-30,0.1243269
2021-01-31,0.12682578
2021-02-01,0.12580445
2021-02-02,0.15390854
2021-02-03,0.15880882
2021-02-04,0.15423001
2021-02-05,0.16066437
2021-02-06,0.15529362
2021-02-07,0.14653589
2021-02-08,0.14650784
2021-02-09,0.15120961
2021-02-10,0.15034127
2021-02-11,0.15062694
2021-02-12,0.15664037
2021-02-13,0.15815869
2021-02-14,0.15872703
2021-02-15,0.15196686
2021-02-16,0.15355033
2021-02-17,0.15295611
2021-02-18,0.15854416
2021-02-19,0.15654456
2021-02-20,0.1574852
2021-02-21,0.1509045
2021-02-22,0.13965155
2021-02-23,0.12555349
2021-02-24,0.12950338
2021-02-25,0.13202543
2021-02-26,0.13195733
2021-02-27,0.12694562
2021-02-28,0.12776504
2021-03-01,0.12124379
2021-03-02,0.12400548
2021-03-03,0.12263168
2021-03-04,0.12349331
2021-03-05,0.12089944
2021-03-06,0.12659995
2021-03-07,0.12739461
2021-03-08,0.13429974
2021-03-09,0.13790726
2021-03-10,0.13959316
2021-03-11,0.13500529
2021-03-12,0.13546959
2021-03-13,0.13869877
2021-03-14,0.13962621
2021-03-15,0.13504834
2021-03-16,0.13214266
2021-03-17,0.1366165
2021-03-18,0.14185752
2021-03-19,0.13601819
2021-03-20,0.13951911
2021-03-21,0.13829903
2021-03-22,0.14172563
2021-03-23,0.1414265
2021-03-24,0.1393805
2021-03-25,0.13711866
2021-03-26,0.13312638
2021-03-27,0.13123586
2021-03-28,0.13076419
2021-03-29,0.13227133
2021-03-30,0.13224865
2021-03-31,0.13608485
2021-04-01,0.1369497
2021-04-02,0.14057234
2021-04-03,0.14948053
2021-04-04,0.14882843
2021-04-05,0.15294326
2021-04-06,0.15057288
2021-04-07,0.15137164
2021-04-08,0.14563637
2021-04-09,0.14071988
2021-04-10,0.14196012
2021-04-11,0.14185261
2021-04-12,0.14615186
2021-04-13,0.14703848
2021-04-14,0.14399437
2021-04-15,0.14134211
2021-04-16,0.14049782
2021-04-17,0.14673315
2021-04-18,0.12528458
2021-04-19,0.12461061
2021-04-20,0.12598885
2021-04-21,0.1253162
2021-04-22,0.13035989
2021-04-23,0.11825794
2021-04-24,0.11987106
2021-04-25,0.11934662
2021-04-26,0.11515005
2021-04-27,0.12046961
2021-04-28,0.11942425
2021-04-29,0.12030426
2021-04-30,0.12200007
2021-05-01,0.121077
2021-05-02,0.12275967
2021-05-03,0.12171824
2021-05-04,0.12074155
2021-05-05,0.12248318
2021-05-06,0.12346191
2021-05-07,0.12170537
2021-05-08,0.11716421
2021-05-09,0.11801186
2021-05-10,0.12100801
2021-05-11,0.11527414
2021-05-12,0.12401264
2021-05-13,0.12047083
2021-05-14,0.11385383
2021-05-15,0.12161429
2021-05-16,0.12396754
2021-05-17,0.12366947
2021-05-18,0.12128578
2021-05-19,0.10574154
2021-05-20,0.09845239
2021-05-21,0.10137112
2021-05-22,0.10067332
2021-05-23,0.10213765
2021-05-24,0.09048728
2021-05-25,0.09076918
2021-05-26,0.09112284
2021-05-27,0.09065804
2021-05-28,0.09806155
2021-05-29,0.10102974
2021-05-30,0.09986686
2021-05-31,0.09688315
2021-06-01,0.09688873
2021-06-02,0.09863803
2021-06-03,0.10195179
2021-06-04,0.10149514
2021-06-05,0.10271848
2021-06-06,0.10136155
2021-06-07,0.10704159
2021-06-08,0.10885541
2021-06-09,0.10197833
2021-06-10,0.1039216
2021-06-11,0.10858378
2021-06-12,0.1069912
2021-06-13,0.10537293
2021-06-14,0.10470379
2021-06-15,0.10499293
2021-06-16,0.11123287
2021-06-17,0.11428866
2021-06-18,0.11537888
2021-06-19,0.11808437
2021-06-20,0.11253863
2021-06-21,0.11767382
2021-06-22,0.11152795
2021-06-23,0.10550593
2021-06-24,0.10360735
2021-06-25,0.10845223
2021-06-26,0.10779157
2021-06-27,0.10184736
2021-06-28,0.10466536
2021-06-29,0.10456675
2021-06-30,0.10319376
2021-07-01,0.10573545
2021-07-02,0.10448364
2021-07-03,0.10775402
2021-07-04,0.10462844
2021-07-05,0.10604013
2021-07-06,0.10624887
2021-07-07,0.10908624
2021-07-08,0.11212764
2021-07-09,0.11198861
2021-07-10,0.11368912
2021-07-11,0.11359243
2021-07-12,0.12524696
2021-07-13,0.12936429
2021-07-14,0.12546639
2021-07-15,0.12936751
2021-07-16,0.12922685
2021-07-17,0.12952572
2021-07-18,0.12841347
2021-07-19,0.13895262
2021-07-20,0.12967407
2021-07-21,0.12052736
2021-07-22,0.11882047
2021-07-23,0.11789975
2021-07-24,0.12190503
2021-07-25,0.12284144
2021-07-26,0.11277448
2021-07-27,0.10988292
2021-07-28,0.10949789
2021-07-29,0.1124542
2021-07-30,0.11629691
2021-07-31,0.11549103
2021-08-01,0.11094817
2021-08-02,0.11626448
2021-08-03,0.11477603
2021-08-04,0.11500794
2021-08-05,0.1146269
2021-08-06,0.11476759
2021-08-07,0.11283016
2021-08-08,0.11250589
2021-08-09,0.1152826
2021-08-10,0.11632761
2021-08-11,0.11725354
2021-08-12,0.1162578
2021-08-13,0.11619688
2021-08-14,0.12031326
2021-08-15,0.1169549
2021-08-16,0.11990476
2021-08-17,0.12083171
2021-08-18,0.11609263
2021-08-19,0.11490361
2021-08-20,0.11788809
2021-08-21,0.11893492
2021-08-22,0.1170272
2021-08-23,0.12135072
2021-08-24,0.12778487
2021-08-25,0.11961184
2021-08-26,0.12694059
2021-08-27,0.12986272
2021-08-28,0.12936086
2021-08-29,0.12817591
2021-08-30,0.13014566
2021-08-31,0.13371044
2021-09-01,0.13571739
2021-09-02,0.14061358
2021-09-03,0.13985684
2021-09-04,0.14290533
2021-09-05,0.14604656
2021-09-06,0.14666981
2021-09-07,0.12227837
2021-09-08,0.11827863
2021-09-09,0.11750295
2021-09-10,0.12368362
2021-09-11,0.12232303
2021-09-12,0.11904243
2021-09-13,0.11980873
2021-09-14,0.11977833
2021-09-15,0.12063091
2021-09-16,0.11908519
2021-09-17,0.12116425
2021-09-18,0.11920034
2021-09-19,0.12324707
2021-09-20,0.12801292
2021-09-21,0.12635722
2021-09-22,0.11910588
2021-09-23,0.11861458
2021-09-24,0.12434618
2021-09-25,0.12081076
2021-09-26,0.12009523
2021-09-27,0.12027474
2021-09-28,0.12384058
2021-09-29,0.12510104
2021-09-30,0.11993285
2021-10-01,0.11656018
2021-10-02,0.11750824
2021-10-03,0.11886152
2021-10-04,0.12161391
2021-10-05,0.12234541
2021-10-06,0.12140785
2021-10-07,0.12199186
2021-10-08,0.12157418
2021-10-09,0.12193368
2021-10-10,0.1226753
2021-10-11,0.12027273
2021-10-12,0.11944769
2021-10-13,0.1226188
2021-10-14,0.12819048
2021-10-15,0.12919512
2021-10-16,0.1304022
2021-10-17,0.13003793
2021-10-18,0.13171561
2021-10-19,0.13337714
2021-10-20,0.1380916
2021-10-21,0.13965879
2021-10-22,0.13961398
2021-10-23,0.13646494
2021-10-24,0.13635353
2021-10-25,0.13930048
2021-10-26,0.13864666
2021-10-27,0.13489194
2021-10-28,0.13199997
2021-10-29,0.13928965
2021-10-30,0.13849529
2021-10-31,0.13934453
2021-11-01,0.13664553
2021-11-02,0.1417556
2021-11-03,0.14056209
2021-11-04,0.13907707
2021-11-05,0.14125399
2021-11-06,0.13989117
2021-11-07,0.14413749
2021-11-08,0.14233703
2021-11-09,0.13866905
2021-11-10,0.13786521
2021-11-11,0.13579283
2021-11-12,0.13690114
2021-11-13,0.13570366
2021-11-14,0.14118852
2021-11-15,0.14316223
2021-11-16,0.14017389
2021-11-17,0.13591586
2021-11-18,0.13779974
2021-11-19,0.13513963
2021-11-20,0.13359818
2021-11-21,0.1312044
2021-11-22,0.13576378
2021-11-23,0.13389123
2021-11-24,0.13268533
2021-11-25,0.1388723
2021-11-26,0.13758506
2021-11-27,0.13292645
2021-11-28,0.12916286
2021-11-29,0.13318138
2021-11-30,0.13633297
2021-12-01,0.13715747
2021-12-02,0.13647695
2021-12-03,0.13465175
2021-12-04,0.12241443
2021-12-05,0.11769879
2021-12-06,0.12310158
2021-12-07,0.12411163
2021-12-08,0.12713702
2021-12-09,0.12955001
2021-12-10,0.1277515
2021-12-11,0.12481778
2021-12-12,0.12726935
2021-12-13,0.13070023
2021-12-14,0.12709282
2021-12-15,0.12537286
2021-12-16,0.12998214
2021-12-17,0.12911022
2021-12-18,0.1311428
2021-12-19,0.1308203
2021-12-20,0.13534299
2021-12-21,0.14045473
2021-12-22,0.13601301
2021-12-23,0.14344713
2021-12-24,0.14557244
2021-12-25,0.14965126
2021-12-26,0.14869799
2021-12-27,0.14981438
2021-12-28,0.15528565
2021-12-29,0.15518876
2021-12-30,0.15274662
2021-12-31,0.15401395
2022-01-01,0.15349172
2022-01-02,0.15302062
2022-01-03,0.15327263
2022-01-04,0.15579622
2022-01-05,0.15779127
2022-01-06,0.15994384
2022-01-07,0.15853556
2022-01-08,0.1600188
2022-01-09,0.15785567
2022-01-10,0.15754159
2022-01-11,0.15578196
2022-01-12,0.15394195
2022-01-13,0.15416963
2022-01-14,0.15385517
2022-01-15,0.1575048
2022-01-16,0.15642736
2022-01-17,0.15888905
2022-01-18,0.15953735
2022-01-19,0.16171931
2022-01-20,0.1649513
2022-01-21,0.16110197
2022-01-22,0.16256921
2022-01-23,0.16754748
2022-01-24,0.16884679
2022-01-25,0.17057834
2022-01-26,0.16681524
2022-01-27,0.16825499
2022-01-28,0.1682292
2022-01-29,0.16482067
2022-01-30,0.16597253
2022-01-31,0.1675965
2022-02-01,0.16921841
2022-02-02,0.16722406
2022-02-03,0.1678939
2022-02-04,0.17439042
2022-02-05,0.17331834
2022-02-06,0.17104188
2022-02-07,0.1690409
2022-02-08,0.16184585
2022-02-09,0.16448028
2022-02-10,0.15992226
2022-02-11,0.15839087
2022-02-12,0.15681555
2022-02-13,0.15814058
2022-02-14,0.15762759
2022-02-15,0.15830865
2022-02-16,0.15295648
2022-02-17,0.15771856
2022-02-18,0.15777786
2022-02-19,0.15558711
2022-02-20,0.15864314
2022-02-21,0.15848178
2022-02-22,0.15575735
2022-02-23,0.15782346
2022-02-24,0.14848309
2022-02-25,0.14831839
2022-02-26,0.14955579
2022-02-27,0.14741786
2022-02-28,0.14816335
2022-03-01,0.14906308
2022-03-02,0.14885432
2022-03-03,0.15185367
2022-03-04,0.15332014
2022-03-05,0.15381513
2022-03-06,0.15646473
2022-03-07,0.15692285
2022-03-08,0.15490582
