date,Short Liquidations
2020-04-12,6791.632353319999
2020-04-13,5169.51622855
2020-04-14,5006.28410562
2020-04-15,788.9791630499999
2020-04-16,25786.03976405
2020-04-17,3660.305482
2020-04-18,39194.91832654
2020-04-19,2066.84636184
2020-04-20,5086.03538457
2020-04-21,2244.24198074
2020-04-22,13997.71616921
2020-04-23,31126.32371659
2020-04-24,1216.825602
2020-04-25,13241.59937777
2020-04-26,9259.41082826
2020-04-27,2928.05174169
2020-04-28,1218.42169338
2020-04-29,44966.54922454
2020-04-30,20433.71923699
2020-05-01,3521.33967407
2020-05-02,230.5432935
2020-05-03,2409.6406884400003
2020-05-04,4425.48139289
2020-05-05,3264.11597623
2020-05-06,1767.30775457
2020-05-07,5759.33325853
2020-05-08,1820.11990509
2020-05-09,200.47211149
2020-05-10,4671.84620071
2020-05-11,3063.70795036
2020-05-12,1618.51293942
2020-05-13,6046.4794444300005
2020-05-14,6631.737974240001
2020-05-15,532.0699999999999
2020-05-16,2075.03599031
2020-05-17,6926.94683055
2020-05-18,8217.15458862
2020-05-19,565.4856334
2020-05-20,256.5158025
2020-05-21,1149.19801506
2020-05-22,5589.663740040001
2020-05-23,2356.5235010300003
2020-05-24,1974.28432135
2020-05-25,486.65441965
2020-05-26,833.36044553
2020-05-27,3801.41180539
2020-05-28,12828.80678254
2020-05-29,7389.235889989999
2020-05-30,48008.4369973
2020-05-31,824.680158
2020-06-01,22488.66717962
2020-06-02,5565.68066031
2020-06-03,3051.8898940500003
2020-06-04,4067.92826397
2020-06-05,1384.1853620000002
2020-06-06,825.11950322
2020-06-07,2955.517706
2020-06-08,2437.62108099
2020-06-09,1801.6171289
2020-06-10,2481.79442678
2020-06-11,861.2854375000002
2020-06-12,2086.59543472
2020-06-13,168.07600000000002
2020-06-14,165.4615
2020-06-15,5025.01618246
2020-06-16,1174.7380388499998
2020-06-17,1816.48996139
2020-06-18,67.52256
2020-06-19,210.81332100000003
2020-06-20,315.72567737
2020-06-21,635.21889098
2020-06-22,19311.06278854
2020-06-23,356.961
2020-06-24,3939.908415540001
2020-06-25,412.167763
2020-06-26,748.59753524
2020-06-27,646.4100538
2020-06-28,6268.6434873200005
2020-06-29,3729.9342685
2020-06-30,276.73888024
2020-07-01,9867.66549615
2020-07-02,1036.38308885
2020-07-03,421.01168171
2020-07-04,3174.9536826299995
2020-07-05,902.39460302
2020-07-06,21959.48126435
2020-07-07,7240.81668704
2020-07-08,14446.123377389998
2020-07-09,330.26903983999995
2020-07-10,480.3047339900001
2020-07-11,56.14556356
2020-07-12,3538.25245024
2020-07-13,2585.44143649
2020-07-14,620.54975816
2020-07-15,21.99038672
2020-07-16,709.35749268
2020-07-17,120.88575918
2020-07-18,1506.97804437
2020-07-19,4668.12026614
2020-07-20,30.90498519
2020-07-21,28395.01003497
2020-07-22,242096.45654991
2020-07-23,65598.51300276001
2020-07-24,38702.13177661
2020-07-25,98601.69593113
2020-07-26,65491.112590740006
2020-07-27,63098.970362780005
2020-07-28,5253.613356180001
2020-07-29,2770.0018343199995
2020-07-30,40360.86573111
2020-07-31,15186.93987055
2020-08-01,112433.78529238998
2020-08-02,64474.7071513
2020-08-03,8894.383137730003
2020-08-04,5574.019413290001
2020-08-05,11179.27348601
2020-08-06,549.4271760500001
2020-08-07,3914.09283174
2020-08-08,9161.89644756
2020-08-09,3413.32499409
2020-08-10,1591.14924319
2020-08-11,1622.1205042400002
2020-08-12,4150.59493746
2020-08-13,51611.71776607
2020-08-14,17344.89673879
2020-08-15,1121.16841173
2020-08-16,6556.72920176
2020-08-17,16413.59154865
2020-08-18,902.76324588
2020-08-19,2373.5588770799995
2020-08-20,3346.96562324
2020-08-21,944.68468859
2020-08-22,3177.7574628
2020-08-23,981.37641836
2020-08-24,12369.991054890002
2020-08-25,2871.12273418
2020-08-26,6004.750399750001
2020-08-27,5623.86823159
2020-08-28,3219.85299884
2020-08-29,6240.6327329000005
2020-08-30,26582.71837963
2020-08-31,13967.49837726
2020-09-01,79912.20084974
2020-09-02,7384.67068236
2020-09-03,12296.65408828
2020-09-04,11821.5702892
2020-09-05,24336.71222275
2020-09-06,22593.94803312
2020-09-07,12459.198823400002
2020-09-08,5843.711974939999
2020-09-09,8213.02813244
2020-09-10,19686.59566683
2020-09-11,4927.59406746
2020-09-12,15166.87551964
2020-09-13,3228.90939458
2020-09-14,11914.285219170002
2020-09-15,3062.1545372599994
2020-09-16,4343.610905829999
2020-09-17,21868.07918182
2020-09-18,1181.93257328
2020-09-19,1476.67069781
2020-09-20,1026.24880933
2020-09-21,6668.868331570001
2020-09-22,2488.9990356400003
2020-09-23,2311.35803116
2020-09-24,32704.71454554
2020-09-25,9643.069594830002
2020-09-26,1338.6350479000002
2020-09-27,8026.881909579999
2020-09-28,12390.966174010002
2020-09-29,1831.99189944
2020-09-30,1175.34136397
2020-10-01,9320.888060529998
2020-10-02,2893.31116095
2020-10-03,2128.8737153700004
2020-10-04,3780.495324
2020-10-05,1462.56179416
2020-10-06,2509.43312593
2020-10-07,1340.94563705
2020-10-08,10627.1846152
2020-10-09,18098.29336006
2020-10-10,23537.83528153
2020-10-11,1168.98247718
2020-10-12,32711.95347647
2020-10-13,1099.74745275
2020-10-14,2464.05320985
2020-10-15,1196.56990023
2020-10-16,2261.19163637
2020-10-17,347.11350784
2020-10-18,4536.689521310001
2020-10-19,4634.004300330001
2020-10-20,406.85936061000007
2020-10-21,27419.66155517
2020-10-22,24323.13402322
2020-10-23,1899.45355992
2020-10-24,3182.59551116
2020-10-25,1131.6518189500002
2020-10-26,2785.4950980800004
2020-10-27,11295.12924559
2020-10-28,3349.6514286599995
2020-10-29,2824.44005984
2020-10-30,3704.14877763
2020-10-31,5018.778440200001
2020-11-01,5913.08627353
2020-11-02,5724.37638198
2020-11-03,8542.9318437
2020-11-04,27301.23507285
2020-11-05,24523.68904894
2020-11-06,50703.62583874
2020-11-07,24727.45868456
2020-11-08,9103.52684587
2020-11-09,7425.66878485
2020-11-10,3156.9755371
2020-11-11,20763.51768116
2020-11-12,3028.66866266
2020-11-13,7746.59098446
2020-11-14,969.46004156
2020-11-15,1122.4777231199998
2020-11-16,6191.671976170001
2020-11-17,15092.36758793
2020-11-18,17778.163900429998
2020-11-19,2779.32420804
2020-11-20,31110.01385984
2020-11-21,50291.25250274
2020-11-22,27485.78471168
2020-11-23,39582.70112594
2020-11-24,16848.48981988
2020-11-25,3651.39453048
2020-11-26,24014.00362781
2020-11-27,6207.04578468
2020-11-28,11054.85451056
2020-11-29,17200.939981200005
2020-11-30,35988.86166672
2020-12-01,21729.67215382
2020-12-02,6291.820063380001
2020-12-03,6038.34259737
2020-12-04,2480.3038959
2020-12-05,7838.325993070001
2020-12-06,7364.58392961
2020-12-07,571.9055325300001
2020-12-08,1608.74190477
2020-12-09,18127.7169105
2020-12-10,4837.40473328
2020-12-11,5960.585345179999
2020-12-12,8146.498751309999
2020-12-13,14929.68316801
2020-12-14,1447.43008516
2020-12-15,4304.094070779999
2020-12-16,39556.41411015
2020-12-17,115682.08509948
2020-12-18,3858.85775479
2020-12-19,5050.70798633
2020-12-20,2759.6633198499994
2020-12-21,4895.96282908
2020-12-22,9653.360813709998
2020-12-23,9762.04545164
2020-12-24,13323.35996693
2020-12-25,11224.39322462
2020-12-26,17348.922711490002
2020-12-27,38734.16474987
2020-12-28,22913.95313585
2020-12-29,10050.67511519
2020-12-30,19917.63386162
2020-12-31,5187.0583685500005
2021-01-01,5943.46916426
2021-01-02,78564.41453119999
2021-01-03,153149.59476792003
2021-01-04,86521.13493442001
2021-01-05,30863.77164468
2021-01-06,31831.03344864001
2021-01-07,18530.02677944
2021-01-08,19913.23051432
2021-01-09,14918.82690852
2021-01-10,29653.41367168001
2021-01-11,64141.55269746
2021-01-12,20803.36694834
2021-01-13,16742.740043310005
2021-01-14,15835.53655776
2021-01-15,12551.82092597
2021-01-16,15002.59477848
2021-01-17,9354.2037499
2021-01-18,3101.98591534
2021-01-19,43753.46309838
2021-01-20,24000.64899623
2021-01-21,17453.260149400005
2021-01-22,30985.29481593
2021-01-23,6575.6467798700005
2021-01-24,31404.42425769
2021-01-25,27739.58198316
2021-01-26,25260.8629791
2021-01-27,17142.218165180002
2021-01-28,18460.5097631
2021-01-29,23689.61345488
2021-01-30,5211.066421499999
2021-01-31,1443.61554279
2021-02-01,5858.33411194
2021-02-02,38843.50248557
2021-02-03,34176.96509717
2021-02-04,17707.40813253
2021-02-05,21532.25068802
2021-02-06,5781.27440576
2021-02-07,12352.82394678
2021-02-08,24542.15409453
2021-02-09,8260.39888559
2021-02-10,9083.09452439
2021-02-11,5476.412113109999
2021-02-12,10601.37052157
2021-02-13,2820.5255286700003
2021-02-14,2074.7844180300003
2021-02-15,9128.63078426
2021-02-16,4115.23858524
2021-02-17,5889.28439916
2021-02-18,10354.384511929997
2021-02-19,6417.63698287
2021-02-20,18078.00599054
2021-02-21,2056.90190955
2021-02-22,25750.885332840004
2021-02-23,39085.72056298
2021-02-24,9292.30796144
2021-02-25,4871.158546929999
2021-02-26,15971.07517654
2021-02-27,6840.38499656
2021-02-28,22176.25913193
2021-03-01,15529.08221917
2021-03-02,7685.420320569999
2021-03-03,17129.418787060004
2021-03-04,10245.21439923
2021-03-05,10821.2207386
2021-03-06,19708.70535962
2021-03-07,21283.850112
2021-03-08,27258.12939667
2021-03-09,9876.33844308
2021-03-10,8114.556572920001
2021-03-11,8003.963057429999
2021-03-12,2838.82072018
2021-03-13,21959.77602665
2021-03-14,2103.97066014
2021-03-15,3508.7932775
2021-03-16,4665.614057590001
2021-03-17,6007.00541329
2021-03-18,3262.17092608
2021-03-19,13282.926256260002
2021-03-20,5806.035979260001
2021-03-21,963.03669178
2021-03-22,2694.0084857
2021-03-23,2549.04373163
2021-03-24,7758.019771650001
2021-03-25,5190.410759089999
2021-03-26,10598.71016891
2021-03-27,5454.67384886
2021-03-28,5929.07679552
2021-03-29,24388.90237498
2021-03-30,4234.911841849999
2021-03-31,20341.90922997
2021-04-01,8230.441604310001
2021-04-02,33121.33246068
2021-04-03,5037.437167950001
2021-04-04,5335.45422737
2021-04-05,8076.10399958
2021-04-06,4380.99198912
2021-04-07,6444.23515813
2021-04-08,8432.23055738
2021-04-09,2358.97430041
2021-04-10,42200.60453597999
2021-04-11,1321.5894271799998
2021-04-12,3365.5592168300004
2021-04-13,23770.1369469
2021-04-14,18365.04177866
2021-04-15,13661.872538339996
2021-04-16,6076.29713538
2021-04-17,2624.30549301
2021-04-18,22983.28298843
2021-04-19,5419.7196736000005
2021-04-20,12365.64845418
2021-04-21,13327.56751125
2021-04-22,35749.088494340016
2021-04-23,23121.57987443
2021-04-24,8819.31796747
2021-04-25,11493.38732742
2021-04-26,19260.59185475
2021-04-27,14153.05503311
2021-04-28,16208.18551574
2021-04-29,5589.28731297
2021-04-30,4413.80337614
2021-05-01,20693.8794114
2021-05-02,5918.22001319
2021-05-03,54135.21755046001
2021-05-04,20748.3483739
2021-05-05,9243.5225343
2021-05-06,5563.912304460001
2021-05-07,3023.15526816
2021-05-08,24767.41329957
2021-05-09,5603.34648462
2021-05-10,25584.63973847
2021-05-11,7112.850963970001
2021-05-12,15982.0566379
2021-05-13,12950.08014755
2021-05-14,9290.80410685
2021-05-15,4159.1658505
2021-05-16,9247.955868830002
2021-05-17,15246.585031559998
2021-05-18,10020.60372636
2021-05-19,81478.14312493
2021-05-20,27038.43583993
2021-05-21,20257.84808651
2021-05-22,13258.84133079
2021-05-23,35675.72416019002
2021-05-24,34721.14139952002
2021-05-25,17144.12743229
2021-05-26,17722.019410610003
2021-05-27,7622.306887099999
2021-05-28,17051.186568309997
2021-05-29,10609.673668199996
2021-05-30,14817.24675971
2021-05-31,24762.72682201
2021-06-01,11059.182076159996
2021-06-02,8319.76483665
2021-06-03,11198.807499740002
2021-06-04,9736.86351586
2021-06-05,9396.07028627
2021-06-06,6144.346683370001
2021-06-07,12464.59986832
2021-06-08,20470.747932800004
2021-06-09,19949.533797410008
2021-06-10,5893.225051850001
2021-06-11,7571.039336920001
2021-06-12,8741.78049934
2021-06-13,16056.45320825
2021-06-14,6347.166769490002
2021-06-15,4349.912028769999
2021-06-16,4342.81561095
2021-06-17,4956.666621100001
2021-06-18,6611.161897280001
2021-06-19,7409.29381642
2021-06-20,23965.44840647
2021-06-21,23677.29252711001
2021-06-22,30966.65159886
2021-06-23,11505.027987720005
2021-06-24,7753.305717630001
2021-06-25,8194.94003645
2021-06-26,10696.77159266
2021-06-27,22962.02098572001
2021-06-28,25245.15720996
2021-06-29,12800.53453595
2021-06-30,21119.89418663
2021-07-01,5384.42725768
2021-07-02,10990.32239247
2021-07-03,10678.03223536
2021-07-04,28586.33874922
2021-07-05,7112.521535199999
2021-07-06,13842.878462840004
2021-07-07,8049.975801510001
2021-07-08,3326.9598371299994
2021-07-09,20261.55560033
2021-07-10,5054.142972840001
2021-07-11,6226.45035026
2021-07-12,2306.1314612200003
2021-07-13,6329.513912959998
2021-07-14,24917.15097393
2021-07-15,10366.658197320005
2021-07-16,11375.587111760002
2021-07-17,7822.470720159999
2021-07-18,15560.98256753
2021-07-19,2519.45333876
2021-07-20,14271.55676611
2021-07-21,38284.312250480005
2021-07-22,13177.441501410003
2021-07-23,20580.86582749
2021-07-24,13633.66365816
2021-07-25,6776.21028325
2021-07-26,51847.07898668002
2021-07-27,13948.623875260006
2021-07-28,7212.07081423
2021-07-29,12741.06307362
2021-07-30,12801.564211309998
2021-07-31,12262.4429366
2021-08-01,25081.12861202001
2021-08-02,8543.043945579997
2021-08-03,6399.64069357
2021-08-04,34626.799752980005
2021-08-05,19869.064010350005
2021-08-06,20912.27944914
2021-08-07,47018.08468182
2021-08-08,6899.88696212
2021-08-09,24173.03928114
2021-08-10,10708.962912510002
2021-08-11,8984.258415959997
2021-08-12,5497.41499032
2021-08-13,20338.21428315
2021-08-14,3271.09903555
2021-08-15,9899.16107253
2021-08-16,3127.5655072
2021-08-17,5299.70755052
2021-08-18,5828.940842139999
2021-08-19,8057.99098602
2021-08-20,11086.415324959997
2021-08-21,2167.38968574
2021-08-22,4456.82400114
2021-08-23,5808.05340305
2021-08-24,2153.18125943
2021-08-25,6985.7475898
2021-08-26,6727.601296159999
2021-08-27,7677.938352419999
2021-08-28,945.54982709
2021-08-29,4475.55089301
2021-08-30,9980.414123580002
2021-08-31,24934.87864487
2021-09-01,43099.326745870014
2021-09-02,4146.324455169999
2021-09-03,23301.05295221
2021-09-04,2146.71285474
2021-09-05,5456.13943456
2021-09-06,2815.76979631
2021-09-07,7238.832114580001
2021-09-08,10785.40448379
2021-09-09,5635.484678639998
2021-09-10,2917.5649971000007
2021-09-11,2795.56967846
2021-09-12,8237.04255004
2021-09-13,6486.26912581
2021-09-14,5272.168971459999
2021-09-15,8484.886128470001
2021-09-16,4651.83285842
2021-09-17,2258.97264164
2021-09-18,2616.0568425500005
2021-09-19,1815.99712514
2021-09-20,12347.4605489
2021-09-21,17263.750438310002
2021-09-22,14559.021179889996
2021-09-23,5818.673601519998
2021-09-24,22128.23577002001
2021-09-25,10404.65810999
2021-09-26,25079.800049210007
2021-09-27,6676.400899380002
2021-09-28,5151.0173344
2021-09-29,5547.7142182200005
2021-09-30,8618.51974857
2021-10-01,25154.15333352
2021-10-02,10807.21452626
2021-10-03,4206.743581000001
2021-10-04,3541.4027639900005
2021-10-05,5233.617708409999
2021-10-06,5652.48539064
2021-10-07,4056.51868659
2021-10-08,1898.8429522200004
2021-10-09,1216.71187016
2021-10-10,1180.38771772
2021-10-11,3328.1032857899995
2021-10-12,1750.09463615
2021-10-13,8593.138822289999
2021-10-14,14580.039668129995
2021-10-15,6818.73066346
2021-10-16,3016.85477587
2021-10-17,4629.229701630001
2021-10-18,2825.4240955
2021-10-19,3077.5990385900004
2021-10-20,14169.755989839998
2021-10-21,12795.759136950002
2021-10-22,1170.2421046
2021-10-23,3465.0203742799995
2021-10-24,1664.97435316
2021-10-25,6982.950672190001
2021-10-26,2282.1258491900003
2021-10-27,4362.21355795
2021-10-28,8969.55257133
2021-10-29,5945.77627329
2021-10-30,1100.6721150900005
2021-10-31,3514.26227301
2021-11-01,2896.2195624700003
2021-11-02,14865.86627675
2021-11-03,5633.180548160001
2021-11-04,1489.63609954
2021-11-05,922.55489859
2021-11-06,5688.26339992
2021-11-07,2851.72330448
2021-11-08,11466.909474
2021-11-09,1946.6657487800005
2021-11-10,4552.45871828
2021-11-11,1837.31545033
2021-11-12,3117.0229461700005
2021-11-13,1339.6414771
2021-11-14,949.01333195
2021-11-15,2061.86531413
2021-11-16,7463.87583234
2021-11-17,6770.74772096
2021-11-18,6409.65884229
2021-11-19,6214.8050146900005
2021-11-20,6339.484219639999
2021-11-21,1024.86108672
2021-11-22,4847.57499887
2021-11-23,7783.186791999999
