date,Exchange In-House Flow (Total)
2016-11-14,123628.51034806
2016-11-15,109741.37256994
2016-11-16,121557.76644338
2016-11-17,96004.45458091
2016-11-18,56584.60717267
2016-11-19,20804.23055174
2016-11-20,43756.38650542
2016-11-21,70367.94127767
2016-11-22,132115.65851099
2016-11-23,75860.60605349
2016-11-24,81720.08273307
2016-11-25,39838.27092452
2016-11-26,82059.3365735
2016-11-27,47494.31301936
2016-11-28,81400.34355686
2016-11-29,56313.7390227
2016-11-30,41628.75894935
2016-12-01,98736.99582121
2016-12-02,41485.24179444
2016-12-03,168044.39691906
2016-12-04,21533.73138168
2016-12-05,71383.60080978
2016-12-06,53509.13540302
2016-12-07,56611.87922259
2016-12-08,86953.10116752
2016-12-09,86487.79597534
2016-12-10,73261.30292215
2016-12-11,108091.4722635
2016-12-12,137991.89059828
2016-12-13,94396.01843146
2016-12-14,63932.33077926
2016-12-15,66103.12595108
2016-12-16,93765.78177947
2016-12-17,122962.90697377
2016-12-18,189504.8619888
2016-12-19,329465.72263351
2016-12-20,289644.53183821
2016-12-21,115661.08644782
2016-12-22,440084.71745547
2016-12-23,387280.86445642
2016-12-24,209583.15426377
2016-12-25,84617.11753819
2016-12-26,139468.25169141
2016-12-27,178025.64933415
2016-12-28,254516.28301207
2016-12-29,169232.50945175
2016-12-30,330710.59816689
2016-12-31,242752.73518662
2017-01-01,79068.11634799
2017-01-02,165715.83058655
2017-01-03,158841.77773483
2017-01-04,257693.63290317
2017-01-05,186750.40811685
2017-01-06,343575.40858664
2017-01-07,456405.02453266
2017-01-08,385233.61433843
2017-01-09,276901.77745602
2017-01-10,453041.45087762
2017-01-11,226456.52519408
2017-01-12,401117.67211069
2017-01-13,240788.75223977
2017-01-14,178271.85678117
2017-01-15,375143.97986224
2017-01-16,420058.44395882
2017-01-17,248383.26504539
2017-01-18,247493.73913077
2017-01-19,204458.34082702
2017-01-20,228888.21286418
2017-01-21,255106.49261743
2017-01-22,139722.35892469
2017-01-23,174934.03400523
2017-01-24,277658.38601704
2017-01-25,174965.02380577
2017-01-26,165793.80898521
2017-01-27,177476.37690489
2017-01-28,145661.68527884
2017-01-29,288687.41247874
2017-01-30,185293.86070928
2017-01-31,106032.95042505
2017-02-01,415934.26952015
2017-02-02,339331.67030453
2017-02-03,198358.16246463
2017-02-04,171039.22756476
2017-02-05,131886.96392068
2017-02-06,139663.25177718
2017-02-07,229479.03253016
2017-02-08,142780.51095268
2017-02-09,133235.10540936
2017-02-10,258390.05577045
2017-02-11,101027.10959742
2017-02-12,117700.808194
2017-02-13,123336.4656829
2017-02-14,218851.90137831
2017-02-15,194919.338687
2017-02-16,157645.80909351
2017-02-17,137752.17271619
2017-02-18,107255.9655192
2017-02-19,145074.68714046
2017-02-20,128617.41658792
2017-02-21,273962.45869371
2017-02-22,171056.69223859
2017-02-23,191040.07426936
2017-02-24,171165.56585566
2017-02-25,100553.76562212
2017-02-26,140661.6235257
2017-02-27,174519.33404565
2017-02-28,228813.82916658
2017-03-01,158018.44958495
2017-03-02,343926.45905441
2017-03-03,265811.38000376
2017-03-04,107731.75084708
2017-03-05,83650.07449112
2017-03-06,104110.36465845
2017-03-07,106201.81969236
2017-03-08,288305.39137228
2017-03-09,112172.15795202
2017-03-10,119562.38897069
2017-03-11,203012.0231606
2017-03-12,116360.6627327
2017-03-13,271812.00280459
2017-03-14,256550.54080894
2017-03-15,217307.81824058
2017-03-16,538639.14451488
2017-03-17,540295.05610666
2017-03-18,345706.06828356
2017-03-19,326980.02366277
2017-03-20,222260.23313387
2017-03-21,260582.01322689
2017-03-22,185663.12022362
2017-03-23,289999.94560124
2017-03-24,179069.27099445
2017-03-25,243456.43765909
2017-03-26,316664.00816264
2017-03-27,380304.89067436
2017-03-28,299594.87408599
2017-03-29,126405.03547443
2017-03-30,245440.46570837
2017-03-31,502236.55310199
2017-04-01,408458.23083204
2017-04-02,338917.13522264
2017-04-03,1233798.46496401
2017-04-04,331809.63615871
2017-04-05,320084.79000697
2017-04-06,280644.33743617
2017-04-07,305884.50843294
2017-04-08,359806.81548539
2017-04-09,171814.55047535
2017-04-10,391396.74202534
2017-04-11,220029.7644986
2017-04-12,203293.45499511
2017-04-13,473970.9524351
2017-04-14,209304.88034788
2017-04-15,218781.66256141
2017-04-16,670385.71797696
2017-04-17,682339.71051091
2017-04-18,206676.42704236
2017-04-19,197547.40640747
2017-04-20,335024.60340696
2017-04-21,465080.0294161
2017-04-22,287325.77312055
2017-04-23,303597.82615029
2017-04-24,202682.90885035
2017-04-25,143494.6922667
2017-04-26,200606.27436956
2017-04-27,195776.69558364
2017-04-28,345277.0185824
2017-04-29,296751.99532146
2017-04-30,262383.68911624
2017-05-01,461434.29193543
2017-05-02,306803.30348343
2017-05-03,592714.23569081
2017-05-04,266863.33753393
2017-05-05,460831.45848586
2017-05-06,299735.84191195
2017-05-07,216816.71751
2017-05-08,812879.69647643
2017-05-09,495241.26005778
2017-05-10,483631.29410507
2017-05-11,219809.95043989
2017-05-12,235003.74354213
2017-05-13,76840.57502673
2017-05-14,144660.7680162
2017-05-15,228114.04588665
2017-05-16,260901.74525604
2017-05-17,266538.42751868
2017-05-18,284308.90801896
2017-05-19,199616.39116108
2017-05-20,144772.15187079
2017-05-21,172600.32783901
2017-05-22,260480.17719407
2017-05-23,322100.2124522
2017-05-24,203015.39391713
2017-05-25,259107.76362846
2017-05-26,155381.49249061
2017-05-27,98410.99841966
2017-05-28,96403.71716766
2017-05-29,161642.97941159
2017-05-30,123968.86442954
2017-05-31,175707.5302609
2017-06-01,204578.23901413
2017-06-02,121715.89497481
2017-06-03,167900.4997503
2017-06-04,138972.76648709
2017-06-05,197138.15507059
2017-06-06,167212.95112165
2017-06-07,108646.12632549
2017-06-08,116119.44333751
2017-06-09,143024.08992977
2017-06-10,133449.86153002
2017-06-11,219944.07369248
2017-06-12,294818.35173005
2017-06-13,323336.56260698
2017-06-14,250599.1374651
2017-06-15,279104.10024604
2017-06-16,183576.21655018
2017-06-17,158556.75186063
2017-06-18,233113.68738641
2017-06-19,145794.87711182
2017-06-20,217527.27244929
2017-06-21,167011.29222082
2017-06-22,260103.07876816
2017-06-23,223358.83133633
2017-06-24,126006.5404176
2017-06-25,97257.31188947
2017-06-26,225629.29783803
2017-06-27,253573.24858874
2017-06-28,311652.44496265
2017-06-29,226136.07997628
2017-06-30,247939.46666258
2017-07-01,188079.15191147
2017-07-02,174418.78696071
2017-07-03,343404.73025313
2017-07-04,244270.11727483
2017-07-05,243835.60299325
2017-07-06,269780.74368828
2017-07-07,246990.40424911
2017-07-08,278084.66347223
2017-07-09,215469.113634
2017-07-10,279492.07845829
2017-07-11,370703.27548704
2017-07-12,405644.91768557
2017-07-13,300037.4225764
2017-07-14,156385.09945797
2017-07-15,191779.49539291
2017-07-16,179801.53437328
2017-07-17,211570.4217643
2017-07-18,433375.39102924
2017-07-19,306516.3402261
2017-07-20,355319.79542507
2017-07-21,196882.87867214
2017-07-22,152285.40502627
2017-07-23,177399.30926664
2017-07-24,241746.11946753
2017-07-25,208649.05934129
2017-07-26,351950.48050894
2017-07-27,569311.44808247
2017-07-28,700002.21636514
2017-07-29,396435.20923683
2017-07-30,666711.11756167
2017-07-31,590054.75260524
2017-08-01,492936.9328551
2017-08-02,751538.26927242
2017-08-03,602087.99462841
2017-08-04,517342.34519602
2017-08-05,283637.84396829
2017-08-06,450675.89607479
2017-08-07,484722.48681508
2017-08-08,344316.83110409
2017-08-09,373278.02413913
2017-08-10,486015.70927366
2017-08-11,265130.21811645
2017-08-12,278535.89788154
2017-08-13,210844.06059804
2017-08-14,379379.02866559
2017-08-15,316591.35550086
2017-08-16,443472.78848637
2017-08-17,408987.01462842
2017-08-18,351716.50827057
2017-08-19,277054.97306544
2017-08-20,170711.0339423
2017-08-21,282463.90731879
2017-08-22,319391.04436503
2017-08-23,199131.47240011
2017-08-24,245307.03652225
2017-08-25,265176.73947267
2017-08-26,134073.35076567
2017-08-27,114932.77213642
2017-08-28,145384.75689801
2017-08-29,151720.53621892
2017-08-30,138588.69213545
2017-08-31,126814.14721049
2017-09-01,118667.74134537
2017-09-02,91311.01938721
2017-09-03,144107.58829079
2017-09-04,163230.22267163
2017-09-05,149191.46369617
2017-09-06,146424.64637475
2017-09-07,171748.96999879
2017-09-08,134947.0790265
2017-09-09,104692.26744381
2017-09-10,155788.36734955
2017-09-11,175501.49163852
2017-09-12,126888.50934972
2017-09-13,189128.36880686
2017-09-14,223777.32729215
2017-09-15,309372.0798965
2017-09-16,133106.31612598
2017-09-17,112615.60436313
2017-09-18,189811.97823579
2017-09-19,134783.47025891
2017-09-20,99195.71272432
2017-09-21,102401.3912367
2017-09-22,126955.87333338
2017-09-23,88796.34740126
2017-09-24,60129.25800972
2017-09-25,96672.56859017
2017-09-26,131940.81170161
2017-09-27,184496.3444207
2017-09-28,214127.24537349
2017-09-29,123181.40336569
2017-09-30,81671.0556458
2017-10-01,95594.36831402
2017-10-02,124986.00812973
2017-10-03,168814.6099865
2017-10-04,216609.04747676
2017-10-05,119475.59532008
2017-10-06,79802.29283677
2017-10-07,92775.80213846
2017-10-08,87740.12458442
2017-10-09,155658.73958156
2017-10-10,108615.17955887
2017-10-11,99879.70370334
2017-10-12,140511.05416141
2017-10-13,257453.83638248
2017-10-14,84369.93461566
2017-10-15,80429.38598715
2017-10-16,112263.79766671
2017-10-17,122376.2789666
2017-10-18,184984.2618931
2017-10-19,120738.79369881
2017-10-20,114594.54250145
2017-10-21,102310.64023706
2017-10-22,103328.55633611
2017-10-23,347353.08122829
2017-10-24,372487.5933293
2017-10-25,371872.28745512
2017-10-26,251625.73269975
2017-10-27,207401.72574083
2017-10-28,130762.48993066
2017-10-29,140792.9524425
2017-10-30,178560.47019562
2017-10-31,169109.22243239
2017-11-01,195093.89696264
2017-11-02,226445.14063815
2017-11-03,159068.81512829
2017-11-04,122147.3049069
2017-11-05,82360.19452204
2017-11-06,134611.53967728
2017-11-07,183681.60136803
2017-11-08,145412.32451588
2017-11-09,251061.6317906
2017-11-10,203896.16143889
2017-11-11,219040.19898217
2017-11-12,394510.08143267
2017-11-13,2296909.43057687
2017-11-14,1866930.15389512
2017-11-15,1495354.05097276
2017-11-16,1675424.1105468
2017-11-17,1039667.12756397
2017-11-18,564135.71312739
2017-11-19,356777.33610728
2017-11-20,454435.79223298
2017-11-21,313674.98832676
2017-11-22,382238.29567377
2017-11-23,646253.39485106
2017-11-24,269791.39303372
2017-11-25,274163.3897038
2017-11-26,206352.10469026
2017-11-27,381520.12197091
2017-11-28,354861.0987927
2017-11-29,321063.88787233
2017-11-30,283718.03554481
2017-12-01,182801.3042834
2017-12-02,123184.8113881
2017-12-03,91030.05299105
2017-12-04,247342.49959615
2017-12-05,431101.80855514
