Datetime,Tokens Transferred Between EOA (Total)
2025-12-29T00:00:00Z,1450307.2343904497
2025-12-28T00:00:00Z,455155.39120354084
2025-12-27T00:00:00Z,458536.6281649661
2025-12-26T00:00:00Z,1395359.1944937806
2025-12-25T00:00:00Z,584283.4886855106
2025-12-24T00:00:00Z,1354471.6339700858
2025-12-23T00:00:00Z,1914730.1104982006
2025-12-22T00:00:00Z,1367672.322158609
2025-12-21T00:00:00Z,453342.64423016174
2025-12-20T00:00:00Z,376162.70229586784
2025-12-19T00:00:00Z,1775019.31271323
2025-12-18T00:00:00Z,1502532.244794651
2025-12-17T00:00:00Z,2420330.715138669
2025-12-16T00:00:00Z,1763161.1939009696
2025-12-15T00:00:00Z,1626058.5584053155
2025-12-14T00:00:00Z,736515.5438893915
2025-12-13T00:00:00Z,523256.81750204455
2025-12-12T00:00:00Z,1669822.2106383597
2025-12-11T00:00:00Z,1795382.7975284678
2025-12-10T00:00:00Z,1659000.675072678
2025-12-09T00:00:00Z,1455421.288836419
2025-12-08T00:00:00Z,1176611.9880312462
2025-12-07T00:00:00Z,485779.02641627204
2025-12-06T00:00:00Z,428520.744452324
2025-12-05T00:00:00Z,1466548.216167794
2025-12-04T00:00:00Z,1511109.1953101708
2025-12-03T00:00:00Z,1596124.6863062244
2025-12-02T00:00:00Z,1620679.1242461218
2025-12-01T00:00:00Z,1732031.6302323153
2025-11-30T00:00:00Z,403445.72244100075
2025-11-29T00:00:00Z,619283.427813471
2025-11-28T00:00:00Z,1387987.8426601633
2025-11-27T00:00:00Z,943540.951469147
2025-11-26T00:00:00Z,1396620.7348644636
2025-11-25T00:00:00Z,1358434.4493002545
2025-11-24T00:00:00Z,1712199.560465104
2025-11-23T00:00:00Z,4552179.968248138
2025-11-22T00:00:00Z,826575.0714247529
2025-11-21T00:00:00Z,2693109.0927773365
2025-11-20T00:00:00Z,1670544.078455514
2025-11-19T00:00:00Z,1899795.811307629
2025-11-18T00:00:00Z,2387766.057434497
2025-11-17T00:00:00Z,1774840.036394
2025-11-16T00:00:00Z,776800.8850095274
2025-11-15T00:00:00Z,658135.8787115574
2025-11-14T00:00:00Z,2384594.549145189
2025-11-13T00:00:00Z,2029169.5262538989
2025-11-12T00:00:00Z,1505174.6191620212
2025-11-11T00:00:00Z,1267626.3018676627
2025-11-10T00:00:00Z,1416305.1373759957
2025-11-09T00:00:00Z,649564.7444580961
2025-11-08T00:00:00Z,486748.97304061905
2025-11-07T00:00:00Z,1972658.4267760671
2025-11-06T00:00:00Z,1848504.5771677236
2025-11-05T00:00:00Z,2380621.48086791
2025-11-04T00:00:00Z,2933794.688274305
2025-11-03T00:00:00Z,1817340.1164114764
2025-11-02T00:00:00Z,693732.0873611998
2025-11-01T00:00:00Z,935809.317185009
2025-10-31T00:00:00Z,1643617.9404693833
2025-10-30T00:00:00Z,1671646.265145602
2025-10-29T00:00:00Z,1706617.3400207364
2025-10-28T00:00:00Z,1545702.910687346
2025-10-27T00:00:00Z,1526726.3310223864
2025-10-26T00:00:00Z,906750.7846054523
2025-10-25T00:00:00Z,493840.2058157849
2025-10-24T00:00:00Z,1460429.6649340815
2025-10-23T00:00:00Z,1472531.7220173348
2025-10-22T00:00:00Z,1240247.8211906883
2025-10-21T00:00:00Z,1472541.6661192104
2025-10-20T00:00:00Z,1682109.406576325
2025-10-19T00:00:00Z,670429.1852690626
2025-10-18T00:00:00Z,529592.253502016
2025-10-17T00:00:00Z,1893565.4357906193
2025-10-16T00:00:00Z,1577173.3974719676
2025-10-15T00:00:00Z,1784929.153143285
2025-10-14T00:00:00Z,2845543.2582484605
2025-10-13T00:00:00Z,1622417.929843318
2025-10-12T00:00:00Z,1121423.0496609653
2025-10-11T00:00:00Z,2430779.639766019
2025-10-10T00:00:00Z,1866237.2604770865
2025-10-09T00:00:00Z,1499655.7548586864
2025-10-08T00:00:00Z,2130040.651610029
2025-10-07T00:00:00Z,1968628.3727072969
2025-10-06T00:00:00Z,1812723.4276360392
2025-10-05T00:00:00Z,894359.0374005336
2025-10-04T00:00:00Z,796973.8071621174
2025-10-03T00:00:00Z,1591280.9320640569
2025-10-02T00:00:00Z,1733553.0850589664
2025-10-01T00:00:00Z,1988980.3168665136
2025-09-30T00:00:00Z,1950461.2664119585
2025-09-29T00:00:00Z,1513209.2421760182
2025-09-28T00:00:00Z,457334.2117797871
2025-09-27T00:00:00Z,548473.7116465006
2025-09-26T00:00:00Z,2178329.5934890555
2025-09-25T00:00:00Z,2500155.337652397
2025-09-24T00:00:00Z,1613472.526344379
2025-09-23T00:00:00Z,1288213.3572320682
2025-09-22T00:00:00Z,2480040.61002293
2025-09-21T00:00:00Z,613048.5566452005
2025-09-20T00:00:00Z,511028.13703908084
2025-09-19T00:00:00Z,1880307.8758907977
2025-09-18T00:00:00Z,2733564.4115140075
2025-09-17T00:00:00Z,1807842.6441651294
2025-09-16T00:00:00Z,2052895.4024658224
2025-09-15T00:00:00Z,1817239.8269302784
2025-09-14T00:00:00Z,723835.7562645212
2025-09-13T00:00:00Z,697362.9046099035
2025-09-12T00:00:00Z,1736730.3781826585
2025-09-11T00:00:00Z,1538784.9400431602
2025-09-10T00:00:00Z,1583461.46628314
2025-09-09T00:00:00Z,1703991.642870458
2025-09-08T00:00:00Z,1986860.6640134908
2025-09-07T00:00:00Z,412641.669945313
2025-09-06T00:00:00Z,581367.8082394481
2025-09-05T00:00:00Z,2151544.3948228206
2025-09-04T00:00:00Z,2047048.652769452
2025-09-03T00:00:00Z,1941951.0201173355
2025-09-02T00:00:00Z,1861062.87649172
2025-09-01T00:00:00Z,1870942.2916240855
2025-08-31T00:00:00Z,986258.4963298033
2025-08-30T00:00:00Z,895303.9423010394
2025-08-29T00:00:00Z,2036027.295399054
2025-08-28T00:00:00Z,1845785.3709994587
2025-08-27T00:00:00Z,2401574.8524484267
2025-08-26T00:00:00Z,2803881.548777186
2025-08-25T00:00:00Z,2800442.089234231
2025-08-24T00:00:00Z,2058877.6366760957
2025-08-23T00:00:00Z,2155361.0967350504
2025-08-22T00:00:00Z,2784501.0191351823
2025-08-21T00:00:00Z,1799016.6641985807
2025-08-20T00:00:00Z,2208052.6644009436
2025-08-19T00:00:00Z,1833968.3213559235
2025-08-18T00:00:00Z,2888011.50903854
2025-08-17T00:00:00Z,731440.366103036
2025-08-16T00:00:00Z,1012512.899604172
2025-08-15T00:00:00Z,2743987.178199559
2025-08-14T00:00:00Z,3700394.0971437534
2025-08-13T00:00:00Z,3450471.0911738807
2025-08-12T00:00:00Z,3310897.663508501
2025-08-11T00:00:00Z,2764159.2614289178
2025-08-10T00:00:00Z,1264707.2632106019
2025-08-09T00:00:00Z,1656839.201095841
2025-08-08T00:00:00Z,2564527.8371003955
2025-08-07T00:00:00Z,1882442.5648454223
2025-08-06T00:00:00Z,1389082.9227030822
2025-08-05T00:00:00Z,2008431.5551652024
2025-08-04T00:00:00Z,1964186.9414044342
2025-08-03T00:00:00Z,787537.2055813008
2025-08-02T00:00:00Z,892292.8763141724
2025-08-01T00:00:00Z,2094973.032685413
2025-07-31T00:00:00Z,1500192.9684521777
2025-07-30T00:00:00Z,1915075.8380303818
2025-07-29T00:00:00Z,1538211.4526958254
2025-07-28T00:00:00Z,2323129.9870365243
2025-07-27T00:00:00Z,1000334.744537914
2025-07-26T00:00:00Z,709927.2974114285
2025-07-25T00:00:00Z,2599640.3959108116
2025-07-24T00:00:00Z,2493500.3685768936
2025-07-23T00:00:00Z,2904860.8402244216
2025-07-22T00:00:00Z,2530447.8772613807
2025-07-21T00:00:00Z,3124534.5178568866
2025-07-20T00:00:00Z,1393608.1947235784
2025-07-19T00:00:00Z,904747.9280764994
2025-07-18T00:00:00Z,4186777.470701053
2025-07-17T00:00:00Z,3241850.222264093
2025-07-16T00:00:00Z,3098934.037196456
2025-07-15T00:00:00Z,2351171.783593279
2025-07-14T00:00:00Z,2474186.282535327
2025-07-13T00:00:00Z,733384.8632521286
2025-07-12T00:00:00Z,963103.3877801674
2025-07-11T00:00:00Z,3205234.910676671
2025-07-10T00:00:00Z,2440655.8255523625
2025-07-09T00:00:00Z,2080668.5754740578
2025-07-08T00:00:00Z,1361280.7049926792
2025-07-07T00:00:00Z,1337717.6575408874
2025-07-06T00:00:00Z,395174.7849777326
2025-07-05T00:00:00Z,458051.1520741089
2025-07-04T00:00:00Z,1003324.9267251765
2025-07-03T00:00:00Z,1548394.7851553936
2025-07-02T00:00:00Z,1508338.1397818925
2025-07-01T00:00:00Z,1728652.8118616818
2025-06-30T00:00:00Z,1553160.4954859894
2025-06-29T00:00:00Z,553084.4738184438
2025-06-28T00:00:00Z,532661.8570897974
2025-06-27T00:00:00Z,1272626.1047022617
2025-06-26T00:00:00Z,1448523.0633693156
2025-06-25T00:00:00Z,1483116.4628720826
2025-06-24T00:00:00Z,1831304.3660249044
2025-06-23T00:00:00Z,1656876.2337764716
2025-06-22T00:00:00Z,1295960.051764407
2025-06-21T00:00:00Z,789942.0133018659
2025-06-20T00:00:00Z,2434642.2220342653
2025-06-19T00:00:00Z,1213004.1279206781
2025-06-18T00:00:00Z,1460968.0709455574
2025-06-17T00:00:00Z,1516016.3134883898
2025-06-16T00:00:00Z,1624370.1656006172
2025-06-15T00:00:00Z,488367.3648607933
2025-06-14T00:00:00Z,520853.1083996156
2025-06-13T00:00:00Z,2434513.7109545376
2025-06-12T00:00:00Z,2227091.7901164815
2025-06-11T00:00:00Z,2482019.113700917
2025-06-10T00:00:00Z,2903827.965786471
2025-06-09T00:00:00Z,1519303.0669065854
2025-06-08T00:00:00Z,824820.2503526078
2025-06-07T00:00:00Z,565009.9870276785
2025-06-06T00:00:00Z,1859549.656190698
2025-06-05T00:00:00Z,2359708.3381853527
2025-06-04T00:00:00Z,2089570.260187547
2025-06-03T00:00:00Z,2233786.1804926777
2025-06-02T00:00:00Z,1733719.8154428662
2025-06-01T00:00:00Z,688046.2740689376
2025-05-31T00:00:00Z,732305.0411351032
2025-05-30T00:00:00Z,1875007.9010130174
2025-05-29T00:00:00Z,1893520.3210479568
2025-05-28T00:00:00Z,1720089.6285512613
2025-05-27T00:00:00Z,1835965.2366586379
2025-05-26T00:00:00Z,1110216.9759616943
2025-05-25T00:00:00Z,816758.1936983434
2025-05-24T00:00:00Z,548926.684053647
2025-05-23T00:00:00Z,2688570.027555493
2025-05-22T00:00:00Z,2000294.6611990943
2025-05-21T00:00:00Z,2475592.147941931
2025-05-20T00:00:00Z,1725084.95986306
2025-05-19T00:00:00Z,1844938.615222901
2025-05-18T00:00:00Z,776394.0230309869
2025-05-17T00:00:00Z,977732.1274212407
2025-05-16T00:00:00Z,1745848.2932238588
2025-05-15T00:00:00Z,2192292.24710201
2025-05-14T00:00:00Z,2029258.7927235353
2025-05-13T00:00:00Z,2037150.8839315248
2025-05-12T00:00:00Z,2053346.5679186885
2025-05-11T00:00:00Z,1096786.366156041
2025-05-10T00:00:00Z,1183500.6563793712
2025-05-09T00:00:00Z,2460845.7430755617
2025-05-08T00:00:00Z,2414874.2080171076
2025-05-07T00:00:00Z,1264210.921996008
2025-05-06T00:00:00Z,942531.8557104813
2025-05-05T00:00:00Z,1116597.9178818054
2025-05-04T00:00:00Z,573612.9314982751
2025-05-03T00:00:00Z,430592.4910191487
2025-05-02T00:00:00Z,1093487.0126116788
2025-05-01T00:00:00Z,1127839.298375776
2025-04-30T00:00:00Z,1263655.9440303727
2025-04-29T00:00:00Z,1664380.6668118404
2025-04-28T00:00:00Z,2072087.5287999166
2025-04-27T00:00:00Z,830328.0476604244
2025-04-26T00:00:00Z,703761.4227598421
2025-04-25T00:00:00Z,1926607.3278723748
2025-04-24T00:00:00Z,1972664.5929954846
2025-04-23T00:00:00Z,2029800.3361974242
2025-04-22T00:00:00Z,2447713.13830057
2025-04-21T00:00:00Z,1691057.656680202
2025-04-20T00:00:00Z,856816.4768057036
2025-04-19T00:00:00Z,870055.2534650773
2025-04-18T00:00:00Z,989536.5350270784
2025-04-17T00:00:00Z,1225369.4609540377
2025-04-16T00:00:00Z,1145429.4858142661
2025-04-15T00:00:00Z,1319375.5787385248
2025-04-14T00:00:00Z,1739922.8538173935
2025-04-13T00:00:00Z,761620.2274431764
2025-04-12T00:00:00Z,644697.2137874461
2025-04-11T00:00:00Z,1453759.1840572057
