Datetime,Contract Calls (Total)
2025-11-05T00:00:00Z,12100840
2025-11-04T00:00:00Z,11733814
2025-11-03T00:00:00Z,11771464
2025-11-02T00:00:00Z,9924456
2025-11-01T00:00:00Z,9837303
2025-10-31T00:00:00Z,11662859
2025-10-30T00:00:00Z,10984034
2025-10-29T00:00:00Z,10626902
2025-10-28T00:00:00Z,10323633
2025-10-27T00:00:00Z,10260668
2025-10-26T00:00:00Z,9687114
2025-10-25T00:00:00Z,9432078
2025-10-24T00:00:00Z,10259940
2025-10-23T00:00:00Z,9890947
2025-10-22T00:00:00Z,10247504
2025-10-21T00:00:00Z,10267968
2025-10-20T00:00:00Z,9790043
2025-10-19T00:00:00Z,9644431
2025-10-18T00:00:00Z,9301241
2025-10-17T00:00:00Z,9982560
2025-10-16T00:00:00Z,9989473
2025-10-15T00:00:00Z,10355237
2025-10-14T00:00:00Z,10752444
2025-10-13T00:00:00Z,11057689
2025-10-12T00:00:00Z,11182580
2025-10-11T00:00:00Z,11175669
2025-10-10T00:00:00Z,10825559
2025-10-09T00:00:00Z,10931437
2025-10-08T00:00:00Z,10451254
2025-10-07T00:00:00Z,10601856
2025-10-06T00:00:00Z,10577575
2025-10-05T00:00:00Z,10688425
2025-10-04T00:00:00Z,10311298
2025-10-03T00:00:00Z,10666187
2025-10-02T00:00:00Z,10367716
2025-10-01T00:00:00Z,10232025
2025-09-30T00:00:00Z,10402272
2025-09-29T00:00:00Z,10595134
2025-09-28T00:00:00Z,11408497
2025-09-27T00:00:00Z,12064905
2025-09-26T00:00:00Z,11049891
2025-09-25T00:00:00Z,11516111
2025-09-24T00:00:00Z,11116108
2025-09-23T00:00:00Z,10712778
2025-09-22T00:00:00Z,10910195
2025-09-21T00:00:00Z,10725217
2025-09-20T00:00:00Z,11278504
2025-09-19T00:00:00Z,10581855
2025-09-18T00:00:00Z,9859140
2025-09-17T00:00:00Z,10268611
2025-09-16T00:00:00Z,9681161
2025-09-15T00:00:00Z,10783636
2025-09-14T00:00:00Z,10645963
2025-09-13T00:00:00Z,11070706
2025-09-12T00:00:00Z,11516744
2025-09-11T00:00:00Z,11256117
2025-09-10T00:00:00Z,10623398
2025-09-09T00:00:00Z,11798596
2025-09-08T00:00:00Z,12005879
2025-09-07T00:00:00Z,11214761
2025-09-06T00:00:00Z,11998556
2025-09-05T00:00:00Z,12438057
2025-09-04T00:00:00Z,12328129
2025-09-03T00:00:00Z,11948837
2025-09-02T00:00:00Z,10925990
2025-09-01T00:00:00Z,13054952
2025-08-31T00:00:00Z,9836121
2025-08-30T00:00:00Z,10080403
2025-08-29T00:00:00Z,10542107
2025-08-28T00:00:00Z,11916908
2025-08-27T00:00:00Z,13370233
2025-08-26T00:00:00Z,12749571
2025-08-25T00:00:00Z,11424372
2025-08-24T00:00:00Z,10886739
2025-08-23T00:00:00Z,11119271
2025-08-22T00:00:00Z,10754179
2025-08-21T00:00:00Z,10200253
2025-08-20T00:00:00Z,10470166
2025-08-19T00:00:00Z,10715647
2025-08-18T00:00:00Z,10468781
2025-08-17T00:00:00Z,10823787
2025-08-16T00:00:00Z,10285561
2025-08-15T00:00:00Z,10630304
2025-08-14T00:00:00Z,10498037
2025-08-13T00:00:00Z,10591537
2025-08-12T00:00:00Z,10639239
2025-08-11T00:00:00Z,10615758
2025-08-10T00:00:00Z,11082077
2025-08-09T00:00:00Z,10708964
2025-08-08T00:00:00Z,10058312
2025-08-07T00:00:00Z,9966011
2025-08-06T00:00:00Z,9738100
2025-08-05T00:00:00Z,9430346
2025-08-04T00:00:00Z,9729936
2025-08-03T00:00:00Z,9696105
2025-08-02T00:00:00Z,9812928
2025-08-01T00:00:00Z,10328063
2025-07-31T00:00:00Z,8453391
2025-07-30T00:00:00Z,8149109
2025-07-29T00:00:00Z,9803304
2025-07-28T00:00:00Z,10569370
2025-07-27T00:00:00Z,10444391
2025-07-26T00:00:00Z,10499792
2025-07-25T00:00:00Z,10938738
2025-07-24T00:00:00Z,10496416
2025-07-23T00:00:00Z,10471958
2025-07-22T00:00:00Z,10674198
2025-07-21T00:00:00Z,9684071
2025-07-20T00:00:00Z,8795024
2025-07-19T00:00:00Z,8473168
2025-07-18T00:00:00Z,8303498
2025-07-17T00:00:00Z,8080112
2025-07-16T00:00:00Z,8293250
2025-07-15T00:00:00Z,8363075
2025-07-14T00:00:00Z,8190383
2025-07-13T00:00:00Z,8242627
2025-07-12T00:00:00Z,8333666
2025-07-11T00:00:00Z,8202017
2025-07-10T00:00:00Z,8268395
2025-07-09T00:00:00Z,8071002
2025-07-08T00:00:00Z,8099461
2025-07-07T00:00:00Z,7765608
2025-07-06T00:00:00Z,7624190
2025-07-05T00:00:00Z,7738306
2025-07-04T00:00:00Z,7822589
2025-07-03T00:00:00Z,7726351
2025-07-02T00:00:00Z,8055667
2025-07-01T00:00:00Z,8064155
2025-06-30T00:00:00Z,7848361
2025-06-29T00:00:00Z,7660405
2025-06-28T00:00:00Z,7376599
2025-06-27T00:00:00Z,8527912
2025-06-26T00:00:00Z,7868182
2025-06-25T00:00:00Z,7009050
2025-06-24T00:00:00Z,7516917
2025-06-23T00:00:00Z,8098193
2025-06-22T00:00:00Z,8458802
2025-06-21T00:00:00Z,8156924
2025-06-20T00:00:00Z,7849435
2025-06-19T00:00:00Z,7835052
2025-06-18T00:00:00Z,8081916
2025-06-17T00:00:00Z,8059904
2025-06-16T00:00:00Z,7957923
2025-06-15T00:00:00Z,7397395
2025-06-14T00:00:00Z,7716402
2025-06-13T00:00:00Z,8125497
2025-06-12T00:00:00Z,7870764
2025-06-11T00:00:00Z,7915406
2025-06-10T00:00:00Z,8031834
2025-06-09T00:00:00Z,7625937
2025-06-08T00:00:00Z,7615447
2025-06-07T00:00:00Z,7524264
2025-06-06T00:00:00Z,7916140
2025-06-05T00:00:00Z,7892675
2025-06-04T00:00:00Z,7953126
2025-06-03T00:00:00Z,7869015
2025-06-02T00:00:00Z,7838252
2025-06-01T00:00:00Z,8253547
2025-05-31T00:00:00Z,7949432
2025-05-30T00:00:00Z,8008945
2025-05-29T00:00:00Z,8239828
2025-05-28T00:00:00Z,8010022
2025-05-27T00:00:00Z,8036591
2025-05-26T00:00:00Z,8020275
2025-05-25T00:00:00Z,8035288
2025-05-24T00:00:00Z,8145257
2025-05-23T00:00:00Z,8102957
2025-05-22T00:00:00Z,8030131
2025-05-21T00:00:00Z,7895240
2025-05-20T00:00:00Z,7811792
2025-05-19T00:00:00Z,7882213
2025-05-18T00:00:00Z,7842701
2025-05-17T00:00:00Z,7569427
2025-05-16T00:00:00Z,7836566
2025-05-15T00:00:00Z,7761324
2025-05-14T00:00:00Z,7702613
2025-05-13T00:00:00Z,7974006
2025-05-12T00:00:00Z,7960551
2025-05-11T00:00:00Z,8377342
2025-05-10T00:00:00Z,8239286
2025-05-09T00:00:00Z,7796593
2025-05-08T00:00:00Z,7547134
2025-05-07T00:00:00Z,7433729
2025-05-06T00:00:00Z,7230846
2025-05-05T00:00:00Z,7202298
2025-05-04T00:00:00Z,6882177
2025-05-03T00:00:00Z,6958243
2025-05-02T00:00:00Z,7186103
2025-05-01T00:00:00Z,7566658
2025-04-30T00:00:00Z,7535592
2025-04-29T00:00:00Z,7683800
2025-04-28T00:00:00Z,7686991
2025-04-27T00:00:00Z,7605577
2025-04-26T00:00:00Z,7291133
2025-04-25T00:00:00Z,8092759
2025-04-24T00:00:00Z,8025250
2025-04-23T00:00:00Z,7639336
2025-04-22T00:00:00Z,7734477
2025-04-21T00:00:00Z,7839191
2025-04-20T00:00:00Z,7271536
2025-04-19T00:00:00Z,7125556
2025-04-18T00:00:00Z,7104648
2025-04-17T00:00:00Z,7348306
2025-04-16T00:00:00Z,7391497
2025-04-15T00:00:00Z,7399340
2025-04-14T00:00:00Z,7175092
2025-04-13T00:00:00Z,7307584
2025-04-12T00:00:00Z,7443384
2025-04-11T00:00:00Z,7500806
