date,Binance,Bitget,Bitstamp,Bybit,Crypto.com,Gate.io,HTX,Kraken
2025-08-15,29339615364.950592,1745464745.2477582,487100899.65803045,4275914502.066736,4758042911.548949,4115171291.1438127,3926667002.361273,1907426549.8648152
2025-08-16,13378813152.924383,1037134218.8107976,231901623.64474347,2277995147.9886403,1815250977.470744,1858880638.67483,2241190396.971973,866707912.026726
2025-08-17,14919525738.597666,1294825704.8811755,229542031.6318312,2508790167.404048,1901647267.3330328,2661533891.562586,2252373377.246084,744193516.3170514
2025-08-18,29198216617.74261,1993319676.2559056,533719716.3005198,4647524938.935881,4976005467.22994,3523618823.510796,3994902607.248206,1671982139.9627728
2025-08-19,28145757656.08356,2071674778.1999807,533275348.7213711,4368059695.419834,5013954505.688466,3809553150.6448817,3951624778.6523,1732095317.8282232
2025-08-20,25921640030.249355,1912419327.617421,541610028.5308137,3911846901.7602873,4754572623.30312,3939442067.110928,3539804299.258513,1539707861.115874
2025-08-21,18594070130.327007,1343712271.8190072,427720218.0325861,2933100647.2857013,3593277372.735063,2965410795.760712,3110210921.84432,1046697795.4564978
2025-08-22,37532904567.01093,2196350486.264612,693775934.6432004,5878330878.533658,5458120161.461973,4508585105.787689,4889502419.610528,2429917541.9536886
2025-08-23,17639983137.43305,1195494786.6681352,350709069.4387568,3324780478.268084,1855330095.553916,3157142222.988201,3359942227.498061,745871789.6419075
2025-08-24,25694995567.22277,1832441546.537045,418497309.2800419,4854488725.527541,3331347351.33559,4313735562.52571,3960719812.883694,1170858859.6077092
2025-08-25,32934421015.809067,1930488469.453621,643659661.2248783,5565297197.495347,5721456575.271423,5495132592.127902,5241382236.283401,2077936898.2050653
2025-08-26,24802504709.13678,1806097039.251872,545137420.9975749,4254151311.110616,5148750223.302399,4808680823.21602,3844502699.252268,1554181977.921208
2025-08-27,24051601115.755093,2469107270.3650804,416239520.51839054,4222768144.263386,4801734921.45867,3650379382.8727527,3349497943.661093,1397357146.445388
2025-08-28,21648241531.54959,1932004625.5297973,401671688.74606615,3618640645.3305297,3674997839.492522,3037820549.991467,3223498655.8048005,1321300922.2496424
2025-08-29,27240396586.28363,2630932760.395597,601305511.6341649,4955294940.424519,4747127592.938085,4551286430.678514,4306112093.709957,1662936777.2895494
2025-08-30,12470458262.74262,1165268173.3879917,173588090.5299013,2298873134.576481,1703237781.6829,2443001943.8658905,2204643063.385551,490469292.5428215
2025-08-31,12017104262.711096,1177738988.01176,204674217.83356628,2140711751.761505,1616333134.6090794,2359565177.4587407,2112110128.8941104,524923702.2229695
2025-09-01,23943856363.627785,2033832750.5141687,428653815.06427866,3878254520.1022377,3691559511.169457,3839935624.566092,3504516603.989158,1353266697.4228678
