date,Aave,Benqi Finance,Compound,Euler,Fluid,Goldfinch,Jupiter,Kamino,Liquity,Lista,Maker,Moonwell,Morpho,Seamless Protocol,Sonne Finance,Spark,Maple,Tydro,Venus
2021-08-08,21068279861.68143,0.0,12568257798.382595,0.0,0.0,18774341.045264285,0.0,0.0,1701857108.3716042,0.0,11339304638.147491,0.0,0.0,0.0,0.0,0.0,54392857.14285714,0.0,3304020425.4571886
2021-08-15,22734576070.40356,0.0,13202026618.712358,0.0,0.0,19290357.722623,0.0,0.0,1890600725.3782296,0.0,12294156811.905487,0.0,0.0,0.0,0.0,0.0,66050000.0,0.0,3843881088.8601327
2021-08-22,22983250802.301006,401856883.4449569,13142181778.193888,0.0,0.0,19882896.18348957,0.0,0.0,1751535448.429639,0.0,12188264327.855,0.0,0.0,0.0,0.0,0.0,81235714.28571428,0.0,4014143647.167981
2021-08-29,23078900328.92369,1581471525.5320077,12935801869.962755,0.0,0.0,19882894.26900386,0.0,0.0,1774896412.1144671,0.0,12422636284.83398,0.0,0.0,0.0,0.0,0.0,106414285.71428572,0.0,4002120343.87067
2021-09-05,24490469782.09601,1942310087.9338248,13206921467.395067,0.0,0.0,20345527.673161,0.0,0.0,1947025102.7982688,0.0,13554376274.796955,0.0,0.0,0.0,0.0,0.0,121628571.42857143,0.0,3794008686.625989
2021-09-12,24070177992.64642,1811897231.8963432,13764954484.51934,0.0,0.0,20205814.390703857,0.0,0.0,1898836582.6824925,0.0,13118781736.228558,0.0,0.0,0.0,0.0,0.0,159500000.0,0.0,3538538541.318409
2021-09-19,23620311191.45255,1974028273.2480068,13177661660.945423,0.0,0.0,27060229.963598,0.0,0.0,1764479137.3789215,0.0,13067885110.946426,0.0,0.0,0.0,0.0,0.0,166757142.85714287,0.0,3354689422.8067694
2021-09-26,22141009004.023552,2094188144.5533187,12414090168.71463,0.0,0.0,35406260.51831972,0.0,0.0,1571850556.2496295,0.0,11733881546.20154,0.0,0.0,0.0,0.0,0.0,166900000.0,0.0,3036976008.424824
2021-10-03,21398212727.26001,2540118764.511071,11093151585.881989,0.0,0.0,36443524.07624143,0.0,0.0,1613450939.889547,0.0,12088737276.86533,0.0,0.0,0.0,0.0,0.0,174471428.57142857,0.0,3266425494.834611
2021-10-10,24356868183.97713,1873449258.6286545,9448809058.646503,0.0,0.0,38193724.10992143,0.0,0.0,1860654100.34452,0.0,13405486551.891846,0.0,0.0,0.0,0.0,0.0,180500000.0,0.0,3871633810.4328494
2021-10-17,25688985424.316154,1884470956.371961,11267632483.532911,0.0,0.0,36062366.58501472,0.0,0.0,1781192482.6418731,0.0,14469270023.930807,0.0,0.0,0.0,0.0,0.0,203671428.57142857,0.0,3952497060.796353
2021-10-24,28359108701.06604,2054066091.6617413,12193550011.204245,0.0,0.0,36580860.02900428,0.0,0.0,1688383026.8365932,0.0,16000559230.38561,0.0,0.0,0.0,0.0,0.0,224492857.1428572,0.0,4132791738.071991
2021-10-31,28036555750.304462,2371696690.800242,11728598662.818464,0.0,0.0,37111031.74737286,0.0,0.0,1775949206.7546177,0.0,16901455773.32124,0.0,0.0,0.0,0.0,0.0,236350000.0,0.0,3765781770.3919272
2021-11-07,24845567753.95041,2671632376.1488748,11817115151.803305,0.0,0.0,36507106.209653854,0.0,0.0,1925776127.4154687,0.0,18216213968.41967,0.0,0.0,0.0,0.0,0.0,242135714.2857143,0.0,3916661333.22372
2021-11-14,27086540879.07999,2947607886.650954,12233027137.733622,0.0,0.0,36918813.891924135,0.0,0.0,2092423348.0713165,0.0,19328310945.241417,0.0,0.0,0.0,0.0,0.0,265564285.7142857,0.0,4326509041.421034
2021-11-21,26318981035.72453,3364857219.5997896,11966924114.61098,0.0,0.0,37022994.89326628,0.0,0.0,2027102945.179167,0.0,18243519922.11451,0.0,0.0,0.0,0.0,0.0,291885714.28571427,0.0,3733268407.6961017
2021-11-28,26278898338.03644,3906865162.87864,12055516603.85375,0.0,0.0,36468989.219700575,0.0,0.0,2133963455.25016,0.0,18263988316.500443,0.0,0.0,0.0,0.0,0.0,320742857.14285713,0.0,3409712324.6171026
2021-12-05,26245508114.685005,4269610759.635456,12231712067.113049,0.0,0.0,38365771.13066286,0.0,0.0,2247273797.447496,0.0,18983110687.397583,0.0,0.0,0.0,0.0,0.0,354314300.0,0.0,3397406809.795513
2021-12-12,25330267199.72135,3869737186.910383,11730371819.082842,0.0,0.0,38168751.70493615,0.0,0.0,2098976822.1715915,0.0,18514033386.47977,0.0,0.0,0.0,0.0,0.0,410385814.2857143,0.0,3405459875.120876
2021-12-19,24852943477.79636,3769785838.3651614,11344356537.498148,0.0,0.0,39610306.37342644,0.0,0.0,1948944539.6293545,0.0,17837326340.408794,0.0,0.0,0.0,0.0,0.0,462600100.0,0.0,3210259475.4922533
2021-12-26,26154586874.81156,4118532829.5583353,11038887177.484987,0.0,0.0,39838758.53267286,0.0,0.0,1971492922.1132977,0.0,18588387267.591454,0.0,0.0,0.0,0.0,0.0,487914328.5714286,0.0,3162719606.569314
2022-01-02,26562121410.713768,4008270156.713688,10227169218.38779,0.0,0.0,39839957.20161272,0.0,0.0,1883281240.308426,0.0,17741368884.789234,0.0,0.0,0.0,0.0,0.0,490571428.5714286,0.0,3183780962.938489
2022-01-09,25428075876.64976,3838185634.341888,9484820786.17991,0.0,0.0,42843439.4617341,0.0,0.0,1747361195.2918546,0.0,16703910471.41628,0.0,0.0,0.0,0.0,0.0,490000000.0,0.0,2988719123.693791
2022-01-16,24496393973.975243,3584057121.935996,9238217492.99425,0.0,0.0,56609242.05733299,0.0,0.0,1614380641.1675084,0.0,16620805442.537115,0.0,0.0,0.0,0.0,0.0,481571428.5714286,0.0,3103272634.612473
2022-01-23,23440227859.369896,3090496038.0169783,8889009154.616083,0.0,0.0,67139526.3793082,0.0,0.0,1335687098.24291,0.0,15621820855.685816,0.0,0.0,0.0,0.0,0.0,485285714.2857143,0.0,2954189739.8968163
