date,Aerodrome Finance,Balancer,Blackhole ,Cetus Finance,Curve,Drift Protocol,Fluid,Frax,GMX,Hyperliquid,Meteora,Orca,PancakeSwap,Pendle,Pump.fun,Quickswap,Raydium,SushiSwap,Trader Joe V1,Uniswap
2025-02-17,479383.7894198053,47979.42701385095,,91860.79014966216,22698.62986652061,184.9166340826,,1600.7210199201932,8725.887325862044,18870.25,687830.3865838688,387739.0,962367.3999409488,8528.96738205053,,31525.899953255263,14370799.09104585,14270.8651650078,13348.230797684831,2426204.5114045707
2025-02-18,493577.1462059696,36415.7403250735,,99281.75373589316,38401.409601858206,129.54253472460002,,1965.5165463569365,14969.195221859776,55888.33,1255686.4126609885,384901.0,1346020.091615124,14708.135584710068,,33386.273746126695,2491979.416644336,11857.164336822909,16239.261715875771,2560791.991415088
2025-02-19,432751.6032168533,62687.10532279591,,86591.6855026315,32401.99912979251,55.36120355159999,,768.3006786279986,10806.769110205574,22056.43,1748199.849705566,308969.0,1665976.405090554,12889.160965007755,,34152.90406304337,2427183.633253053,8864.16147499361,18212.07640378925,1790262.1956910675
2025-02-20,460436.9124002848,34540.99280107287,,123777.62234549788,36183.06426872023,60.49409837120002,,1352.9939993282146,13098.066903492889,19475.45,1266665.0480084722,295514.0,1102421.564999421,21609.773013871087,,37201.06249421602,2569510.5497710845,7487.138320925849,15362.577012876973,1866952.3835150383
2025-02-21,706282.5820550766,56177.21785269107,,142504.67671255028,176815.51481793117,674.1575096704,,2196.262203142095,31986.60522716534,28472.24,882650.8635819205,463877.0,905851.4223116344,38454.67617503575,,37777.97251941385,2367492.195721321,18283.314410066283,28023.92737763248,3324950.3351046066
2025-02-22,405959.99144780135,21021.80292244334,,70059.04670628345,32415.820286410228,32.1028488872,,1648.3678155392515,13691.69697090283,12423.41,664508.0958139551,254121.0,829621.9016502787,19461.7133620906,,34031.75377114307,2049769.249076,7999.749350640218,16330.882242455677,1551054.3581755303
2025-02-23,378393.10801165993,20524.54326219899,,72571.31334561465,35152.84513707561,21.397571114,,1344.9030594160186,7966.238623769957,13884.07,636273.9094394644,169510.0,584149.1708423209,21983.58499605649,,37536.54997245587,1955612.456442437,8183.841556479163,13110.15653467463,1580123.9386964282
2025-02-24,668396.1932781,45039.34791674544,,130816.89970936402,47540.97235374065,215.2211274925999,,2827.894304634621,33060.50461951454,36498.77,781514.5384587907,377759.0,751875.0325949128,35738.47354479692,,40074.393021100215,2208313.4396027885,17355.062509400745,23120.165760574,3244396.6748447884
2025-02-25,624656.8074739499,128872.00060359364,,183097.4698015808,84743.8856590873,127.7592264638,,4327.065791804386,65767.05595101388,76322.13,1767949.3348460963,597257.0,857977.2423305962,29307.13512197829,,43105.03743137397,2166528.563015678,29157.13309525579,22857.45704566648,4315333.637460336
2025-02-26,480162.832565995,43339.48047606227,,142693.90700549318,41940.99713405725,24.4980466372,,3312.423171007427,19070.94066254276,36939.35,783792.0337552855,350696.0,523008.4251413498,15938.340440165004,,36524.2495278558,1664514.3070145282,14662.135222538893,13067.04607764462,2934908.4997471776
2025-02-27,400213.1226540803,31058.77382461897,,91562.85487212514,28679.719603111065,25.263942883000013,,2758.5201378232578,8166.912198535538,21502.79,397125.110948169,258057.0,632834.664172068,44740.55245029494,,38186.16849813642,1588657.5089724448,10718.38633230296,10530.934068493303,1986312.934766424
2025-02-28,469395.3333859168,40804.76804087538,,109234.14763997182,83633.29548296086,127.16254781500012,,5243.622436089861,33995.29600729556,32866.58,680070.0421370231,398565.0,667544.8970766326,19391.124582244687,,35464.78287733784,1622570.2989195609,24795.42696955167,16784.056684842344,3034180.7333020284
2025-03-01,282776.15869599825,19694.54425662034,,69100.822834308,27044.48603908771,106.9266984152,,1395.1525058578543,13958.314679928406,12528.23,298942.1953701228,173610.0,429422.67829091154,11661.695728686287,,31618.6499149396,1221925.8289250478,8819.129519942626,10230.410187487012,1266551.5389300992
2025-03-02,534432.7423450323,48842.59985402336,,157348.10972795237,36740.82759771422,209.44929937419988,,1553.5917648918248,67853.71161638142,31048.6,1452861.5810115607,636171.0,669123.2742849967,10270.01315261933,,35026.7381760337,1994266.7937735373,22289.2242955758,17504.747350421283,3593506.384535851
2025-03-03,485391.40235198376,39833.4546450456,,125776.10820318556,42933.613940615,179.88884495340008,,3759.806059906142,31160.93232801021,32242.52,1167964.1372803156,503590.0,784016.6696806672,13430.393237178558,,35901.345906039955,3122005.061437146,17059.391983057954,16549.066323393254,3003389.375411665
2025-03-04,501366.9281169591,75911.87078125481,,145618.82706430412,53799.48109884325,103.18030432639988,,3141.408569712401,63578.24438068073,47916.12,995144.9104415836,474465.0,630781.0563688264,21007.062236182264,,40386.90878871925,1577251.750428164,22345.17252971127,27683.66655890378,3420102.147364533
2025-03-05,339510.84368884505,53015.83977845911,,89826.23979962934,30503.87110449792,60.97370626680002,,1828.627320204257,18335.81958756484,20047.04,665072.8204836685,265240.0,404590.3414088482,17365.713561844983,,33015.15483020605,1453103.5899247008,9000.172208274835,16278.092353763426,2115833.861674712
2025-03-06,390146.91985200753,46462.992610524925,,169040.89203152727,39857.65453102206,31.249643408000008,,1290.5111548153766,20939.3140498423,24156.89,571054.4340882241,281879.0,422931.4541230336,15705.520998756258,,32282.8876149448,1468441.708235571,8772.751690230214,35172.566997436574,2121435.429034498
2025-03-07,442992.8050152434,36151.42753963562,,174772.21219970033,53420.31283145496,142.6697184861998,,2323.591098349318,21893.9618144288,23676.19,1300044.473484272,443664.0,558295.7018599715,20060.06383215809,,33361.86799041136,1836524.712585012,13172.306390753563,75546.02451665956,3008089.266465111
2025-03-08,259679.8872319324,25356.30489542478,,71774.96078539111,23865.986234296022,43.65606278240002,,967.0577860016696,7013.91226436774,10837.59,450585.0216591666,143824.0,318069.5551931701,20704.113718221743,,26479.1779755511,1308370.8340412371,7414.434912028054,28752.99376650288,1986996.8116980728
2025-03-09,309316.3105408642,35421.821856207695,,71826.22907745933,29060.13587010023,140.6457159768,,2035.461865527049,21139.534314663302,17933.58,475282.03013407945,204905.0,339568.9976125466,11925.95434129837,,28434.67764556253,1089861.8801618838,12140.320895883571,24249.784638148947,2313500.140731722
2025-03-10,465819.3365058366,63249.08471496079,,120333.553478169,80917.69133497175,219.9714878248,,2418.85665204158,29674.357199985287,24486.1,452772.5481204417,299273.0,462629.596157669,13950.892019149229,,32148.173094852147,1109250.381149344,21580.60383086125,32566.2530732314,3981774.346042727
2025-03-11,424494.761630486,54405.94921707491,,131423.51155728026,59925.01968937108,43.70638250719998,,3630.162363782536,24161.23529696888,25103.57,697395.6991294937,313024.0,575849.8983259345,17840.95859384957,,35270.27984924975,1266602.5366349895,19081.606849245447,20049.85226496012,2852609.889692252
2025-03-12,358574.40398094483,45111.26964964715,,99249.34518726224,66800.04472689277,89.16015144799998,,2070.796182560594,15996.935528335243,26515.53,491535.3368080394,250375.0,362721.4238084954,11932.504733532394,,32035.293106141064,1070381.9383745352,12048.202238129232,11040.707947371377,2283000.5333569925
2025-03-13,310261.6456265027,31033.85471219516,,88304.08073494543,37004.12057649617,42.25053741099999,,1072.6726070430304,11790.160391681424,21642.16,570241.6286478232,208532.0,394064.7730217915,17060.75837564325,,30096.13412207464,1055218.1028431663,12168.939065053772,21925.0099095264,1720901.998942749
2025-03-14,291434.63437094673,24372.719684385767,,73277.0103766188,33636.32757266213,68.22921578019998,,6656.478830978495,15251.829088398994,16728.07,470890.532455496,212975.0,317451.68039016967,14170.317566993974,,28110.544861269747,1030000.5048256668,6403.572625634392,9442.689272389558,1670291.734757046
2025-03-15,190476.99470554327,14057.093858486083,,57933.40416998546,13980.972083549745,69.55144576380002,,9547.942763982475,8411.278183846329,7883.1,552018.2878413262,132780.0,384211.980412326,11990.79108599721,,29631.763486835443,1142401.4012865936,5134.779393987694,8059.132592818835,956413.314398544
2025-03-16,244916.3326320217,14360.621823143463,,49312.901194034544,18434.54386696276,24.42567088639998,,5887.483842236816,8854.522378195328,10121.13,407230.5379551002,182681.0,535012.4953353482,14720.965986697223,,28792.838083395483,807658.8501133868,6234.054900410534,9604.59939469532,1198118.694382732
2025-03-17,260724.1622629405,17101.221726452335,,70744.54737748893,31439.963044046403,33.698801021800016,,2434.5069765653493,2156.9303924638925,8794.44,413881.3849486674,185643.0,1413638.7481167167,11046.538579368807,,28411.697663685936,1010821.8414046608,6006.513124321761,8240.516327671092,1432478.2619653677
2025-03-18,300362.5357272449,24067.411354115,,64563.59823483809,32606.791340448905,21.17020881940001,,2037.3435233279947,2830.7276056874584,8113.66,396660.2552987288,153520.0,1587107.3747499138,13781.80758948019,,30756.375696433617,1043497.8179046937,6458.9509748984765,8897.111158276713,1340948.1291213562
2025-03-19,395177.3989372724,27109.657346949265,,83175.10219152369,25012.133117443947,68.40032618679994,,6560.243231724773,9031.69889968413,18533.37,454834.992809745,252348.0,1481737.3014046724,12282.600303465815,,29396.64847822364,1031976.1589106624,9394.197858935242,8939.48863882014,2104570.6916476954
2025-03-20,301819.8339696641,18814.89063418909,,65951.04818571694,29026.28897599089,80.56681562060001,,2398.08783535538,17331.64933973938,14032.55,625181.051537947,181590.0,1348334.8286391075,15313.215100390154,58379.26962950293,31871.710375756607,873151.9227502573,7054.713790281948,6766.059667101147,1530319.28274234
2025-03-21,238348.73360088703,22017.09803042485,,41132.9264234949,40984.92525359621,53.20179695559999,,1491.1930248580584,5206.4056221255005,12366.47,317441.51667755924,232367.0,1225359.6610765022,13799.582960465645,131688.28089681716,28865.22752047021,649655.3329902154,6919.662105781135,7422.514061242718,1222375.6244976684
2025-03-22,150084.4606235105,25130.63021435055,,33102.40047578407,16211.685054509102,223.1187700334,,1392.2597204260423,782.383353990653,8437.42,235107.896156823,155385.0,726088.9565867941,9663.088103674072,248003.6298784428,30608.15943863105,637050.4834998344,4552.929479151485,5589.559827040883,850944.424268
2025-03-23,193338.3175070221,15215.851148733243,,29668.10573908847,18222.00071945216,159.29537724979997,,1538.478922157742,2130.1275050206523,6473.68,530788.8588751933,168393.0,552906.0610584492,21074.13491048267,429281.49582789815,25172.006962366904,754233.02559002,9125.454187243604,14441.720066762062,855874.4567829254
2025-03-24,318129.5795560547,17912.674222899313,,46288.74101446062,22036.19268000073,239.1150946426001,,1727.9923222864666,10409.013292678788,19269.47,647105.8045667908,322164.0,740592.7315626548,23169.36742149403,837802.0829628904,28084.888920760928,838565.2338005233,7564.354744431163,13180.149812565089,1530447.5201818107
2025-03-25,277019.2059467526,15918.255188098366,,63609.43672806458,29775.00327514616,361.4263759077997,,1870.8129069839133,17596.57425913483,11524.51,566232.7558159337,268442.0,1614092.3492690758,14317.177177047835,779059.818942277,26366.853600520943,619761.3562179053,5360.39036175877,10453.792678283357,1498925.7298465385
2025-03-26,264735.99393126514,23269.307824214167,,92225.4244442222,24978.14118377001,870.2946112341999,,2761.276555845035,5025.050366037418,61959.99,915541.4269932156,277484.0,531940.0874172385,17577.829041310015,564701.500808691,29029.60444974101,916516.983554169,6118.211195259609,7905.737992180351,1406112.6140153832
