date,Aptos,Avalanche C-Chain,Ethereum,Near,Sui,Polygon PoS,Solana,Acala
2016-05-05,,,42104,,,,,
2016-05-06,,,42541,,,,,
2016-05-07,,,43155,,,,,
2016-05-08,,,44177,,,,,
2016-05-09,,,45128,,,,,
2016-05-10,,,45654,,,,,
2016-05-11,,,47546,,,,,
2016-05-12,,,49066,,,,,
2016-05-13,,,51351,,,,,
2016-05-14,,,53374,,,,,
2016-05-15,,,55305,,,,,
2016-05-16,,,56458,,,,,
2016-05-17,,,57925,,,,,
2016-05-18,,,59580,,,,,
2016-05-19,,,61455,,,,,
2016-05-20,,,63118,,,,,
2016-05-21,,,64499,,,,,
2016-05-22,,,65137,,,,,
2016-05-23,,,66749,,,,,
2016-05-24,,,68258,,,,,
2016-05-25,,,69705,,,,,
2016-05-26,,,78099,,,,,
2016-05-27,,,80737,,,,,
2016-05-28,,,88290,,,,,
2016-05-29,,,88488,,,,,
2016-05-30,,,88649,,,,,
2016-05-31,,,89465,,,,,
2016-06-01,,,89701,,,,,
2016-06-02,,,90005,,,,,
2016-06-03,,,90310,,,,,
2016-06-04,,,90574,,,,,
2016-06-05,,,90844,,,,,
2016-06-06,,,91119,,,,,
2016-06-07,,,91276,,,,,
2016-06-08,,,91407,,,,,
2016-06-09,,,91610,,,,,
2016-06-10,,,90812,,,,,
2016-06-11,,,90225,,,,,
2016-06-12,,,88783,,,,,
2016-06-13,,,88456,,,,,
2016-06-14,,,88887,,,,,
2016-06-15,,,89622,,,,,
2016-06-16,,,90318,,,,,
2016-06-17,,,94237,,,,,
2016-06-18,,,96929,,,,,
2016-06-19,,,98198,,,,,
2016-06-20,,,98856,,,,,
2016-06-21,,,100560,,,,,
2016-06-22,,,101562,,,,,
2016-06-23,,,101481,,,,,
2016-06-24,,,101255,,,,,
2016-06-25,,,93504,,,,,
2016-06-26,,,91650,,,,,
2016-06-27,,,84073,,,,,
2016-06-28,,,83793,,,,,
2016-06-29,,,83573,,,,,
2016-06-30,,,82879,,,,,
2016-07-01,,,82559,,,,,
2016-07-02,,,83038,,,,,
2016-07-03,,,83589,,,,,
2016-07-04,,,84409,,,,,
2016-07-05,,,85746,,,,,
2016-07-06,,,86488,,,,,
2016-07-07,,,87280,,,,,
2016-07-08,,,87880,,,,,
2016-07-09,,,88530,,,,,
2016-07-10,,,89086,,,,,
2016-07-11,,,90003,,,,,
2016-07-12,,,90489,,,,,
2016-07-13,,,90447,,,,,
2016-07-14,,,89834,,,,,
2016-07-15,,,90012,,,,,
2016-07-16,,,88912,,,,,
2016-07-17,,,83990,,,,,
2016-07-18,,,80280,,,,,
2016-07-19,,,88986,,,,,
2016-07-20,,,89882,,,,,
2016-07-21,,,90224,,,,,
2016-07-22,,,90659,,,,,
2016-07-23,,,91843,,,,,
2016-07-24,,,97284,,,,,
2016-07-25,,,99883,,,,,
2016-07-26,,,105300,,,,,
2016-07-27,,,109654,,,,,
2016-07-28,,,111359,,,,,
2016-07-29,,,113099,,,,,
2016-07-30,,,114034,,,,,
2016-07-31,,,115345,,,,,
2016-08-01,,,116301,,,,,
2016-08-02,,,118949,,,,,
2016-08-03,,,120732,,,,,
2016-08-04,,,120904,,,,,
2016-08-05,,,121035,,,,,
2016-08-06,,,120772,,,,,
2016-08-07,,,120768,,,,,
2016-08-08,,,120810,,,,,
2016-08-09,,,121549,,,,,
2016-08-10,,,121820,,,,,
2016-08-11,,,122327,,,,,
2016-08-12,,,121972,,,,,
2016-08-13,,,121450,,,,,
2016-08-14,,,121120,,,,,
2016-08-15,,,121211,,,,,
2016-08-16,,,122766,,,,,
2016-08-17,,,122767,,,,,
2016-08-18,,,114188,,,,,
2016-08-19,,,112818,,,,,
2016-08-20,,,111938,,,,,
2016-08-21,,,110614,,,,,
2016-08-22,,,109356,,,,,
2016-08-23,,,105262,,,,,
2016-08-24,,,103138,,,,,
2016-08-25,,,98345,,,,,
2016-08-26,,,93729,,,,,
2016-08-27,,,91104,,,,,
2016-08-28,,,89297,,,,,
2016-08-29,,,89024,,,,,
2016-08-30,,,88250,,,,,
2016-08-31,,,87332,,,,,
2016-09-01,,,84889,,,,,
2016-09-02,,,82880,,,,,
2016-09-03,,,81994,,,,,
2016-09-04,,,81432,,,,,
2016-09-05,,,81122,,,,,
2016-09-06,,,80853,,,,,
2016-09-07,,,80786,,,,,
2016-09-08,,,80777,,,,,
2016-09-09,,,80588,,,,,
2016-09-10,,,79675,,,,,
2016-09-11,,,79911,,,,,
2016-09-12,,,80315,,,,,
2016-09-13,,,80827,,,,,
2016-09-14,,,81360,,,,,
2016-09-15,,,80658,,,,,
2016-09-16,,,81002,,,,,
2016-09-17,,,81531,,,,,
2016-09-18,,,81603,,,,,
2016-09-19,,,81069,,,,,
2016-09-20,,,83329,,,,,
2016-09-21,,,85666,,,,,
2016-09-22,,,85287,,,,,
2016-09-23,,,85251,,,,,
2016-09-24,,,84681,,,,,
2016-09-25,,,85046,,,,,
2016-09-26,,,85346,,,,,
2016-09-27,,,85456,,,,,
2016-09-28,,,85188,,,,,
2016-09-29,,,85816,,,,,
2016-09-30,,,86430,,,,,
2016-10-01,,,85596,,,,,
2016-10-02,,,85845,,,,,
2016-10-03,,,85782,,,,,
2016-10-04,,,86002,,,,,
2016-10-05,,,85937,,,,,
2016-10-06,,,86334,,,,,
2016-10-07,,,86498,,,,,
2016-10-08,,,86616,,,,,
2016-10-09,,,87085,,,,,
2016-10-10,,,87927,,,,,
2016-10-11,,,88109,,,,,
2016-10-12,,,87496,,,,,
2016-10-13,,,86131,,,,,
2016-10-14,,,85733,,,,,
2016-10-15,,,85235,,,,,
2016-10-16,,,84696,,,,,
2016-10-17,,,84219,,,,,
2016-10-18,,,84436,,,,,
2016-10-19,,,84514,,,,,
2016-10-20,,,84953,,,,,
2016-10-21,,,82373,,,,,
2016-10-22,,,82288,,,,,
2016-10-23,,,83035,,,,,
2016-10-24,,,82902,,,,,
2016-10-25,,,82805,,,,,
2016-10-26,,,82903,,,,,
2016-10-27,,,83263,,,,,
2016-10-28,,,83720,,,,,
2016-10-29,,,83583,,,,,
2016-10-30,,,82997,,,,,
2016-10-31,,,83571,,,,,
2016-11-01,,,86175,,,,,
2016-11-02,,,86273,,,,,
2016-11-03,,,88312,,,,,
2016-11-04,,,88775,,,,,
2016-11-05,,,88328,,,,,
2016-11-06,,,88004,,,,,
2016-11-07,,,87985,,,,,
2016-11-08,,,87813,,,,,
2016-11-09,,,87812,,,,,
2016-11-10,,,87360,,,,,
2016-11-11,,,88595,,,,,
2016-11-12,,,89830,,,,,
2016-11-13,,,91950,,,,,
2016-11-14,,,92183,,,,,
2016-11-15,,,93634,,,,,
2016-11-16,,,94354,,,,,
2016-11-17,,,92732,,,,,
2016-11-18,,,93451,,,,,
2016-11-19,,,92991,,,,,
2016-11-20,,,92687,,,,,
2016-11-21,,,91129,,,,,
2016-11-22,,,100349,,,,,
2016-11-23,,,115934,,,,,
2016-11-24,,,115335,,,,,
2016-11-25,,,128309,,,,,
2016-11-26,,,128013,,,,,
2016-11-27,,,127449,,,,,
2016-11-28,,,127348,,,,,
2016-11-29,,,127352,,,,,
2016-11-30,,,127377,,,,,
2016-12-01,,,124299,,,,,
2016-12-02,,,124264,,,,,
2016-12-03,,,124241,,,,,
2016-12-04,,,127228,,,,,
2016-12-05,,,128447,,,,,
2016-12-06,,,130338,,,,,
2016-12-07,,,129765,,,,,
2016-12-08,,,129567,,,,,
2016-12-09,,,129592,,,,,
2016-12-10,,,129831,,,,,
2016-12-11,,,130269,,,,,
2016-12-12,,,130555,,,,,
2016-12-13,,,129137,,,,,
2016-12-14,,,130902,,,,,
2016-12-15,,,133043,,,,,
2016-12-16,,,133385,,,,,
2016-12-17,,,134094,,,,,
2016-12-18,,,134494,,,,,
2016-12-19,,,135071,,,,,
2016-12-20,,,136172,,,,,
2016-12-21,,,136807,,,,,
2016-12-22,,,125402,,,,,
2016-12-23,,,104471,,,,,
2016-12-24,,,105054,,,,,
2016-12-25,,,89128,,,,,
2016-12-26,,,88862,,,,,
2016-12-27,,,89046,,,,,
2016-12-28,,,89304,,,,,
2016-12-29,,,89649,,,,,
2016-12-30,,,90009,,,,,
2016-12-31,,,90894,,,,,
2017-01-01,,,90218,,,,,
2017-01-02,,,88839,,,,,
2017-01-03,,,86923,,,,,
2017-01-04,,,87993,,,,,
2017-01-05,,,88380,,,,,
2017-01-06,,,90067,,,,,
2017-01-07,,,91022,,,,,
2017-01-08,,,91170,,,,,
2017-01-09,,,92301,,,,,
2017-01-10,,,92198,,,,,
2017-01-11,,,92564,,,,,
2017-01-12,,,94245,,,,,
2017-01-13,,,93756,,,,,
2017-01-14,,,92021,,,,,
2017-01-15,,,91870,,,,,
2017-01-16,,,91667,,,,,
2017-01-17,,,91800,,,,,
2017-01-18,,,91795,,,,,
2017-01-19,,,91598,,,,,
2017-01-20,,,92152,,,,,
2017-01-21,,,91246,,,,,
2017-01-22,,,90792,,,,,
2017-01-23,,,90941,,,,,
2017-01-24,,,91665,,,,,
2017-01-25,,,92011,,,,,
2017-01-26,,,92392,,,,,
2017-01-27,,,91946,,,,,
2017-01-28,,,91569,,,,,
2017-01-29,,,90693,,,,,
2017-01-30,,,89945,,,,,
2017-01-31,,,90296,,,,,
2017-02-01,,,90023,,,,,
2017-02-02,,,89454,,,,,
2017-02-03,,,87822,,,,,
2017-02-04,,,86635,,,,,
2017-02-05,,,85198,,,,,
2017-02-06,,,84645,,,,,
2017-02-07,,,84724,,,,,
2017-02-08,,,84313,,,,,
2017-02-09,,,84373,,,,,
2017-02-10,,,84441,,,,,
2017-02-11,,,83627,,,,,
2017-02-12,,,83480,,,,,
2017-02-13,,,83779,,,,,
2017-02-14,,,85419,,,,,
2017-02-15,,,86518,,,,,
2017-02-16,,,86821,,,,,
2017-02-17,,,87636,,,,,
2017-02-18,,,88228,,,,,
2017-02-19,,,88018,,,,,
2017-02-20,,,88944,,,,,
2017-02-21,,,89557,,,,,
2017-02-22,,,90093,,,,,
2017-02-23,,,90476,,,,,
2017-02-24,,,91704,,,,,
2017-02-25,,,92250,,,,,
2017-02-26,,,93238,,,,,
2017-02-27,,,94627,,,,,
2017-02-28,,,97913,,,,,
2017-03-01,,,101564,,,,,
2017-03-02,,,111475,,,,,
2017-03-03,,,116409,,,,,
2017-03-04,,,119064,,,,,
2017-03-05,,,122493,,,,,
2017-03-06,,,125322,,,,,
2017-03-07,,,127498,,,,,
2017-03-08,,,130162,,,,,
2017-03-09,,,134222,,,,,
2017-03-10,,,137828,,,,,
2017-03-11,,,141549,,,,,
2017-03-12,,,147461,,,,,
2017-03-13,,,157735,,,,,
2017-03-14,,,164697,,,,,
2017-03-15,,,171482,,,,,
2017-03-16,,,184675,,,,,
2017-03-17,,,197305,,,,,
2017-03-18,,,207023,,,,,
2017-03-19,,,213585,,,,,
2017-03-20,,,220124,,,,,
2017-03-21,,,227290,,,,,
2017-03-22,,,232744,,,,,
2017-03-23,,,238223,,,,,
2017-03-24,,,246428,,,,,
2017-03-25,,,253623,,,,,
2017-03-26,,,258236,,,,,
2017-03-27,,,265110,,,,,
2017-03-28,,,271070,,,,,
2017-03-29,,,276540,,,,,
2017-03-30,,,285133,,,,,
2017-03-31,,,296997,,,,,
2017-04-01,,,294381,,,,,
2017-04-02,,,298542,,,,,
2017-04-03,,,308894,,,,,
2017-04-04,,,313045,,,,,
2017-04-05,,,318868,,,,,
2017-04-06,,,327835,,,,,
2017-04-07,,,331364,,,,,
2017-04-08,,,331592,,,,,
2017-04-09,,,331173,,,,,
2017-04-10,,,332858,,,,,
2017-04-11,,,331849,,,,,
2017-04-12,,,328233,,,,,
2017-04-13,,,328489,,,,,
2017-04-14,,,326497,,,,,
2017-04-15,,,317967,,,,,
2017-04-16,,,308205,,,,,
2017-04-17,,,302777,,,,,
2017-04-18,,,302166,,,,,
2017-04-19,,,302237,,,,,
2017-04-20,,,301947,,,,,
2017-04-21,,,301564,,,,,
2017-04-22,,,300243,,,,,
2017-04-23,,,296307,,,,,
2017-04-24,,,295604,,,,,
2017-04-25,,,296005,,,,,
2017-04-26,,,295613,,,,,
2017-04-27,,,301980,,,,,
2017-04-28,,,306199,,,,,
2017-04-29,,,305036,,,,,
2017-04-30,,,299739,,,,,
2017-05-01,,,304655,,,,,
2017-05-02,,,307811,,,,,
2017-05-03,,,303758,,,,,
2017-05-04,,,309355,,,,,
2017-05-05,,,313390,,,,,
2017-05-06,,,312916,,,,,
2017-05-07,,,319974,,,,,
2017-05-08,,,331598,,,,,
2017-05-09,,,342470,,,,,
2017-05-10,,,349157,,,,,
2017-05-11,,,358564,,,,,
2017-05-12,,,364227,,,,,
2017-05-13,,,366594,,,,,
2017-05-14,,,371174,,,,,
2017-05-15,,,378632,,,,,
2017-05-16,,,389041,,,,,
2017-05-17,,,403052,,,,,
2017-05-18,,,413356,,,,,
2017-05-19,,,429881,,,,,
2017-05-20,,,438507,,,,,
2017-05-21,,,450434,,,,,
2017-05-22,,,468607,,,,,
2017-05-23,,,487177,,,,,
2017-05-24,,,506528,,,,,
2017-05-25,,,526389,,,,,
2017-05-26,,,542784,,,,,
2017-05-27,,,547664,,,,,
2017-05-28,,,553096,,,,,
2017-05-29,,,563393,,,,,
2017-05-30,,,577845,,,,,
2017-05-31,,,602386,,,,,
2017-06-01,,,624023,,,,,
2017-06-02,,,639590,,,,,
2017-06-03,,,651636,,,,,
2017-06-04,,,663471,,,,,
2017-06-05,,,680826,,,,,
2017-06-06,,,696655,,,,,
2017-06-07,,,708006,,,,,
2017-06-08,,,718563,,,,,
2017-06-09,,,736786,,,,,
2017-06-10,,,753895,,,,,
2017-06-11,,,778375,,,,,
2017-06-12,,,819771,,,,,
2017-06-13,,,858820,,,,,
2017-06-14,,,887925,,,,,
2017-06-15,,,915382,,,,,
2017-06-16,,,933370,,,,,
2017-06-17,,,955135,,,,,
2017-06-18,,,972334,,,,,
2017-06-19,,,997229,,,,,
2017-06-20,,,1033465,,,,,
2017-06-21,,,1055045,,,,,
2017-06-22,,,1076411,,,,,
2017-06-23,,,1094083,,,,,
2017-06-24,,,1104946,,,,,
2017-06-25,,,1110316,,,,,
2017-06-26,,,1143410,,,,,
2017-06-27,,,1168146,,,,,
2017-06-28,,,1186880,,,,,
2017-06-29,,,1200075,,,,,
2017-06-30,,,1204816,,,,,
2017-07-01,,,1202449,,,,,
2017-07-02,,,1206284,,,,,
2017-07-03,,,1220744,,,,,
2017-07-04,,,1238975,,,,,
2017-07-05,,,1244069,,,,,
2017-07-06,,,1247334,,,,,
2017-07-07,,,1262349,,,,,
2017-07-08,,,1265470,,,,,
2017-07-09,,,1259671,,,,,
2017-07-10,,,1268280,,,,,
2017-07-11,,,1272419,,,,,
2017-07-12,,,1264690,,,,,
2017-07-13,,,1250367,,,,,
2017-07-14,,,1239266,,,,,
2017-07-15,,,1226528,,,,,
2017-07-16,,,1222423,,,,,
2017-07-17,,,1217479,,,,,
2017-07-18,,,1215034,,,,,
2017-07-19,,,1209715,,,,,
2017-07-20,,,1200125,,,,,
2017-07-21,,,1190116,,,,,
2017-07-22,,,1169909,,,,,
2017-07-23,,,1165280,,,,,
2017-07-24,,,1162050,,,,,
2017-07-25,,,1163227,,,,,
2017-07-26,,,1137080,,,,,
2017-07-27,,,1124450,,,,,
2017-07-28,,,1117500,,,,,
2017-07-29,,,1106486,,,,,
2017-07-30,,,1099644,,,,,
2017-07-31,,,1111672,,,,,
2017-08-01,,,1112343,,,,,
2017-08-02,,,1107475,,,,,
2017-08-03,,,1096781,,,,,
2017-08-04,,,1099344,,,,,
2017-08-05,,,1105072,,,,,
2017-08-06,,,1095661,,,,,
2017-08-07,,,1107526,,,,,
2017-08-08,,,1131268,,,,,
2017-08-09,,,1135802,,,,,
2017-08-10,,,1146655,,,,,
2017-08-11,,,1160993,,,,,
2017-08-12,,,1175638,,,,,
2017-08-13,,,1189295,,,,,
2017-08-14,,,1214820,,,,,
2017-08-15,,,1244483,,,,,
2017-08-16,,,1268328,,,,,
2017-08-17,,,1288023,,,,,
2017-08-18,,,1316656,,,,,
2017-08-19,,,1330701,,,,,
2017-08-20,,,1340943,,,,,
2017-08-21,,,1366055,,,,,
2017-08-22,,,1375560,,,,,
2017-08-23,,,1393205,,,,,
2017-08-24,,,1405569,,,,,
2017-08-25,,,1428096,,,,,
2017-08-26,,,1436102,,,,,
2017-08-27,,,1440640,,,,,
2017-08-28,,,1461572,,,,,
2017-08-29,,,1490092,,,,,
2017-08-30,,,1505027,,,,,
2017-08-31,,,1536606,,,,,
2017-09-01,,,1561105,,,,,
2017-09-02,,,1576210,,,,,
2017-09-03,,,1580128,,,,,
2017-09-04,,,1610569,,,,,
2017-09-05,,,1639438,,,,,
2017-09-06,,,1664376,,,,,
2017-09-07,,,1676441,,,,,
2017-09-08,,,1693204,,,,,
2017-09-09,,,1696468,,,,,
2017-09-10,,,1688979,,,,,
2017-09-11,,,1701787,,,,,
2017-09-12,,,1722063,,,,,
2017-09-13,,,1722357,,,,,
2017-09-14,,,1731218,,,,,
2017-09-15,,,1751790,,,,,
2017-09-16,,,1742938,,,,,
2017-09-17,,,1717497,,,,,
2017-09-18,,,1723016,,,,,
2017-09-19,,,1734463,,,,,
2017-09-20,,,1726018,,,,,
2017-09-21,,,1721077,,,,,
2017-09-22,,,1698653,,,,,
2017-09-23,,,1689161,,,,,
2017-09-24,,,1675464,,,,,
2017-09-25,,,1679871,,,,,
2017-09-26,,,1681954,,,,,
2017-09-27,,,1674851,,,,,
2017-09-28,,,1665469,,,,,
2017-09-29,,,1652031,,,,,
2017-09-30,,,1629865,,,,,
2017-10-01,,,1603901,,,,,
2017-10-02,,,1599254,,,,,
2017-10-03,,,1605024,,,,,
2017-10-04,,,1566628,,,,,
2017-10-05,,,1549286,,,,,
2017-10-06,,,1529986,,,,,
2017-10-07,,,1508993,,,,,
2017-10-08,,,1490902,,,,,
2017-10-09,,,1487416,,,,,
2017-10-10,,,1494568,,,,,
2017-10-11,,,1493926,,,,,
2017-10-12,,,1480943,,,,,
2017-10-13,,,1478154,,,,,
2017-10-14,,,1448670,,,,,
2017-10-15,,,1425125,,,,,
2017-10-16,,,1428916,,,,,
2017-10-17,,,1457016,,,,,
2017-10-18,,,1465112,,,,,
2017-10-19,,,1463904,,,,,
2017-10-20,,,1479492,,,,,
2017-10-21,,,1493958,,,,,
2017-10-22,,,1508243,,,,,
2017-10-23,,,1526034,,,,,
2017-10-24,,,1544499,,,,,
