date,Bedrock,Eigenpie,EtherFi,Kelp DAO,Puffer Finance,Renzo Protocol,Swell Network
2023-04-09,1547470.4022234615,,,,,,
2023-04-10,1589021.8747034038,,,,,,
2023-04-11,1574925.1740098922,,,,,,
2023-04-12,1597625.5619526778,,,,,,
2023-04-13,1674637.465414789,,,,,,
2023-04-14,1816945.5066868,,,,,,
2023-04-15,1808495.710270809,,,,,,
2023-04-16,1830469.3538289568,,,,,,
2023-04-17,1794990.8142465265,,,,,,
2023-04-18,1817232.8949436184,,,,,,
2023-04-19,1673071.9955697858,,,,,,
2023-04-20,1679128.356838387,,,,,,
2023-04-21,1598529.373998522,,,,,,
2023-04-22,1622195.70744483,,,,,,
2023-04-23,1610184.21887309,,,,,,
2023-04-24,1592033.004363304,,,,,,
2023-04-25,1616168.3527782955,,,,,,
2023-04-26,1613597.1768107887,,,,,,
2023-04-27,1650634.657144901,,,,,,
2023-04-28,1636785.8645328926,,,,,,
2023-04-29,1646156.6083640538,,,,,,
2023-04-30,1628978.6321311002,,,,,,
2023-05-01,2873714.0534697827,,,,,,
2023-05-02,2933459.202130948,,,,,,
2023-05-03,2924126.5316893863,,,,,,
2023-05-04,2883688.235600696,,,,,,
2023-05-05,3062189.5153880594,,,,,,
2023-05-06,2979843.8192723463,,,,,,
2023-05-07,2971720.8721500686,,,,,,
2023-05-08,2899684.571154045,,,,,,
2023-05-09,2953702.822437037,,,,,,
2023-05-10,2948584.894135462,,,,,,
2023-05-11,4142757.7624925096,,,,,,
2023-05-12,3646329.119801564,,,,,,
2023-05-13,3623154.131797502,,,,,,
2023-05-14,3626801.455767851,,,,,,
2023-05-15,3669210.235234089,,,,,,
2023-05-16,3618147.428401477,,,,,,
2023-05-17,3612964.459263972,,,,,,
2023-05-18,3575943.6556791635,,,,,,
2023-05-19,3595269.2998642013,,,,,,
2023-05-20,3725249.596423342,,,,,,
2023-05-21,3696494.7294357102,,,,,,
2023-05-22,3724086.199292079,,,,,,
2023-05-23,3856721.686008211,,,,,,
2023-05-24,3745530.9014361408,,,,,,
2023-05-25,3756075.9816438425,,,,,,
2023-05-26,3804229.596169033,,,,,,
2023-05-27,3807037.834739147,,,,,,
2023-05-28,3980737.798578483,,,,,,
2023-05-29,3938925.690106585,,,,,,
2023-05-30,3954242.885142216,,,,,,
2023-05-31,4019345.833498055,,,,,,
2023-06-01,3991539.2296156944,,,,,,
2023-06-02,4089063.218048559,,,,,,
2023-06-03,4056615.6103404406,,,,,,
2023-06-04,4058974.2331391945,,,,,,
2023-06-05,3888533.468106457,,,,,,
2023-06-06,4037672.101437248,,,,,,
2023-06-07,3928494.9429674046,,,,,,
2023-06-08,3957888.32382073,,,,,,
2023-06-09,3943261.979139165,,,,,,
2023-06-10,3762019.401712405,,,,,,
2023-06-11,3811752.721993247,,,,,,
2023-06-12,3791889.010384956,,,,,,
2023-06-13,3779253.815276397,,,,,,
2023-06-14,3591872.428596517,,,,,,
2023-06-15,3622990.958169393,,,,,,
2023-06-16,3734836.9636580576,,,,,,
2023-06-17,3756587.233983356,,,,,,
2023-06-18,3741138.399438943,,,,,,
2023-06-19,3774909.793091234,,,,,,
2023-06-20,3895454.3990323218,,,,,,
2023-06-21,4118949.4684909983,,,,,,
2023-06-22,4078211.21270837,,,,,,
2023-06-23,4115566.7374551706,,,,,,
2023-06-24,4080130.4771563904,,,,,,
2023-06-25,4132544.551139622,,,,,,
2023-06-26,4046930.065142727,,,,,,
2023-06-27,4112668.078633348,,,,,,
2023-06-28,3978725.340007978,,,,,,
2023-06-29,4033096.855023986,,,,,,
2023-06-30,4456041.32565913,,,,,,
2023-07-01,4434202.922959069,,,,,,
2023-07-02,4455843.566706909,,,,,,
2023-07-03,4501511.718103103,,,,,,
2023-07-04,4462848.980442167,,,,,,
2023-07-05,4340667.951878132,,,,,,
2023-07-06,4215638.708421697,,,,,,
2023-07-07,4247088.649186394,,,,,,
2023-07-08,4236981.440830058,,,,,,
2023-07-09,4241634.838915465,,,,,,
2023-07-10,4260623.147510906,,,,,,
2023-07-11,4261967.261023811,,18758.658719294945,,,,
2023-07-12,4256607.48453745,,3256844.402299656,,,,
2023-07-13,4551392.215720826,,3243549.7284477083,,,,
2023-07-14,4398456.22697083,,7801625.039444622,,,,
2023-07-15,4388116.680805097,,11998021.053902794,,,,
2023-07-16,4369137.76886205,,12087816.436856372,,,,
2023-07-17,4405531.013152273,,12066067.380365828,,,,
2023-07-18,4371146.7555332575,,12088449.833138073,,,,
2023-07-19,4352771.64799127,,12041918.768845424,,,,
2023-07-20,4356897.42057739,,12036635.76506556,,,,
2023-07-21,4357952.416112682,,13317105.755000832,,,,
2023-07-22,4341014.953408202,,14214269.699966583,,,,
2023-07-23,4409963.827281902,,14688389.686001446,,,,
2023-07-24,4322607.167772402,,14692325.777460149,,,,
2023-07-25,4339345.640657061,,15592316.053966625,,,,
2023-07-26,4371901.334942064,,16040454.278640533,,,,
2023-07-27,4342103.121947044,,15841692.26348946,,,,
2023-07-28,4379285.172497693,,16370173.229711028,,,,
2023-07-29,4393824.626773942,,16744798.316146936,,,,
2023-07-30,4349328.109276939,,16800970.98407437,,,,
2023-07-31,4338597.193302021,,17028017.13506718,,,,
2023-08-01,4367724.57384843,,17453021.906242292,,,,
2023-08-02,4293595.919582407,,17297034.30196044,,,,
2023-08-03,4288198.243049468,,17432293.71362652,,,,
2023-08-04,4271285.348660992,,17347557.637870084,,,,
2023-08-05,4404169.386821257,,17441600.35807547,,,,
2023-08-06,4384096.270248522,,17497746.762358267,,,,
2023-08-07,4384640.365375325,,17457947.71524228,,,,
2023-08-08,4456425.946828898,,17915327.074554563,,,,
2023-08-09,4454137.745583961,,18002643.162444584,,,,
2023-08-10,4442104.772878438,,18124951.359336384,,,,
2023-08-11,4434100.404274377,,18147287.470011745,,,,
2023-08-12,4554716.908048633,,18009265.733438127,,,,
2023-08-13,4532559.562711993,,17966482.494695786,,,,
2023-08-14,4542416.995437173,,18098313.55800641,,,,
2023-08-15,4501513.947784914,,17995383.63515847,,,,
2023-08-16,4458510.608587237,,17866671.280625988,,,,
2023-08-17,4129324.389210412,,16550541.73876631,,,,
2023-08-18,4091913.3258826137,,16424867.412652591,,,,
2023-08-19,4112991.232647735,,16413939.258324169,,,,
2023-08-20,4145585.937147254,,16437286.076442128,,,,
2023-08-21,4107094.906988328,,16282757.482960904,,,,
2023-08-22,4029111.348754295,,15793583.901416345,,,,
2023-08-23,4137361.5199640864,,15735099.273463374,,,,
2023-08-24,4086296.747172981,,15693317.33365683,,,,
2023-08-25,4074049.8436356126,,15654057.08108764,,,,
2023-08-26,4055509.919210112,,15586837.219934143,,,,
2023-08-27,4082678.128088037,,15681386.059474308,,,,
2023-08-28,4073481.267021828,,15925565.482191646,,,,
2023-08-29,4263188.795407072,,16679417.399301091,,,,
2023-08-30,4201386.366348397,,16507764.396441782,,,,
2023-08-31,4053727.278626722,,16077655.06803301,,,,
2023-09-01,4017812.914191828,,15771462.634903211,,,,
2023-09-02,4031503.658228424,,15851919.99653415,,,,
2023-09-03,4029633.098231575,,15864931.878611963,,,,
2023-09-04,4017866.2749895984,,15830685.073839482,,,,
2023-09-05,4023901.7375043104,,15956711.14505628,,,,
2023-09-06,4023471.553877397,,15864287.65453576,,,,
2023-09-07,4056495.723841284,,15847983.295563534,,,,
2023-09-08,4031976.893173613,,15673822.929106647,,,,
2023-09-09,4027274.81166769,,15674013.78407203,,,,
2023-09-10,3985485.946496802,,15486766.556695145,,,,
2023-09-11,3818937.394664499,,14665285.620124249,,,,
2023-09-12,3930017.1714336458,,15075718.52300949,,,,
2023-09-13,3961463.2215057663,,15149021.452774772,,,,
2023-09-14,4007539.143452635,,15296952.214597706,,,,
2023-09-15,4045727.2444123216,,15429876.891239362,,,,
2023-09-16,4027210.596637752,,15337936.520063326,,,,
2023-09-17,3997787.7066717497,,15222685.034365464,,,,
2023-09-18,4032667.6765549616,,15350167.97979729,,,,
2023-09-19,4050072.902585396,,15453652.2106482,,,,
2023-09-20,3995457.201839904,,15239206.145393386,,,,
2023-09-21,3902542.9446242726,,14880680.930716043,,,,
2023-09-22,3926310.458348333,,14973702.151890991,,,,
2023-09-23,3925595.457009796,,14975259.269791206,,,,
2023-09-24,3894297.285860807,,14859527.046923831,,,,
2023-09-25,4930614.553398387,,14939021.123641243,,,,
2023-09-26,4943076.93392051,,14916128.56250906,,,,
2023-09-27,4958381.779051693,,15083970.251325125,,,,
2023-09-28,5128417.614845978,,15565108.52587566,,,,
2023-09-29,5551066.8887097705,,15679843.8297189,,,,
2023-09-30,5561084.524759794,,15704488.23508739,,,,
2023-10-01,5770146.420199437,,16223837.992252544,,,,
2023-10-02,5542039.942768322,,15557763.978123471,,,,
2023-10-03,5512239.626224442,,15478975.07668404,,,,
2023-10-04,5485187.543773566,,15206804.811270485,,,,
2023-10-05,5368046.991413116,,14885807.547838883,,,,
2023-10-06,5479197.242830725,,15202257.59020695,,,,
2023-10-07,5441555.742268611,,15097074.56945114,,,,
2023-10-08,5438689.668333459,,15091586.48045468,,,,
2023-10-09,5258831.586895232,,14527986.570088653,,,,
2023-10-10,5266659.641004032,,14357671.837473676,,,,
2023-10-11,5258118.442228184,,14277652.190581996,,,,
2023-10-12,6294785.248085529,,14042218.27695995,,,,
2023-10-13,6352760.311790214,,14121217.443128709,,,,
2023-10-14,6371148.627696543,,14162009.290732922,,,,
2023-10-15,6380588.2746811565,,14150238.872958658,,,,
2023-10-16,6558647.048776344,,14390276.29119641,,,,
2023-10-17,6410488.167317762,,13887652.155444529,,,,
2023-10-18,10010055.598090932,,14044384.050944692,,,,
2023-10-19,10137973.953143338,,14090385.963434445,,,,
2023-10-20,9700447.290489323,,14417214.377150442,,,,
2023-10-21,9853979.361458836,,14658693.373911148,,,,
2023-10-22,10067323.219192104,,14960666.884589871,,,,
2023-10-23,10674298.506294267,,15876164.574071292,,,,
2023-10-24,10794309.589658955,,15181670.169130938,,,,
2023-10-25,10799037.541741643,,15144684.73664163,,,,
2023-10-26,10911570.379749386,,15316548.287887087,,,,
2023-10-27,10768889.850943144,,15063830.44220486,,,,
2023-10-28,10913916.308487358,,15034309.256818963,,,,
2023-10-29,11047928.300823634,,15230156.058846029,,,,
2023-10-30,11118423.867463982,,15342697.402228404,,,,
2023-10-31,11162438.547025584,,15417557.868218224,,,,
2023-11-01,11344786.824274778,,15648443.370656127,,,,
2023-11-02,11064773.713186609,,15272790.61524031,,,,
2023-11-03,11269159.26039945,,15313537.759384234,,,,
2023-11-04,16921743.99371907,,15500810.484697895,,,,
2023-11-05,17290955.16198764,,15642976.19342089,,,,
