date,Ethereum,Tron,Solana,BNB Chain,Arbitrum,Base,Polygon PoS,Plasma,HyperEVM,Avalanche C-Chain,Other (15)
2024-10-31,86237173433.03998,59856171136.46,3726602502.8,5542552780.36,4451764623.440001,3739063929.52,2015018766.32,0.0,0.0,2147634320.62,4334754227.940001
2024-11-30,106931025099.15,58009808104.13001,4684688544.969999,6211207970.269999,5731291378.320001,3584206657.5200005,1581170381.4600005,0.0,0.0,1934998093.88,4154966806.31
2024-12-31,115749119796.76,57855886859.83,5268609401.819999,6937642938.700001,6592982918.050002,3654729650.89,1646178544.19,0.0,0.0,2219030593.69,4815087111.049999
2025-01-31,120672544892.12,59970984392.94002,11421218675.319998,7034456382.240002,5231937473.609998,4019540088.070001,1756669124.4200003,0.0,0.0,1813587294.38,5026507545.519999
2025-02-28,127632787536.38998,63152338710.39,11448270115.05,7040352747.189999,5602889224.359998,4021222766.82,1894490136.77,0.0,0.0,1616348677.37,4875599690.53
2025-03-31,129601984857.38,66227845946.94001,12169712295.579994,7153123998.819998,5192228938.089999,4087594595.980001,2018525099.37,0.0,3938294.14,1852159394.9899995,5724448669.68
2025-04-30,129349185930.86005,71354154228.89001,12781802684.66,9340466833.319998,4985432670.139999,4080501082.7,1976537916.7300005,0.0,60002578.79,1632691439.5699997,5757448677.140001
2025-05-31,129255808937.65,76957925938.05,11061504060.35,10308934277.84,6517847780.76,4103488879.5,2156399062.17,0.0,96440631.45,1812926778.76,6010802391.43
2025-06-30,130084677044.58005,80817819463.84999,10245791084.440006,10557597422.44,6861746511.64,4129554915.869998,2407092577.6100006,0.0,182779019.11,1339192116.500001,5397662188.99
2025-07-31,137831568907.00998,82565945875.02,10990856862.11,11231478390.940002,8352213009.14,4063856763.06,2746401923.6399994,0.0,198036293.82,1556706325.5100002,5599187525.809999
2025-08-31,155623074974.94998,80395590823.03,12610398553.86,11709543757.06,9057797987.62,4284031210.850001,2902650845.84,0.0,279590174.29999995,2052661490.28,5561207085.809999
2025-09-30,163883657222.66003,76587817742.25998,14804272422.729998,13592473729.94,9638625759.88,4399411750.58,2917800760.34,6092315025.59,320310742.0,1645051177.0900002,5454507465.759999
2025-10-31,170855648204.15997,78233140701.98,15411553409.009996,14424588805.999998,8397989261.119997,4654996531.990001,3122997466.580001,4299202112.43,276535773.6,2350562519.38,6307922262.550001
2025-11-30,172846365758.25003,79162978685.9,15462286021.41,14683962156.869995,8231271041.730001,4857189961.009999,2918289671.0300007,2400276851.31,338403261.03,1646288071.34,5784302301.829999
2025-12-31,170370523880.72998,81760000512.82,15210045127.54,15047544201.43,7885398406.490001,4607380509.050001,2912053070.9800005,2322457358.0200005,724417822.7399999,1719460071.6899998,5325018722.090002
2026-01-31,170031388432.06003,84126033874.66,15376048455.22,15220185180.179996,8051383657.769997,4649867385.02,3017603146.8000007,2378333670.79,701027799.0000002,1805087978.66,5491623316.78
2026-02-28,169967677182.26993,86043917174.43999,16951690827.28,15331175740.77,8190531518.35,4632850195.420002,3250858171.8899994,1763091546.3600008,598088343.1800002,1727013740.6700008,5641380461.729998
2026-03-31,175058497158.94998,86220669640.12997,16364045700.880009,16077711414.55,7828193163.690001,4588301228.96,3551464254.07,1805349401.05,1371421407.95,1482325565.37,5379095107.719999
2026-04-30,177121927308.10004,86374281354.75,16837956987.29,16302796467.110004,7772585699.330002,4678397995.53,3614156499.760001,1800360475.6699996,1781090175.92,1513323880.6199996,4972232031.579999
