date,Exchange Inflow (Total)
2019-02-10,110443.354822
2019-02-11,124432.916221
2019-02-12,46920.89039
2019-02-13,39844.86911
2019-02-14,48069.595691
2019-02-15,10827.533579
2019-02-16,62869.39765
2019-02-17,61393.594372
2019-02-18,141128.873484
2019-02-19,207981.202438
2019-02-20,272353.41625
2019-02-21,416944.441589
2019-02-22,57830374.152483
2019-02-23,222354.026046
2019-02-24,1576532.974781
2019-02-25,1250290.011342
2019-02-26,2817489.162931
2019-02-27,1409323.351816
2019-02-28,1473682.177947
2019-03-01,1345741.559879
2019-03-02,3453496.178888
2019-03-03,254824.5014
2019-03-04,1414303.359444
2019-03-05,6799494.705728
2019-03-06,2315704.109999
2019-03-07,1769841.109728
2019-03-08,1260021.47621
2019-03-09,1412456.548084
2019-03-10,788391.207842
2019-03-11,4504888.61345
2019-03-12,2202639.293861
2019-03-13,3124869.281083
2019-03-14,1160670.738624
2019-03-15,1250582.964604
2019-03-16,1377643.744407
2019-03-17,694688.885642
2019-03-18,9027676.166446
2019-03-19,2316364.109676
2019-03-20,3986748.073227
2019-03-21,2708698.51701
2019-03-22,8091378.973643
2019-03-23,2454177.870809
2019-03-24,1172358.077024
2019-03-25,2082898.803861
2019-03-26,4332668.284738
2019-03-27,3344863.55234
2019-03-28,2895486.261155
2019-03-29,3017190.125277
2019-03-30,1387550.571696
2019-03-31,4041707.477501
2019-04-01,2589513.444988
2019-04-02,11088309.260429
2019-04-03,10592966.422264
2019-04-04,14718447.070886
2019-04-05,13036157.775343
2019-04-06,24261563.587205
2019-04-07,40920962.855274
2019-04-08,58729390.301961
2019-04-09,32916515.288742
2019-04-10,88560911.776257
2019-04-11,36112012.779183
2019-04-12,33369811.478326
2019-04-13,17537416.092355
2019-04-14,12283506.305326
2019-04-15,26150733.416021
2019-04-16,17864853.461254
2019-04-17,26265706.643939
2019-04-18,30375476.635282
2019-04-19,12116140.406194
2019-04-20,12948197.675614
2019-04-21,27431452.48078
2019-04-22,33597607.82231
2019-04-23,27608641.805969
2019-04-24,44642529.135284
2019-04-25,83317536.407954
2019-04-26,49531078.84687
2019-04-27,8340247.80981
2019-04-28,8014248.135199
2019-04-29,7765629.217499
2019-04-30,46112394.928714
2019-05-01,10409892.231404
2019-05-02,15111334.989983
2019-05-03,14966634.053553
2019-05-04,14412197.182348
2019-05-05,9321177.828582
2019-05-06,16029749.170974
2019-05-07,19406449.312751
2019-05-08,24450650.925961
2019-05-09,29803321.481057
2019-05-10,34105000.45949
2019-05-11,43794989.337358
2019-05-12,30974391.331621
2019-05-13,36809397.934388
2019-05-14,72914040.574524
2019-05-15,62511559.056763
2019-05-16,71300614.241202
2019-05-17,57322186.053609
2019-05-18,28704241.109475
2019-05-19,29901615.514588
2019-05-20,56008006.156814
2019-05-21,68439460.81961
2019-05-22,36783847.569393
2019-05-23,59672027.76967
2019-05-24,185752867.605538
2019-05-25,40506177.962441
2019-05-26,41172640.244882
2019-05-27,68401445.814871
2019-05-28,61661457.508232
2019-05-29,71858731.783678
2019-05-30,61790757.088522
2019-05-31,85768422.803281
2019-06-01,51540888.700298
