date,Exchange Outflow (Total)
2019-05-27,58481655.630473
2019-05-28,57744729.996985
2019-05-29,51746263.694774
2019-05-30,55130083.719857
2019-05-31,79820594.746806
2019-06-01,43514833.825052
2019-06-02,27664994.094057
2019-06-03,47077261.756756
2019-06-04,72404654.629026
2019-06-05,49518867.214863
2019-06-06,38788526.260527
2019-06-07,29358013.132696
2019-06-08,18952623.007143
2019-06-09,30418680.217177
2019-06-10,64195088.667264
2019-06-11,45209857.721623
2019-06-12,63983527.475364
2019-06-13,60740014.185113
2019-06-14,47469695.121213
2019-06-15,58348344.359326
2019-06-16,54684113.393926
2019-06-17,64719916.510222
2019-06-18,59718091.791449
2019-06-19,54749803.002353
2019-06-20,56439609.94534
2019-06-21,49063596.104702
2019-06-22,79377888.163499
2019-06-23,46215293.137954
2019-06-24,59234050.490597
2019-06-25,60436838.763662
2019-06-26,54718155.205443
2019-06-27,83960049.772779
2019-06-28,87327169.907054
2019-06-29,55090271.616332
2019-06-30,54218035.220201
2019-07-01,71360335.779058
2019-07-02,68318394.232706
2019-07-03,69506242.936597
2019-07-04,95805606.476538
2019-07-05,113423514.50421
2019-07-06,93648919.967214
2019-07-07,62927281.733229
2019-07-08,143089504.222178
2019-07-09,228298754.587994
2019-07-10,269465974.642996
2019-07-11,197492526.468847
2019-07-12,135096364.524045
2019-07-13,97634245.726118
2019-07-14,112888025.630905
2019-07-15,181799512.066975
2019-07-16,182394128.053843
2019-07-17,196302081.574172
2019-07-18,184871674.573759
2019-07-19,126587631.170256
2019-07-20,93395320.238421
2019-07-21,76098448.291067
2019-07-22,120833317.010248
2019-07-23,111977596.538694
2019-07-24,96052811.090904
2019-07-25,127472462.395275
2019-07-26,105260327.209128
2019-07-27,162490596.347588
2019-07-28,83531887.834711
2019-07-29,136539218.433496
2019-07-30,124355671.751203
2019-07-31,157880358.112411
2019-08-01,131753921.442333
2019-08-02,183306115.519692
2019-08-03,114758505.23101
2019-08-04,106314355.336037
2019-08-05,215400556.960461
2019-08-06,216949829.497376
2019-08-07,202497070.98952
2019-08-08,199319910.439059
2019-08-09,207955511.25074
2019-08-10,172394572.924949
2019-08-11,93414778.813307
2019-08-12,141343205.351866
2019-08-13,160889596.180505
2019-08-14,188832416.641887
2019-08-15,187941985.502007
2019-08-16,151327524.703197
