Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
2025-10-10,74.2,-10.2,-37.4,-6.2,0.0,0.0,0.0,0.0,0.0,,-19.2,-5.7,-4.5
2025-10-13,60.4,-93.3,-115.6,-21.1,0.0,0.0,0.0,-11.4,0.0,,-145.4,0.0,-326.4
2025-10-14,-30.8,132.7,8.0,6.8,0.0,0.0,-14.0,0.0,0.0,,0.0,0.0,102.7
2025-10-15,-10.1,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,,-82.9,0.0,-104.1
2025-10-16,-29.5,-132.0,-20.6,-275.2,0.0,0.0,0.0,-6.1,0.0,,-45.0,-22.5,-530.9
2025-10-17,-268.6,-67.4,0.0,0.0,0.0,0.0,-5.6,0.0,0.0,,-25.0,0.0,-366.6
2025-10-20,-100.7,9.7,12.1,0.0,9.9,0.0,0.0,21.2,0.0,,0.0,7.4,-40.4
2025-10-21,210.9,34.1,20.1,162.9,8.9,6.5,2.5,17.4,0.0,,0.0,13.9,477.2
2025-10-22,73.6,-56.6,-10.0,-53.9,0.0,0.0,2.1,0.0,0.0,,-56.6,0.0,-101.4
2025-10-23,107.8,7.2,17.4,-55.0,0.0,0.0,0.0,0.0,0.0,,-60.5,3.4,20.3
2025-10-24,32.7,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,90.6
2025-10-27,65.3,0.0,0.0,76.4,0.0,0.0,0.0,0.0,0.0,,0.0,7.6,149.3
2025-10-28,59.6,67.0,0.0,75.8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,202.4
2025-10-29,-88.1,-164.4,-6.0,-143.8,0.0,0.0,0.0,0.0,0.0,,-65.0,-3.4,-470.7
2025-10-30,-290.9,-46.5,-55.1,-65.6,-8.0,0.0,0.0,-3.8,0.0,,-10.0,-8.5,-488.4
2025-10-31,-149.3,-12.0,-17.9,-19.3,0.0,0.0,0.0,0.0,0.0,,6.9,0.0,-191.6
2025-11-03,-186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-186.5
2025-11-04,0.0,-356.6,-7.1,-128.1,0.0,-8.7,0.0,-17.0,0.0,,-48.9,0.0,-566.4
2025-11-05,-375.5,113.3,17.0,82.9,0.0,0.0,0.0,3.7,0.0,,0.0,21.6,-137.0
2025-11-06,112.4,61.6,5.5,60.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,239.9
2025-11-07,-131.4,-256.7,-10.7,-144.2,0.0,0.0,0.0,0.0,0.0,,-15.4,0.0,-558.4
2025-11-10,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.2
2025-11-11,224.2,165.9,7.3,102.5,0.0,0.0,0.0,0.0,0.0,,0.0,24.1,524.0
2025-11-12,-36.9,-132.9,0.0,-85.2,0.0,0.0,0.0,0.0,0.0,,-23.1,0.0,-278.1
2025-11-13,-256.6,-119.9,-47.0,-15.7,-30.8,-5.7,0.0,-8.3,0.0,,-64.5,-318.2,-866.7
2025-11-14,-463.1,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,,-25.1,4.2,-492.1
2025-11-17,-145.6,-12.0,-9.5,-29.7,0.0,0.0,0.0,-23.3,0.0,,-34.5,0.0,-254.6
2025-11-18,-523.2,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,,0.0,139.6,-372.8
2025-11-19,60.6,-21.4,0.0,0.0,0.0,0.0,0.0,-17.6,0.0,,0.0,53.8,75.4
2025-11-20,-355.5,-190.4,-21.2,-94.4,0.0,-7.5,0.0,-30.6,0.0,,-199.4,-4.2,-903.2
