date,Number of Contracts
2022-01-29,21762385
2022-01-30,21779222
2022-01-31,21796052
2022-02-01,21809802
2022-02-02,21824717
2022-02-03,21842459
2022-02-04,21859004
2022-02-05,21878386
2022-02-06,21899245
2022-02-07,21916183
2022-02-08,21936840
2022-02-09,21958689
2022-02-10,21982017
2022-02-11,22001727
2022-02-12,22018514
2022-02-13,22037671
2022-02-14,22066570
2022-02-15,22085466
2022-02-16,22100613
2022-02-17,22116692
2022-02-18,22129652
2022-02-19,22144272
2022-02-20,22157490
2022-02-21,22170138
2022-02-22,22183676
2022-02-23,22198744
2022-02-24,22211589
2022-02-25,22232236
2022-02-26,22248454
2022-02-27,22264720
2022-02-28,22275717
2022-03-01,22287306
2022-03-02,22305339
2022-03-03,22319187
2022-03-04,22332955
2022-03-05,22346477
2022-03-06,22360530
2022-03-07,22378625
2022-03-08,22394360
2022-03-09,22408607
2022-03-10,22422866
2022-03-11,22439815
2022-03-12,22460046
2022-03-13,22475381
2022-03-14,22491269
2022-03-15,22505964
2022-03-16,22519977
2022-03-17,22532716
2022-03-18,22542418
2022-03-19,22555452
2022-03-20,22569568
2022-03-21,22581099
2022-03-22,22592640
2022-03-23,22607519
2022-03-24,22618299
2022-03-25,22628312
2022-03-26,22640314
2022-03-27,22653286
2022-03-28,22663319
2022-03-29,22673171
2022-03-30,22682923
2022-03-31,22693297
2022-04-01,22702499
2022-04-02,22711599
2022-04-03,22722256
2022-04-04,22731185
2022-04-05,22740324
2022-04-06,22751713
2022-04-07,22762065
2022-04-08,22773092
2022-04-09,22788570
2022-04-10,22801799
2022-04-11,22812912
2022-04-12,22823013
2022-04-13,22833142
2022-04-14,22845073
2022-04-15,22858225
2022-04-16,22874666
2022-04-17,22889798
2022-04-18,22900616
2022-04-19,22910769
2022-04-20,22919404
2022-04-21,22928574
2022-04-22,22940958
2022-04-23,22953440
2022-04-24,22966019
2022-04-25,22974721
2022-04-26,22985276
2022-04-27,22995824
2022-04-28,23006501
2022-04-29,23016329
2022-04-30,23026587
2022-05-01,23036298
2022-05-02,23044795
2022-05-03,23055433
2022-05-04,23067988
2022-05-05,23080596
2022-05-06,23094913
2022-05-07,23110141
2022-05-08,23125729
2022-05-09,23134444
2022-05-10,23142377
2022-05-11,23149743
2022-05-12,23157815
2022-05-13,23171108
2022-05-14,23185903
2022-05-15,23203233
2022-05-16,23217550
2022-05-17,23227861
2022-05-18,23240777
2022-05-19,23252940
2022-05-20,23263787
2022-05-21,23277851
2022-05-22,23290157
2022-05-23,23301091
2022-05-24,23313046
2022-05-25,23322868
2022-05-26,23330370
2022-05-27,23338690
2022-05-28,23356312
2022-05-29,23372292
2022-05-30,23380192
2022-05-31,23387732
2022-06-01,23394623
2022-06-02,23402057
2022-06-03,23409810
2022-06-04,23417139
2022-06-05,23425009
2022-06-06,23432805
2022-06-07,23440692
2022-06-08,23447446
2022-06-09,23454816
2022-06-10,23461618
2022-06-11,23470818
2022-06-12,23484035
2022-06-13,23490119
2022-06-14,23497472
2022-06-15,23503098
2022-06-16,23510630
2022-06-17,23517905
2022-06-18,23526532
2022-06-19,23533991
2022-06-20,23542759
2022-06-21,23549529
2022-06-22,23555569
2022-06-23,23561272
2022-06-24,23566518
2022-06-25,23571744
2022-06-26,23577127
2022-06-27,23582487
2022-06-28,23586945
2022-06-29,23591859
2022-06-30,23597885
2022-07-01,23610153
2022-07-02,23626969
2022-07-03,23639471
2022-07-04,23645877
2022-07-05,23651499
2022-07-06,23657736
2022-07-07,23664304
2022-07-08,23671917
2022-07-09,23682717
2022-07-10,23693022
2022-07-11,23697536
2022-07-12,23703196
2022-07-13,23709059
2022-07-14,23715546
2022-07-15,23721356
2022-07-16,23730191
2022-07-17,23737598
2022-07-18,23743392
2022-07-19,23750508
2022-07-20,23756852
2022-07-21,23764386
2022-07-22,23776875
2022-07-23,23788877
2022-07-24,23800725
2022-07-25,23807254
2022-07-26,23813047
2022-07-27,23816508
2022-07-28,23822581
2022-07-29,23829198
2022-07-30,23842765
2022-07-31,23852490
2022-08-01,23859257
2022-08-02,23861228
2022-08-03,23863703
2022-08-04,23868338
2022-08-05,23872462
2022-08-06,23884833
