date,TVL
2025-07-13,123076800943
2025-07-20,134735401077
2025-07-27,138714658964
2025-08-03,128502369892
2025-08-10,149343510465
2025-08-17,150654359174
2025-08-24,159536530312
2025-08-31,151291221476
2025-09-07,150018623942
2025-09-14,161676162590
2025-09-21,160453094473
2025-09-28,150313640865
2025-10-05,165883693565
2025-10-12,145795247288
2025-10-19,148586598982
2025-10-26,149591697854
2025-11-02,147266073587
2025-11-09,128992952900
2025-11-16,123869017337
2025-11-23,110136567891
2025-11-30,116405022483
2025-12-07,116809749492
2025-12-14,119180291246
2025-12-21,116807458675
2025-12-28,115107834623
2026-01-04,120689140525
2026-01-11,119865901389
2026-01-18,127890513095
2026-01-25,118675068377
2026-02-01,106393176303
2026-02-08,96984583028
2026-02-15,96880926576
2026-02-22,92816096430
2026-03-01,91570412716
2026-03-08,92816994592
2026-03-15,95501700906
2026-03-22,94881123809
2026-03-29,91949799989
2026-04-05,91974257264
2026-04-12,96658193714
2026-04-19,97306031239
