date,binance-cex,okx,bitfinex,bybit,robinhood,bitget,gemini,htx,gate,mexc,deribit,kucoin,crypto-com,hashkey-exchange,bitkub,poloniex,bitstamp,bitmex,swissborg,bingx,osl-hk,korbit,indodax,phemex,nexo
2023-02-03,-299528847,-77203474,-170597787,-28154294,,-12769785,,120703187,-9331172,,-19175834,-2270749,-85388256,,,,,-13996402,-8395194,,,-7805777,,-2199636,34286783
2023-02-04,107972380,-58997246,-1943642,16826088,,-4634254,,-40859361,11908126,,-8302250,22844001,84680347,,,,,-3147784,5781922,,,175981,,-269331,-1835309
2023-02-05,-236415739,59776363,-26828430,772295,,-1931157,,-21441109,2899182,,-7898314,12940709,-11388202,,,,,-3216382,-1716503,,,-2495791,,-1327338,-8203782
2023-02-06,-292737969,-51343672,40727679,-9823271,,-310510,,-23621608,-31385357,,-18512269,-8065780,-15099876,,,,,-4098967,-8805143,,,-3548946,,-407933,-8012813
2023-02-07,-493675732,-42198460,-204870431,-8567878,,-18282008,,-30530083,2660819,,-13925306,-15045640,-61074145,,,,,-6345619,-6587389,,,-4504544,,4141647,-8993783
2023-02-08,1007989725,120505881,119803151,53077115,,6230794,,63098385,42509026,,55075859,70282635,91673999,,,,,13142585,17101670,,,8585737,,480564,11298360
2023-02-09,-723442223,-42044256,-98431420,5037575,,54461370,,-68678566,-18215170,,-28569330,-3888493,-82130157,,,,,-9803763,-6115621,,,-6428424,,-2701518,-15430500
2023-02-10,-2189878274,-245928820,-268718523,-64501243,,-4786480,,-181196211,-82900880,,-86568526,-99163940,-185756424,,,,,-31716275,-28607187,,,-15894697,,-2549767,-22747687
2023-02-11,210622732,-77438578,-16727306,4976460,,27027695,,37301863,29992254,,-14346374,-6866025,34778747,,,,,-5322032,3266384,,,-1759709,,-277113,-13028078
2023-02-12,253869442,22735226,-7608448,3057780,,109987829,,-39794,-2927943,,4753405,21146411,25721016,,,,,3264949,-679848,,,2221188,,-1395908,-9200622
2023-02-13,-254573017,-51720942,-7824899,-9592394,,-26000096,,-11208035,5423744,,-9686398,-10521548,-19584108,,,,,-3865358,-4666590,,,-2659252,,-336035,-5953360
2023-02-14,-1278901463,11885798,5587760,42552355,,72419870,,1966450,-12034002,,2253708,-11766053,-19444834,,,,,-185713,6061679,,,-2143866,,149190,-8030564
2023-02-15,411285754,263266845,-32544396,10730755,,-10625710,,35520205,19468334,,25202928,47531423,22313854,,,,,12306230,4615325,,,7329777,,439927,-346656
2023-02-16,3291579457,405888902,574288364,117268946,,88679656,,159974733,61099649,,151054285,92550014,253418956,,,,,59578037,27815695,,,27060382,,5224528,4802173
2023-02-17,-1171634838,-103388590,-143585084,-21615480,,20076530,,-72518603,-66301448,,-55486391,-35986445,-129613202,,,,,-23847710,-7199815,,,-10806024,,-2020120,6616496
2023-02-18,920522519,165512555,226613779,62454330,,-21722370,,100384534,60208388,,63388573,61595328,58947944,,,,,22713520,14108516,,,9920842,,2059209,14789525
2023-02-19,295883305,7532091,-1761366,30331894,,-31684153,,-21471140,48694688,,4048325,9063473,-6428015,,,,,1365561,-4650623,,,338438,,100374,6656204
2023-02-20,-546099252,-93835965,-124294253,1448872,,-12863724,,-23565670,-30041762,,-29622092,-20043511,-29569225,,,,,-14733008,-2185813,,,-5517330,,-1111001,-5209719
2023-02-21,559427523,101107281,247396586,34863514,,25807886,,277375298,57458914,,40322166,36031474,77958346,,,,,20066580,3461406,,,7349592,,449337,3289898
2023-02-22,-854225684,-143179413,-91752365,-79509462,,-24259738,,-178732047,-55053807,,-35690576,-61830846,-119159021,,,,,-22678217,-10031957,,,-7114633,,12011506,-11858879
2023-02-23,-402209252,-70425518,-89099418,-20180205,,-3177190,,-69828886,17540207,,-24367763,-25555559,58896488,,,,,-6706051,-8745928,,,-2323569,,-680754,6344405
2023-02-24,-480156863,-14788739,-59981162,-15683499,,577132,,-4089030,25347694,,-4147260,-22300857,17791787,,,,,-6143966,-1832230,,,-1158823,,-1698691,-7963089
2023-02-25,-782976785,-158404124,-144829673,-78763301,,-7247180,,-84776401,-20314245,,-31510199,-30095408,-109698637,,,,,-21620155,-11156712,,,-9157307,,-1666925,-7969143
2023-02-26,-17060519,-38762893,-30976620,-31927960,,29486972,,-6454926,-3964236,,-3329659,-15364622,-54211870,,,,,-85233,-5541441,,,-918346,,-49905,1458320
2023-02-27,812069148,95151959,109604576,25611009,,21623649,,46047261,83891318,,35439229,33560852,80186192,,,,,10673163,9238768,,,5428069,,957077,7565315
2023-02-28,-683505512,-29896769,-114660663,4405036,,12920870,,3783367,13222061,,-23874107,4033303,-39240085,,,,,283792,-2276827,,,-1322952,,-179165,-6350263
2023-03-01,-554045925,-64546435,-35051143,-8641671,,-8694560,,-22223065,5256065,,5681483,-23784853,-114730970,,,,,-7762145,-5400144,,,-3593186,,-485943,-6167084
2023-03-02,531479234,125228984,197981439,34228890,,28170191,,18061705,35784492,,45338978,34916503,94173975,,,,,13219961,10278227,,,7844762,,482895,4452177
2023-03-03,-553112300,-31948555,-306593664,-29414891,,17969360,,-3995085,-40444529,,-19350919,-13126618,-17988433,,,,,-5497522,-2629745,,,-3300898,,-411259,-14863277
2023-03-04,-1364014533,-110858668,798531,-42614834,,-62282872,,-93107358,-75990495,,-68407685,-73787248,-145378435,,,,,-28230024,-18503868,,,-10684597,,-4743976,-12893616
2023-03-05,-377231717,-24844821,-51465,-10412158,,9234177,,-32393555,-4999619,,-4908455,-128069,-24538443,,,,,-859213,-2768566,,,-1225403,,-58582,1303830
2023-03-06,-12677850,22585619,39332646,13110066,,-17905181,,23664149,24166897,,3915273,1663644,107580217,,,,,3017619,-3839620,,,165343,,105937,-2883582
2023-03-07,-136967592,65528776,-42414628,-8227912,,2866013,,-8340901,-6158389,,-197115,-4037295,88302681,,,,,-1684836,-868335,,,-505192,,-19953,1232629
2023-03-08,-33349328,3643230,-20330524,-12388872,,-20254446,,-35458092,-26376627,,-10967521,-4855360,13290638,,,,,-6684377,-2875122,,,402323,,-250905,3172213
2023-03-09,-1166025330,-132502837,-129891190,-23657623,,-34156762,,-69379048,-33367548,,-40372064,-44723258,-75446580,,,,,-15203347,-13195175,,,-4192195,,-3412486,-11177902
2023-03-10,-2200441886,-256185674,-399202952,-69026938,,-58961354,,-361362524,-108563239,,-109596199,-112166389,-201822378,,,,,-45029374,-29153898,,,-20350269,,-3244932,-17340388
2023-03-11,141730554,143322560,130899771,9312838,,9852259,,118676194,9353592,,37169874,-20306527,18507499,,,,,5059583,-4605598,,,3007021,,-2893426,37990
2023-03-12,-404249059,226889476,67614853,112210364,,-13549216,,-11469089,-30388455,,-699164,11818582,133069210,,,,,-17101899,10685816,,,2137065,,235077,14802799
2023-03-13,2864389136,426462626,577316969,103594070,,83540429,,249325695,118850748,,140114923,91038936,268420046,,,,,57012691,33744130,,,23816394,,2270332,14384724
2023-03-14,3538468014,186709714,239689835,55134167,,17888376,,46324743,86578042,,88140230,52876816,122943021,,,,,30476153,33338116,,,14896370,,2227472,-8742903
2023-03-15,750458709,-8214378,77094764,40963927,,22973449,,32318024,-18481928,,23913827,57346614,33365126,,,,,9668036,9117209,,,5305266,,883711,-3906449
2023-03-16,-428231537,-139687190,-87431551,-57829026,,-28533789,,-193299722,-20995478,,-31061766,-63478976,-154850691,,,,,-16307988,-16168416,,,-7545290,,-2415712,-6715267
2023-03-17,1259989567,181450009,109887532,23507751,,18371626,,22743846,16975585,,13804698,22417694,18894354,,,,,15922726,107078,,,5414275,,-917153,-5694318
2023-03-18,2638553261,392951172,1008690834,124288710,,51932820,,173777017,65210579,,158947567,124535519,207908555,,,,,63226750,23900151,,,25779706,,4604356,11937122
2023-03-19,-304367051,-87040502,-169009491,4710286,,8715406,,-61644633,37132787,,-19878003,-26107877,-26037312,,,,,-9745805,-6311179,,,-3222552,,-509003,-4929552
2023-03-20,285574459,75959254,313250626,14994589,,-3855890,,38970771,11093345,,30745235,14520368,30909360,,,,,24349285,1576407,,,6666590,,1253590,3518540
2023-03-21,-42321464,-8875918,-101615185,732154,,-7021738,,33522001,-10723518,,-12330662,-7886113,-374758344,,,,,-2575607,-11699070,,,-3828933,,285063,22644701
2023-03-22,-109133847,113852007,169401531,33683524,,26875597,,4323237,19044890,,21676564,4505666,-6279142,,,,,2348196,30013193,,,8381530,,7201400,-861949
2023-03-23,-992332659,12439373,-32208497,-13805088,,-9009605,,-173749369,-53691343,,-41704613,-55348899,-163720989,,,,,-32233534,-9563973,,,-60270626,,-1321447,-5197516
2023-03-24,954072338,195005552,210804631,61759848,,11412317,,54710600,20505801,,54822294,63395050,-1064858552,,,,,28445883,15137305,,,2067817,,1779944,11500073
2023-03-25,-1240119401,-75904536,-205362408,-16826625,,-2411532,,-51276593,-34781516,,-51081109,-43411253,1538371259,,,,,-16253881,-21689351,,,44396138,,-1580336,10709561
2023-03-26,-32815887,29517018,-75431659,665841,,6000808,,7437260,4524993,,-6548121,-9386546,-24268218,,,,,711046,1229101,,,2189980,,450139,-1475642
2023-03-27,418478802,20252342,150825281,14143628,,16204920,,-10690052,23064836,,16840211,-2735997,53524962,,,,,1313676,3406137,,,4955487,,169715,1211328
2023-03-28,-1736302990,-143524091,-326911006,-30621010,,-23628518,,-46184355,-71358939,,-59288592,-38245648,-119500674,,,,,-21159341,-9521779,,,-2300518,,-2030564,-6202966
2023-03-29,-7078334,143316173,89334812,36971986,,3716863,,28106498,50516402,,30096036,-1284362,25977280,,,,,9573135,2624789,,,7149419,,653732,-2603020
2023-03-30,267472877,239240790,229732914,38872996,,1922556,,44474276,44257213,,44105487,50477070,70126122,,,,,33337685,14363424,,,10148688,,1735838,19882479
2023-03-31,551829334,5756862,-564636549,9043188,,1602522,,5497915,49427379,,-3636180,-369239,-2954825,,,,,-1211714,-1258210,,,-792319,,374733,-1288670
2023-04-01,146486763,-7126422,23412675,-12593128,,14216536,,33081142,29037198,,-33515620,9061993,20781339,,,,,-1480774,-4882851,,,786031,,251365,-3432061
2023-04-02,-271862216,-70997045,37973359,-1965915,,-6225824,,294030,11886531,,-12394286,-4344295,-5006739,,,,,-4063878,1846714,,,-4372334,,-176297,-19952986
2023-04-03,-516590145,-70880971,16789497,-8921623,,-683410,,-35073402,-27630173,,-15352800,-27289922,-58280983,,,,,-8133374,-2873330,,,-1259687,,-654300,-15833193
2023-04-04,-443302167,28000030,-44283633,-9246898,,-3306534,,-26800146,5930062,,-31007447,-11290295,-36560183,,,,,-923249,2213351,,,-3811091,,-533421,6481569
2023-04-05,1054319454,235313114,176423036,38559469,,10453694,,28533652,54551396,,70118052,64757344,121261849,,,,,21301310,30555468,,,11930820,,1879649,-34890
2023-04-06,-208759545,-82366476,34644764,-23063464,,15611671,,-30555462,-4024316,,-19112454,-5434186,-4207979,,,,,-13058147,39715462,,,-3667068,,-848567,4660444
2023-04-07,-144954424,24002752,-30675062,16766283,,-7785341,,9263196,-7158611,,-13764910,-18394207,-57481892,,,,,942059,1947914,,,-12812,,-38115,-8184240
2023-04-08,-457860573,51947037,-69639516,-6260802,,-12494499,,-28216358,-9834368,,7705695,-11366123,-43704351,,,,,-5252756,-6707805,,,-1932953,,-486065,679422
2023-04-09,-205143129,14299999,15421015,6980015,,6599678,,1735060,6919737,,7381913,7098718,-9179889,,,,,3467690,1215230,,,1554510,,238635,-2077474
2023-04-10,420056898,44245998,64878639,17679714,,42587251,,20273067,-4668581,,16983081,-16079191,-9201118,,,,,10023163,3844371,,,2780468,,762053,4832136
2023-04-11,1363384421,186596234,334121008,39612235,,43778985,,95788562,29415393,,66039365,82835441,90534802,,,,,34717348,11575391,,,12501572,,2657441,-3704620
2023-04-12,432272633,16850261,-4107138,30223039,,-2177104,,37775727,-18793968,,19334006,17269246,11910675,,,,,15600021,5146894,,,1207193,,742640,-505802
2023-04-13,0,43690498,250472036,-5214725,,-21938973,,-44805806,-75027242,,-4108759,-16399298,79947409,,,,,-10260865,-441293,,,-2069257,,-423750,1614468
2023-04-14,5358017433,341698260,224028170,56687523,,48331194,,75707360,71988431,,100115412,63214900,182593161,,,,,28679874,46283638,,,16966400,,2570467,7225434
2023-04-15,-1720772427,-29260628,-81149896,-41235981,,-8512438,,6272306,-2717879,,-20737243,7014909,-54343671,,,,,-9247398,-14352885,,,-2679355,,-691480,-676263
2023-04-16,168715784,-2789735,-58061122,-19989153,,-21513622,,31364394,22476885,,-6364121,64979808,7045139,,,,,-3806603,276466,,,10407,,-294159,-4046103
2023-04-17,-327635783,-70744305,-111844108,-64931439,,21744028,,-20837204,-20165243,,-20119831,46453599,-51160411,,,,,-12266137,-6373308,,,-5099465,,-2925769,-473495
2023-04-18,14154483,24318510,-119506845,77782179,,-27554320,,-30879274,-13742267,,-32751160,16148104,-10619997,,,,,-13099736,-7889885,,,-3638249,,-844738,4128700
2023-04-19,827386103,163568621,201692358,-27138967,,-22336466,,9486193,-10877168,,46564053,48950688,72354210,,,,,14467079,6514937,,,9599601,,1818652,3578342
2023-04-20,-2773202340,-149990207,-322661699,-80076786,,-44345449,,-132671061,-74690993,,-112419869,-93239282,-267040825,,,,,-34715614,-35753142,,,-22425664,,-3372524,-13144854
2023-04-21,-576868606,-90138932,-70701196,-33065102,,-23279553,,-29191969,-31401335,,-27886242,-13327719,34272409,,,,,-13421394,692107,,,-5615900,,-1008060,-6993558
2023-04-22,-1214850590,-200949311,-314667689,-18861925,,-79476626,,-51391016,-83820905,,-77514444,-38219678,-161818380,,,,,-26530685,-28043936,,,-16132407,,-2438286,-2213049
2023-04-23,1350673658,-2694329,54493123,10887917,,9847994,,10557250,30482107,,13787104,5734020,29224547,,,,,7476725,13644415,,,5060420,,557067,1851858
2023-04-24,292937666,8601992,21135133,2962988,,44567991,,26390594,-19417349,,7146115,-28542288,-4884942,,,,,2520201,-8434252,,,2703079,,243775,-9965411
2023-04-25,2189466,-80640626,-46628920,-6547448,,27586493,,-36574271,15784200,,-14764872,-42024606,-33699651,,,,,-4974130,1623521,,,-4932946,,-464226,6971490
2023-04-26,1091039178,83978454,185179941,73515954,,-20186924,,27920019,33077745,,47211950,18982436,93683672,,,,,17917023,13317812,,,10041369,,-765553,1763615
2023-04-27,326662120,98168262,180062985,38636257,,10972000,,70257914,30316517,,44474926,26639775,34055511,,,,,20697600,11579994,,,8084878,,1837249,13671130
2023-04-28,-381053127,30245290,-48450456,-68482665,,17404913,,-10287079,-13962447,,455937,-5028165,-56902548,,,,,3044622,-1602795,,,-33339,,290060,901186
2023-04-29,-1224820389,-31920497,16224221,-8100226,,-4248481,,-18657219,-16906663,,-15669744,-13224319,-70610297,,,,,-4261823,2302274,,,-865377,,-10447492,-490903
2023-04-30,354215949,698225,59088043,-6706362,,-3403406,,1406917,24558352,,10292113,9671238,5098572,,,,,-1181422,-465020,,,-432751,,-32214,2939609
2023-05-01,625916692,-81226628,11246879,12368595,,-6942752,,-12417132,31681339,,-3472124,-26447899,-29191884,,,,,2408630,-6180930,,,-1245266,,98738,982356
2023-05-02,-1125052579,-242654774,-259250714,-80613779,,-19590104,,-71746458,-74386475,,-68239994,-61174035,-144558477,,,,,-28652288,-14593961,,,-11117955,,-2325927,-12565425
2023-05-03,334688445,135026452,123774035,34090299,,13406392,,22167583,-4308061,,38623469,-9948443,5910198,,,,,11813336,7038899,,,4478777,,948760,-11974062
2023-05-04,-5095362,131252657,213879426,71377916,,15231271,,11625344,9616178,,37719764,36122382,135617553,,,,,12332262,10758230,,,6431022,,1128701,7596650
2023-05-05,-527017396,-55613247,-221107291,-17297179,,-1473515,,-12363037,9146719,,-12421655,-39795930,-63238410,,,,,-3779042,-4842420,,,-2296207,,-1358402,2713082
