date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2023-02-27,73235,,,3116445,,,,,,7204372,,,,,,,253210,,,,,,,,
2023-02-28,-15213,,,-72290,,,,,,-1405449,,,,,,,-46903,,,,,,,,
2023-03-01,-5629287,,,-1807105,,,,,,-3915737,,,,,,,-162288,,,,,,,,
2023-03-02,6895054,,,3897667,,,,,,5768969,,,,,,,310785,,,,,,,,
2023-03-03,-133685,,,-1617288,,,,,,-3481329,,,,,,,-144878,,,,,,,,
2023-03-04,-140951,,,-7155303,,,,,,-2618075,,,,,,,-615900,,,,,,,,
2023-03-05,-7424,,,-384480,,,,,,-7547188,,,,,,,52210,,,,,,,,
2023-03-06,1746,,,296526,,,,,,-1084410,,,,,,,78819,,,,,,,,
2023-03-07,-4466,,,97835,,,,,,3069190,,,,,,,-88473,,,,,,,,
2023-03-08,-38513,,,-659626,,,,,,-1377649,,,,,,,-332368,,,,,,,,
2023-03-09,-252153,,,-3574113,,,,,,-4797070,,,,,,,-312131,,,,,,,,
2023-03-10,-216801,,,-10613068,,,,,,-5050553,,,,,,,-815633,,,,,,,,
2023-03-11,-345826,,,1577056,,,,,,354239,,,,,,,108030,,,,,,,,
2023-03-12,-108760,,,1712857,,,,,,2841678,,,,,,,83461,,,,,,,,
2023-03-13,294411,,,13205809,,,,,,604742,,,,,,,1094244,,,,,,,,
2023-03-14,31916,,,10570851,,,,,,5991295,,,,,,,766731,,,,,,,,
2023-03-15,-36058,,,3668281,,,,,,12294323,,,,,,,202853,,,,,,,,
2023-03-16,-67331,,,-2242757,,,,,,-7924498,,,,,,,-552339,,,,,,,,
2023-03-17,49589,,,3251768,,,,,,-674350,,,,,,,214342,,,,,,,,
2023-03-18,293499,,,14898071,,,,,,9910325,,,,,,,1123979,,,,,,,,
2023-03-19,-27831,,,-1670477,,,,,,2398047,,,,,,,-106530,,,,,,,,
2023-03-20,55501,,,3598192,,,,,,-4586502,,,,,,,257570,,,,,,,,
2023-03-21,-20547,,,-5158482,,,,,,-1441400,,,,,,,-239118,,,,,,,,
2023-03-22,-2327821,,,4539486,,,,,,904104,,,,,,,338947,,,,,,,,
2023-03-23,-90027,,,-8437815,,,,,,-5249898,,,,,,,-400720,,,,,,,,
2023-03-24,58177,,,5768756,,,,,,2008602,,,,,,,468064,,,,,,,,
2023-03-25,-50196,,,-4517395,,,,,,-5718773,,,,,,,-627158,,,,,,,,
2023-03-26,10837,,,-227654,,,,,,7670723,,,,,,,57731,,,,,,,,
2023-03-27,-11320,,,2488204,,,,,,656337,,,,,,,118560,,,,,,,,
2023-03-28,-60218,,,-6250856,,,,,,-4600938,,,,,,,-430669,,,,,,,,
2023-03-29,-1529951,,,-80958649,,,,,,2042770,,,,,,,523870,,,,,,,,
2023-03-30,259160,,,2384726,,,,,,4043327,,,,,,,372677,,,,,,,,
2023-03-31,-322,,,405394,,,,,,-1911633,,,,,,,-272213,,,,,,,,
2023-04-01,-2120,,,995262,,,,,,3240963,,,,,,,105888,,,,,,,,
2023-04-02,744,,,-585150,,,,,,108646,,,,,,,-61055,,,,,,,,
2023-04-03,-2596,,,-947032,,,,,,-5523166,,,,,,,-164130,,,,,,,,
2023-04-04,-4924,,,-601462,,,,,,3617735,,,,,,,-74511,,,,,,,,
2023-04-05,-2419,,,4571064,,,,,,4758948,,,,,,,498128,,,,,,,,
2023-04-06,-88421,,,541293,,,,,,-3823627,,,,,,,-153203,,,,,,,,
