date,backpack,bitvavo,weex,valr,bitrue,coinex,biconomy.com,bitunix,coindcx,blofin,ourbit,bydfi,osl,toobit,coinstore,gate-us,coin8,byte-exchange,orangex,bigone,pionex,flipster,bitkan,okcoin,zoomex
2023-11-29,,,,,,6389,,,,,,,,,,,,,,,,,,1204579,
2023-11-30,,,,,,-11350,,,,,,,,,,,,,,,,,,213011,
2023-12-01,,,,,,12285,,,,,,,,,,,,,,,,,,226970,
2023-12-02,,,,,,4427,,,,,,,,,,,,,,,,,,107951,
2023-12-03,,,,,,12079,,,,,,,,,,,,,,,,,,39963,
2023-12-04,,,,,,2457,,,,,,,,,,,,,,,,,,1078543,
2023-12-05,,,,,,47003,,,,,,,,,,,,,,,,,,-91276,
2023-12-06,,,,,,-10920,,,,,,,,,,,,,,,,,,-1191003,
2023-12-07,,,,,,10203,,,,,,,,,,,,,,,,,,626565,
2023-12-08,,,,,,14812,,,,,,,,,,,,,,,,,,396473,
2023-12-09,,,,,,44591,,,,,,,,,,,,,,,,,,-273544,
2023-12-10,,,,,,-24400,,,,,,,,,,,,,,,,,,-109504,
2023-12-11,,,,,,-15847,,,,,,,,,,,,,,,,,,-187290,
2023-12-12,,,,,,-2981,,,,,,,,,,,,,,,,,,343665,
2023-12-13,,,,,,-23740,,,,,,,,,,,,,,,,,,-238032,
2023-12-14,,,,,,43157,,,,,,,,,,,,,,,,,,82010,
2023-12-15,,,,,,-20572,,,,,,,,,,,,,,,,,,289999,
2023-12-16,,,,,,-3888,,,,,,,,,,,,,,,,,,-727533,
2023-12-17,,,,,,-6993,,,,,,,,,,,,,,,,,,-140002,
2023-12-18,,,,,,-41907,,,,,,,,,,,,,,,,,,-425904,
2023-12-19,,,,,,29889,,,,,,,,,,,,,,,,,,1185464,
2023-12-20,,,,,,1894,,,,,,,,,,,,,,,,,,-87983,
2023-12-21,,,,,,22459,,,,,,,,,,,,,,,,,,-645537,
2023-12-22,,,,,,14800,,,,,,,,,,,,,,,,,,830644,
2023-12-23,,,,,,-15495,,,,,,,,,,,,,,,,,,-1950016,
2023-12-24,,,,,,5668,,,,,,,,,,,,,,,,,,-12963,
2023-12-25,,,,,,14535,,,,,,,,,,,,,,,,,,942100,
2023-12-26,,,,,,19739,,,,,,,,,,,,,,,,,,56237,
2023-12-27,,,,,,716,,,,,,,,,,,,,,,,,,2079046,
2023-12-28,,,,,,-13761,,,,,,,,,,,,,,,,,,-1256678,
2023-12-29,,,,,,-8242,,,,,,,,,,,,,,,,,,3187524,
2023-12-30,,,,,,-29023,,,,,,,,,,,,,,,,,,3916,
2023-12-31,,,,,,13618,,,,,,,,,,,,,,,,,,4892817,
2024-01-01,,,,,,-11201,,,,,,,,,,,,,,,,,,266030,
2024-01-02,,,,,,27170,,,,,,,,,,,,,,,,,,-1594116,
2024-01-03,,,,,,-11592,,,,,,,,,,,,,,,,,,1380593,
2024-01-04,,,,,,-64483,,,,,,,,,,,,,,,,,,-581291,
2024-01-05,,,,,,-12328,,,,,,,,,,,,,,,,,,4826924,
2024-01-06,,,,,,-17595,,,,,,,,,,,,,,,,,,13497478,
2024-01-07,,,,,,12085,,,,,,,,,,,,,,,,,,231139,
2024-01-08,,,,,,-30845,,,,,,,,,,,,,,,,,,-5305048,
2024-01-09,,,,,,19171,,,,,,,,,,,,,,,,,,14385973,
2024-01-10,,,,,,-6660,,,,,,,,,,,,,,,,,,-14147808,
2024-01-11,,,,,,45533,,,,,,,,,,,,,,,,,,12289467,
2024-01-12,,,,,,334,,,,,,,,,,,,,,,,,,-10822338,
2024-01-13,,,,,,-23538,,,,,,,,,,,,,,,,,,-1052412,
2024-01-14,,,,,,2543,,,,,,,,,,,,,,,,,,134402,
2024-01-15,,,,,,-12560,,,,,,,,,,,,,,,,,,-669044,
2024-01-16,,,,,,-6536,,,,,,,,,,,,,,,,,,9965782,
2024-01-17,,,,,,3215,,,,,,,,,,,,,,,,,,-18506128,
2024-01-18,,,,,,-9785,,,274677,,,,,,,,,,,,,,,-1399573,
2024-01-19,,,,,,-22737,,,-3356764,,,,,,,,,,,,,,,-591279,
2024-01-20,,,,,,-3035,,,542614,,,,,,,,,,,,,,,-1244831,
2024-01-21,,,,,,14308,,,1179662,,,,,,,,,,,,,,,-336374,
2024-01-22,,,,,,-23354,,,-5135221,,,,,,,,,,,,,,,-392910,
2024-01-23,,,,,,-28159,,,-7668266,,,,,,,,,,,,,,,-630999,
2024-01-24,,,,,,26556,,,2179683,,,,,,,,,,,,,,,-476309,
2024-01-25,,,,,,-7966,,,-623565,,,,,,,,,,,,,,,-1730,
2024-01-26,,,,,,9101,,,5544744,,,,,,,,,,,,,,,642805,
2024-01-27,,,,,,-578,,,1086473,,,,,,,,,,,,,,,-560924,
2024-01-28,,,,,,9666,,,1936141,,,,,,,,,,,,,,,111411,
2024-01-29,,,,,,-6034,,,-1006036,,,,,,,,,,,,,,,-41259,
2024-01-30,,,,,,5837,,,3125742,,,,,,,,,,,,,,,-329037,
2024-01-31,,,,,,-368582,,,-4031189,,,,,,,,,,,,,,,-1102980,
2024-02-01,,,,,,-1,,,742181,,,,,,,,,,,,,,,1147020,
2024-02-02,,,,,,4,,,2668714,,,,,,,,,,,,,,,657940,
2024-02-03,,,,,,0,,,935295,,,,,,,,,,,,,,,54676,
2024-02-04,,,,,,-1,,,-969006,,,,,,,,,,,,,,,-132615,
2024-02-05,,,,,,1,,,204956,,,,,,,,,,,,,,,-45999,
2024-02-06,,,,,,1,,,-76162,,,,,,,,,,,,,,,7934,
2024-02-07,,,,,,3,,,-79243,,,,,,,,,,,,,,,-33331,
2024-02-08,,,,,,3,,,8154216,,,,,,,,,,,,,,,242528,
2024-02-09,,,,,,3,,,1633848,,,,,,,,,,,,,,,230323,
2024-02-10,,,,,,1,,,307598,,,,,,,,,,,,,,,113983,
2024-02-11,,,,,,4,,,2682347,,,,,,,,,,,,,,,249793,
2024-02-12,,,,,,-4,,,-2083751,,,,,,,,,,,,,,,-922320,
2024-02-13,,,,,,11,,,3714008,,,,,,,,,,,,,,,138386,
2024-02-14,,,,,,6,,,1437976,,,,,,,,,,,,,,,-102047,
2024-02-15,,,,,,3,,,2183299,,,,,,,,,,,,,,,-577603,
