date,Block Size (Mean)
2010-10-10,630.59550562
2010-10-11,656.58490566
2010-10-12,698.74193548
2010-10-13,869.70454545
2010-10-14,568.81463415
2010-10-15,531.74576271
2010-10-16,568.98062016
2010-10-17,487.5
2010-10-18,734.68273092
2010-10-19,1164.53515625
2010-10-20,868.65909091
2010-10-21,971.90322581
2010-10-22,1262.5
2010-10-23,902.53714286
2010-10-24,788.17073171
2010-10-25,656.99014778
2010-10-26,635.82572614
2010-10-27,909.33333333
2010-10-28,728.17351598
2010-10-29,729.82959641
2010-10-30,475.78174603
2010-10-31,541.12849162
2010-11-01,581.27118644
2010-11-02,449.34090909
2010-11-03,521.44736842
2010-11-04,513.71641791
2010-11-05,705.63926941
2010-11-06,528.64220183
2010-11-07,528.19502075
2010-11-08,844.55636364
2010-11-09,546.52073733
2010-11-10,549.02463054
2010-11-11,510.35616438
2010-11-12,467.84023669
2010-11-13,445.70403587
2010-11-14,560.96484375
2010-11-15,8786.66
2010-11-16,10953.64467005
2010-11-17,505.0
2010-11-18,1375.37354086
2010-11-19,14581.16666667
2010-11-20,19051.32758621
2010-11-21,16434.74285714
2010-11-22,627.80368098
2010-11-23,753.48571429
2010-11-24,5500.9039548
2010-11-25,9517.75138122
2010-11-26,1913.73195876
2010-11-27,745.28888889
2010-11-28,715.23837209
2010-11-29,692.00478469
2010-11-30,645.65841584
2010-12-01,869.4787234
2010-12-02,696.57978723
2010-12-03,685.6031746
2010-12-04,579.55021834
2010-12-05,489.14644351
2010-12-06,502.97510373
2010-12-07,753.05439331
2010-12-08,623.45798319
2010-12-09,650.91479821
2010-12-10,704.33333333
2010-12-11,962.87428571
2010-12-12,1054.05847953
2010-12-13,1753.60992908
2010-12-14,1034.50877193
2010-12-15,918.85714286
2010-12-16,885.31213873
2010-12-17,986.21084337
2010-12-18,871.72049689
2010-12-19,1033.53804348
2010-12-20,1688.77987421
2010-12-21,933.13846154
2010-12-22,1228.0
2010-12-23,1118.62068966
2010-12-24,1000.88513514
2010-12-25,996.2797619
2010-12-26,1146.06206897
2010-12-27,1105.6686747
2010-12-28,1114.10059172
2010-12-29,980.55151515
2010-12-30,1052.81656805
2010-12-31,951.28395062
2011-01-01,1109.91712707
2011-01-02,1023.68571429
2011-01-03,2482.39102564
2011-01-04,1778.25531915
2011-01-05,2457.51948052
2011-01-06,1541.81560284
2011-01-07,1676.72560976
2011-01-08,2278.78235294
2011-01-09,2144.21472393
2011-01-10,2288.32716049
2011-01-11,2305.9244186
2011-01-12,1920.2754491
2011-01-13,2019.71808511
2011-01-14,2047.19337017
2011-01-15,1916.77707006
2011-01-16,1689.9137931
2011-01-17,1335.44751381
2011-01-18,1846.94326241
2011-01-19,1694.33727811
2011-01-20,1421.68817204
2011-01-21,2186.06896552
2011-01-22,3150.56969697
2011-01-23,2216.06470588
2011-01-24,2312.24468085
2011-01-25,1655.26923077
2011-01-26,1686.91111111
2011-01-27,1867.45625
2011-01-28,2095.80379747
2011-01-29,3012.32298137
2011-01-30,6428.02564103
2011-01-31,3036.61176471
2011-02-01,2580.76829268
2011-02-02,1893.65189873
2011-02-03,1523.14375
2011-02-04,1525.28350515
2011-02-05,1564.35195531
2011-02-06,1755.89830508
2011-02-07,1321.32019704
2011-02-08,1564.52380952
2011-02-09,1942.21354167
2011-02-10,3678.55376344
2011-02-11,3843.72580645
2011-02-12,3058.62755102
2011-02-13,2744.11616162
2011-02-14,3769.46428571
2011-02-15,2962.66666667
2011-02-16,2591.60344828
2011-02-17,2920.42424242
2011-02-18,3308.44811321
2011-02-19,3089.62111801
2011-02-20,2875.85353535
2011-02-21,2881.22680412
2011-02-22,3213.86729858
2011-02-23,2859.3127572
2011-02-24,3199.36714976
2011-02-25,2804.31111111
2011-02-26,2234.34057971
2011-02-27,2943.46721311
2011-02-28,3751.51333333
2011-03-01,6774.78461538
2011-03-02,3826.97619048
2011-03-03,5051.78494624
2011-03-04,3136.59276018
2011-03-05,3037.00361011
