date,Active Sending Addresses
2022-02-26,302141
2022-02-27,282124
2022-02-28,256087
2022-03-01,268940
2022-03-02,304933
2022-03-03,297027
2022-03-04,286439
2022-03-05,274639
2022-03-06,277847
2022-03-07,272510
2022-03-08,278565
2022-03-09,274304
2022-03-10,294330
2022-03-11,286100
2022-03-12,294171
2022-03-13,267797
2022-03-14,265086
2022-03-15,316306
2022-03-16,331938
2022-03-17,263626
2022-03-18,393987
2022-03-19,267059
2022-03-20,281742
2022-03-21,315996
2022-03-22,342470
2022-03-23,285902
2022-03-24,277583
2022-03-25,279374
2022-03-26,293188
2022-03-27,274481
2022-03-28,273124
2022-03-29,259368
2022-03-30,252646
2022-03-31,250515
2022-04-01,242788
2022-04-02,227938
2022-04-03,229806
2022-04-04,225083
2022-04-05,235761
2022-04-06,232972
2022-04-07,235159
2022-04-08,234259
2022-04-09,262009
2022-04-10,271664
2022-04-11,241430
2022-04-12,216732
2022-04-13,216835
2022-04-14,271873
2022-04-15,252506
2022-04-16,260778
2022-04-17,250941
2022-04-18,256822
2022-04-19,343328
2022-04-20,353693
2022-04-21,242232
2022-04-22,259555
2022-04-23,252413
2022-04-24,272457
2022-04-25,250862
2022-04-26,255994
2022-04-27,269242
2022-04-28,268370
2022-04-29,257577
2022-04-30,256353
2022-05-01,235779
2022-05-02,228343
2022-05-03,220472
2022-05-04,250050
2022-05-05,254261
2022-05-06,253543
2022-05-07,254694
2022-05-08,268252
2022-05-09,263033
2022-05-10,272020
2022-05-11,229636
2022-05-12,329570
2022-05-13,352397
2022-05-14,260460
2022-05-15,258505
2022-05-16,268018
2022-05-17,244111
2022-05-18,269897
2022-05-19,257656
2022-05-20,245893
2022-05-21,266726
2022-05-22,249146
2022-05-23,242478
2022-05-24,255942
2022-05-25,230188
2022-05-26,198927
2022-05-27,219242
2022-05-28,269540
2022-05-29,263795
2022-05-30,205079
2022-05-31,258165
2022-06-01,227921
2022-06-02,201575
2022-06-03,199868
2022-06-04,190116
2022-06-05,190970
2022-06-06,206555
2022-06-07,197821
2022-06-08,186402
2022-06-09,195705
2022-06-10,205036
2022-06-11,219853
2022-06-12,205110
2022-06-13,202512
