date,Active Addresses
2022-09-19,332229
2022-09-20,338850
2022-09-21,329831
2022-09-22,328400
2022-09-23,356234
2022-09-24,386275
2022-09-25,343063
2022-09-26,342807
2022-09-27,327102
2022-09-28,313487
2022-09-29,342114
2022-09-30,338568
2022-10-01,334044
2022-10-02,349024
2022-10-03,315099
2022-10-04,325742
2022-10-05,344781
2022-10-06,397364
2022-10-07,374693
2022-10-08,402549
2022-10-09,355857
2022-10-10,360440
2022-10-11,332380
2022-10-12,319567
2022-10-13,324742
2022-10-14,315834
2022-10-15,291289
2022-10-16,248805
2022-10-17,284121
2022-10-18,272732
2022-10-19,267266
2022-10-20,303792
2022-10-21,295495
2022-10-22,271416
2022-10-23,284386
2022-10-24,277490
2022-10-25,287774
2022-10-26,317549
2022-10-27,337518
2022-10-28,267089
2022-10-29,287578
2022-10-30,291655
2022-10-31,295221
2022-11-01,310027
2022-11-02,276678
2022-11-03,291436
2022-11-04,282990
2022-11-05,285356
2022-11-06,271332
2022-11-07,294174
2022-11-08,298723
2022-11-09,313056
2022-11-10,306245
2022-11-11,310802
2022-11-12,300747
2022-11-13,307041
2022-11-14,304971
2022-11-15,325068
2022-11-16,328828
2022-11-17,341560
2022-11-18,324268
2022-11-19,296310
2022-11-20,271671
2022-11-21,267264
2022-11-22,270272
2022-11-23,297487
2022-11-24,334351
2022-11-25,326674
2022-11-26,323676
2022-11-27,293864
2022-11-28,378965
2022-11-29,310319
2022-11-30,286434
2022-12-01,264610
2022-12-02,331909
2022-12-03,328020
2022-12-04,325894
2022-12-05,283076
2022-12-06,285555
2022-12-07,264503
2022-12-08,260439
2022-12-09,1195648
2022-12-10,329117
2022-12-11,423934
2022-12-12,414861
2022-12-13,300809
2022-12-14,281683
2022-12-15,298420
2022-12-16,330850
2022-12-17,288880
2022-12-18,219450
2022-12-19,262447
2022-12-20,258328
2022-12-21,269486
2022-12-22,270646
2022-12-23,286166
2022-12-24,267027
2022-12-25,263948
2022-12-26,268735
2022-12-27,262111
2022-12-28,270446
2022-12-29,249818
2022-12-30,263596
2022-12-31,235329
2023-01-01,191946
2023-01-02,229729
2023-01-03,240847
2023-01-04,294840
2023-01-05,409964
2023-01-06,285921
2023-01-07,282952
2023-01-08,542392
2023-01-09,316133
2023-01-10,291905
2023-01-11,282999
2023-01-12,300437
2023-01-13,282040
2023-01-14,318064
2023-01-15,284465
2023-01-16,292651
2023-01-17,283407
2023-01-18,277102
2023-01-19,263929
2023-01-20,276898
2023-01-21,275233
2023-01-22,242168
2023-01-23,247304
2023-01-24,264530
2023-01-25,259418
2023-01-26,280020
2023-01-27,315000
2023-01-28,263688
2023-01-29,263722
2023-01-30,293819
2023-01-31,290803
2023-02-01,288609
2023-02-02,300813
2023-02-03,285607
2023-02-04,302998
2023-02-05,325814
2023-02-06,299721
2023-02-07,301779
2023-02-08,299141
2023-02-09,280696
2023-02-10,294764
2023-02-11,270898
2023-02-12,268128
2023-02-13,284040
2023-02-14,306706
2023-02-15,298824
2023-02-16,302889
2023-02-17,292947
2023-02-18,267704
2023-02-19,260939
2023-02-20,284634
2023-02-21,298136
2023-02-22,290971
2023-02-23,327494
2023-02-24,338627
2023-02-25,329515
2023-02-26,342470
2023-02-27,321849
2023-02-28,286765
2023-03-01,309717
2023-03-02,334389
2023-03-03,320724
2023-03-04,282057
2023-03-05,274916
2023-03-06,290231
2023-03-07,286079
2023-03-08,285978
2023-03-09,309310
2023-03-10,293024
2023-03-11,259599
2023-03-12,281573
2023-03-13,407185
2023-03-14,332631
2023-03-15,330658
2023-03-16,287201
2023-03-17,325779
2023-03-18,314163
2023-03-19,298658
2023-03-20,347671
2023-03-21,335074
2023-03-22,340968
2023-03-23,350161
2023-03-24,348056
2023-03-25,341137
2023-03-26,321290
2023-03-27,343903
2023-03-28,340773
2023-03-29,352659
2023-03-30,370435
2023-03-31,370409
2023-04-01,329104
2023-04-02,308193
2023-04-03,322044
2023-04-04,326395
2023-04-05,347629
2023-04-06,318459
2023-04-07,341726
2023-04-08,292016
2023-04-09,273161
2023-04-10,311218
2023-04-11,348143
2023-04-12,325938
2023-04-13,350509
2023-04-14,387606
2023-04-15,378068
2023-04-16,285900
2023-04-17,288418
2023-04-18,297894
2023-04-19,293745
2023-04-20,294314
2023-04-21,292457
2023-04-22,248354
2023-04-23,240410
2023-04-24,263381
2023-04-25,289580
2023-04-26,294488
2023-04-27,287222
2023-04-28,297895
2023-04-29,272670
2023-04-30,275708
2023-05-01,292444
2023-05-02,287626
2023-05-03,292035
2023-05-04,303651
2023-05-05,347998
2023-05-06,308533
2023-05-07,292766
2023-05-08,321124
2023-05-09,323147
2023-05-10,301331
2023-05-11,297709
2023-05-12,314761
2023-05-13,313532
2023-05-14,299633
2023-05-15,310842
2023-05-16,307997
2023-05-17,308124
2023-05-18,294910
2023-05-19,305105
2023-05-20,308041
2023-05-21,298578
2023-05-22,297115
2023-05-23,312160
2023-05-24,302880
2023-05-25,308248
2023-05-26,311478
2023-05-27,306989
2023-05-28,278010
2023-05-29,313723
2023-05-30,333782
2023-05-31,329561
2023-06-01,288521
2023-06-02,321946
2023-06-03,306103
2023-06-04,292114
2023-06-05,363645
2023-06-06,334022
2023-06-07,355444
2023-06-08,287870
2023-06-09,349550
2023-06-10,387829
2023-06-11,354262
2023-06-12,305960
2023-06-13,300261
2023-06-14,337423
2023-06-15,370301
2023-06-16,385206
2023-06-17,338901
2023-06-18,342883
2023-06-19,336706
2023-06-20,291112
2023-06-21,342693
2023-06-22,308823
2023-06-23,285723
2023-06-24,286885
2023-06-25,278039
2023-06-26,303658
2023-06-27,318834
2023-06-28,340094
2023-06-29,309548
2023-06-30,343090
2023-07-01,309555
2023-07-02,279809
2023-07-03,311559
2023-07-04,280665
2023-07-05,230683
2023-07-06,238720
2023-07-07,262460
2023-07-08,281292
2023-07-09,273766
2023-07-10,338143
2023-07-11,340049
2023-07-12,296696
2023-07-13,326551
2023-07-14,353650
2023-07-15,299767
2023-07-16,271530
2023-07-17,272201
2023-07-18,349351
2023-07-19,328504
2023-07-20,292874
2023-07-21,328360
2023-07-22,284458
2023-07-23,280452
2023-07-24,291789
2023-07-25,267694
2023-07-26,280296
2023-07-27,274167
2023-07-28,282402
2023-07-29,284662
2023-07-30,304170
2023-07-31,332844
2023-08-01,283863
2023-08-02,297008
2023-08-03,310478
2023-08-04,326349
2023-08-05,284041
2023-08-06,270733
2023-08-07,282689
2023-08-08,293687
2023-08-09,339931
2023-08-10,293851
2023-08-11,295175
2023-08-12,277327
2023-08-13,269443
2023-08-14,295788
2023-08-15,310970
2023-08-16,295662
2023-08-17,295477
2023-08-18,322167
2023-08-19,320469
2023-08-20,276712
2023-08-21,282657
2023-08-22,282993
2023-08-23,283393
2023-08-24,276947
2023-08-25,274491
2023-08-26,311969
2023-08-27,280358
2023-08-28,257703
2023-08-29,286221
2023-08-30,303856
2023-08-31,294526
2023-09-01,309285
2023-09-02,370779
2023-09-03,392309
2023-09-04,264353
2023-09-05,284220
2023-09-06,295470
2023-09-07,294167
2023-09-08,298559
2023-09-09,271641
2023-09-10,256741
2023-09-11,340231
2023-09-12,415435
2023-09-13,1009297
2023-09-14,353308
2023-09-15,291073
2023-09-16,278774
2023-09-17,269557
2023-09-18,287003
2023-09-19,293440
2023-09-20,296607
2023-09-21,440114
2023-09-22,294054
2023-09-23,275486
2023-09-24,267779
2023-09-25,290585
2023-09-26,295383
2023-09-27,310169
2023-09-28,311898
2023-09-29,306971
2023-09-30,281960
2023-10-01,263780
2023-10-02,269986
2023-10-03,276421
2023-10-04,285455
2023-10-05,272054
2023-10-06,287307
2023-10-07,306351
2023-10-08,260961
2023-10-09,278474
2023-10-10,275725
2023-10-11,296759
2023-10-12,289113
2023-10-13,287730
2023-10-14,255373
2023-10-15,263446
2023-10-16,278406
2023-10-17,279548
2023-10-18,278563
2023-10-19,266094
2023-10-20,325019
2023-10-21,276614
2023-10-22,280603
2023-10-23,295778
2023-10-24,317413
2023-10-25,301517
2023-10-26,309795
2023-10-27,287547
2023-10-28,276999
2023-10-29,283518
2023-10-30,300528
2023-10-31,300270
2023-11-01,298761
2023-11-02,288852
2023-11-03,288868
2023-11-04,272092
2023-11-05,270872
2023-11-06,279412
2023-11-07,292437
2023-11-08,296522
2023-11-09,334741
2023-11-10,343013
2023-11-11,303769
