date,timestamp_utc,Coin Days Destroyed (CDD)
2021-02-22,2021-02-22T00:00:00Z,15012155.49156583
2021-02-23,2021-02-23T00:00:00Z,33724880.86930415
2021-02-24,2021-02-24T00:00:00Z,31537871.13969578
2021-02-25,2021-02-25T00:00:00Z,18223878.18477551
2021-02-26,2021-02-26T00:00:00Z,20296347.19449462
2021-02-27,2021-02-27T00:00:00Z,10253283.20486652
2021-02-28,2021-02-28T00:00:00Z,10804508.81693624
2021-03-01,2021-03-01T00:00:00Z,8239012.64324522
2021-03-02,2021-03-02T00:00:00Z,18218681.33882439
2021-03-03,2021-03-03T00:00:00Z,7898349.3925778
2021-03-04,2021-03-04T00:00:00Z,10276198.25518471
2021-03-05,2021-03-05T00:00:00Z,16751602.06605138
2021-03-06,2021-03-06T00:00:00Z,6867784.78832288
2021-03-07,2021-03-07T00:00:00Z,4761500.25147249
2021-03-08,2021-03-08T00:00:00Z,22537883.5314933
2021-03-09,2021-03-09T00:00:00Z,9557054.4171101
2021-03-10,2021-03-10T00:00:00Z,9939443.69628059
2021-03-11,2021-03-11T00:00:00Z,38460813.19447077
2021-03-12,2021-03-12T00:00:00Z,17501960.90759149
2021-03-13,2021-03-13T00:00:00Z,10363885.67594009
2021-03-14,2021-03-14T00:00:00Z,19336030.84536415
2021-03-15,2021-03-15T00:00:00Z,10852769.50101183
2021-03-16,2021-03-16T00:00:00Z,16876720.41979246
2021-03-17,2021-03-17T00:00:00Z,13892349.27806711
2021-03-18,2021-03-18T00:00:00Z,7028140.02009487
2021-03-19,2021-03-19T00:00:00Z,6618247.76227268
2021-03-20,2021-03-20T00:00:00Z,13304866.38394207
2021-03-21,2021-03-21T00:00:00Z,7197562.97956025
2021-03-22,2021-03-22T00:00:00Z,13892430.91664136
2021-03-23,2021-03-23T00:00:00Z,21555112.30654643
2021-03-24,2021-03-24T00:00:00Z,10805669.93866395
2021-03-25,2021-03-25T00:00:00Z,24362907.71317823
2021-03-26,2021-03-26T00:00:00Z,11430054.12124242
2021-03-27,2021-03-27T00:00:00Z,12646520.25017171
2021-03-28,2021-03-28T00:00:00Z,7867998.34127279
2021-03-29,2021-03-29T00:00:00Z,7092362.20356816
2021-03-30,2021-03-30T00:00:00Z,11109935.64895189
2021-03-31,2021-03-31T00:00:00Z,14882789.43099718
2021-04-01,2021-04-01T00:00:00Z,27904673.27357374
2021-04-02,2021-04-02T00:00:00Z,21413273.25606893
2021-04-03,2021-04-03T00:00:00Z,4616910.51574971
2021-04-04,2021-04-04T00:00:00Z,5596357.93578968
2021-04-05,2021-04-05T00:00:00Z,8096748.5082136
2021-04-06,2021-04-06T00:00:00Z,38365982.70883184
2021-04-07,2021-04-07T00:00:00Z,8844509.58179597
2021-04-08,2021-04-08T00:00:00Z,9672087.28707769
2021-04-09,2021-04-09T00:00:00Z,10577411.22138583
2021-04-10,2021-04-10T00:00:00Z,10666077.27274738
2021-04-11,2021-04-11T00:00:00Z,15552582.44484548
2021-04-12,2021-04-12T00:00:00Z,18725902.57078062
2021-04-13,2021-04-13T00:00:00Z,15074518.16509784
2021-04-14,2021-04-14T00:00:00Z,34269223.64899101
2021-04-15,2021-04-15T00:00:00Z,25474824.6911838
2021-04-16,2021-04-16T00:00:00Z,7157517.76560389
2021-04-17,2021-04-17T00:00:00Z,9776674.35163655
2021-04-18,2021-04-18T00:00:00Z,32841887.16532998
2021-04-19,2021-04-19T00:00:00Z,5291966.73168839
2021-04-20,2021-04-20T00:00:00Z,14406186.47318526
2021-04-21,2021-04-21T00:00:00Z,7945274.18587961
2021-04-22,2021-04-22T00:00:00Z,12998066.17199513
2021-04-23,2021-04-23T00:00:00Z,17544709.7464051
2021-04-24,2021-04-24T00:00:00Z,22047196.75150271
2021-04-25,2021-04-25T00:00:00Z,13811260.30656547
2021-04-26,2021-04-26T00:00:00Z,13001892.29971421
2021-04-27,2021-04-27T00:00:00Z,25338754.90705039
2021-04-28,2021-04-28T00:00:00Z,10893989.85890655
2021-04-29,2021-04-29T00:00:00Z,15839910.0945511
2021-04-30,2021-04-30T00:00:00Z,20385151.03910574
2021-05-01,2021-05-01T00:00:00Z,6136841.24679157
2021-05-02,2021-05-02T00:00:00Z,7084905.94396335
2021-05-03,2021-05-03T00:00:00Z,12181889.56946025
2021-05-04,2021-05-04T00:00:00Z,12300968.20316192
2021-05-05,2021-05-05T00:00:00Z,10001506.14693768
2021-05-06,2021-05-06T00:00:00Z,10390745.19094483
2021-05-07,2021-05-07T00:00:00Z,25007674.75400344
2021-05-08,2021-05-08T00:00:00Z,7185174.05199435
2021-05-09,2021-05-09T00:00:00Z,10328994.59358633
2021-05-10,2021-05-10T00:00:00Z,10902709.98140458
2021-05-11,2021-05-11T00:00:00Z,9794079.37510369
2021-05-12,2021-05-12T00:00:00Z,20157437.42823352
2021-05-13,2021-05-13T00:00:00Z,20711020.37956517
2021-05-14,2021-05-14T00:00:00Z,10729036.29299564
2021-05-15,2021-05-15T00:00:00Z,7861764.90399279
2021-05-16,2021-05-16T00:00:00Z,9565411.34253118
2021-05-17,2021-05-17T00:00:00Z,9851120.57338429
2021-05-18,2021-05-18T00:00:00Z,13284815.36893356
2021-05-19,2021-05-19T00:00:00Z,30404267.72747813
2021-05-20,2021-05-20T00:00:00Z,18868844.93048753
2021-05-21,2021-05-21T00:00:00Z,14053664.48403395
2021-05-22,2021-05-22T00:00:00Z,5966285.97502417
2021-05-23,2021-05-23T00:00:00Z,13912925.5681246
2021-05-24,2021-05-24T00:00:00Z,27872494.71859212
2021-05-25,2021-05-25T00:00:00Z,10202800.63295183
2021-05-26,2021-05-26T00:00:00Z,10247273.18604756
2021-05-27,2021-05-27T00:00:00Z,4710572.26942078
2021-05-28,2021-05-28T00:00:00Z,5215410.35135798
2021-05-29,2021-05-29T00:00:00Z,3099225.87838092
2021-05-30,2021-05-30T00:00:00Z,21859400.91960877
2021-05-31,2021-05-31T00:00:00Z,3672223.2653846
2021-06-01,2021-06-01T00:00:00Z,25156036.79457289
2021-06-02,2021-06-02T00:00:00Z,8294006.34589704
2021-06-03,2021-06-03T00:00:00Z,17189722.19587937
2021-06-04,2021-06-04T00:00:00Z,4945955.60914462
2021-06-05,2021-06-05T00:00:00Z,3252891.9103758
2021-06-06,2021-06-06T00:00:00Z,4774001.08220656
2021-06-07,2021-06-07T00:00:00Z,8324554.08320662
2021-06-08,2021-06-08T00:00:00Z,11720638.02011809
2021-06-09,2021-06-09T00:00:00Z,7875988.92500589
2021-06-10,2021-06-10T00:00:00Z,10328717.87335329
2021-06-11,2021-06-11T00:00:00Z,12772275.57140009
2021-06-12,2021-06-12T00:00:00Z,2392992.26666116
2021-06-13,2021-06-13T00:00:00Z,4426554.53636837
2021-06-14,2021-06-14T00:00:00Z,6524453.25118218
2021-06-15,2021-06-15T00:00:00Z,7482197.45276491
2021-06-16,2021-06-16T00:00:00Z,4973972.6382568
2021-06-17,2021-06-17T00:00:00Z,4913293.39280629
2021-06-18,2021-06-18T00:00:00Z,4682765.91496996
2021-06-19,2021-06-19T00:00:00Z,2363422.01419593
2021-06-20,2021-06-20T00:00:00Z,3270261.74344445
2021-06-21,2021-06-21T00:00:00Z,7587521.4271675
2021-06-22,2021-06-22T00:00:00Z,7685325.38821854
2021-06-23,2021-06-23T00:00:00Z,13211366.87610065
2021-06-24,2021-06-24T00:00:00Z,9583683.07116829
2021-06-25,2021-06-25T00:00:00Z,20380541.13012712
2021-06-26,2021-06-26T00:00:00Z,2740513.66507512
2021-06-27,2021-06-27T00:00:00Z,4181833.46996524
2021-06-28,2021-06-28T00:00:00Z,4954336.08062962
2021-06-29,2021-06-29T00:00:00Z,3834188.42162753
2021-06-30,2021-06-30T00:00:00Z,4366948.50446387
2021-07-01,2021-07-01T00:00:00Z,6143873.09806751
2021-07-02,2021-07-02T00:00:00Z,10108621.38130244
2021-07-03,2021-07-03T00:00:00Z,2490923.9752422
2021-07-04,2021-07-04T00:00:00Z,3814875.80279431
2021-07-05,2021-07-05T00:00:00Z,5015331.18820027
2021-07-06,2021-07-06T00:00:00Z,4143638.97760694
2021-07-07,2021-07-07T00:00:00Z,6675716.62140332
2021-07-08,2021-07-08T00:00:00Z,4660958.53378438
2021-07-09,2021-07-09T00:00:00Z,6337489.85162368
2021-07-10,2021-07-10T00:00:00Z,2237596.89685237
2021-07-11,2021-07-11T00:00:00Z,3120797.56694622
2021-07-12,2021-07-12T00:00:00Z,13277421.6357282
2021-07-13,2021-07-13T00:00:00Z,4000011.43250744
2021-07-14,2021-07-14T00:00:00Z,5328946.89649923
2021-07-15,2021-07-15T00:00:00Z,6736946.55411934
2021-07-16,2021-07-16T00:00:00Z,5739729.22414142
2021-07-17,2021-07-17T00:00:00Z,79413210.18694836
2021-07-18,2021-07-18T00:00:00Z,3252060.7426509
2021-07-19,2021-07-19T00:00:00Z,5862209.95411544
2021-07-20,2021-07-20T00:00:00Z,9457631.51505931
2021-07-21,2021-07-21T00:00:00Z,5717724.46876419
2021-07-22,2021-07-22T00:00:00Z,6032677.28706048
2021-07-23,2021-07-23T00:00:00Z,6107250.62430413
2021-07-24,2021-07-24T00:00:00Z,2068275.53480342
2021-07-25,2021-07-25T00:00:00Z,3028741.13369309
2021-07-26,2021-07-26T00:00:00Z,23001861.19925481
2021-07-27,2021-07-27T00:00:00Z,22840512.97277265
2021-07-28,2021-07-28T00:00:00Z,34665459.26743052
2021-07-29,2021-07-29T00:00:00Z,148348108.7638412
2021-07-30,2021-07-30T00:00:00Z,5367744.12011921
2021-07-31,2021-07-31T00:00:00Z,3769216.28157036
2021-08-01,2021-08-01T00:00:00Z,2677713.04255806
2021-08-02,2021-08-02T00:00:00Z,4406173.02292033
2021-08-03,2021-08-03T00:00:00Z,3818876.4557416
2021-08-04,2021-08-04T00:00:00Z,3527682.24389383
2021-08-05,2021-08-05T00:00:00Z,3595915.91802291
2021-08-06,2021-08-06T00:00:00Z,7967099.99841028
2021-08-07,2021-08-07T00:00:00Z,3975643.35386539
2021-08-08,2021-08-08T00:00:00Z,6134665.14030828
2021-08-09,2021-08-09T00:00:00Z,5786746.91055679
2021-08-10,2021-08-10T00:00:00Z,4042617.74866449
2021-08-11,2021-08-11T00:00:00Z,6165325.43657171
2021-08-12,2021-08-12T00:00:00Z,4490274.64445215
2021-08-13,2021-08-13T00:00:00Z,4828408.8747255
2021-08-14,2021-08-14T00:00:00Z,14415965.56827392
2021-08-15,2021-08-15T00:00:00Z,2507175.60511339
2021-08-16,2021-08-16T00:00:00Z,4774208.18053578
2021-08-17,2021-08-17T00:00:00Z,5408980.85572822
2021-08-18,2021-08-18T00:00:00Z,8910941.99331047
2021-08-19,2021-08-19T00:00:00Z,5383557.12347119
2021-08-20,2021-08-20T00:00:00Z,4843103.72177488
2021-08-21,2021-08-21T00:00:00Z,6466397.98424902
2021-08-22,2021-08-22T00:00:00Z,4516092.32588799
2021-08-23,2021-08-23T00:00:00Z,10983782.40532306
2021-08-24,2021-08-24T00:00:00Z,4116502.88778817
2021-08-25,2021-08-25T00:00:00Z,30598759.8584403
2021-08-26,2021-08-26T00:00:00Z,12677637.40939699
2021-08-27,2021-08-27T00:00:00Z,4035368.24904168
2021-08-28,2021-08-28T00:00:00Z,3929975.8715813
2021-08-29,2021-08-29T00:00:00Z,3159162.94012025
2021-08-30,2021-08-30T00:00:00Z,7095009.53151941
2021-08-31,2021-08-31T00:00:00Z,8125086.80058625
2021-09-01,2021-09-01T00:00:00Z,6794094.25767834
2021-09-02,2021-09-02T00:00:00Z,5760782.95110497
2021-09-03,2021-09-03T00:00:00Z,5998040.72287196
2021-09-04,2021-09-04T00:00:00Z,3937337.37773029
2021-09-05,2021-09-05T00:00:00Z,3181228.17054461
2021-09-06,2021-09-06T00:00:00Z,5449154.28923861
2021-09-07,2021-09-07T00:00:00Z,6467139.05943366
2021-09-08,2021-09-08T00:00:00Z,5452182.94993965
2021-09-09,2021-09-09T00:00:00Z,13716210.39912387
2021-09-10,2021-09-10T00:00:00Z,11244017.26454988
2021-09-11,2021-09-11T00:00:00Z,3842780.33805811
2021-09-12,2021-09-12T00:00:00Z,3511195.67958017
2021-09-13,2021-09-13T00:00:00Z,4370066.93829687
2021-09-14,2021-09-14T00:00:00Z,12393296.89926586
2021-09-15,2021-09-15T00:00:00Z,10840631.76243388
2021-09-16,2021-09-16T00:00:00Z,12046460.01927344
2021-09-17,2021-09-17T00:00:00Z,4987462.45016105
2021-09-18,2021-09-18T00:00:00Z,3741563.8536333
2021-09-19,2021-09-19T00:00:00Z,4127572.20902211
2021-09-20,2021-09-20T00:00:00Z,6282735.95788972
2021-09-21,2021-09-21T00:00:00Z,3578594.20270451
2021-09-22,2021-09-22T00:00:00Z,7173339.97078029
2021-09-23,2021-09-23T00:00:00Z,4883732.53279487
2021-09-24,2021-09-24T00:00:00Z,4802220.64866977
2021-09-25,2021-09-25T00:00:00Z,1746394.45033225
2021-09-26,2021-09-26T00:00:00Z,70067746.81145757
2021-09-27,2021-09-27T00:00:00Z,9020871.03414467
2021-09-28,2021-09-28T00:00:00Z,5999157.93731416
2021-09-29,2021-09-29T00:00:00Z,6253310.1855296
2021-09-30,2021-09-30T00:00:00Z,10326292.30906209
2021-10-01,2021-10-01T00:00:00Z,6598017.22899476
2021-10-02,2021-10-02T00:00:00Z,4468667.78465156
2021-10-03,2021-10-03T00:00:00Z,3820881.17035784
2021-10-04,2021-10-04T00:00:00Z,7025245.63590332
2021-10-05,2021-10-05T00:00:00Z,8598232.94897901
2021-10-06,2021-10-06T00:00:00Z,10967516.37030212
2021-10-07,2021-10-07T00:00:00Z,9998410.41128452
2021-10-08,2021-10-08T00:00:00Z,6460919.83105129
2021-10-09,2021-10-09T00:00:00Z,4838357.07671437
2021-10-10,2021-10-10T00:00:00Z,11499402.07676568
2021-10-11,2021-10-11T00:00:00Z,7661150.05618056
2021-10-12,2021-10-12T00:00:00Z,18935391.49347717
2021-10-13,2021-10-13T00:00:00Z,6696761.83492476
2021-10-14,2021-10-14T00:00:00Z,7772569.09396233
2021-10-15,2021-10-15T00:00:00Z,9383117.94249181
2021-10-16,2021-10-16T00:00:00Z,10366069.917578
2021-10-17,2021-10-17T00:00:00Z,4130638.41074909
2021-10-18,2021-10-18T00:00:00Z,13278008.52801544
2021-10-19,2021-10-19T00:00:00Z,28733334.64440646
2021-10-20,2021-10-20T00:00:00Z,14779805.15042631
2021-10-21,2021-10-21T00:00:00Z,12741085.83206252
2021-10-22,2021-10-22T00:00:00Z,14149618.34674638
2021-10-23,2021-10-23T00:00:00Z,5138056.62771522
2021-10-24,2021-10-24T00:00:00Z,17021169.81489575
2021-10-25,2021-10-25T00:00:00Z,13803246.36254356
2021-10-26,2021-10-26T00:00:00Z,9666974.87791871
2021-10-27,2021-10-27T00:00:00Z,5778533.13869722
2021-10-28,2021-10-28T00:00:00Z,7286839.87521935
2021-10-29,2021-10-29T00:00:00Z,8103330.5851633
2021-10-30,2021-10-30T00:00:00Z,4586229.98778983
2021-10-31,2021-10-31T00:00:00Z,18901131.07488059
2021-11-01,2021-11-01T00:00:00Z,32436322.20668268
2021-11-02,2021-11-02T00:00:00Z,19387154.30491676
2021-11-03,2021-11-03T00:00:00Z,17041841.19955215
2021-11-04,2021-11-04T00:00:00Z,5888148.45993453
2021-11-05,2021-11-05T00:00:00Z,17048403.90331219
2021-11-06,2021-11-06T00:00:00Z,5652152.94439266
2021-11-07,2021-11-07T00:00:00Z,3149420.60887107
2021-11-08,2021-11-08T00:00:00Z,16887944.73173451
2021-11-09,2021-11-09T00:00:00Z,12249383.74439534
2021-11-10,2021-11-10T00:00:00Z,23094563.01217281
2021-11-11,2021-11-11T00:00:00Z,10743301.14383161
2021-11-12,2021-11-12T00:00:00Z,36988028.16687468
2021-11-13,2021-11-13T00:00:00Z,7847635.25135999
2021-11-14,2021-11-14T00:00:00Z,4464620.47692406
2021-11-15,2021-11-15T00:00:00Z,10335965.56949879
2021-11-16,2021-11-16T00:00:00Z,22412034.40429087
2021-11-17,2021-11-17T00:00:00Z,17182306.83787106
2021-11-18,2021-11-18T00:00:00Z,7087612.23746515
2021-11-19,2021-11-19T00:00:00Z,7484476.40359812
2021-11-20,2021-11-20T00:00:00Z,6339448.59586309
2021-11-21,2021-11-21T00:00:00Z,4980399.86950965
2021-11-22,2021-11-22T00:00:00Z,10308394.84978987
2021-11-23,2021-11-23T00:00:00Z,10312099.69671479
2021-11-24,2021-11-24T00:00:00Z,7555851.6948477
2021-11-25,2021-11-25T00:00:00Z,41278362.37807789
2021-11-26,2021-11-26T00:00:00Z,11367510.41919418
2021-11-27,2021-11-27T00:00:00Z,2917008.16635651
2021-11-28,2021-11-28T00:00:00Z,6223366.28571269
2021-11-29,2021-11-29T00:00:00Z,9605819.48872495
2021-11-30,2021-11-30T00:00:00Z,9523774.34282863
2021-12-01,2021-12-01T00:00:00Z,13068629.83231996
2021-12-02,2021-12-02T00:00:00Z,7112256.68564441
2021-12-03,2021-12-03T00:00:00Z,8365017.21809315
2021-12-04,2021-12-04T00:00:00Z,8380735.59716928
2021-12-05,2021-12-05T00:00:00Z,6288369.65776013
2021-12-06,2021-12-06T00:00:00Z,10015566.52430446
2021-12-07,2021-12-07T00:00:00Z,20858144.47838393
2021-12-08,2021-12-08T00:00:00Z,7347454.35769861
2021-12-09,2021-12-09T00:00:00Z,14343182.28576928
2021-12-10,2021-12-10T00:00:00Z,7789488.5621185
2021-12-11,2021-12-11T00:00:00Z,6801900.73607107
2021-12-12,2021-12-12T00:00:00Z,2642113.72925131
2021-12-13,2021-12-13T00:00:00Z,9556578.84281351
2021-12-14,2021-12-14T00:00:00Z,20093592.20517668
2021-12-15,2021-12-15T00:00:00Z,8179244.67150625
2021-12-16,2021-12-16T00:00:00Z,10812165.84566411
2021-12-17,2021-12-17T00:00:00Z,6186751.70510088
2021-12-18,2021-12-18T00:00:00Z,5380645.00481596
2021-12-19,2021-12-19T00:00:00Z,3214106.46037216
2021-12-20,2021-12-20T00:00:00Z,7154592.85513959
2021-12-21,2021-12-21T00:00:00Z,6426084.51738174
2021-12-22,2021-12-22T00:00:00Z,6776667.78404391
2021-12-23,2021-12-23T00:00:00Z,10668347.66229622
2021-12-24,2021-12-24T00:00:00Z,3678611.28188365
2021-12-25,2021-12-25T00:00:00Z,5702662.10021423
2021-12-26,2021-12-26T00:00:00Z,6611463.58852377
2021-12-27,2021-12-27T00:00:00Z,5685233.25995179
2021-12-28,2021-12-28T00:00:00Z,6050358.18517234
2021-12-29,2021-12-29T00:00:00Z,9051233.31246116
2021-12-30,2021-12-30T00:00:00Z,16029072.40927443
2021-12-31,2021-12-31T00:00:00Z,19081588.76777666
2022-01-01,2022-01-01T00:00:00Z,5818956.20028403
2022-01-02,2022-01-02T00:00:00Z,2010577.38136005
2022-01-03,2022-01-03T00:00:00Z,7396845.67218199
2022-01-04,2022-01-04T00:00:00Z,7335347.75508226
2022-01-05,2022-01-05T00:00:00Z,8856607.03646628
2022-01-06,2022-01-06T00:00:00Z,12710092.31042036
2022-01-07,2022-01-07T00:00:00Z,7449112.1743538
2022-01-08,2022-01-08T00:00:00Z,3340160.23493447
2022-01-09,2022-01-09T00:00:00Z,3613345.35877218
2022-01-10,2022-01-10T00:00:00Z,7366856.87230681
2022-01-11,2022-01-11T00:00:00Z,5438314.92400026
2022-01-12,2022-01-12T00:00:00Z,9053038.54348902
2022-01-13,2022-01-13T00:00:00Z,4045161.2754598
2022-01-14,2022-01-14T00:00:00Z,4527208.98373948
2022-01-15,2022-01-15T00:00:00Z,2419054.99111689
2022-01-16,2022-01-16T00:00:00Z,2975662.86118012
2022-01-17,2022-01-17T00:00:00Z,6544484.72357063
2022-01-18,2022-01-18T00:00:00Z,5890842.87515577
2022-01-19,2022-01-19T00:00:00Z,9868399.83328151
2022-01-20,2022-01-20T00:00:00Z,9454031.90256486
2022-01-21,2022-01-21T00:00:00Z,10200647.58634374
2022-01-22,2022-01-22T00:00:00Z,9120306.89613679
2022-01-23,2022-01-23T00:00:00Z,9435165.18844371
2022-01-24,2022-01-24T00:00:00Z,10265886.17391442
2022-01-25,2022-01-25T00:00:00Z,12435410.89833355
2022-01-26,2022-01-26T00:00:00Z,4926688.55613992
2022-01-27,2022-01-27T00:00:00Z,10199699.9444301
2022-01-28,2022-01-28T00:00:00Z,5489870.59075391
2022-01-29,2022-01-29T00:00:00Z,7617382.27743511
2022-01-30,2022-01-30T00:00:00Z,4959828.74257198
2022-01-31,2022-01-31T00:00:00Z,4814260.51828045
2022-02-01,2022-02-01T00:00:00Z,198733541.1453361
2022-02-02,2022-02-02T00:00:00Z,3931263.26638154
2022-02-03,2022-02-03T00:00:00Z,6129861.15438306
2022-02-04,2022-02-04T00:00:00Z,3911177.81975051
2022-02-05,2022-02-05T00:00:00Z,3764256.09357795
2022-02-06,2022-02-06T00:00:00Z,4846969.16934988
2022-02-07,2022-02-07T00:00:00Z,8281150.80378944
2022-02-08,2022-02-08T00:00:00Z,6892402.89544154
2022-02-09,2022-02-09T00:00:00Z,6243736.77219324
2022-02-10,2022-02-10T00:00:00Z,11973093.16255485
2022-02-11,2022-02-11T00:00:00Z,8564297.29617317
2022-02-12,2022-02-12T00:00:00Z,3247963.82089256
2022-02-13,2022-02-13T00:00:00Z,3457476.50079831
2022-02-14,2022-02-14T00:00:00Z,4326670.93054482
2022-02-15,2022-02-15T00:00:00Z,6429299.65051246
2022-02-16,2022-02-16T00:00:00Z,4400840.91376007
2022-02-17,2022-02-17T00:00:00Z,8996941.34998934
2022-02-18,2022-02-18T00:00:00Z,4985995.8302998
2022-02-19,2022-02-19T00:00:00Z,2669688.48609432
2022-02-20,2022-02-20T00:00:00Z,6444190.38757395
2022-02-21,2022-02-21T00:00:00Z,15036176.40865873
2022-02-22,2022-02-22T00:00:00Z,4990996.73053653
2022-02-23,2022-02-23T00:00:00Z,13046689.10536478
2022-02-24,2022-02-24T00:00:00Z,5457009.29328468
2022-02-25,2022-02-25T00:00:00Z,8791997.68821337
2022-02-26,2022-02-26T00:00:00Z,4315357.40431283
2022-02-27,2022-02-27T00:00:00Z,7084699.6236996
2022-02-28,2022-02-28T00:00:00Z,53247501.93285862
2022-03-01,2022-03-01T00:00:00Z,9074128.74587937
2022-03-02,2022-03-02T00:00:00Z,11074444.55061418
2022-03-03,2022-03-03T00:00:00Z,11592996.0940705
2022-03-04,2022-03-04T00:00:00Z,7921632.237958
2022-03-05,2022-03-05T00:00:00Z,2875069.40200506
2022-03-06,2022-03-06T00:00:00Z,3703012.88070111
2022-03-07,2022-03-07T00:00:00Z,14122261.07461975
2022-03-08,2022-03-08T00:00:00Z,9994394.90698232
2022-03-09,2022-03-09T00:00:00Z,12475475.44221623
2022-03-10,2022-03-10T00:00:00Z,8043188.56175712
2022-03-11,2022-03-11T00:00:00Z,39908917.30048708
2022-03-12,2022-03-12T00:00:00Z,5301799.28488258
2022-03-13,2022-03-13T00:00:00Z,3734157.76631657
2022-03-14,2022-03-14T00:00:00Z,6161878.906358
2022-03-15,2022-03-15T00:00:00Z,6168843.64811162
2022-03-16,2022-03-16T00:00:00Z,14650052.6522351
2022-03-17,2022-03-17T00:00:00Z,21824226.75603801
2022-03-18,2022-03-18T00:00:00Z,3455635.73875138
2022-03-19,2022-03-19T00:00:00Z,5333553.84199487
2022-03-20,2022-03-20T00:00:00Z,2583602.86563777
2022-03-21,2022-03-21T00:00:00Z,6206601.17123136
2022-03-22,2022-03-22T00:00:00Z,4977872.98373105
2022-03-23,2022-03-23T00:00:00Z,5681779.78642119
2022-03-24,2022-03-24T00:00:00Z,5406106.58566474
2022-03-25,2022-03-25T00:00:00Z,58056589.1172187
2022-03-26,2022-03-26T00:00:00Z,5781442.93022877
2022-03-27,2022-03-27T00:00:00Z,2983504.6167498
2022-03-28,2022-03-28T00:00:00Z,9941295.7998153
2022-03-29,2022-03-29T00:00:00Z,37046250.83466775
2022-03-30,2022-03-30T00:00:00Z,4908800.64160177
2022-03-31,2022-03-31T00:00:00Z,8411398.41743148
2022-04-01,2022-04-01T00:00:00Z,7513944.06871649
2022-04-02,2022-04-02T00:00:00Z,3392514.47307804
2022-04-03,2022-04-03T00:00:00Z,4973751.08553502
2022-04-04,2022-04-04T00:00:00Z,11984920.70203511
2022-04-05,2022-04-05T00:00:00Z,8080708.79415369
2022-04-06,2022-04-06T00:00:00Z,6394187.18362258
2022-04-07,2022-04-07T00:00:00Z,4997334.50516829
2022-04-08,2022-04-08T00:00:00Z,5699967.20154126
2022-04-09,2022-04-09T00:00:00Z,2748273.32172438
