Datetime,Number of Contracts
2025-01-21T00:00:00Z,38671855
2025-01-20T00:00:00Z,38671734
2025-01-19T00:00:00Z,38667402
2025-01-18T00:00:00Z,38665464
2025-01-17T00:00:00Z,38661283
2025-01-16T00:00:00Z,38656629
2025-01-15T00:00:00Z,38652475
2025-01-14T00:00:00Z,38650013
2025-01-13T00:00:00Z,38645774
2025-01-12T00:00:00Z,38643362
2025-01-11T00:00:00Z,38639749
2025-01-10T00:00:00Z,38654906
2025-01-09T00:00:00Z,38657874
2025-01-08T00:00:00Z,38659861
2025-01-07T00:00:00Z,38658762
2025-01-06T00:00:00Z,38657757
2025-01-05T00:00:00Z,38654748
2025-01-04T00:00:00Z,38657962
2025-01-03T00:00:00Z,38652538
2025-01-02T00:00:00Z,38652596
2025-01-01T00:00:00Z,38650152
2024-12-31T00:00:00Z,38647347
2024-12-30T00:00:00Z,38645554
2024-12-29T00:00:00Z,38642775
2024-12-28T00:00:00Z,38644422
2024-12-27T00:00:00Z,38644989
2024-12-26T00:00:00Z,38653264
2024-12-25T00:00:00Z,38655882
2024-12-24T00:00:00Z,38654153
2024-12-23T00:00:00Z,38652658
2024-12-22T00:00:00Z,38649376
2024-12-21T00:00:00Z,38658827
2024-12-20T00:00:00Z,38673893
2024-12-19T00:00:00Z,38673650
2024-12-18T00:00:00Z,38667154
2024-12-17T00:00:00Z,38663701
2024-12-16T00:00:00Z,38658897
2024-12-15T00:00:00Z,38655849
2024-12-14T00:00:00Z,38660651
2024-12-13T00:00:00Z,38666773
2024-12-12T00:00:00Z,38667062
2024-12-11T00:00:00Z,38667460
2024-12-10T00:00:00Z,38662075
2024-12-09T00:00:00Z,38655540
2024-12-08T00:00:00Z,38652961
2024-12-07T00:00:00Z,38651691
2024-12-06T00:00:00Z,38657085
2024-12-05T00:00:00Z,38656604
2024-12-04T00:00:00Z,38657162
2024-12-03T00:00:00Z,38654207
2024-12-02T00:00:00Z,38650228
2024-12-01T00:00:00Z,38647074
2024-11-30T00:00:00Z,38647786
2024-11-29T00:00:00Z,38646183
2024-11-28T00:00:00Z,38642342
2024-11-27T00:00:00Z,38638158
2024-11-26T00:00:00Z,38629828
2024-11-25T00:00:00Z,38625839
2024-11-24T00:00:00Z,38622111
2024-11-23T00:00:00Z,38622830
2024-11-22T00:00:00Z,38618778
2024-11-21T00:00:00Z,38614664
2024-11-20T00:00:00Z,38610584
2024-11-19T00:00:00Z,38607655
2024-11-18T00:00:00Z,38602732
2024-11-17T00:00:00Z,38599432
2024-11-16T00:00:00Z,38599590
2024-11-15T00:00:00Z,38599112
2024-11-14T00:00:00Z,38602564
2024-11-13T00:00:00Z,38597971
2024-11-12T00:00:00Z,38597234
2024-11-11T00:00:00Z,38595201
2024-11-10T00:00:00Z,38595913
2024-11-09T00:00:00Z,38594334
2024-11-08T00:00:00Z,38593165
2024-11-07T00:00:00Z,38589042
2024-11-06T00:00:00Z,38586250
2024-11-05T00:00:00Z,38582081
2024-11-04T00:00:00Z,38575814
2024-11-03T00:00:00Z,38571952
2024-11-02T00:00:00Z,38568637
2024-11-01T00:00:00Z,38568390
2024-10-31T00:00:00Z,38562850
2024-10-30T00:00:00Z,38561136
2024-10-29T00:00:00Z,38556925
2024-10-28T00:00:00Z,38552527
2024-10-27T00:00:00Z,38549080
2024-10-26T00:00:00Z,38548237
2024-10-25T00:00:00Z,38545671
2024-10-24T00:00:00Z,38542221
2024-10-23T00:00:00Z,38518147
2024-10-22T00:00:00Z,38515271
2024-10-21T00:00:00Z,38512837
2024-10-20T00:00:00Z,38509390
2024-10-19T00:00:00Z,38508090
2024-10-18T00:00:00Z,38509210
2024-10-17T00:00:00Z,38503495
2024-10-16T00:00:00Z,38495787
2024-10-15T00:00:00Z,38496069
2024-10-14T00:00:00Z,38493534
2024-10-13T00:00:00Z,38491027
2024-10-12T00:00:00Z,38488442
2024-10-11T00:00:00Z,38489219
2024-10-10T00:00:00Z,38487429
2024-10-09T00:00:00Z,38487075
2024-10-08T00:00:00Z,38484112
2024-10-07T00:00:00Z,38481852
2024-10-06T00:00:00Z,38479973
2024-10-05T00:00:00Z,38479259
2024-10-04T00:00:00Z,38478336
2024-10-03T00:00:00Z,38475622
2024-10-02T00:00:00Z,38469437
2024-10-01T00:00:00Z,38473380
2024-09-30T00:00:00Z,38472408
2024-09-29T00:00:00Z,38474591
2024-09-28T00:00:00Z,38483119
2024-09-27T00:00:00Z,38482878
2024-09-26T00:00:00Z,38483477
2024-09-25T00:00:00Z,38483209
2024-09-24T00:00:00Z,38485554
2024-09-23T00:00:00Z,38496362
2024-09-22T00:00:00Z,38499667
2024-09-21T00:00:00Z,38528019
2024-09-20T00:00:00Z,38541394
2024-09-19T00:00:00Z,38545182
2024-09-18T00:00:00Z,38543354
2024-09-17T00:00:00Z,38543636
2024-09-16T00:00:00Z,38548198
2024-09-15T00:00:00Z,38548498
2024-09-14T00:00:00Z,38556675
2024-09-13T00:00:00Z,38559847
2024-09-12T00:00:00Z,38559158
2024-09-11T00:00:00Z,38561009
2024-09-10T00:00:00Z,38568973
2024-09-09T00:00:00Z,38574100
2024-09-08T00:00:00Z,38565195
2024-09-07T00:00:00Z,38564780
2024-09-06T00:00:00Z,38581824
2024-09-05T00:00:00Z,38584419
2024-09-04T00:00:00Z,38585970
2024-09-03T00:00:00Z,38584045
2024-09-02T00:00:00Z,38576562
2024-09-01T00:00:00Z,38547371
2024-08-31T00:00:00Z,38472349
2024-08-30T00:00:00Z,38433453
2024-08-29T00:00:00Z,38424319
2024-08-28T00:00:00Z,38412952
2024-08-27T00:00:00Z,38400828
2024-08-26T00:00:00Z,38376739
2024-08-25T00:00:00Z,38332935
2024-08-24T00:00:00Z,38270501
2024-08-23T00:00:00Z,38229077
2024-08-22T00:00:00Z,38222448
2024-08-21T00:00:00Z,38218332
2024-08-20T00:00:00Z,38194371
2024-08-19T00:00:00Z,38177671
2024-08-18T00:00:00Z,38150036
2024-08-17T00:00:00Z,38118883
2024-08-16T00:00:00Z,38059671
2024-08-15T00:00:00Z,38057701
2024-08-14T00:00:00Z,38060285
2024-08-13T00:00:00Z,38051103
2024-08-12T00:00:00Z,38034576
2024-08-11T00:00:00Z,38022839
2024-08-10T00:00:00Z,37968872
2024-08-09T00:00:00Z,37928944
2024-08-08T00:00:00Z,37925876
2024-08-07T00:00:00Z,37914144
2024-08-06T00:00:00Z,37906961
2024-08-05T00:00:00Z,37908010
2024-08-04T00:00:00Z,37911260
2024-08-03T00:00:00Z,37879158
2024-08-02T00:00:00Z,37856331
2024-08-01T00:00:00Z,37852831
2024-07-31T00:00:00Z,37850261
2024-07-30T00:00:00Z,37845760
2024-07-29T00:00:00Z,37830447
2024-07-28T00:00:00Z,37800092
2024-07-27T00:00:00Z,37758454
2024-07-26T00:00:00Z,37733567
2024-07-25T00:00:00Z,37742476
2024-07-24T00:00:00Z,37760855
2024-07-23T00:00:00Z,37781295
2024-07-22T00:00:00Z,37806638
2024-07-21T00:00:00Z,37819845
2024-07-20T00:00:00Z,37853236
2024-07-19T00:00:00Z,37914792
2024-07-18T00:00:00Z,37943917
2024-07-17T00:00:00Z,37953862
2024-07-16T00:00:00Z,37960851
2024-07-15T00:00:00Z,37979901
2024-07-14T00:00:00Z,37982503
2024-07-13T00:00:00Z,38006875
2024-07-12T00:00:00Z,38020026
2024-07-11T00:00:00Z,38040587
2024-07-10T00:00:00Z,38051832
2024-07-09T00:00:00Z,38057103
2024-07-08T00:00:00Z,38061705
2024-07-07T00:00:00Z,38066001
2024-07-06T00:00:00Z,38049066
2024-07-05T00:00:00Z,38056022
2024-07-04T00:00:00Z,38070216
2024-07-03T00:00:00Z,38071090
2024-07-02T00:00:00Z,38074970
2024-07-01T00:00:00Z,38074606
2024-06-30T00:00:00Z,38091588
2024-06-29T00:00:00Z,38088263
2024-06-28T00:00:00Z,38078110
2024-06-27T00:00:00Z,38076925
2024-06-26T00:00:00Z,38074929
2024-06-25T00:00:00Z,38070333
2024-06-24T00:00:00Z,38073831
2024-06-23T00:00:00Z,38068773
2024-06-22T00:00:00Z,38053093
2024-06-21T00:00:00Z,38048361
2024-06-20T00:00:00Z,38045763
2024-06-19T00:00:00Z,38043669
2024-06-18T00:00:00Z,38040816
2024-06-17T00:00:00Z,38040162
2024-06-16T00:00:00Z,38035520
2024-06-15T00:00:00Z,38030421
2024-06-14T00:00:00Z,38033590
2024-06-13T00:00:00Z,38036047
2024-06-12T00:00:00Z,38037573
2024-06-11T00:00:00Z,38037635
2024-06-10T00:00:00Z,38037070
2024-06-09T00:00:00Z,38037827
2024-06-08T00:00:00Z,38054689
2024-06-07T00:00:00Z,38065883
2024-06-06T00:00:00Z,38068267
2024-06-05T00:00:00Z,38066830
2024-06-04T00:00:00Z,38064388
2024-06-03T00:00:00Z,38065966
2024-06-02T00:00:00Z,38064979
2024-06-01T00:00:00Z,38069077
2024-05-31T00:00:00Z,38069520
2024-05-30T00:00:00Z,38066476
2024-05-29T00:00:00Z,38062746
2024-05-28T00:00:00Z,38060825
2024-05-27T00:00:00Z,38059632
2024-05-26T00:00:00Z,38056780
2024-05-25T00:00:00Z,38051390
2024-05-24T00:00:00Z,38048234
2024-05-23T00:00:00Z,38047916
2024-05-22T00:00:00Z,38044809
2024-05-21T00:00:00Z,38042416
2024-05-20T00:00:00Z,38042330
2024-05-19T00:00:00Z,38009941
2024-05-18T00:00:00Z,37965337
2024-05-17T00:00:00Z,37923504
2024-05-16T00:00:00Z,37895697
2024-05-15T00:00:00Z,37883892
2024-05-14T00:00:00Z,37870801
2024-05-13T00:00:00Z,37860321
2024-05-12T00:00:00Z,37843962
2024-05-11T00:00:00Z,37783224
2024-05-10T00:00:00Z,37763224
2024-05-09T00:00:00Z,37742852
2024-05-08T00:00:00Z,37707988
2024-05-07T00:00:00Z,37674143
2024-05-06T00:00:00Z,37648776
2024-05-05T00:00:00Z,37626678
2024-05-04T00:00:00Z,37622999
2024-05-03T00:00:00Z,37620135
2024-05-02T00:00:00Z,37628700
2024-05-01T00:00:00Z,37631079
2024-04-30T00:00:00Z,37626576
2024-04-29T00:00:00Z,37623830
2024-04-28T00:00:00Z,37610299
2024-04-27T00:00:00Z,37594264
2024-04-26T00:00:00Z,37568821
2024-04-25T00:00:00Z,37551556
2024-04-24T00:00:00Z,37544422
2024-04-23T00:00:00Z,37544295
2024-04-22T00:00:00Z,37540732
2024-04-21T00:00:00Z,37534975
2024-04-20T00:00:00Z,37528146
2024-04-19T00:00:00Z,37527129
2024-04-18T00:00:00Z,37542559
2024-04-17T00:00:00Z,37558091
2024-04-16T00:00:00Z,37564039
2024-04-15T00:00:00Z,37575210
2024-04-14T00:00:00Z,37576300
2024-04-13T00:00:00Z,37594887
2024-04-12T00:00:00Z,37600350
2024-04-11T00:00:00Z,37608467
2024-04-10T00:00:00Z,37621573
2024-04-09T00:00:00Z,37642062
2024-04-08T00:00:00Z,37648191
2024-04-07T00:00:00Z,37655203
2024-04-06T00:00:00Z,37685218
