date,Miner to Exchange Flow (Total)
2013-07-10,63.23547834
2013-07-11,19.94390142
2013-07-12,8.7067875
2013-07-13,1.22694525
2013-07-14,4.31242775
2013-07-15,5.82547376
2013-07-16,1.86705156
2013-07-17,12.33410712
2013-07-18,7.22035523
2013-07-19,4.44620273
2013-07-20,5.19495432
2013-07-21,0.509862
2013-07-22,12.70356596
2013-07-23,3.56532842
2013-07-24,0.7852682
2013-07-25,33.47187478
2013-07-26,8.36683566
2013-07-27,3.61907799
2013-07-28,33.59569778
2013-07-29,1.38664693
2013-07-30,2.75727871
2013-07-31,66.2722917
2013-08-01,48.71298913
2013-08-02,5.38858616
2013-08-03,57.83753452
2013-08-04,33.29562212
2013-08-05,1.48309154
2013-08-06,28.61840579
2013-08-07,3.49829079
2013-08-08,20.93952302
2013-08-09,1.44863482
2013-08-10,0.45599325
2013-08-11,0.32388837
2013-08-12,0.36231958
2013-08-13,19.12537734
2013-08-14,10.80792659
2013-08-15,17.85740282
2013-08-16,0.6167955
2013-08-17,52.67684767
2013-08-18,1.43997173
2013-08-19,10.57225707
2013-08-20,109.68091322
2013-08-21,0.67924323
2013-08-22,15.08958618
2013-08-23,22.48881042
2013-08-24,36.79591003
2013-08-25,11.1135298
2013-08-26,1.4867476
2013-08-27,14.98382164
2013-08-28,134.56775132
2013-08-29,1.54137196
2013-08-30,16.24282226
2013-08-31,3.1774748
2013-09-01,0.73304307
2013-09-02,1.88449318
2013-09-03,37.42521838
2013-09-04,4.61419776
2013-09-05,101.68792143
2013-09-06,22.41958766
2013-09-07,22.00375876
2013-09-08,8.85660077
2013-09-09,1027.37069779
2013-09-10,102.14731961
2013-09-11,1.07870461
2013-09-12,533.55288579
2013-09-13,2911.65953652
2013-09-14,1130.3216213
2013-09-15,3.10597727
2013-09-16,7.52776387
2013-09-17,4.30666398
2013-09-18,13.39031463
2013-09-19,510.77203106
2013-09-20,2.11734895
2013-09-21,11.79283613
2013-09-22,3.92474385
2013-09-23,11.34822733
2013-09-24,4.00055711
2013-09-25,10.4550268
2013-09-26,22.46079077
2013-09-27,0.97428084
2013-09-28,2.43315065
2013-09-29,17.80141886
2013-09-30,0.94302449
2013-10-01,106.09385406
2013-10-02,28.44072162
2013-10-03,0.86593413
2013-10-04,2.20251131
2013-10-05,101.00472215
2013-10-06,1.46829237
2013-10-07,5.51419602
2013-10-08,4.8558058
2013-10-09,67.13297119
2013-10-10,7.1571112
2013-10-11,2.31419431
2013-10-12,66.78130816
2013-10-13,2.82907036
2013-10-14,27.52741947
2013-10-15,6.97954874
2013-10-16,13.36571255
2013-10-17,19.56937374
2013-10-18,3.9822565
2013-10-19,4.40459104
2013-10-20,39.29426811
2013-10-21,29.37631946
2013-10-22,22.71855114
2013-10-23,12.68046917
2013-10-24,59.3822009
2013-10-25,16.07190813
2013-10-26,4.49656424
2013-10-27,5.77257933
2013-10-28,26.99385673
2013-10-29,2.32420387
2013-10-30,5.16007351
2013-10-31,18.56305921
2013-11-01,17.82593739
2013-11-02,10.56357583
2013-11-03,13.0603893
2013-11-04,33.60282185
2013-11-05,1393.10150093
2013-11-06,59.60073958
2013-11-07,9.03707725
2013-11-08,21.40538297
2013-11-09,28.93956443
2013-11-10,13.1101725
2013-11-11,16.7440216
2013-11-12,8.87593798
2013-11-13,30.46717895
2013-11-14,32.84957261
2013-11-15,9.45040893
2013-11-16,11.75947869
2013-11-17,17.66371481
2013-11-18,21.36994328
2013-11-19,50.90966433
2013-11-20,63.96876855
2013-11-21,9.66864034
2013-11-22,30.46775539
2013-11-23,14.84818723
2013-11-24,13.59751726
2013-11-25,22.10592201
2013-11-26,10.36617011
2013-11-27,42.86614239
2013-11-28,33.65156067
2013-11-29,99.18433255
2013-11-30,18.13804863
2013-12-01,21.32880673
2013-12-02,32.2874764
2013-12-03,16.60237245
2013-12-04,21.02834311
2013-12-05,33.97726432
2013-12-06,24.96463599
2013-12-07,37.27469241
2013-12-08,28.78170695
2013-12-09,24.95717136
2013-12-10,25.51312473
2013-12-11,33.16933572
2013-12-12,41.88050056
2013-12-13,24.05509945
2013-12-14,19.79747305
2013-12-15,102.64971449
2013-12-16,181.67243344
2013-12-17,156.31624848
2013-12-18,164.23067286
2013-12-19,459.17368328
2013-12-20,66.38567025
2013-12-21,111.29421989
2013-12-22,5.56707082
2013-12-23,58.90844605
2013-12-24,60.85215723
2013-12-25,108.58164528
2013-12-26,48.46858281
2013-12-27,68.71005671
2013-12-28,41.46856449
2013-12-29,20.07581125
2013-12-30,11.45695098
2013-12-31,9.62809929
2014-01-01,44.61052113
2014-01-02,19.2949605
2014-01-03,55.27407487
2014-01-04,13.37866153
2014-01-05,77.87966317
2014-01-06,15.19140636
2014-01-07,16.33678259
2014-01-08,16.42859515
2014-01-09,70.83788233
2014-01-10,19.63575146
2014-01-11,21.9496418
2014-01-12,4.53480834
2014-01-13,13.65804175
2014-01-14,53.72881889
2014-01-15,15.59286887
2014-01-16,69.502353
2014-01-17,77.49577691
2014-01-18,62.84468326
2014-01-19,30.95579403
2014-01-20,119.52423746
2014-01-21,155.19171251
2014-01-22,17.02094156
2014-01-23,161.24388822
2014-01-24,113.43318187
2014-01-25,61.06991488
2014-01-26,74.80525153
2014-01-27,74.30388125
2014-01-28,176.88412798
2014-01-29,39.76057698
2014-01-30,43.37882996
2014-01-31,45.15783966
2014-02-01,32.16247437
2014-02-02,100.93201754
2014-02-03,43.00911878
2014-02-04,56.15333001
2014-02-05,93.60700437
2014-02-06,55.39900211
2014-02-07,41.79742111
2014-02-08,53.22245401
2014-02-09,50.65570333
2014-02-10,152.68038026
2014-02-11,94.58353766
2014-02-12,91.49060101
2014-02-13,67.25826122
2014-02-14,82.12559549
2014-02-15,96.98670397
2014-02-16,105.26124638
2014-02-17,73.23772452
2014-02-18,124.6563238
2014-02-19,121.35951337
2014-02-20,126.6415928
2014-02-21,73.83337664
2014-02-22,51.19225376
2014-02-23,87.31246663
2014-02-24,71.9923998
2014-02-25,88.84430734
2014-02-26,68.89138372
2014-02-27,66.25446807
2014-02-28,72.84463362
2014-03-01,74.76124855
2014-03-02,41.44105908
2014-03-03,159.12491268
2014-03-04,182.28916319
2014-03-05,71.66026084
2014-03-06,70.16677459
2014-03-07,97.44287242
2014-03-08,49.40229116
2014-03-09,85.80374472
2014-03-10,71.57120845
2014-03-11,72.86114152
2014-03-12,114.10147661
2014-03-13,108.33772671
2014-03-14,53.84533945
2014-03-15,102.40418623
2014-03-16,77.00941578
2014-03-17,35.8114355
2014-03-18,61.27387624
2014-03-19,94.27942123
2014-03-20,113.34997768
2014-03-21,89.64531676
2014-03-22,95.53119018
2014-03-23,99.13948045
2014-03-24,42.74758509
2014-03-25,105.32093488
2014-03-26,83.92375248
2014-03-27,117.58968234
2014-03-28,93.36965951
2014-03-29,64.84675083
2014-03-30,22.59962959
2014-03-31,89.0705974
2014-04-01,123.5510267
2014-04-02,75.66416794
2014-04-03,54.29327879
2014-04-04,104.55997649
2014-04-05,32.16256374
2014-04-06,120.02013816
2014-04-07,39.24056735
2014-04-08,69.03955202
2014-04-09,156.11474364
2014-04-10,147.35232611
2014-04-11,122.55883129
2014-04-12,116.94294781
2014-04-13,51.67979085
2014-04-14,174.76716883
2014-04-15,266.28510032
2014-04-16,135.6717968
2014-04-17,110.02647455
2014-04-18,195.04523396
2014-04-19,116.58079887
2014-04-20,65.48080593
2014-04-21,74.56793328
2014-04-22,113.0308811
2014-04-23,111.35255682
2014-04-24,200.3050766
2014-04-25,71.00917416
2014-04-26,73.29410335
2014-04-27,43.29888128
2014-04-28,67.24146822
2014-04-29,117.3619337
2014-04-30,83.37654629
2014-05-01,124.42468805
2014-05-02,68.50280137
2014-05-03,88.98358733
2014-05-04,71.69219116
2014-05-05,140.07994223
2014-05-06,83.06540324
2014-05-07,188.24974193
2014-05-08,87.76859631
2014-05-09,198.88767412
2014-05-10,60.48572636
2014-05-11,55.28142901
2014-05-12,159.30267797
2014-05-13,150.15039193
2014-05-14,180.7831351
2014-05-15,147.55041274
2014-05-16,236.99154388
2014-05-17,87.2657512
2014-05-18,66.43164814
2014-05-19,153.29058826
2014-05-20,119.17960346
2014-05-21,101.42236145
2014-05-22,147.06686581
2014-05-23,178.74595704
2014-05-24,145.63548078
2014-05-25,265.78014821
2014-05-26,202.97490092
2014-05-27,134.90765691
2014-05-28,220.54323628
2014-05-29,193.00795909
2014-05-30,243.56070598
2014-05-31,112.15161943
2014-06-01,104.100124
2014-06-02,85.45096956
2014-06-03,175.71886942
2014-06-04,152.35435188
2014-06-05,77.21083932
2014-06-06,95.55513574
2014-06-07,92.39701675
2014-06-08,106.17303258
2014-06-09,146.84400488
2014-06-10,93.50104378
2014-06-11,191.88688668
2014-06-12,156.42132997
2014-06-13,83.90142785
2014-06-14,75.87717302
2014-06-15,95.37755175
2014-06-16,132.23789475
2014-06-17,171.00673605
2014-06-18,151.71884109
2014-06-19,129.64066012
2014-06-20,219.13275146
2014-06-21,139.17916273
2014-06-22,105.64503839
2014-06-23,981.51302602
2014-06-24,102.30138177
2014-06-25,75.77672785
2014-06-26,104.43576988
2014-06-27,79.72466941
2014-06-28,69.38963301
2014-06-29,38.17951683
2014-06-30,120.87631974
2014-07-01,84.56818319
2014-07-02,132.25703929
2014-07-03,119.19531466
2014-07-04,55.73388795
2014-07-05,38.55839761
2014-07-06,81.04956894
2014-07-07,59.03743026
2014-07-08,120.26078811
2014-07-09,40.99579641
2014-07-10,86.09738712
2014-07-11,47.5999232
2014-07-12,44.4583855
2014-07-13,79.33352667
2014-07-14,114.149861
2014-07-15,105.10444404
2014-07-16,74.12213146
2014-07-17,90.11557
2014-07-18,74.07165502
2014-07-19,139.20077709
2014-07-20,118.30620991
2014-07-21,91.93807843
2014-07-22,177.14965568
2014-07-23,81.04861182
2014-07-24,95.86265904
2014-07-25,92.486832
2014-07-26,78.29062545
2014-07-27,139.42952228
2014-07-28,159.2372435
2014-07-29,28.54371379
2014-07-30,105.56700163
2014-07-31,91.62522481
2014-08-01,64.19383941
2014-08-02,34.1001873
2014-08-03,95.73237052
2014-08-04,76.97239937
2014-08-05,54.09595495
2014-08-06,113.70992977
2014-08-07,70.9167209
2014-08-08,102.60380883
2014-08-09,76.8211784
2014-08-10,46.6670439
2014-08-11,70.17499498
2014-08-12,83.50932702
2014-08-13,189.78939521
2014-08-14,111.87149879
2014-08-15,122.34680115
2014-08-16,29.4386852
2014-08-17,29.85379818
2014-08-18,166.41949768
2014-08-19,77.90228421
2014-08-20,71.41084571
2014-08-21,89.31648077
2014-08-22,179.51585115
2014-08-23,35.20681971
2014-08-24,68.80132027
2014-08-25,125.09879961
2014-08-26,243.6035117
2014-08-27,174.64052996
2014-08-28,224.16529972
2014-08-29,166.62778307
2014-08-30,89.33131993
2014-08-31,46.27762132
2014-09-01,153.48346077
2014-09-02,64.33611646
2014-09-03,169.00573969
2014-09-04,123.81298292
2014-09-05,72.6398203
2014-09-06,139.15763975
2014-09-07,77.54761694
2014-09-08,171.88061181
2014-09-09,161.35700057
2014-09-10,263.88006705
2014-09-11,134.34629865
2014-09-12,171.10402226
2014-09-13,148.18973084
2014-09-14,176.20863854
2014-09-15,300.43175128
2014-09-16,179.93028577
2014-09-17,158.57287229
2014-09-18,227.06285865
2014-09-19,1234.21985028
2014-09-20,258.25997711
2014-09-21,153.89180801
2014-09-22,330.79190634
2014-09-23,508.17331615
2014-09-24,260.48806536
2014-09-25,164.38964875
2014-09-26,248.08349151
2014-09-27,391.51923424
2014-09-28,76.73082888
2014-09-29,511.03043336
2014-09-30,272.71731699
2014-10-01,241.56891754
2014-10-02,510.8908137
2014-10-03,3719.09759172
2014-10-04,354.84055779
2014-10-05,310.39192707
2014-10-06,264.66829276
2014-10-07,339.94808245
2014-10-08,2633.0140606
2014-10-09,222.31198856
2014-10-10,2074.74825834
2014-10-11,114.01287774
2014-10-12,295.45678769
2014-10-13,134.97277728
2014-10-14,262.07452721
2014-10-15,452.17607949
2014-10-16,267.98279564
2014-10-17,147.36084538
2014-10-18,235.26491665
2014-10-19,572.0336258
2014-10-20,151.52046553
2014-10-21,428.71205354
2014-10-22,197.87197709
2014-10-23,401.13300341
2014-10-24,140.78239049
2014-10-25,231.15430852
2014-10-26,120.51177741
2014-10-27,314.80238976
2014-10-28,169.33455063
2014-10-29,1267.40446629
2014-10-30,323.36374507
2014-10-31,118.19151204
2014-11-01,105.04055944
2014-11-02,153.14317817
2014-11-03,283.61533377
2014-11-04,8530.8036438
2014-11-05,161.67373612
2014-11-06,136.89578347
2014-11-07,257.68098349
2014-11-08,274.87746074
2014-11-09,178.60201397
2014-11-10,125.51798736
2014-11-11,204.86218361
2014-11-12,319.56566502
2014-11-13,239.92366802
2014-11-14,194.64568719
2014-11-15,172.63509454
2014-11-16,128.85850254
2014-11-17,17881.2381005
