date,Exchange to Miner Transactions
2015-02-20,114
2015-02-21,85
2015-02-22,103
2015-02-23,143
2015-02-24,126
2015-02-25,136
2015-02-26,109
2015-02-27,106
2015-02-28,129
2015-03-01,120
2015-03-02,168
2015-03-03,171
2015-03-04,235
2015-03-05,247
2015-03-06,239
2015-03-07,191
2015-03-08,214
2015-03-09,258
2015-03-10,293
2015-03-11,223
2015-03-12,232
2015-03-13,239
2015-03-14,209
2015-03-15,181
2015-03-16,258
2015-03-17,252
2015-03-18,294
2015-03-19,236
2015-03-20,229
2015-03-21,243
2015-03-22,238
2015-03-23,262
2015-03-24,274
2015-03-25,266
2015-03-26,247
2015-03-27,212
2015-03-28,216
2015-03-29,250
2015-03-30,274
2015-03-31,279
2015-04-01,281
2015-04-02,257
2015-04-03,224
2015-04-04,185
2015-04-05,239
2015-04-06,249
2015-04-07,213
2015-04-08,261
2015-04-09,262
2015-04-10,258
2015-04-11,228
2015-04-12,188
2015-04-13,258
2015-04-14,248
2015-04-15,242
2015-04-16,172
2015-04-17,169
2015-04-18,176
2015-04-19,157
2015-04-20,192
2015-04-21,190
2015-04-22,225
2015-04-23,203
2015-04-24,217
2015-04-25,182
2015-04-26,203
2015-04-27,292
2015-04-28,254
2015-04-29,227
2015-04-30,250
2015-05-01,219
2015-05-02,216
2015-05-03,192
2015-05-04,276
2015-05-05,246
2015-05-06,248
2015-05-07,218
2015-05-08,195
2015-05-09,191
2015-05-10,199
2015-05-11,253
2015-05-12,269
2015-05-13,257
2015-05-14,240
2015-05-15,244
2015-05-16,172
2015-05-17,216
2015-05-18,283
2015-05-19,276
2015-05-20,256
2015-05-21,237
2015-05-22,227
2015-05-23,202
2015-05-24,213
2015-05-25,232
2015-05-26,245
2015-05-27,218
2015-05-28,258
2015-05-29,207
2015-05-30,203
2015-05-31,219
2015-06-01,261
2015-06-02,275
2015-06-03,266
2015-06-04,259
2015-06-05,235
2015-06-06,216
2015-06-07,236
2015-06-08,307
2015-06-09,269
2015-06-10,248
2015-06-11,279
2015-06-12,243
2015-06-13,243
2015-06-14,221
2015-06-15,274
2015-06-16,211
2015-06-17,292
2015-06-18,244
2015-06-19,202
2015-06-20,224
2015-06-21,183
2015-06-22,212
2015-06-23,230
2015-06-24,223
2015-06-25,215
2015-06-26,209
2015-06-27,225
2015-06-28,214
2015-06-29,261
2015-06-30,261
2015-07-01,263
2015-07-02,268
2015-07-03,244
2015-07-04,153
2015-07-05,185
2015-07-06,245
2015-07-07,226
2015-07-08,192
2015-07-09,226
2015-07-10,241
2015-07-11,201
2015-07-12,214
2015-07-13,260
2015-07-14,213
2015-07-15,245
2015-07-16,228
2015-07-17,189
2015-07-18,204
2015-07-19,177
2015-07-20,220
2015-07-21,226
2015-07-22,227
2015-07-23,223
2015-07-24,236
2015-07-25,216
2015-07-26,207
2015-07-27,268
2015-07-28,262
2015-07-29,255
2015-07-30,225
2015-07-31,250
2015-08-01,201
2015-08-02,261
2015-08-03,296
2015-08-04,260
2015-08-05,274
2015-08-06,250
2015-08-07,218
2015-08-08,232
2015-08-09,232
2015-08-10,248
2015-08-11,276
2015-08-12,272
2015-08-13,278
2015-08-14,239
2015-08-15,209
2015-08-16,212
2015-08-17,220
2015-08-18,254
2015-08-19,250
2015-08-20,275
2015-08-21,239
2015-08-22,222
2015-08-23,227
2015-08-24,309
2015-08-25,313
2015-08-26,274
2015-08-27,273
2015-08-28,263
2015-08-29,227
2015-08-30,259
2015-08-31,269
2015-09-01,295
2015-09-02,241
2015-09-03,258
2015-09-04,232
2015-09-05,233
2015-09-06,243
2015-09-07,264
2015-09-08,300
2015-09-09,247
2015-09-10,234
2015-09-11,259
2015-09-12,212
2015-09-13,230
2015-09-14,296
2015-09-15,287
2015-09-16,244
2015-09-17,306
2015-09-18,261
2015-09-19,246
2015-09-20,248
2015-09-21,226
2015-09-22,271
2015-09-23,268
2015-09-24,238
2015-09-25,295
2015-09-26,258
2015-09-27,246
2015-09-28,306
2015-09-29,366
2015-09-30,344
2015-10-01,323
2015-10-02,291
2015-10-03,227
2015-10-04,296
2015-10-05,333
2015-10-06,310
2015-10-07,325
2015-10-08,326
2015-10-09,298
2015-10-10,311
2015-10-11,329
2015-10-12,370
2015-10-13,371
2015-10-14,439
2015-10-15,464
2015-10-16,417
2015-10-17,392
2015-10-18,340
2015-10-19,434
2015-10-20,436
2015-10-21,460
2015-10-22,453
2015-10-23,423
2015-10-24,350
2015-10-25,383
2015-10-26,465
2015-10-27,525
2015-10-28,503
2015-10-29,611
2015-10-30,659
2015-10-31,631
2015-11-01,626
2015-11-02,611
2015-11-03,715
2015-11-04,811
2015-11-05,944
2015-11-06,836
2015-11-07,809
2015-11-08,913
2015-11-09,909
2015-11-10,830
2015-11-11,918
2015-11-12,910
2015-11-13,821
2015-11-14,1095
2015-11-15,909
2015-11-16,899
2015-11-17,630
2015-11-18,751
2015-11-19,857
2015-11-20,705
2015-11-21,697
2015-11-22,693
2015-11-23,660
2015-11-24,616
2015-11-25,655
2015-11-26,763
2015-11-27,943
2015-11-28,835
2015-11-29,748
2015-11-30,871
2015-12-01,948
2015-12-02,946
2015-12-03,543
2015-12-04,636
2015-12-05,1062
2015-12-06,1826
2015-12-07,1339
2015-12-08,1231
2015-12-09,1369
2015-12-10,1239
2015-12-11,1039
2015-12-12,1026
2015-12-13,1494
2015-12-14,1370
2015-12-15,1283
2015-12-16,1289
2015-12-17,1409
2015-12-18,1428
2015-12-19,1334
2015-12-20,1629
2015-12-21,1773
2015-12-22,1745
2015-12-23,1435
2015-12-24,1547
2015-12-25,1547
2015-12-26,922
2015-12-27,349
2015-12-28,429
2015-12-29,419
2015-12-30,334
2015-12-31,312
2016-01-01,247
2016-01-02,253
2016-01-03,325
2016-01-04,306
2016-01-05,282
2016-01-06,311
2016-01-07,348
2016-01-08,332
2016-01-09,284
2016-01-10,293
2016-01-11,337
2016-01-12,313
2016-01-13,352
2016-01-14,303
2016-01-15,311
2016-01-16,301
2016-01-17,326
2016-01-18,330
2016-01-19,331
2016-01-20,365
2016-01-21,350
2016-01-22,320
2016-01-23,317
2016-01-24,297
2016-01-25,342
2016-01-26,267
2016-01-27,273
2016-01-28,308
2016-01-29,285
2016-01-30,290
2016-01-31,316
2016-02-01,327
2016-02-02,322
2016-02-03,345
2016-02-04,746
2016-02-05,954
2016-02-06,991
2016-02-07,544
2016-02-08,766
2016-02-09,708
2016-02-10,919
2016-02-11,861
2016-02-12,606
2016-02-13,840
2016-02-14,1033
2016-02-15,1380
2016-02-16,1205
2016-02-17,1051
2016-02-18,1133
2016-02-19,1350
2016-02-20,1506
2016-02-21,1646
2016-02-22,1471
2016-02-23,1491
2016-02-24,1339
2016-02-25,1183
2016-02-26,1161
2016-02-27,657
2016-02-28,1719
2016-02-29,2209
2016-03-01,2192
2016-03-02,2055
2016-03-03,1291
2016-03-04,982
2016-03-05,793
2016-03-06,713
2016-03-07,565
2016-03-08,582
2016-03-09,634
2016-03-10,568
2016-03-11,469
2016-03-12,435
2016-03-13,399
2016-03-14,619
2016-03-15,668
2016-03-16,687
2016-03-17,756
2016-03-18,843
2016-03-19,639
2016-03-20,699
2016-03-21,617
2016-03-22,630
2016-03-23,505
2016-03-24,721
2016-03-25,517
2016-03-26,499
2016-03-27,482
2016-03-28,547
2016-03-29,427
2016-03-30,435
2016-03-31,356
2016-04-01,473
2016-04-02,617
2016-04-03,438
2016-04-04,401
2016-04-05,400
2016-04-06,380
2016-04-07,409
2016-04-08,368
2016-04-09,366
2016-04-10,315
2016-04-11,367
2016-04-12,343
2016-04-13,315
2016-04-14,303
2016-04-15,322
2016-04-16,342
2016-04-17,324
2016-04-18,340
2016-04-19,322
2016-04-20,345
2016-04-21,316
2016-04-22,355
2016-04-23,335
2016-04-24,403
2016-04-25,398
2016-04-26,353
2016-04-27,347
2016-04-28,360
2016-04-29,389
2016-04-30,359
2016-05-01,394
2016-05-02,390
2016-05-03,370
2016-05-04,332
2016-05-05,356
2016-05-06,338
2016-05-07,283
2016-05-08,277
2016-05-09,360
2016-05-10,382
2016-05-11,374
2016-05-12,341
2016-05-13,391
2016-05-14,345
2016-05-15,362
2016-05-16,375
2016-05-17,346
2016-05-18,341
2016-05-19,387
2016-05-20,372
2016-05-21,407
2016-05-22,383
2016-05-23,869
2016-05-24,1580
2016-05-25,2672
2016-05-26,3679
2016-05-27,6074
2016-05-28,5327
2016-05-29,3956
2016-05-30,1204
2016-05-31,417
2016-06-01,302
2016-06-02,289
2016-06-03,319
2016-06-04,370
2016-06-05,3498
2016-06-06,1629
2016-06-07,1545
2016-06-08,1254
2016-06-09,1854
2016-06-10,2762
2016-06-11,2782
2016-06-12,3026
2016-06-13,1070
2016-06-14,994
2016-06-15,1232
2016-06-16,1454
2016-06-17,1161
2016-06-18,946
2016-06-19,1008
2016-06-20,780
2016-06-21,899
2016-06-22,1122
2016-06-23,834
2016-06-24,746
2016-06-25,1094
2016-06-26,815
2016-06-27,618
2016-06-28,897
2016-06-29,1181
2016-06-30,1318
2016-07-01,1792
2016-07-02,2363
2016-07-03,3108
2016-07-04,488
2016-07-05,527
2016-07-06,585
2016-07-07,621
2016-07-08,567
2016-07-09,512
2016-07-10,596
2016-07-11,557
2016-07-12,691
2016-07-13,761
2016-07-14,871
2016-07-15,1454
2016-07-16,2003
2016-07-17,2512
2016-07-18,402
2016-07-19,387
2016-07-20,488
2016-07-21,433
2016-07-22,435
2016-07-23,508
2016-07-24,450
2016-07-25,428
2016-07-26,618
2016-07-27,532
2016-07-28,540
2016-07-29,521
2016-07-30,550
2016-07-31,681
2016-08-01,429
2016-08-02,427
2016-08-03,491
2016-08-04,374
2016-08-05,416
2016-08-06,471
2016-08-07,492
2016-08-08,470
2016-08-09,837
2016-08-10,1111
2016-08-11,1034
2016-08-12,627
2016-08-13,537
2016-08-14,629
2016-08-15,461
2016-08-16,540
2016-08-17,434
2016-08-18,539
2016-08-19,542
2016-08-20,470
2016-08-21,461
2016-08-22,566
2016-08-23,574
2016-08-24,394
2016-08-25,402
2016-08-26,429
2016-08-27,400
2016-08-28,507
2016-08-29,414
2016-08-30,520
2016-08-31,560
2016-09-01,360
2016-09-02,354
2016-09-03,384
2016-09-04,467
2016-09-05,429
2016-09-06,378
2016-09-07,371
2016-09-08,430
2016-09-09,381
2016-09-10,393
2016-09-11,413
2016-09-12,459
2016-09-13,485
2016-09-14,529
2016-09-15,415
2016-09-16,417
2016-09-17,439
2016-09-18,412
2016-09-19,385
2016-09-20,472
2016-09-21,493
2016-09-22,429
2016-09-23,402
2016-09-24,401
2016-09-25,425
2016-09-26,424
2016-09-27,421
2016-09-28,390
2016-09-29,408
2016-09-30,471
2016-10-01,466
