date,Miner In-House Transactions
2011-03-16,42
2011-03-17,29
2011-03-18,33
2011-03-19,30
2011-03-20,29
2011-03-21,37
2011-03-22,51
2011-03-23,42
2011-03-24,58
2011-03-25,62
2011-03-26,49
2011-03-27,66
2011-03-28,65
2011-03-29,183
2011-03-30,48
2011-03-31,57
2011-04-01,55
2011-04-02,37
2011-04-03,45
2011-04-04,48
2011-04-05,57
2011-04-06,41
2011-04-07,48
2011-04-08,53
2011-04-09,50
2011-04-10,57
2011-04-11,47
2011-04-12,47
2011-04-13,57
2011-04-14,48
2011-04-15,35
2011-04-16,34
2011-04-17,37
2011-04-18,66
2011-04-19,62
2011-04-20,37
2011-04-21,41
2011-04-22,53
2011-04-23,62
2011-04-24,46
2011-04-25,67
2011-04-26,71
2011-04-27,75
2011-04-28,64
2011-04-29,82
2011-04-30,79
2011-05-01,77
2011-05-02,75
2011-05-03,78
2011-05-04,67
2011-05-05,68
2011-05-06,58
2011-05-07,59
2011-05-08,51
2011-05-09,58
2011-05-10,84
2011-05-11,51
2011-05-12,69
2011-05-13,72
2011-05-14,91
2011-05-15,71
2011-05-16,71
2011-05-17,69
2011-05-18,83
2011-05-19,64
2011-05-20,68
2011-05-21,40
2011-05-22,58
2011-05-23,85
2011-05-24,87
2011-05-25,86
2011-05-26,132
2011-05-27,51
2011-05-28,43
2011-05-29,46
2011-05-30,61
2011-05-31,51
2011-06-01,90
2011-06-02,102
2011-06-03,93
2011-06-04,93
2011-06-05,97
2011-06-06,117
2011-06-07,128
2011-06-08,176
2011-06-09,161
2011-06-10,147
2011-06-11,133
2011-06-12,154
2011-06-13,165
2011-06-14,178
2011-06-15,180
2011-06-16,154
2011-06-17,152
2011-06-18,105
2011-06-19,157
2011-06-20,145
2011-06-21,190
2011-06-22,147
2011-06-23,119
2011-06-24,111
2011-06-25,131
2011-06-26,137
2011-06-27,196
2011-06-28,188
2011-06-29,183
2011-06-30,209
2011-07-01,183
2011-07-02,172
2011-07-03,191
2011-07-04,224
2011-07-05,179
2011-07-06,216
2011-07-07,170
2011-07-08,221
2011-07-09,190
2011-07-10,189
2011-07-11,184
2011-07-12,208
2011-07-13,203
2011-07-14,224
2011-07-15,209
2011-07-16,210
2011-07-17,260
2011-07-18,264
2011-07-19,205
2011-07-20,239
2011-07-21,249
2011-07-22,205
2011-07-23,181
2011-07-24,197
2011-07-25,183
2011-07-26,294
2011-07-27,206
2011-07-28,195
2011-07-29,172
2011-07-30,132
2011-07-31,206
2011-08-01,208
2011-08-02,234
2011-08-03,231
2011-08-04,218
2011-08-05,214
2011-08-06,209
2011-08-07,202
2011-08-08,224
2011-08-09,319
2011-08-10,308
2011-08-11,302
2011-08-12,301
2011-08-13,214
2011-08-14,374
2011-08-15,282
2011-08-16,317
2011-08-17,350
2011-08-18,279
2011-08-19,299
2011-08-20,263
2011-08-21,263
2011-08-22,266
2011-08-23,273
2011-08-24,294
2011-08-25,347
2011-08-26,451
2011-08-27,277
2011-08-28,198
2011-08-29,243
2011-08-30,283
2011-08-31,299
2011-09-01,296
2011-09-02,236
2011-09-03,262
2011-09-04,215
2011-09-05,237
2011-09-06,316
2011-09-07,276
2011-09-08,240
2011-09-09,463
2011-09-10,274
2011-09-11,242
2011-09-12,343
2011-09-13,267
2011-09-14,278
2011-09-15,301
2011-09-16,167
2011-09-17,230
2011-09-18,246
2011-09-19,317
2011-09-20,572
2011-09-21,423
2011-09-22,302
2011-09-23,278
2011-09-24,202
2011-09-25,224
2011-09-26,264
2011-09-27,245
2011-09-28,280
2011-09-29,227
2011-09-30,258
2011-10-01,273
2011-10-02,215
2011-10-03,226
2011-10-04,191
2011-10-05,243
2011-10-06,235
2011-10-07,244
2011-10-08,195
2011-10-09,197
2011-10-10,200
2011-10-11,189
2011-10-12,208
2011-10-13,162
2011-10-14,253
2011-10-15,215
2011-10-16,192
2011-10-17,175
2011-10-18,164
2011-10-19,185
2011-10-20,173
2011-10-21,151
2011-10-22,163
2011-10-23,157
2011-10-24,208
2011-10-25,221
2011-10-26,225
2011-10-27,190
2011-10-28,199
2011-10-29,214
2011-10-30,140
2011-10-31,167
2011-11-01,167
2011-11-02,197
2011-11-03,170
2011-11-04,191
2011-11-05,169
2011-11-06,140
2011-11-07,204
2011-11-08,215
2011-11-09,158
2011-11-10,219
2011-11-11,164
2011-11-12,151
2011-11-13,137
2011-11-14,243
2011-11-15,267
2011-11-16,210
2011-11-17,248
2011-11-18,241
2011-11-19,214
2011-11-20,160
2011-11-21,168
2011-11-22,200
2011-11-23,170
2011-11-24,164
2011-11-25,205
2011-11-26,135
2011-11-27,142
2011-11-28,183
2011-11-29,190
2011-11-30,170
2011-12-01,177
2011-12-02,202
2011-12-03,175
2011-12-04,156
2011-12-05,180
2011-12-06,217
2011-12-07,195
2011-12-08,202
2011-12-09,221
2011-12-10,154
2011-12-11,193
2011-12-12,129
2011-12-13,190
2011-12-14,239
2011-12-15,140
2011-12-16,188
2011-12-17,131
2011-12-18,148
2011-12-19,237
2011-12-20,231
2011-12-21,191
2011-12-22,165
2011-12-23,205
2011-12-24,156
2011-12-25,229
2011-12-26,226
2011-12-27,194
2011-12-28,142
2011-12-29,185
2011-12-30,153
2011-12-31,159
2012-01-01,189
2012-01-02,213
2012-01-03,235
2012-01-04,214
2012-01-05,298
2012-01-06,284
2012-01-07,183
2012-01-08,233
2012-01-09,229
2012-01-10,208
2012-01-11,237
2012-01-12,251
2012-01-13,263
2012-01-14,232
2012-01-15,233
2012-01-16,266
2012-01-17,234
2012-01-18,274
2012-01-19,253
2012-01-20,235
2012-01-21,206
2012-01-22,166
2012-01-23,217
2012-01-24,253
2012-01-25,297
2012-01-26,293
2012-01-27,285
2012-01-28,179
2012-01-29,193
2012-01-30,247
2012-01-31,334
2012-02-01,282
2012-02-02,304
2012-02-03,273
2012-02-04,298
2012-02-05,237
2012-02-06,217
2012-02-07,233
2012-02-08,274
2012-02-09,220
2012-02-10,272
2012-02-11,183
2012-02-12,198
2012-02-13,293
2012-02-14,330
2012-02-15,259
2012-02-16,324
2012-02-17,229
2012-02-18,249
2012-02-19,214
2012-02-20,204
2012-02-21,280
2012-02-22,287
2012-02-23,266
2012-02-24,261
2012-02-25,234
2012-02-26,180
2012-02-27,250
2012-02-28,264
2012-02-29,250
2012-03-01,255
2012-03-02,304
2012-03-03,195
2012-03-04,210
2012-03-05,247
2012-03-06,263
2012-03-07,244
2012-03-08,239
2012-03-09,264
2012-03-10,196
2012-03-11,172
2012-03-12,236
2012-03-13,254
2012-03-14,260
2012-03-15,316
2012-03-16,300
2012-03-17,298
2012-03-18,232
2012-03-19,285
2012-03-20,312
2012-03-21,309
2012-03-22,241
2012-03-23,259
2012-03-24,270
2012-03-25,252
2012-03-26,274
2012-03-27,237
2012-03-28,284
2012-03-29,293
2012-03-30,258
2012-03-31,235
2012-04-01,157
2012-04-02,233
2012-04-03,323
2012-04-04,311
2012-04-05,264
2012-04-06,292
2012-04-07,251
2012-04-08,228
2012-04-09,230
2012-04-10,277
2012-04-11,361
2012-04-12,348
2012-04-13,233
2012-04-14,294
2012-04-15,247
2012-04-16,289
2012-04-17,277
2012-04-18,303
2012-04-19,289
2012-04-20,318
2012-04-21,219
2012-04-22,208
2012-04-23,279
2012-04-24,337
2012-04-25,283
2012-04-26,276
2012-04-27,271
2012-04-28,265
2012-04-29,232
2012-04-30,222
2012-05-01,287
2012-05-02,312
2012-05-03,333
2012-05-04,327
2012-05-05,279
2012-05-06,245
2012-05-07,353
2012-05-08,361
2012-05-09,375
2012-05-10,329
2012-05-11,342
2012-05-12,289
2012-05-13,288
2012-05-14,323
2012-05-15,374
2012-05-16,302
2012-05-17,302
2012-05-18,313
2012-05-19,254
2012-05-20,306
2012-05-21,327
2012-05-22,385
2012-05-23,335
2012-05-24,319
2012-05-25,268
2012-05-26,209
2012-05-27,289
2012-05-28,244
2012-05-29,464
2012-05-30,548
2012-05-31,331
2012-06-01,672
2012-06-02,372
2012-06-03,677
2012-06-04,480
2012-06-05,418
2012-06-06,352
2012-06-07,682
2012-06-08,394
2012-06-09,419
2012-06-10,577
2012-06-11,354
2012-06-12,314
2012-06-13,368
2012-06-14,382
2012-06-15,363
2012-06-16,439
2012-06-17,385
2012-06-18,348
2012-06-19,294
2012-06-20,356
2012-06-21,325
2012-06-22,298
2012-06-23,525
2012-06-24,500
2012-06-25,1139
2012-06-26,727
2012-06-27,338
2012-06-28,368
2012-06-29,405
2012-06-30,323
2012-07-01,279
2012-07-02,349
2012-07-03,560
2012-07-04,414
2012-07-05,630
2012-07-06,836
2012-07-07,551
2012-07-08,229
2012-07-09,322
2012-07-10,278
2012-07-11,286
2012-07-12,260
2012-07-13,515
2012-07-14,383
2012-07-15,539
2012-07-16,294
2012-07-17,420
2012-07-18,560
2012-07-19,294
2012-07-20,1088
2012-07-21,708
2012-07-22,417
2012-07-23,322
2012-07-24,307
2012-07-25,218
2012-07-26,274
2012-07-27,200
2012-07-28,222
2012-07-29,209
2012-07-30,301
2012-07-31,284
2012-08-01,315
2012-08-02,426
2012-08-03,516
2012-08-04,455
2012-08-05,457
2012-08-06,260
2012-08-07,255
2012-08-08,377
2012-08-09,254
2012-08-10,207
2012-08-11,401
2012-08-12,472
2012-08-13,305
2012-08-14,310
2012-08-15,227
2012-08-16,426
2012-08-17,379
2012-08-18,228
2012-08-19,206
2012-08-20,265
2012-08-21,297
2012-08-22,253
2012-08-23,350
2012-08-24,924
2012-08-25,1322
2012-08-26,732
2012-08-27,1523
2012-08-28,880
2012-08-29,770
2012-08-30,917
2012-08-31,845
2012-09-01,402
2012-09-02,338
2012-09-03,298
2012-09-04,564
2012-09-05,405
2012-09-06,445
2012-09-07,272
2012-09-08,469
2012-09-09,792
2012-09-10,566
2012-09-11,1298
2012-09-12,937
2012-09-13,553
2012-09-14,768
2012-09-15,1255
2012-09-16,621
2012-09-17,653
2012-09-18,1217
2012-09-19,1221
2012-09-20,858
2012-09-21,869
2012-09-22,405
2012-09-23,602
2012-09-24,772
2012-09-25,334
2012-09-26,649
2012-09-27,579
2012-09-28,498
2012-09-29,472
2012-09-30,1278
2012-10-01,948
2012-10-02,766
2012-10-03,524
2012-10-04,392
2012-10-05,944
2012-10-06,235
2012-10-07,521
2012-10-08,689
2012-10-09,599
2012-10-10,335
2012-10-11,255
2012-10-12,308
2012-10-13,196
2012-10-14,243
2012-10-15,402
2012-10-16,692
2012-10-17,896
2012-10-18,658
2012-10-19,627
2012-10-20,366
2012-10-21,1411
2012-10-22,828
2012-10-23,503
2012-10-24,483
2012-10-25,514
2012-10-26,285
2012-10-27,196
2012-10-28,509
2012-10-29,239
2012-10-30,635
2012-10-31,520
2012-11-01,495
2012-11-02,424
2012-11-03,1029
2012-11-04,292
2012-11-05,721
2012-11-06,525
2012-11-07,709
2012-11-08,493
2012-11-09,512
2012-11-10,358
2012-11-11,315
2012-11-12,228
2012-11-13,637
2012-11-14,322
2012-11-15,274
2012-11-16,321
2012-11-17,274
2012-11-18,239
2012-11-19,288
2012-11-20,370
2012-11-21,518
2012-11-22,696
2012-11-23,1065
2012-11-24,750
2012-11-25,585
2012-11-26,2446
2012-11-27,725
2012-11-28,897
2012-11-29,456
2012-11-30,371
2012-12-01,909
2012-12-02,352
2012-12-03,477
2012-12-04,794
2012-12-05,497
2012-12-06,427
2012-12-07,524
2012-12-08,349
2012-12-09,344
2012-12-10,660
2012-12-11,872
2012-12-12,500
2012-12-13,1729
2012-12-14,2026
2012-12-15,1180
2012-12-16,372
2012-12-17,629
2012-12-18,1672
2012-12-19,2820
2012-12-20,1141
2012-12-21,1733
2012-12-22,1189
2012-12-23,652
2012-12-24,2100
2012-12-25,469
2012-12-26,639
2012-12-27,2407
2012-12-28,2956
2012-12-29,2889
2012-12-30,917
2012-12-31,681
2013-01-01,1171
2013-01-02,1335
2013-01-03,2565
2013-01-04,1426
2013-01-05,979
2013-01-06,342
2013-01-07,1257
2013-01-08,1225
2013-01-09,1457
2013-01-10,1088
2013-01-11,1809
2013-01-12,1668
2013-01-13,2547
2013-01-14,2881
2013-01-15,1812
2013-01-16,1056
2013-01-17,2089
2013-01-18,1365
2013-01-19,1828
2013-01-20,1702
2013-01-21,2502
2013-01-22,1736
2013-01-23,1882
2013-01-24,1084
2013-01-25,1803
2013-01-26,1435
2013-01-27,998
2013-01-28,2909
2013-01-29,1202
2013-01-30,1207
2013-01-31,673
2013-02-01,2157
2013-02-02,890
2013-02-03,762
2013-02-04,1990
2013-02-05,1885
2013-02-06,2129
2013-02-07,912
2013-02-08,2415
2013-02-09,1564
2013-02-10,524
2013-02-11,1176
2013-02-12,2659
2013-02-13,2089
2013-02-14,1407
2013-02-15,923
2013-02-16,1640
2013-02-17,1284
2013-02-18,684
2013-02-19,1211
2013-02-20,1128
2013-02-21,893
2013-02-22,1403
2013-02-23,1393
2013-02-24,1214
2013-02-25,796
2013-02-26,950
2013-02-27,574
2013-02-28,663
2013-03-01,790
2013-03-02,413
2013-03-03,696
2013-03-04,989
2013-03-05,641
2013-03-06,788
2013-03-07,625
2013-03-08,746
2013-03-09,648
2013-03-10,2349
2013-03-11,733
2013-03-12,727
2013-03-13,855
2013-03-14,763
2013-03-15,859
2013-03-16,555
2013-03-17,512
2013-03-18,771
2013-03-19,899
2013-03-20,1002
2013-03-21,1168
2013-03-22,1209
2013-03-23,872
2013-03-24,738
2013-03-25,830
2013-03-26,915
2013-03-27,1156
2013-03-28,1243
2013-03-29,1049
2013-03-30,960
2013-03-31,717
2013-04-01,1130
2013-04-02,1484
2013-04-03,1521
