Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2015-06-29T00:00:00Z,49800061.1897664,80174745.513614,185514374.4478548,217842970.2550245,462164935.0203682,792166228.7874061,1154736069.8462963,1049048550.4918624,103895485.0378823,8322153.9463564,470.0953007,0,0
2015-06-28T00:00:00Z,30104091.2883908,97312419.5861059,191595705.0352516,213384384.5907555,467066084.4650726,793179701.5606194,1155072739.5536087,1042071432.8430016,103820568.1451556,8315193.5476994,469.322496,0,0
2015-06-27T00:00:00Z,31150304.9769045,96253681.3270831,192060076.9915359,212727290.1705733,478297202.5362572,782146149.101081,1168797565.03839,1027329415.464271,103596408.669389,8309281.4193349,468.5540006,0,0
2015-06-26T00:00:00Z,46492897.8413485,83095185.4744479,189671352.5956381,211405011.5369001,482667759.4501617,779956741.054475,1175685690.0876284,1018751193.5938294,103362824.7638046,8309863.4151771,467.275569,0,0
2015-06-25T00:00:00Z,41424128.8773162,120225803.9914553,158809591.3399456,208201726.8046431,484065691.5510329,783783266.6091822,1176181857.066208,1015571139.2860501,102812194.0870003,8305495.5294347,466.3921584,0,0
2015-06-24T00:00:00Z,44363753.6663459,120368150.2038484,154369448.6921976,211329547.6765707,482210752.1444147,786777784.5405521,1182822330.7196033,1006610425.949158,102747419.7731914,8286838.2796964,465.5231122,0,0
2015-06-23T00:00:00Z,45367259.1093718,129018161.1538958,143766225.3405444,217678502.9472341,476477490.7783676,792292214.021397,1181475713.075019,1003636300.762353,102631987.2786457,8281534.505767,464.0723078,0,0
2015-06-22T00:00:00Z,48451389.0183345,130384805.1575416,137040831.9468842,221643027.6477702,473037879.1622217,796616797.5011189,1250482344.0561163,931870647.2240552,102640436.5768419,8277673.5295539,462.8470245,0,0
2015-06-21T00:00:00Z,29195812.4905337,149092470.7516581,136391390.8352458,223271753.6367528,493011691.5509727,776353187.8566678,1255705651.6818092,925623617.3149729,102635082.9821644,8268606.0408709,460.9904258,0,0
2015-06-20T00:00:00Z,34818626.6742031,143719097.2979489,137776956.4769094,221801517.0145102,493257854.2434729,775675710.5817325,1262958402.2093158,917672411.0120581,102502648.7169617,8290370.7390802,460.2362948,0,0
2015-06-19T00:00:00Z,78765862.6003231,98360500.4861215,136346939.6428015,220976978.4199922,496484525.9979143,774392484.8986475,1268624924.7250247,913471460.8840226,102112683.3131357,8284405.4507174,459.4462528,0,0
2015-06-18T00:00:00Z,50253765.9948007,97495388.53062,152280912.2065001,229430266.7272478,500401443.8781314,778959943.4490753,1323440197.636093,854980470.9890262,101900407.9367137,8279786.4522885,458.2863275,0,0
2015-06-17T00:00:00Z,60274014.6431865,83736185.7119611,153422014.0756047,232763526.9349323,500694758.5179232,778131269.7638444,1331031075.2723851,845965975.5290278,101789417.3866413,8269618.5193292,442.7584111,0,0
2015-06-16T00:00:00Z,59503991.1688837,71226145.7089027,154313309.8545109,241987854.5396657,507411913.1675599,773756639.5261296,1364533205.088483,811404008.689915,101682806.7227069,8252483.1952097,442.1120131,0,0
2015-06-15T00:00:00Z,43030507.2419541,74079181.2998374,157295509.2186281,251919338.1286459,507611820.8159039,772382304.2747486,1374640496.6170423,801000528.986445,101283283.2623265,8244726.7472186,441.319285,0,0
2015-06-14T00:00:00Z,27945615.2663105,88838586.0776789,154484943.0186985,260138765.1681695,503468215.8661819,772250450.5932381,1379760369.070094,794515694.1591223,101219737.6941523,8232681.245007,440.6871868,0,0
