date,Short Liquidations USD
2022-07-24,12710412.56843927
2022-07-25,10697505.0025114
2022-07-26,8946847.43872
2022-07-27,68739034.5574364
2022-07-28,70128610.43178755
2022-07-29,20879058.37881675
2022-07-30,24099488.67674498
2022-07-31,9176072.88254
2022-08-01,12280328.248764
2022-08-02,12511550.08302
2022-08-03,15054923.81126
2022-08-04,6261210.4541028
2022-08-05,19755897.13834119
2022-08-06,1661504.86227
2022-08-07,5114025.43399
2022-08-08,37360270.33233965
2022-08-09,4862924.28294
2022-08-10,61131072.76038272
2022-08-11,63966742.86266781
2022-08-12,21753990.76840412
2022-08-13,46838520.01139
2022-08-14,16040347.49737798
2022-08-15,20372434.01077729
2022-08-16,4844908.48816891
2022-08-17,13715469.82631565
2022-08-18,3006390.20341
2022-08-19,17953765.15142
2022-08-20,9752466.08536
2022-08-21,12313051.00806246
2022-08-22,10668328.60352588
2022-08-23,14517572.3809
2022-08-24,12602767.15757
2022-08-25,5775895.98393891
2022-08-26,15279612.91344821
2022-08-27,8542347.52549
2022-08-28,3829262.46720684
2022-08-29,21764111.78027
2022-08-30,15620246.70343
2022-08-31,16059068.9319
2022-09-01,7807024.55196574
2022-09-02,8285804.66272295
2022-09-03,882918.60054
2022-09-04,4019892.10529305
2022-09-05,3659776.84751734
2022-09-06,20541083.29140924
2022-09-07,21357636.09395111
2022-09-08,7371035.20863253
2022-09-09,114334492.78276607
2022-09-10,32244144.96124404
2022-09-11,10104213.2797229
2022-09-12,54535485.53004874
2022-09-13,28781376.01265288
2022-09-14,15773832.43173
2022-09-15,10980708.97470756
2022-09-16,7296521.38955763
2022-09-17,8955799.26345326
2022-09-18,3689756.49160018
2022-09-19,27200854.08609506
2022-09-20,11152284.26641
2022-09-21,25130955.29863517
2022-09-22,28755506.03955424
2022-09-23,14124440.8168762
2022-09-24,2860814.98089
2022-09-25,3774190.88184
2022-09-26,12600401.2452986
2022-09-27,34053875.63580972
2022-09-28,21182837.114069
2022-09-29,14224520.29537704
2022-09-30,18268007.73347847
2022-10-01,772859.10593
2022-10-02,2923915.29215
2022-10-03,13368718.20002244
2022-10-04,26246585.10833839
2022-10-05,8085527.03069
2022-10-06,6792619.792854
2022-10-07,4363758.79088
2022-10-08,1066557.08353
2022-10-09,1711317.33972198
2022-10-10,3894495.76777258
2022-10-11,3623488.63185
2022-10-12,3595234.13000802
2022-10-13,27147972.10058915
2022-10-14,40639158.74123633
2022-10-15,790382.80227
2022-10-16,6424345.08969328
2022-10-17,5917710.55499189
2022-10-18,4993933.46793
2022-10-19,2488361.1763172
2022-10-20,3783909.37514
2022-10-21,7288175.62682
2022-10-22,1239068.40804
2022-10-23,13087237.62822551
2022-10-24,6433093.77416
2022-10-25,325365321.4095731
2022-10-26,331839785.0189916
2022-10-27,5849186.09333
2022-10-28,15333474.88561
2022-10-29,101786773.73590998
2022-10-30,3011124.03442336
2022-10-31,5963985.44112798
2022-11-01,3611047.19683
2022-11-02,7437973.04219
2022-11-03,2894870.55661
2022-11-04,39931276.82760374
2022-11-05,7610523.57205491
2022-11-06,2724652.48526
2022-11-07,3070511.70353
2022-11-08,59521499.361214
2022-11-09,71694161.65247001
2022-11-10,72501183.50319365
2022-11-11,20143364.74711569
2022-11-12,2632158.7547
2022-11-13,3468633.98516
2022-11-14,24647971.96296453
2022-11-15,12633029.93564
2022-11-16,3907258.3067891
2022-11-17,3662800.25802
2022-11-18,4636065.35876033
2022-11-19,1960445.81348
2022-11-20,1614679.49507
2022-11-21,10168620.07022
2022-11-22,14514399.71227
2022-11-23,13954394.1282679
2022-11-24,3255533.56164
2022-11-25,2721760.37963
2022-11-26,2974770.72031
2022-11-27,1217698.86118
2022-11-28,7386864.22419
2022-11-29,6735424.14885
2022-11-30,23503391.23794959
2022-12-01,4858005.20021274
2022-12-02,5362158.09505
2022-12-03,759417.12086
2022-12-04,3269145.27004185
2022-12-05,6059374.31027
2022-12-06,3922712.23043
2022-12-07,1469284.70936
2022-12-08,8813056.84737835
2022-12-09,1113869.53103
2022-12-10,354068.40806
2022-12-11,1342917.54865981
2022-12-12,4124483.87962
2022-12-13,25561261.93417865
2022-12-14,16755651.64145757
2022-12-15,813231.37716
2022-12-16,4774811.23082
2022-12-17,3233148.46037
2022-12-18,2513218.40149655
2022-12-19,929293.76114
2022-12-20,10868458.42715446
2022-12-21,634831.04188
2022-12-22,1969842.12735
2022-12-23,1556622.26129
2022-12-24,82760.74815
2022-12-25,535305.67137
2022-12-26,1863711.52594
2022-12-27,698893.41318875
2022-12-28,2093137.9685
2022-12-29,1115290.22848
2022-12-30,2472609.35577102
2022-12-31,432087.9217
2023-01-01,371839.01201
2023-01-02,5398527.77267
2023-01-03,662668.3073
2023-01-04,9462240.35176401
2023-01-05,462802.81735
2023-01-06,5972001.28372
2023-01-07,112145.12972
2023-01-08,15418485.97027
2023-01-09,15210526.41128816
2023-01-10,9814732.24848012
2023-01-11,4705708.00897
2023-01-12,34223169.87663525
2023-01-13,43391592.75428138
2023-01-14,89403649.52877149
2023-01-15,6003870.73466
2023-01-16,27228903.64324841
2023-01-17,12943644.72841
2023-01-18,24625369.29816982
2023-01-19,9290869.92493767
2023-01-20,61638623.82957195
2023-01-21,38475409.67968324
2023-01-22,8873583.88036425
2023-01-23,15905873.35578455
2023-01-24,5647212.7322818
2023-01-25,50742587.97683302
2023-01-26,4923787.98038
2023-01-27,19220055.95807049
2023-01-28,1001849.91874
2023-01-29,33017410.04866366
2023-01-30,4226672.04889
2023-01-31,8419622.88465113
2023-02-01,15823535.50789393
2023-02-02,23145368.80957138
2023-02-03,4951553.77492333
2023-02-04,1949992.53379
2023-02-05,2021334.674589
2023-02-06,8549760.55371
2023-02-07,14542579.84884404
2023-02-08,6194022.1634218
2023-02-09,5392041.91753
2023-02-10,5221736.26306568
2023-02-11,3559544.60479
2023-02-12,4064338.69931359
2023-02-13,9360701.2826
2023-02-14,13539813.55662589
2023-02-15,71992280.34793283
2023-02-16,39986402.50793451
2023-02-17,33442684.25322272
2023-02-18,4250368.85702166
2023-02-19,10916562.85502886
2023-02-20,20193998.38972601
2023-02-21,13170453.36325416
