date,Exchange Netflow (Total)
2023-11-27,-105294330.644151
2023-11-28,82970613.412054
2023-11-29,69147090.682571
2023-11-30,15387637.327866
2023-12-01,70145398.651006
2023-12-02,-62377358.960629
2023-12-03,30184636.087488
2023-12-04,780915.292444
2023-12-05,-40466154.189375
2023-12-06,-25984089.976009
2023-12-07,25559117.167804
2023-12-08,104959196.712111
2023-12-09,7437454.311679
2023-12-10,10360425.225327
2023-12-11,-72221526.507452
2023-12-12,-105225692.22234
2023-12-13,80161482.56112
2023-12-14,-11728661.337185
2023-12-15,-23880578.298446
2023-12-16,31431104.381276
2023-12-17,72806148.807817
2023-12-18,5755337.621813
2023-12-19,96478992.259155
2023-12-20,27332586.996078
2023-12-21,-72759138.482494
2023-12-22,74839888.969475
2023-12-23,35218014.949363
2023-12-24,6084002.033518
2023-12-25,-39863634.968667
2023-12-26,-150511880.349928
2023-12-27,61629504.63264
2023-12-28,100882490.654723
2023-12-29,66850846.194431
2023-12-30,-27466900.33648
2023-12-31,-72266379.65626
2024-01-01,-22294787.148105
2024-01-02,164511076.178131
2024-01-03,61186918.471469
2024-01-04,31243984.856152
2024-01-05,117451211.190379
2024-01-06,63598375.976573
2024-01-07,41052518.043879
2024-01-08,-32432573.69643
2024-01-09,40228222.264259
2024-01-10,-80641316.568957
2024-01-11,8853907.33108
2024-01-12,-63546657.30678
2024-01-13,-9845158.753548
2024-01-14,94408516.01275
2024-01-15,69457984.131817
2024-01-16,122618090.595612
2024-01-17,182849997.517265
2024-01-18,18235766.502269
2024-01-19,-448569732.457673
2024-01-20,-137179012.071362
2024-01-21,-13457435.841429
2024-01-22,32664434.233356
2024-01-23,-27604187.275101
2024-01-24,92741749.352624
2024-01-25,137499591.006196
2024-01-26,91199472.084789
2024-01-27,-11832166.328946
2024-01-28,23207774.099543
2024-01-29,169531622.644975
2024-01-30,-376426918.143759
2024-01-31,272213771.456333
2024-02-01,2461829.73219
2024-02-02,36335688.952793
2024-02-03,51636503.297538
2024-02-04,34766852.898595
2024-02-05,20235928.200932
2024-02-06,-1442350.452777
2024-02-07,65619455.883326
2024-02-08,236350082.797689
2024-02-09,-473056968.264511
2024-02-10,80333814.985213
2024-02-11,16996495.941209
2024-02-12,-70506452.451051
2024-02-13,-166716378.674379
2024-02-14,198773752.770312
2024-02-15,58861587.416036
2024-02-16,-70316622.270823
2024-02-17,26558517.964567
2024-02-18,15065197.052362
2024-02-19,27329600.639732
2024-02-20,6772112.964288
2024-02-21,-115057792.678827
2024-02-22,-47363261.663638
2024-02-23,-9504081.187156
2024-02-24,30037503.317895
2024-02-25,-19686986.717746
2024-02-26,22504472.147434
2024-02-27,96583914.925453
2024-02-28,128847669.110885
2024-02-29,76601184.46413
2024-03-01,106177604.185881
2024-03-02,100207808.086371
2024-03-03,1721152.626074
2024-03-04,34245474.63897
2024-03-05,-96706344.737034
2024-03-06,200942224.481426
2024-03-07,226762701.332738
2024-03-08,191811331.494395
2024-03-09,46010327.669082
2024-03-10,20614379.515463
2024-03-11,11023305.183744
2024-03-12,79663883.740787
2024-03-13,214849896.610602
2024-03-14,-62423272.233305
2024-03-15,-118915171.64999
2024-03-16,131336814.305013
2024-03-17,-13907016.58533
2024-03-18,39368349.409672
2024-03-19,-10178790.817122
2024-03-20,-139362599.900172
2024-03-21,274822531.575915
2024-03-22,-83257325.047952
2024-03-23,-41873210.402851
2024-03-24,-42835493.229882
2024-03-25,202796404.1307
2024-03-26,-34598980.894883
2024-03-27,-332131147.505459
2024-03-28,23591296.678733
2024-03-29,-314452798.57591
2024-03-30,73503984.493612
2024-03-31,-127672933.629263
2024-04-01,-230594117.382475
2024-04-02,62541610.561639
2024-04-03,264865907.466397
2024-04-04,-15074647.295657
2024-04-05,-333679932.659782
2024-04-06,-33881159.496063
2024-04-07,101609953.649346
2024-04-08,-102443202.967405
2024-04-09,-119767258.752468
2024-04-10,-132680781.650062
2024-04-11,58141081.766075
2024-04-12,-444614264.456912
2024-04-13,-60429798.241944
2024-04-14,77129274.961478
2024-04-15,26423848.988047
2024-04-16,-87303520.26984
2024-04-17,-109660766.208204
2024-04-18,955924292.716792
2024-04-19,60903418.310219
2024-04-20,-67733433.818383
2024-04-21,-45663796.314623
2024-04-22,14382716.75439
2024-04-23,-46991764.328116
2024-04-24,-365705944.148426
2024-04-25,-751199457.817077
2024-04-26,-67880235.266098
2024-04-27,-69990898.933114
2024-04-28,30848751.748175
2024-04-29,-102647659.27461
2024-04-30,-263234649.924098
2024-05-01,-181668046.623277
2024-05-02,112845850.019411
2024-05-03,195736409.77204
2024-05-04,-167941855.466241
2024-05-05,59279008.062574
2024-05-06,-122944462.614881
2024-05-07,-54690750.003193
2024-05-08,-97283253.634389
2024-05-09,-41539193.97405
2024-05-10,-87230358.448413
2024-05-11,-24236083.621679
2024-05-12,-25430674.236172
2024-05-13,6258971.222131
2024-05-14,7705854.343525
2024-05-15,287418030.375153
2024-05-16,41036223.387107
2024-05-17,-6632293.873906
2024-05-18,-63038628.004543
2024-05-19,-9830094.139423
2024-05-20,148562271.075729
2024-05-21,-275176586.262559
2024-05-22,-197022151.904275
2024-05-23,-52735457.555864
2024-05-24,2957462.710155
2024-05-25,59866049.615387
2024-05-26,-27520861.987735
2024-05-27,35535395.116784
2024-05-28,12222251.562859
2024-05-29,-27455046.761078
2024-05-30,199177709.278247
2024-05-31,8114297.832271
2024-06-01,-7498540.575875
2024-06-02,-5349499.53991
2024-06-03,153230449.696398
2024-06-04,97419253.008571
2024-06-05,-36907924.004284
2024-06-06,-42217354.557444
2024-06-07,-116595978.218175
2024-06-08,49719140.459585
2024-06-09,-14624191.30302
2024-06-10,-15269660.51944
2024-06-11,-58011167.289111
2024-06-12,173230357.845771
2024-06-13,-16306738.741127
2024-06-14,135180433.096523
2024-06-15,36480828.455346
2024-06-16,-45430883.376213
2024-06-17,419325289.097155
2024-06-18,231468658.570312
2024-06-19,-25655416.31694
