date,Total Supply
2010-12-24,4963300.0
2010-12-25,4971700.0
2010-12-26,4978950.0
2010-12-27,4987250.0
2010-12-28,4995700.0
2010-12-29,5003950.0
2010-12-30,5012400.0
2010-12-31,5020500.0
2011-01-01,5029550.0
2011-01-02,5038300.0
2011-01-03,5046100.0
2011-01-04,5053150.0
2011-01-05,5060850.0
2011-01-06,5067900.0
2011-01-07,5076100.0
2011-01-08,5084600.0
2011-01-09,5092750.0
2011-01-10,5100850.0
2011-01-11,5109450.0
2011-01-12,5117800.0
2011-01-13,5127200.0
2011-01-14,5136250.0
2011-01-15,5144100.0
2011-01-16,5152800.0
2011-01-17,5161850.0
2011-01-18,5168900.0
2011-01-19,5177350.0
2011-01-20,5186650.0
2011-01-21,5195350.0
2011-01-22,5203600.0
2011-01-23,5212100.0
2011-01-24,5221500.0
2011-01-25,5229300.0
2011-01-26,5238300.0
2011-01-27,5246300.0
2011-01-28,5254200.0
2011-01-29,5262250.0
2011-01-30,5270050.0
2011-01-31,5278550.0
2011-02-01,5286750.0
2011-02-02,5294650.0
2011-02-03,5302650.0
2011-02-04,5312350.0
2011-02-05,5321300.0
2011-02-06,5330150.0
2011-02-07,5340300.0
2011-02-08,5348700.0
2011-02-09,5358300.0
2011-02-10,5367600.0
2011-02-11,5376900.0
2011-02-12,5386700.0
2011-02-13,5396600.0
2011-02-14,5406400.0
2011-02-15,5417650.0
2011-02-16,5429250.0
2011-02-17,5440800.0
2011-02-18,5451400.0
2011-02-19,5459450.0
2011-02-20,5469350.0
2011-02-21,5479050.0
2011-02-22,5489600.0
2011-02-23,5501750.0
2011-02-24,5512100.0
2011-02-25,5523350.0
2011-02-26,5537150.0
2011-02-27,5549350.0
2011-02-28,5556850.0
2011-03-01,5563350.0
2011-03-02,5571750.0
2011-03-03,5581050.0
2011-03-04,5592100.0
2011-03-05,5605950.0
2011-03-06,5619650.0
2011-03-07,5630200.0
2011-03-08,5639550.0
2011-03-09,5647550.0
2011-03-10,5653050.0
2011-03-11,5659550.0
2011-03-12,5666550.0
2011-03-13,5672400.0
2011-03-14,5678000.0
2011-03-15,5683600.0
2011-03-16,5690400.0
2011-03-17,5697450.0
2011-03-18,5703450.0
2011-03-19,5709200.0
2011-03-20,5716050.0
2011-03-21,5723450.0
2011-03-22,5729400.0
2011-03-23,5737250.0
2011-03-24,5744850.0
2011-03-25,5753500.0
2011-03-26,5760400.0
2011-03-27,5767550.0
2011-03-28,5775950.0
2011-03-29,5784100.0
2011-03-30,5791900.0
2011-03-31,5801950.0
2011-04-01,5810750.0
2011-04-02,5819750.0
2011-04-03,5828500.0
2011-04-04,5837400.0
2011-04-05,5847100.0
2011-04-06,5854500.0
2011-04-07,5861850.0
2011-04-08,5870150.0
2011-04-09,5877950.0
2011-04-10,5886600.0
2011-04-11,5894750.0
2011-04-12,5902900.0
2011-04-13,5912600.0
2011-04-14,5920600.0
2011-04-15,5927400.0
2011-04-16,5936050.0
2011-04-17,5945050.0
2011-04-18,5952450.0
2011-04-19,5960150.0
2011-04-20,5967350.0
2011-04-21,5974700.0
2011-04-22,5983500.0
2011-04-23,5992100.0
2011-04-24,6000200.0
2011-04-25,6009800.0
2011-04-26,6019550.0
2011-04-27,6028700.0
2011-04-28,6036900.0
2011-04-29,6046900.0
2011-04-30,6056350.0
2011-05-01,6065300.0
2011-05-02,6075150.0
2011-05-03,6084950.0
2011-05-04,6094800.0
2011-05-05,6105750.0
2011-05-06,6116650.0
2011-05-07,6127350.0
2011-05-08,6138300.0
2011-05-09,6150250.0
2011-05-10,6159400.0
2011-05-11,6168950.0
2011-05-12,6177400.0
2011-05-13,6187750.0
2011-05-14,6199850.0
2011-05-15,6210850.0
2011-05-16,6223200.0
2011-05-17,6236050.0
2011-05-18,6250449.98999999
2011-05-19,6258999.98999999
2011-05-20,6269999.98999999
2011-05-21,6280999.98999999
2011-05-22,6293599.98999999
2011-05-23,6307899.98999999
2011-05-24,6322849.98999999
2011-05-25,6338199.98999999
2011-05-26,6352999.98999999
2011-05-27,6361349.98999999
2011-05-28,6369099.98999999
2011-05-29,6378099.98999999
2011-05-30,6385799.98999999
2011-05-31,6393299.98999999
2011-06-01,6402699.98999999
2011-06-02,6412199.98999999
2011-06-03,6422299.98999999
2011-06-04,6433499.98999999
