date,Transaction Count (Total)
2021-03-15,1321388
2021-03-16,1308992
2021-03-17,1272298
2021-03-18,1299760
2021-03-19,1291231
2021-03-20,1262309
2021-03-21,1206064
2021-03-22,1307460
2021-03-23,1298959
2021-03-24,1309468
2021-03-25,1349663
2021-03-26,1265836
2021-03-27,1230764
2021-03-28,1211918
2021-03-29,1269901
2021-03-30,1300973
2021-03-31,1354603
2021-04-01,1368006
2021-04-02,1358619
2021-04-03,1293333
2021-04-04,1197875
2021-04-05,1296946
2021-04-06,1335799
2021-04-07,1312638
2021-04-08,1284449
2021-04-09,1300882
2021-04-10,1315016
2021-04-11,1256904
2021-04-12,1347983
2021-04-13,1350467
2021-04-14,1386341
2021-04-15,1197340
2021-04-16,1426977
2021-04-17,1453000
2021-04-18,1396766
2021-04-19,1476842
2021-04-20,1555560
2021-04-21,1565355
2021-04-22,1577266
2021-04-23,1537100
2021-04-24,1389103
2021-04-25,1389350
2021-04-26,1448466
2021-04-27,1448293
2021-04-28,1517604
2021-04-29,1530717
2021-04-30,1441230
2021-05-01,1427568
2021-05-02,1417458
2021-05-03,1488804
2021-05-04,1536119
2021-05-05,1518877
2021-05-06,1532197
2021-05-07,1527890
2021-05-08,1710882
2021-05-09,1716600
2021-05-10,1716489
2021-05-11,1716051
2021-05-12,1624077
2021-05-13,1588560
2021-05-14,1531689
2021-05-15,1472680
2021-05-16,1425115
2021-05-17,1446627
2021-05-18,1425053
2021-05-19,1461174
2021-05-20,1459146
2021-05-21,1367394
2021-05-22,1283663
2021-05-23,1264253
2021-05-24,1312739
2021-05-25,1289446
2021-05-26,1326432
2021-05-27,1291385
2021-05-28,1305078
2021-05-29,1293425
2021-05-30,1280282
2021-05-31,1297889
2021-06-01,1274354
2021-06-02,1314178
2021-06-03,1337711
2021-06-04,1301803
2021-06-05,1176676
2021-06-06,1134526
2021-06-07,1225549
2021-06-08,1221063
2021-06-09,1194275
2021-06-10,1188556
2021-06-11,1183286
2021-06-12,1131777
2021-06-13,1124736
2021-06-14,1188556
2021-06-15,1224101
2021-06-16,1201109
2021-06-17,1218956
2021-06-18,1170182
2021-06-19,1050189
2021-06-20,1057288
2021-06-21,1209567
2021-06-22,1297644
2021-06-23,1201974
2021-06-24,1207012
2021-06-25,1227331
2021-06-26,1150460
2021-06-27,1104703
2021-06-28,1404100
2021-06-29,1264320
2021-06-30,1212214
2021-07-01,1211710
2021-07-02,1181574
2021-07-03,1122543
2021-07-04,1105343
2021-07-05,1147895
2021-07-06,1355421
2021-07-07,1290979
2021-07-08,1262627
2021-07-09,1223691
2021-07-10,1139265
2021-07-11,1101766
2021-07-12,1191465
2021-07-13,1183412
2021-07-14,1223130
2021-07-15,1259972
2021-07-16,1199018
2021-07-17,1164624
2021-07-18,1168843
2021-07-19,1195218
2021-07-20,1192750
2021-07-21,1195171
2021-07-22,1202844
2021-07-23,1203397
2021-07-24,1225509
2021-07-25,1128848
2021-07-26,1260619
2021-07-27,1318124
2021-07-28,1300283
2021-07-29,1259128
2021-07-30,1242337
2021-07-31,1212322
2021-08-01,1190618
2021-08-02,1269470
2021-08-03,1219663
2021-08-04,1223841
2021-08-05,1159663
2021-08-06,1212021
2021-08-07,1198433
2021-08-08,1184278
2021-08-09,1218594
2021-08-10,1212289
2021-08-11,1234409
2021-08-12,1195283
2021-08-13,1197050
2021-08-14,1159942
2021-08-15,1125295
2021-08-16,1253968
2021-08-17,1252163
2021-08-18,1201544
2021-08-19,1255453
2021-08-20,1260054
2021-08-21,1186758
2021-08-22,1183893
2021-08-23,1245624
2021-08-24,1247051
2021-08-25,1184780
2021-08-26,1175063
2021-08-27,1119072
2021-08-28,1131721
2021-08-29,1147150
2021-08-30,1198993
2021-08-31,1206314
2021-09-01,1225104
2021-09-02,1261258
2021-09-03,1198777
2021-09-04,1189085
2021-09-05,1136467
2021-09-06,1206493
2021-09-07,1308071
2021-09-08,1178449
2021-09-09,1219850
2021-09-10,1244706
2021-09-11,1249438
2021-09-12,1211328
2021-09-13,1267491
2021-09-14,1231240
2021-09-15,1207590
2021-09-16,1224358
2021-09-17,1187578
2021-09-18,1143196
2021-09-19,1128226
2021-09-20,1174559
2021-09-21,1193295
2021-09-22,1174030
2021-09-23,1193053
2021-09-24,1152685
2021-09-25,1121078
2021-09-26,1088537
2021-09-27,1133903
2021-09-28,1108122
2021-09-29,1135869
2021-09-30,1116157
2021-10-01,1207263
2021-10-02,1117899
2021-10-03,1130224
2021-10-04,1121513
2021-10-05,1235674
2021-10-06,1337833
2021-10-07,1344295
2021-10-08,1287034
2021-10-09,1191856
2021-10-10,1137901
2021-10-11,1183486
2021-10-12,1203566
2021-10-13,1189854
2021-10-14,1227097
2021-10-15,1302993
2021-10-16,1181031
2021-10-17,1144184
2021-10-18,1197673
2021-10-19,1243503
2021-10-20,1259885
2021-10-21,1277275
2021-10-22,1256044
2021-10-23,1235169
2021-10-24,1261312
2021-10-25,1299495
2021-10-26,1344772
2021-10-27,1370504
2021-10-28,1510502
2021-10-29,1456333
2021-10-30,1379095
2021-10-31,1304184
2021-11-01,1341733
2021-11-02,1395656
2021-11-03,1417221
2021-11-04,1352186
2021-11-05,1339661
2021-11-06,1255921
2021-11-07,1276998
2021-11-08,1329018
2021-11-09,1334145
2021-11-10,1390746
2021-11-11,1347643
2021-11-12,1345131
2021-11-13,1300464
2021-11-14,1275744
2021-11-15,1289636
2021-11-16,1310153
2021-11-17,1353219
2021-11-18,1284250
2021-11-19,1255788
2021-11-20,1160128
2021-11-21,1260939
2021-11-22,1221508
2021-11-23,1264994
2021-11-24,1342491
2021-11-25,1301578
2021-11-26,1297524
2021-11-27,1213284
2021-11-28,1135653
2021-11-29,1247688
2021-11-30,1280926
2021-12-01,1221643
2021-12-02,1265286
2021-12-03,1211488
2021-12-04,1235697
2021-12-05,1386491
2021-12-06,1244773
2021-12-07,1224771
2021-12-08,1296307
2021-12-09,1251338
2021-12-10,1237735
2021-12-11,1199384
2021-12-12,1181898
2021-12-13,1242978
2021-12-14,1214900
2021-12-15,1258462
2021-12-16,1155456
2021-12-17,1270355
2021-12-18,1159873
2021-12-19,1137581
2021-12-20,1201239
2021-12-21,1203638
2021-12-22,1233315
2021-12-23,1245242
2021-12-24,1298329
2021-12-25,1299519
2021-12-26,1206942
2021-12-27,1252037
2021-12-28,1241032
2021-12-29,1252468
2021-12-30,1255688
2021-12-31,1214585
2022-01-01,1180989
2022-01-02,1158900
2022-01-03,1209173
2022-01-04,1221316
2022-01-05,1249628
2022-01-06,1212495
2022-01-07,1188490
2022-01-08,1183873
2022-01-09,1108322
2022-01-10,1233195
2022-01-11,1277649
2022-01-12,1283346
2022-01-13,1282921
2022-01-14,1218460
2022-01-15,1174849
2022-01-16,1162954
2022-01-17,1198719
2022-01-18,1169526
2022-01-19,1223143
2022-01-20,1190018
2022-01-21,1189898
2022-01-22,1204920
2022-01-23,1077884
2022-01-24,1147109
2022-01-25,1177640
2022-01-26,1146116
2022-01-27,1133684
2022-01-28,1137559
2022-01-29,1147157
2022-01-30,1183850
2022-01-31,1177345
2022-02-01,1173199
2022-02-02,1152665
2022-02-03,1111215
2022-02-04,1168994
2022-02-05,1235023
2022-02-06,1173884
2022-02-07,1163338
2022-02-08,1180780
2022-02-09,1205889
2022-02-10,1205676
2022-02-11,1183966
2022-02-12,1114648
2022-02-13,1115296
2022-02-14,1147522
2022-02-15,1192633
2022-02-16,1194693
2022-02-17,1141997
2022-02-18,1252754
2022-02-19,1150162
2022-02-20,1343869
2022-02-21,1134349
2022-02-22,1129213
2022-02-23,1147632
2022-02-24,1181182
2022-02-25,1137898
2022-02-26,1167802
2022-02-27,1125065
2022-02-28,1108112
2022-03-01,1161564
2022-03-02,1191369
2022-03-03,1167187
2022-03-04,1167450
2022-03-05,1077981
2022-03-06,1123245
2022-03-07,1174568
2022-03-08,1195626
2022-03-09,1178322
2022-03-10,1229591
2022-03-11,1119334
2022-03-12,1120627
2022-03-13,1041827
2022-03-14,1097913
2022-03-15,1190207
2022-03-16,1236011
2022-03-17,1174532
2022-03-18,1265944
2022-03-19,1127607
2022-03-20,1119066
2022-03-21,1162829
2022-03-22,1220571
2022-03-23,1164437
2022-03-24,1151969
2022-03-25,1146814
2022-03-26,1123878
2022-03-27,1122675
2022-03-28,1218023
2022-03-29,1199899
2022-03-30,1152200
2022-03-31,1167121
2022-04-01,1159493
2022-04-02,1094668
2022-04-03,1060779
2022-04-04,1105170
2022-04-05,1087129
2022-04-06,1127174
2022-04-07,1127793
2022-04-08,1104419
2022-04-09,1085399
2022-04-10,1104239
2022-04-11,1113264
2022-04-12,1112524
2022-04-13,1067983
2022-04-14,1117285
2022-04-15,1110994
2022-04-16,1059286
2022-04-17,1043251
2022-04-18,1103439
2022-04-19,1214496
2022-04-20,1241534
2022-04-21,1119925
2022-04-22,1144822
2022-04-23,1051478
2022-04-24,1071778
2022-04-25,1149227
2022-04-26,1125250
2022-04-27,1161504
2022-04-28,1155514
2022-04-29,1168081
2022-04-30,1211671
2022-05-01,1154787
2022-05-02,1112065
2022-05-03,1077506
2022-05-04,1102254
2022-05-05,1187804
2022-05-06,1116562
2022-05-07,1051489
2022-05-08,1087198
2022-05-09,1158340
2022-05-10,1202934
2022-05-11,1210708
2022-05-12,1327755
2022-05-13,1342405
2022-05-14,1139785
2022-05-15,1089441
2022-05-16,1124352
2022-05-17,1135718
2022-05-18,1177913
2022-05-19,1093367
2022-05-20,1112811
2022-05-21,1094539
2022-05-22,1055644
2022-05-23,1085863
2022-05-24,1100715
2022-05-25,1094639
2022-05-26,1071180
2022-05-27,1093469
2022-05-28,1069802
2022-05-29,1065407
2022-05-30,1070320
2022-05-31,1149142
2022-06-01,1091283
2022-06-02,1092776
2022-06-03,1067485
2022-06-04,1029121
2022-06-05,1007109
2022-06-06,1044319
2022-06-07,1050984
2022-06-08,1042749
2022-06-09,1022462
2022-06-10,1079448
2022-06-11,1031618
2022-06-12,1021635
2022-06-13,1109435
2022-06-14,1086757
2022-06-15,1097000
2022-06-16,1100312
2022-06-17,1110579
2022-06-18,1058336
2022-06-19,1018674
2022-06-20,1042748
2022-06-21,1012862
2022-06-22,988683
2022-06-23,967965
2022-06-24,1019472
2022-06-25,939290
2022-06-26,919721
2022-06-27,994102
2022-06-28,976577
2022-06-29,1005566
2022-06-30,1054433
2022-07-01,1178620
2022-07-02,1189382
2022-07-03,1157052
2022-07-04,1151999
2022-07-05,1182504
2022-07-06,1161432
2022-07-07,1194330
2022-07-08,1192819
2022-07-09,1170747
2022-07-10,1148902
2022-07-11,1146369
2022-07-12,1135896
2022-07-13,1174882
2022-07-14,1189567
2022-07-15,1217596
2022-07-16,1241502
2022-07-17,1245545
2022-07-18,1213565
2022-07-19,1175526
2022-07-20,1191452
2022-07-21,1204397
2022-07-22,1201699
2022-07-23,1144468
2022-07-24,1122303
2022-07-25,1275861
2022-07-26,1679068
2022-07-27,1197448
2022-07-28,1158611
2022-07-29,1192330
2022-07-30,1179749
2022-07-31,1158621
2022-08-01,1342202
2022-08-02,1206185
2022-08-03,1250888
2022-08-04,1459603
2022-08-05,1207188
2022-08-06,1148225
2022-08-07,1166932
2022-08-08,1167115
2022-08-09,1125139
2022-08-10,1160380
2022-08-11,1098707
2022-08-12,1130848
2022-08-13,1106236
2022-08-14,1102367
2022-08-15,1104408
2022-08-16,1086312
2022-08-17,1099261
2022-08-18,1117868
2022-08-19,1093309
2022-08-20,1096088
2022-08-21,1077250
2022-08-22,1059940
2022-08-23,1075718
2022-08-24,1043820
2022-08-25,1074563
2022-08-26,1057768
2022-08-27,1047949
2022-08-28,1025044
2022-08-29,1083202
2022-08-30,1051964
2022-08-31,1035135
2022-09-01,1085160
2022-09-02,1083220
2022-09-03,1035586
2022-09-04,1113119
2022-09-05,1091350
2022-09-06,1076929
2022-09-07,1068296
2022-09-08,1078689
2022-09-09,1093966
2022-09-10,998158
2022-09-11,1024482
2022-09-12,1068969
2022-09-13,1093205
2022-09-14,1109172
2022-09-15,1265640
2022-09-16,1311849
2022-09-17,1322077
2022-09-18,1156893
2022-09-19,1138210
2022-09-20,1149031
2022-09-21,1100130
2022-09-22,1118297
2022-09-23,1119895
2022-09-24,1109206
2022-09-25,1107217
2022-09-26,1141218
2022-09-27,1214294
2022-09-28,1109706
2022-09-29,1129558
2022-09-30,1225886
2022-10-01,1158038
2022-10-02,1163876
2022-10-03,1307142
2022-10-04,1185269
2022-10-05,1169356
2022-10-06,1202667
2022-10-07,1180358
2022-10-08,1180084
2022-10-09,1068531
2022-10-10,1123390
2022-10-11,1130309
2022-10-12,1074204
2022-10-13,1124129
2022-10-14,1071895
2022-10-15,1037870
2022-10-16,980678
2022-10-17,1073063
2022-10-18,1062562
2022-10-19,1088602
2022-10-20,1155589
2022-10-21,1116822
2022-10-22,959417
2022-10-23,1009771
2022-10-24,1039240
2022-10-25,1048003
2022-10-26,1104723
2022-10-27,1111785
2022-10-28,1059633
2022-10-29,1038800
2022-10-30,1033475
2022-10-31,1063248
2022-11-01,1071986
2022-11-02,1015945
2022-11-03,1093977
2022-11-04,1014135
2022-11-05,952067
2022-11-06,962845
2022-11-07,1106711
2022-11-08,1132048
2022-11-09,1219648
2022-11-10,1184632
2022-11-11,1118967
2022-11-12,1033438
2022-11-13,1133442
2022-11-14,1192824
2022-11-15,1136911
2022-11-16,1083796
2022-11-17,1103401
2022-11-18,1008485
2022-11-19,911890
2022-11-20,927233
2022-11-21,963954
2022-11-22,962924
2022-11-23,972566
2022-11-24,990202
2022-11-25,999123
2022-11-26,934988
2022-11-27,881336
2022-11-28,1087721
2022-11-29,1047387
2022-11-30,1026508
2022-12-01,984139
2022-12-02,1032952
2022-12-03,963761
2022-12-04,962172
2022-12-05,1008205
2022-12-06,1049066
2022-12-07,972121
2022-12-08,923887
2022-12-09,1932711
2022-12-10,1103199
2022-12-11,1068092
2022-12-12,1182001
2022-12-13,1151038
2022-12-14,1095120
2022-12-15,1080176
2022-12-16,1153272
2022-12-17,1040618
2022-12-18,916817
2022-12-19,994746
2022-12-20,992470
2022-12-21,1029079
2022-12-22,989565
2022-12-23,1044772
2022-12-24,911507
2022-12-25,836424
2022-12-26,937653
2022-12-27,1025274
2022-12-28,977389
2022-12-29,945627
2022-12-30,944771
2022-12-31,865806
2023-01-01,742785
2023-01-02,920276
2023-01-03,948116
2023-01-04,1046389
2023-01-05,1142818
2023-01-06,1028132
2023-01-07,957607
2023-01-08,1184114
2023-01-09,1093675
2023-01-10,1061055
2023-01-11,1083178
2023-01-12,1085563
2023-01-13,1076328
2023-01-14,1107804
2023-01-15,1000777
2023-01-16,1057284
2023-01-17,1018353
2023-01-18,1118225
2023-01-19,1007125
2023-01-20,1024504
2023-01-21,994076
2023-01-22,889814
2023-01-23,947725
2023-01-24,1032293
2023-01-25,1020705
2023-01-26,1048864
2023-01-27,1100192
2023-01-28,964429
2023-01-29,998228
2023-01-30,1074566
2023-01-31,1086364
2023-02-01,1064236
2023-02-02,1104114
2023-02-03,1072608
2023-02-04,1064597
2023-02-05,1069625
2023-02-06,1077149
2023-02-07,1142836
2023-02-08,1121215
2023-02-09,1082467
2023-02-10,1071635
2023-02-11,961493
2023-02-12,953020
2023-02-13,1054742
2023-02-14,1141796
2023-02-15,1160879
2023-02-16,1138195
2023-02-17,1066755
2023-02-18,972865
2023-02-19,1002399
2023-02-20,1059640
2023-02-21,1084290
2023-02-22,1080839
2023-02-23,1093537
2023-02-24,1095771
2023-02-25,995229
2023-02-26,982721
2023-02-27,1034112
2023-02-28,1044634
2023-03-01,1081357
2023-03-02,1088950
2023-03-03,1092189
2023-03-04,971157
2023-03-05,940858
2023-03-06,1037182
2023-03-07,1035152
2023-03-08,1011772
2023-03-09,1037747
2023-03-10,1065950
2023-03-11,1031282
2023-03-12,974883
2023-03-13,1173725
2023-03-14,1105574
2023-03-15,1076742
2023-03-16,1042763
2023-03-17,1068367
2023-03-18,1023641
2023-03-19,992358
2023-03-20,1123422
2023-03-21,1081542
2023-03-22,1073049
2023-03-23,1077305
2023-03-24,1084231
2023-03-25,1052415
2023-03-26,1011463
2023-03-27,1100122
2023-03-28,1149677
2023-03-29,1165012
2023-03-30,1187924
2023-03-31,1150727
2023-04-01,1020143
2023-04-02,981226
2023-04-03,1052294
2023-04-04,1068725
2023-04-05,1123693
2023-04-06,1036898
2023-04-07,1043552
2023-04-08,924776
2023-04-09,956899
2023-04-10,1016480
2023-04-11,1084502
2023-04-12,1021632
2023-04-13,1094764
2023-04-14,1166392
2023-04-15,1056292
2023-04-16,854249
2023-04-17,1011979
2023-04-18,1070108
2023-04-19,1085066
2023-04-20,1073576
2023-04-21,1009840
2023-04-22,862010
2023-04-23,867666
2023-04-24,940804
2023-04-25,976311
2023-04-26,978121
2023-04-27,939262
2023-04-28,987649
2023-04-29,887098
2023-04-30,974972
2023-05-01,1102060
2023-05-02,1127805
2023-05-03,1117146
2023-05-04,1110210
2023-05-05,1208548
2023-05-06,1145565
2023-05-07,1101487
2023-05-08,1145960
2023-05-09,1126707
2023-05-10,1086375
2023-05-11,1099638
2023-05-12,1070884
2023-05-13,994500
2023-05-14,992354
2023-05-15,1091921
2023-05-16,1072600
2023-05-17,1043585
2023-05-18,1054402
2023-05-19,1073998
2023-05-20,1049772
2023-05-21,1014742
2023-05-22,1075234
2023-05-23,1113165
2023-05-24,1054823
2023-05-25,1062757
2023-05-26,1059510
2023-05-27,982620
2023-05-28,968996
2023-05-29,1082245
2023-05-30,1190789
2023-05-31,1098149
2023-06-01,1071180
2023-06-02,1102996
2023-06-03,1003794
2023-06-04,962454
2023-06-05,1151611
2023-06-06,1095144
2023-06-07,1071257
2023-06-08,1008582
2023-06-09,1046976
2023-06-10,1204433
2023-06-11,1106073
2023-06-12,975959
2023-06-13,952433
2023-06-14,1023424
2023-06-15,1110065
2023-06-16,1146585
2023-06-17,984217
2023-06-18,1001818
2023-06-19,1046350
2023-06-20,1072045
2023-06-21,1091714
2023-06-22,1052333
2023-06-23,1054976
2023-06-24,1004563
2023-06-25,934895
2023-06-26,996984
2023-06-27,1067370
2023-06-28,1094481
2023-06-29,1064346
2023-06-30,1129184
2023-07-01,1015838
2023-07-02,925771
2023-07-03,1061564
2023-07-04,931944
2023-07-05,760586
2023-07-06,914280
2023-07-07,1038341
2023-07-08,1014086
2023-07-09,954379
2023-07-10,1057858
2023-07-11,1091428
2023-07-12,1041317
2023-07-13,1121269
2023-07-14,1110332
2023-07-15,950700
2023-07-16,946750
2023-07-17,1036419
2023-07-18,1175963
2023-07-19,1093783
2023-07-20,1049510
2023-07-21,1110882
2023-07-22,1004374
2023-07-23,977305
2023-07-24,1036300
2023-07-25,990249
2023-07-26,1029348
2023-07-27,998420
2023-07-28,1014601
2023-07-29,991161
2023-07-30,981157
2023-07-31,1048101
2023-08-01,1068108
2023-08-02,1042149
2023-08-03,1049539
2023-08-04,1075359
2023-08-05,1124372
2023-08-06,987506
2023-08-07,1047336
2023-08-08,1098689
2023-08-09,1076595
2023-08-10,1037733
2023-08-11,1050203
2023-08-12,972839
2023-08-13,920802
2023-08-14,1009971
2023-08-15,1056395
2023-08-16,1076026
2023-08-17,1065879
2023-08-18,1081417
2023-08-19,1041484
2023-08-20,943440
2023-08-21,1010718
2023-08-22,1040834
2023-08-23,1045220
2023-08-24,1055235
2023-08-25,1025742
2023-08-26,990794
2023-08-27,907110
2023-08-28,995843
2023-08-29,1019692
2023-08-30,1027316
2023-08-31,1010128
2023-09-01,1006635
2023-09-02,1024172
2023-09-03,1038128
2023-09-04,952440
2023-09-05,994049
2023-09-06,1058940
2023-09-07,1017089
2023-09-08,1014297
2023-09-09,929400
2023-09-10,866548
2023-09-11,1021616
2023-09-12,1092958
2023-09-13,1627860
2023-09-14,1071590
2023-09-15,1002709
2023-09-16,922374
2023-09-17,879624
2023-09-18,979571
2023-09-19,1002911
2023-09-20,1012663
2023-09-21,1131119
2023-09-22,974991
2023-09-23,863503
2023-09-24,883746
2023-09-25,990751
2023-09-26,1041222
2023-09-27,1056862
2023-09-28,1030538
2023-09-29,1024678
2023-09-30,977771
2023-10-01,922694
2023-10-02,1016845
2023-10-03,1002455
2023-10-04,983598
2023-10-05,955796
2023-10-06,993544
2023-10-07,996807
2023-10-08,924403
2023-10-09,993579
2023-10-10,1005950
2023-10-11,1005828
2023-10-12,1004069
2023-10-13,1007291
2023-10-14,898577
2023-10-15,921231
2023-10-16,1027904
2023-10-17,1002389
2023-10-18,1010682
2023-10-19,997931
2023-10-20,1087921
2023-10-21,987400
2023-10-22,980622
2023-10-23,1063574
2023-10-24,1098323
2023-10-25,1081158
2023-10-26,1091779
2023-10-27,1034649
2023-10-28,991315
2023-10-29,1071556
2023-10-30,1094713
2023-10-31,1089606
2023-11-01,1101380
2023-11-02,1045341
2023-11-03,1104674
2023-11-04,1013882
2023-11-05,1034459
2023-11-06,1101645
2023-11-07,1055975
2023-11-08,1066274
2023-11-09,1125199
2023-11-10,1146191
2023-11-11,1107685
2023-11-12,1061494
2023-11-13,1088278
2023-11-14,1050000
2023-11-15,1075386
2023-11-16,1093005
2023-11-17,1084679
2023-11-18,1134614
2023-11-19,983460
2023-11-20,1151945
2023-11-21,1129495
2023-11-22,1142003
2023-11-23,1123339
2023-11-24,1068410
2023-11-25,985612
2023-11-26,989613
2023-11-27,1077314
2023-11-28,1155016
2023-11-29,1151825
2023-11-30,1119717
2023-12-01,1119260
2023-12-02,1210135
2023-12-03,1030989
2023-12-04,1158630
2023-12-05,1197166
2023-12-06,1126986
2023-12-07,1159526
2023-12-08,1182465
2023-12-09,1120555
2023-12-10,1129096
2023-12-11,1087662
2023-12-12,1076667
2023-12-13,1081514
2023-12-14,1157276
2023-12-15,1162222
2023-12-16,1056961
2023-12-17,1081782
2023-12-18,1137970
2023-12-19,1153138
2023-12-20,1246531
2023-12-21,1242003
2023-12-22,1205712
2023-12-23,1121929
2023-12-24,1140411
2023-12-25,1102694
2023-12-26,1116447
2023-12-27,1137685
2023-12-28,1185508
2023-12-29,1110469
2023-12-30,1090893
2023-12-31,1061956
2024-01-01,1101465
2024-01-02,1128657
2024-01-03,1092220
2024-01-04,1116573
2024-01-05,1069252
2024-01-06,994947
2024-01-07,1049831
2024-01-08,1073535
2024-01-09,1078832
2024-01-10,1247106
2024-01-11,1209246
2024-01-12,1209875
2024-01-13,1212202
2024-01-14,1961144
2024-01-15,1154132
2024-01-16,1269778
2024-01-17,1181029
2024-01-18,1204406
2024-01-19,1173934
2024-01-20,1062400
2024-01-21,1119258
2024-01-22,1076456
2024-01-23,1083406
2024-01-24,1080129
2024-01-25,1173661
2024-01-26,1172353
2024-01-27,1147736
2024-01-28,1128110
2024-01-29,1115710
2024-01-30,1190513
2024-01-31,1137621
2024-02-01,1127338
2024-02-02,1108172
2024-02-03,1054604
2024-02-04,1049649
2024-02-05,1120237
2024-02-06,1080846
2024-02-07,1143018
2024-02-08,1052168
2024-02-09,1075272
2024-02-10,1010940
2024-02-11,1027275
2024-02-12,984284
2024-02-13,1102512
2024-02-14,1130386
2024-02-15,1153897
2024-02-16,1179007
2024-02-17,1078511
2024-02-18,1093072
2024-02-19,1146697
2024-02-20,1149756
2024-02-21,1100360
2024-02-22,1082822
2024-02-23,1159988
2024-02-24,1101339
2024-02-25,1102202
2024-02-26,1187460
2024-02-27,1219667
2024-02-28,1227000
2024-02-29,1236458
2024-03-01,1205380
2024-03-02,1210225
2024-03-03,1182830
2024-03-04,1267200
2024-03-05,1303724
2024-03-06,1218992
2024-03-07,1228816
2024-03-08,1212254
2024-03-09,1160185
2024-03-10,1157440
2024-03-11,1245874
2024-03-12,1232719
2024-03-13,1277221
2024-03-14,1300877
2024-03-15,1312102
2024-03-16,1275332
2024-03-17,1204019
2024-03-18,1281387
2024-03-19,1377677
2024-03-20,1370939
2024-03-21,1331198
2024-03-22,1323924
2024-03-23,1297609
2024-03-24,1230758
2024-03-25,1279190
2024-03-26,1315082
2024-03-27,1272273
2024-03-28,1287078
2024-03-29,1304561
2024-03-30,1239605
2024-03-31,1245309
2024-04-01,1245715
2024-04-02,1239577
2024-04-03,1211600
2024-04-04,1234719
2024-04-05,1242174
2024-04-06,1201522
2024-04-07,1177838
2024-04-08,1221235
2024-04-09,1226401
2024-04-10,1207941
2024-04-11,1213672
2024-04-12,1322052
2024-04-13,1162426
2024-04-14,1133064
2024-04-15,1187906
2024-04-16,1178451
2024-04-17,1245968
2024-04-18,1235484
2024-04-19,1182165
2024-04-20,1152540
2024-04-21,1133785
2024-04-22,1178253
2024-04-23,1199365
2024-04-24,1171434
2024-04-25,1186539
2024-04-26,1177416
2024-04-27,1103918
2024-04-28,1140939
2024-04-29,1224677
2024-04-30,1262466
2024-05-01,1206626
2024-05-02,1223696
2024-05-03,1194608
2024-05-04,1163073
2024-05-05,1145911
2024-05-06,1190232
