date,Transaction Count (Mean)
2022-02-05,193.36511664
2022-02-06,179.52041597
2022-02-07,180.05540938
2022-02-08,183.63608087
2022-02-09,186.18017601
2022-02-10,187.2749301
2022-02-11,181.5898773
2022-02-12,172.25282028
2022-02-13,172.37959815
2022-02-14,177.88280887
2022-02-15,182.91917178
2022-02-16,186.37956318
2022-02-17,176.34295862
2022-02-18,195.19382985
2022-02-19,179.51646636
2022-02-20,206.17812212
2022-02-21,176.30540877
2022-02-22,174.71963484
2022-02-23,176.91259442
2022-02-24,182.14063223
2022-02-25,176.96702955
2022-02-26,180.77430341
2022-02-27,173.40705919
2022-02-28,172.49564134
2022-03-01,178.83972286
2022-03-02,186.03513429
2022-03-03,180.93117346
2022-03-04,179.71828818
2022-03-05,169.06853827
2022-03-06,174.93303224
2022-03-07,182.21656841
2022-03-08,187.05037547
2022-03-09,181.05746773
2022-03-10,189.75169753
2022-03-11,176.80208498
2022-03-12,172.16577047
2022-03-13,164.66366366
2022-03-14,170.00820688
2022-03-15,185.82466823
2022-03-16,193.39868565
2022-03-17,182.77808901
2022-03-18,197.24898722
2022-03-19,174.84989921
2022-03-20,174.14659197
2022-03-21,181.49352271
2022-03-22,189.35324232
2022-03-23,180.81319876
2022-03-24,179.32269614
2022-03-25,178.52023661
2022-03-26,175.41407835
2022-03-27,175.55512119
2022-03-28,188.46093146
2022-03-29,185.97318661
2022-03-30,180.20018768
2022-03-31,181.96460867
2022-04-01,180.2974654
2022-04-02,172.19883593
2022-04-03,165.07609711
2022-04-04,174.78570299
2022-04-05,168.91376631
2022-04-06,175.6269866
2022-04-07,175.61398318
2022-04-08,174.25355002
2022-04-09,168.82858921
2022-04-10,172.510389
2022-04-11,172.67938576
2022-04-12,172.5913745
2022-04-13,169.19882763
2022-04-14,174.35783396
2022-04-15,173.02507398
2022-04-16,165.41005621
2022-04-17,162.22220494
2022-04-18,173.76992126
2022-04-19,189.49851771
2022-04-20,193.26494396
2022-04-21,178.04848967
2022-04-22,178.48799501
2022-04-23,165.0412808
2022-04-24,168.17479994
2022-04-25,181.20892463
2022-04-26,178.04588608
2022-04-27,182.02538787
2022-04-28,182.02804033
2022-04-29,183.19965496
2022-04-30,190.87444865
2022-05-01,180.97273155
2022-05-02,174.90798993
2022-05-03,170.03408553
2022-05-04,176.13518696
2022-05-05,188.69007149
2022-05-06,177.09151467
2022-05-07,168.02317034
2022-05-08,171.67187747
2022-05-09,186.97982244
2022-05-10,193.77158505
2022-05-11,191.02366677
2022-05-12,214.56932773
2022-05-13,210.83791425
2022-05-14,182.74571108
2022-05-15,173.22960725
2022-05-16,178.80916031
2022-05-17,180.70294352
2022-05-18,188.58677554
