date,timestamp_utc,Tokens Transferred by External Contract Calls USD (Median)
2024-11-30,2024-11-30T00:00:00Z,148.2449897752
2024-12-01,2024-12-01T00:00:00Z,185.99028431911185
2024-12-02,2024-12-02T00:00:00Z,211.13018512451345
2024-12-03,2024-12-03T00:00:00Z,217.0554971208
2024-12-04,2024-12-04T00:00:00Z,214.3142659138832
2024-12-05,2024-12-05T00:00:00Z,195.8636767647945
2024-12-06,2024-12-06T00:00:00Z,226.7213408415539
2024-12-07,2024-12-07T00:00:00Z,180.00563092875
2024-12-08,2024-12-08T00:00:00Z,148.26217871736
2024-12-09,2024-12-09T00:00:00Z,74.2855179928
2024-12-10,2024-12-10T00:00:00Z,181.521223701
2024-12-11,2024-12-11T00:00:00Z,230.0810328174
2024-12-12,2024-12-12T00:00:00Z,233.76770799227984
2024-12-13,2024-12-13T00:00:00Z,214.877071981
2024-12-14,2024-12-14T00:00:00Z,177.99128390476
2024-12-15,2024-12-15T00:00:00Z,158.3128778376
2024-12-16,2024-12-16T00:00:00Z,219.3060929092
2024-12-17,2024-12-17T00:00:00Z,224.5436208861861
2024-12-18,2024-12-18T00:00:00Z,217.534154808
2024-12-19,2024-12-19T00:00:00Z,175.87336264457
2024-12-20,2024-12-20T00:00:00Z,173.5388094375
2024-12-21,2024-12-21T00:00:00Z,100.1165535681
2024-12-22,2024-12-22T00:00:00Z,95.07791766094
2024-12-23,2024-12-23T00:00:00Z,105.96092129399
2024-12-24,2024-12-24T00:00:00Z,87.2788819345
2024-12-25,2024-12-25T00:00:00Z,104.8178396697
2024-12-26,2024-12-26T00:00:00Z,132.09074147253602
2024-12-27,2024-12-27T00:00:00Z,115.165623895004
2024-12-28,2024-12-28T00:00:00Z,101.9978436777
2024-12-29,2024-12-29T00:00:00Z,77.05578179497
2024-12-30,2024-12-30T00:00:00Z,96.52437979059836
2024-12-31,2024-12-31T00:00:00Z,139.8983830629
2025-01-01,2025-01-01T00:00:00Z,167.665079296
2025-01-02,2025-01-02T00:00:00Z,193.3128776488
2025-01-03,2025-01-03T00:00:00Z,180.391006574
2025-01-04,2025-01-04T00:00:00Z,164.5528736052
2025-01-05,2025-01-05T00:00:00Z,167.2282445223
2025-01-06,2025-01-06T00:00:00Z,214.47996169679087
2025-01-07,2025-01-07T00:00:00Z,169.077163281
2025-01-08,2025-01-08T00:00:00Z,143.6701792605495
2025-01-09,2025-01-09T00:00:00Z,112.7805563262
2025-01-10,2025-01-10T00:00:00Z,99.40606337424585
2025-01-11,2025-01-11T00:00:00Z,75.40779981387064
2025-01-12,2025-01-12T00:00:00Z,65.3193102598
2025-01-13,2025-01-13T00:00:00Z,94.180072818
2025-01-14,2025-01-14T00:00:00Z,102.76811956794536
2025-01-15,2025-01-15T00:00:00Z,112.853679667515
2025-01-16,2025-01-16T00:00:00Z,99.2335507659
2025-01-17,2025-01-17T00:00:00Z,108.60052452212278
2025-01-18,2025-01-18T00:00:00Z,165.222046454
2025-01-19,2025-01-19T00:00:00Z,211.20384917419813
2025-01-20,2025-01-20T00:00:00Z,193.4708005262502
2025-01-21,2025-01-21T00:00:00Z,132.1189811439138
2025-01-22,2025-01-22T00:00:00Z,105.67040585633056
2025-01-23,2025-01-23T00:00:00Z,115.55469032450472
2025-01-24,2025-01-24T00:00:00Z,99.2960981418
2025-01-25,2025-01-25T00:00:00Z,82.9668074935
2025-01-26,2025-01-26T00:00:00Z,71.20284323786211
2025-01-27,2025-01-27T00:00:00Z,95.4717521958
2025-01-28,2025-01-28T00:00:00Z,65.820457399332
2025-01-29,2025-01-29T00:00:00Z,43.489235460548734
2025-01-30,2025-01-30T00:00:00Z,58.037218795551055
2025-01-31,2025-01-31T00:00:00Z,52.27561708195919
2025-02-01,2025-02-01T00:00:00Z,48.10398430030247
2025-02-02,2025-02-02T00:00:00Z,51.6239366841
2025-02-03,2025-02-03T00:00:00Z,106.66844199649
2025-02-04,2025-02-04T00:00:00Z,27.3220422865
2025-02-05,2025-02-05T00:00:00Z,26.860600312984147
