date,Tokens Transferred by External Contract Calls USD (Total)
2026-02-18,686714084.5131023
2026-02-19,564421097.0248842
2026-02-20,702330497.1807475
2026-02-21,250181022.8000025
2026-02-22,252493999.6663561
2026-02-23,741922896.3282704
2026-02-24,578459094.1053921
2026-02-25,845130865.1072518
2026-02-26,899641361.4966972
2026-02-27,548802830.7707609
2026-02-28,308476221.90127105
2026-03-01,363210856.0754472
2026-03-02,905056907.313343
2026-03-03,594157689.404847
2026-03-04,1029093840.2328686
2026-03-05,788759165.719173
2026-03-06,916273109.9557818
2026-03-07,222779547.5167906
2026-03-08,277374638.5218757
2026-03-09,530012691.77963215
2026-03-10,642411649.3818233
2026-03-11,479425271.3502158
2026-03-12,502495004.4053979
2026-03-13,736026297.1162746
2026-03-14,250226786.0767644
2026-03-15,224465100.2480825
2026-03-16,1001659926.7478588
2026-03-17,839685220.9725828
2026-03-18,1088799931.0861804
2026-03-19,730755092.1716107
2026-03-20,811017657.0035071
2026-03-21,173143134.47505674
2026-03-22,267085074.2632622
2026-03-23,535887416.655438
2026-03-24,377907636.8521378
2026-03-25,417833862.7262426
2026-03-26,871289071.4660541
2026-03-27,847705365.2493584
2026-03-28,218826194.4706315
2026-03-29,194085932.576121
2026-03-30,946666409.5746964
2026-03-31,1007995778.6138406
2026-04-01,755167739.7023065
2026-04-02,527918995.742138
2026-04-03,265251060.2681901
2026-04-04,147110298.23990273
2026-04-05,139398179.89117315
2026-04-06,671111531.3874174
2026-04-07,792028244.6666
2026-04-08,632426769.3298638
2026-04-09,714672674.8883655
2026-04-10,769822757.9203769
