date,Transaction Count - Internal, External, EOA (Total)
2023-05-26,5356669,,
2023-05-27,5216321,,
2023-05-28,5419841,,
2023-05-29,5630937,,
2023-05-30,5377323,,
2023-05-31,5344640,,
2023-06-01,5371848,,
2023-06-02,5199748,,
2023-06-03,5138141,,
2023-06-04,5117664,,
2023-06-05,5333282,,
2023-06-06,5328707,,
2023-06-07,5196943,,
2023-06-08,5158936,,
2023-06-09,5080147,,
2023-06-10,5175196,,
2023-06-11,4837449,,
2023-06-12,5063991,,
2023-06-13,5003953,,
2023-06-14,5024425,,
2023-06-15,5193950,,
2023-06-16,5109046,,
2023-06-17,5074062,,
2023-06-18,4998677,,
2023-06-19,4951015,,
2023-06-20,5075269,,
2023-06-21,5206597,,
2023-06-22,5138448,,
2023-06-23,5111542,,
2023-06-24,4955048,,
2023-06-25,5210700,,
2023-06-26,5057341,,
2023-06-27,4973387,,
2023-06-28,5092352,,
2023-06-29,5257773,,
2023-06-30,5231019,,
2023-07-01,5215340,,
2023-07-02,5324419,,
2023-07-03,5315552,,
2023-07-04,4562422,,
2023-07-05,3358188,,
2023-07-06,4586137,,
2023-07-07,5510374,,
2023-07-08,5426943,,
2023-07-09,5279820,,
2023-07-10,5315629,,
2023-07-11,5350336,,
2023-07-12,5417081,,
2023-07-13,5288778,,
2023-07-14,5348861,,
2023-07-15,5275688,,
2023-07-16,5664568,,
2023-07-17,5623617,,
2023-07-18,5292684,,
2023-07-19,5497765,,
2023-07-20,5582865,,
2023-07-21,5772393,,
2023-07-22,5641091,,
2023-07-23,5585581,,
2023-07-24,5517371,,
2023-07-25,5369919,,
2023-07-26,5356569,,
2023-07-27,5367830,,
2023-07-28,5391098,,
2023-07-29,5452031,,
2023-07-30,5193379,,
2023-07-31,5438291,,
2023-08-01,5483671,,
2023-08-02,5579070,,
2023-08-03,5414695,,
2023-08-04,5279028,,
2023-08-05,5442247,,
2023-08-06,5298568,,
2023-08-07,5331770,,
2023-08-08,5302252,,
2023-08-09,5432572,,
2023-08-10,5475725,,
2023-08-11,5505163,,
2023-08-12,5441250,,
2023-08-13,5455600,,
2023-08-14,5365432,,
2023-08-15,5383115,,
2023-08-16,5508900,,
2023-08-17,5572162,,
2023-08-18,5580397,,
2023-08-19,5378856,,
2023-08-20,5513126,,
2023-08-21,5446698,,
2023-08-22,5662689,,
2023-08-23,5461594,,
2023-08-24,5365834,,
2023-08-25,5507886,,
2023-08-26,5247193,,
2023-08-27,5377145,,
2023-08-28,5503639,,
2023-08-29,5376637,,
2023-08-30,5310625,,
2023-08-31,5387766,,
2023-09-01,5494756,,
2023-09-02,5272220,,
2023-09-03,5317076,,
2023-09-04,5580446,,
2023-09-05,5168372,,
2023-09-06,5375799,,
2023-09-07,5288099,,
2023-09-08,5324384,,
2023-09-09,5207650,,
2023-09-10,5233081,,
2023-09-11,5289464,,
2023-09-12,5234501,,
2023-09-13,5137467,,
2023-09-14,5197010,,
2023-09-15,5269206,,
2023-09-16,5073629,,
2023-09-17,4934198,,
2023-09-18,5095636,,
2023-09-19,5135178,,
2023-09-20,5193486,,
2023-09-21,5123066,,
2023-09-22,5028371,,
2023-09-23,4886705,,
2023-09-24,5104647,,
2023-09-25,5131542,,
2023-09-26,5070505,,
2023-09-27,5085257,,
2023-09-28,5154503,,
2023-09-29,5167449,,
2023-09-30,5168818,,
2023-10-01,5165513,,
2023-10-02,5560415,,
2023-10-03,5328759,,
2023-10-04,5333924,,
2023-10-05,5135021,,
2023-10-06,5250434,,
2023-10-07,5133226,,
2023-10-08,5187367,,
2023-10-09,5309374,,
2023-10-10,5039273,,
2023-10-11,5307278,,
2023-10-12,5321811,,
2023-10-13,5290995,,
2023-10-14,5205388,,
2023-10-15,5365251,,
2023-10-16,5372543,,
2023-10-17,5423308,,
2023-10-18,5404174,,
2023-10-19,5594249,,
2023-10-20,5582788,,
2023-10-21,5479009,,
2023-10-22,5523688,,
2023-10-23,5563843,,
2023-10-24,5719452,,
2023-10-25,5615674,,
2023-10-26,5583977,,
2023-10-27,5653535,,
2023-10-28,5502110,,
2023-10-29,5482021,,
2023-10-30,5671463,,
2023-10-31,5521065,,
2023-11-01,5715485,,
2023-11-02,5598876,,
2023-11-03,5529510,,
2023-11-04,5667286,,
2023-11-05,5583042,,
2023-11-06,5515378,,
2023-11-07,5714671,,
2023-11-08,5538623,,
2023-11-09,5525237,,
2023-11-10,5896463,,
2023-11-11,5725672,,
2023-11-12,5670986,,
2023-11-13,5892184,,
2023-11-14,5738168,,
2023-11-15,5680586,,
2023-11-16,5503129,,
2023-11-17,5477895,,
2023-11-18,5470126,,
2023-11-19,5537122,,
2023-11-20,5446592,,
2023-11-21,5318351,,
2023-11-22,5514478,,
