date,Transactions Between EOA (Total)
2021-03-30,523840
2021-03-31,545443
2021-04-01,582357
2021-04-02,559766
2021-04-03,528246
2021-04-04,487372
2021-04-05,527378
2021-04-06,540089
2021-04-07,528570
2021-04-08,511425
2021-04-09,515100
2021-04-10,567095
2021-04-11,514026
2021-04-12,544649
2021-04-13,559412
2021-04-14,580913
2021-04-15,457203
2021-04-16,630940
2021-04-17,660092
2021-04-18,626085
2021-04-19,682844
2021-04-20,748712
2021-04-21,698271
2021-04-22,665103
2021-04-23,629179
2021-04-24,607164
2021-04-25,598826
2021-04-26,587595
2021-04-27,600586
2021-04-28,636815
2021-04-29,623585
2021-04-30,555015
2021-05-01,580261
2021-05-02,571482
2021-05-03,615795
2021-05-04,654075
2021-05-05,642067
2021-05-06,642080
2021-05-07,632067
2021-05-08,785917
2021-05-09,810059
2021-05-10,777491
2021-05-11,834870
2021-05-12,737249
2021-05-13,688789
2021-05-14,660347
2021-05-15,637892
2021-05-16,607411
2021-05-17,585150
2021-05-18,565359
2021-05-19,628131
2021-05-20,627410
2021-05-21,555004
2021-05-22,522015
2021-05-23,499998
2021-05-24,512774
2021-05-25,481107
2021-05-26,515192
2021-05-27,507862
2021-05-28,495662
2021-05-29,550848
2021-05-30,508208
2021-05-31,541180
2021-06-01,505922
2021-06-02,491336
2021-06-03,517584
2021-06-04,501038
2021-06-05,474104
2021-06-06,449097
2021-06-07,453810
2021-06-08,433944
2021-06-09,432157
2021-06-10,424583
2021-06-11,410586
2021-06-12,418968
2021-06-13,433431
2021-06-14,427182
2021-06-15,444881
2021-06-16,441014
2021-06-17,421363
2021-06-18,406820
2021-06-19,375457
2021-06-20,384623
2021-06-21,441227
2021-06-22,484444
2021-06-23,452303
2021-06-24,461785
2021-06-25,480118
2021-06-26,445820
2021-06-27,457461
2021-06-28,658252
2021-06-29,479815
2021-06-30,454427
2021-07-01,474114
2021-07-02,439140
2021-07-03,404111
2021-07-04,402899
2021-07-05,425665
2021-07-06,461141
2021-07-07,453061
2021-07-08,445948
2021-07-09,429776
2021-07-10,389733
2021-07-11,384071
2021-07-12,403087
2021-07-13,424644
2021-07-14,442319
2021-07-15,458524
2021-07-16,431315
2021-07-17,408823
2021-07-18,391639
2021-07-19,418244
2021-07-20,439847
2021-07-21,440977
2021-07-22,439783
2021-07-23,448795
2021-07-24,466291
2021-07-25,411960
2021-07-26,479334
2021-07-27,579762
2021-07-28,553762
2021-07-29,475629
2021-07-30,479572
2021-07-31,466999
2021-08-01,460711
2021-08-02,486126
2021-08-03,468552
2021-08-04,454868
2021-08-05,417940
2021-08-06,442016
2021-08-07,443806
2021-08-08,443190
2021-08-09,438885
2021-08-10,438201
2021-08-11,441812
2021-08-12,426853
2021-08-13,418468
2021-08-14,408200
2021-08-15,402694
2021-08-16,459103
2021-08-17,445687
2021-08-18,418448
2021-08-19,449210
2021-08-20,451059
2021-08-21,424698
2021-08-22,399023
2021-08-23,438770
2021-08-24,427642
2021-08-25,404912
2021-08-26,402733
2021-08-27,398498
2021-08-28,407423
2021-08-29,405969
2021-08-30,420022
2021-08-31,447097
2021-09-01,457867
2021-09-02,464957
2021-09-03,423896
2021-09-04,417078
2021-09-05,396355
2021-09-06,420530
2021-09-07,482445
2021-09-08,433348
2021-09-09,435919
2021-09-10,455456
2021-09-11,496066
2021-09-12,449633
2021-09-13,513524
2021-09-14,460682
2021-09-15,464443
2021-09-16,436604
2021-09-17,402952
2021-09-18,411751
2021-09-19,392196
2021-09-20,402459
2021-09-21,404083
2021-09-22,403132
2021-09-23,433305
2021-09-24,403949
2021-09-25,394388
2021-09-26,378724
2021-09-27,392375
2021-09-28,388232
2021-09-29,384514
2021-09-30,404095
2021-10-01,469299
2021-10-02,401796
2021-10-03,400370
2021-10-04,385256
2021-10-05,453053
2021-10-06,583522
2021-10-07,515894
2021-10-08,510013
2021-10-09,456006
2021-10-10,410857
2021-10-11,410186
2021-10-12,427422
2021-10-13,422781
2021-10-14,466438
2021-10-15,474985
2021-10-16,458261
2021-10-17,419993
2021-10-18,451026
2021-10-19,455838
2021-10-20,493351
2021-10-21,495977
2021-10-22,473669
2021-10-23,493492
2021-10-24,485043
2021-10-25,496497
2021-10-26,528348
2021-10-27,537226
2021-10-28,632475
2021-10-29,613304
2021-10-30,538678
2021-10-31,481467
2021-11-01,502721
2021-11-02,533659
2021-11-03,534164
2021-11-04,506771
2021-11-05,500377
2021-11-06,476281
2021-11-07,482837
2021-11-08,494874
2021-11-09,482448
2021-11-10,546187
2021-11-11,531049
2021-11-12,536196
2021-11-13,537265
2021-11-14,524109
2021-11-15,493732
2021-11-16,483717
2021-11-17,568886
2021-11-18,473581
2021-11-19,489334
2021-11-20,425098
2021-11-21,476630
2021-11-22,438479
2021-11-23,459821
2021-11-24,493385
2021-11-25,469791
2021-11-26,470468
2021-11-27,433016
2021-11-28,409720
2021-11-29,479702
2021-11-30,507253
2021-12-01,462660
2021-12-02,475404
2021-12-03,433483
2021-12-04,440819
2021-12-05,681370
2021-12-06,472236
2021-12-07,462478
2021-12-08,516267
2021-12-09,490211
2021-12-10,487112
2021-12-11,460019
2021-12-12,450714
2021-12-13,475458
2021-12-14,457363
2021-12-15,465399
2021-12-16,466089
2021-12-17,494946
2021-12-18,420336
2021-12-19,415492
2021-12-20,457812
2021-12-21,452860
2021-12-22,478787
2021-12-23,460220
2021-12-24,444454
2021-12-25,407670
2021-12-26,415972
2021-12-27,464496
2021-12-28,465539
2021-12-29,425541
2021-12-30,470742
2021-12-31,438227
2022-01-01,417743
2022-01-02,397035
2022-01-03,435860
2022-01-04,458113
2022-01-05,481258
2022-01-06,469059
2022-01-07,444837
2022-01-08,448501
2022-01-09,403323
2022-01-10,390341
2022-01-11,440064
2022-01-12,478346
2022-01-13,485696
2022-01-14,447818
2022-01-15,447467
2022-01-16,427565
2022-01-17,433258
2022-01-18,416976
2022-01-19,459721
2022-01-20,448375
2022-01-21,440182
2022-01-22,434868
2022-01-23,396766
2022-01-24,412465
2022-01-25,429463
2022-01-26,405706
2022-01-27,389827
2022-01-28,404639
2022-01-29,414249
2022-01-30,456680
2022-01-31,450402
2022-02-01,437704
2022-02-02,418059
2022-02-03,404039
2022-02-04,438150
2022-02-05,508556
2022-02-06,458008
2022-02-07,415683
2022-02-08,432085
2022-02-09,458948
2022-02-10,451527
2022-02-11,442305
2022-02-12,400842
2022-02-13,427177
2022-02-14,422010
2022-02-15,430396
2022-02-16,413961
2022-02-17,397464
2022-02-18,379885
2022-02-19,390399
2022-02-20,389233
2022-02-21,377624
2022-02-22,391402
2022-02-23,414441
2022-02-24,442870
2022-02-25,440024
2022-02-26,453772
2022-02-27,418295
2022-02-28,413750
2022-03-01,435639
2022-03-02,464103
2022-03-03,451878
2022-03-04,453590
2022-03-05,405777
2022-03-06,426259
2022-03-07,466670
2022-03-08,444255
2022-03-09,430048
2022-03-10,440844
2022-03-11,436594
2022-03-12,437644
2022-03-13,399701
2022-03-14,411262
2022-03-15,474837
2022-03-16,490276
2022-03-17,439533
2022-03-18,558543
2022-03-19,418056
2022-03-20,419071
2022-03-21,464027
2022-03-22,495278
2022-03-23,438560
2022-03-24,442500
2022-03-25,436967
2022-03-26,437769
2022-03-27,425689
2022-03-28,455986
2022-03-29,444407
2022-03-30,421296
2022-03-31,428395
2022-04-01,422756
2022-04-02,391914
2022-04-03,382844
2022-04-04,403391
2022-04-05,394698
2022-04-06,405971
2022-04-07,411112
2022-04-08,395627
2022-04-09,410652
2022-04-10,419748
2022-04-11,394518
2022-04-12,375151
2022-04-13,365547
2022-04-14,412683
2022-04-15,397979
2022-04-16,393175
2022-04-17,376142
2022-04-18,403933
2022-04-19,503069
2022-04-20,514747
2022-04-21,390068
2022-04-22,426670
2022-04-23,376118
2022-04-24,393385
2022-04-25,400300
2022-04-26,410973
2022-04-27,430642
2022-04-28,428217
2022-04-29,438182
2022-04-30,438674
2022-05-01,438763
2022-05-02,380581
2022-05-03,362803
2022-05-04,396819
2022-05-05,430557
2022-05-06,411366
2022-05-07,391905
2022-05-08,418908
2022-05-09,454942
2022-05-10,496331
2022-05-11,457324
2022-05-12,581335
2022-05-13,579822
2022-05-14,435771
2022-05-15,408349
2022-05-16,428807
2022-05-17,402531
2022-05-18,432927
2022-05-19,409038
2022-05-20,394379
2022-05-21,401705
2022-05-22,372611
2022-05-23,379165
2022-05-24,394089
2022-05-25,376899
2022-05-26,347114
2022-05-27,366388
2022-05-28,397243
2022-05-29,383357
2022-05-30,342832
2022-05-31,409893
2022-06-01,359161
2022-06-02,337309
2022-06-03,331423
2022-06-04,315944
2022-06-05,307326
2022-06-06,334754
2022-06-07,333039
2022-06-08,316294
2022-06-09,327870
2022-06-10,359463
2022-06-11,368066
2022-06-12,346062
2022-06-13,426337
2022-06-14,406948
2022-06-15,380585
2022-06-16,389493
2022-06-17,383465
2022-06-18,375246
2022-06-19,359472
2022-06-20,356594
2022-06-21,348467
2022-06-22,346109
2022-06-23,321709
2022-06-24,339223
2022-06-25,296547
2022-06-26,281466
2022-06-27,329284
2022-06-28,320728
2022-06-29,334877
2022-06-30,340568
2022-07-01,413600
2022-07-02,426142
2022-07-03,376475
2022-07-04,366384
2022-07-05,365335
2022-07-06,383452
2022-07-07,394270
2022-07-08,380765
2022-07-09,394852
2022-07-10,408836
2022-07-11,348843
2022-07-12,355762
2022-07-13,395489
2022-07-14,423025
2022-07-15,462258
2022-07-16,506381
2022-07-17,456246
2022-07-18,423761
2022-07-19,413304
2022-07-20,413152
2022-07-21,418641
2022-07-22,442000
2022-07-23,412493
2022-07-24,406158
2022-07-25,528287
2022-07-26,974545
2022-07-27,447356
2022-07-28,419251
2022-07-29,455648
2022-07-30,453205
2022-07-31,443320
2022-08-01,550821
2022-08-02,442249
2022-08-03,473732
2022-08-04,744780
2022-08-05,440439
2022-08-06,447063
2022-08-07,442960
2022-08-08,398921
2022-08-09,384067
2022-08-10,391901
2022-08-11,362423
2022-08-12,379270
2022-08-13,391933
2022-08-14,371281
2022-08-15,358233
2022-08-16,380032
2022-08-17,389169
2022-08-18,394956
2022-08-19,374832
2022-08-20,385722
2022-08-21,382870
2022-08-22,341786
2022-08-23,355184
2022-08-24,348815
2022-08-25,359383
2022-08-26,348954
2022-08-27,357568
2022-08-28,346858
2022-08-29,333344
2022-08-30,330725
2022-08-31,335609
2022-09-01,361413
2022-09-02,382469
2022-09-03,398079
2022-09-04,451330
2022-09-05,379891
2022-09-06,368648
2022-09-07,347439
2022-09-08,369722
2022-09-09,396526
2022-09-10,372054
2022-09-11,363986
2022-09-12,354684
2022-09-13,395076
2022-09-14,442111
2022-09-15,459996
2022-09-16,482802
2022-09-17,512943
2022-09-18,345661
2022-09-19,332608
2022-09-20,334835
2022-09-21,334290
2022-09-22,325626
2022-09-23,359399
2022-09-24,382688
2022-09-25,332230
2022-09-26,345409
2022-09-27,329635
2022-09-28,315991
2022-09-29,342015
2022-09-30,353359
2022-10-01,325380
2022-10-02,337596
2022-10-03,311182
2022-10-04,320186
2022-10-05,340240
2022-10-06,393665
2022-10-07,368690
2022-10-08,402607
2022-10-09,357403
2022-10-10,368439
2022-10-11,334098
2022-10-12,314622
2022-10-13,323881
2022-10-14,304238
2022-10-15,283998
2022-10-16,239743
2022-10-17,275061
2022-10-18,260036
2022-10-19,255838
2022-10-20,293263
2022-10-21,286582
2022-10-22,257513
2022-10-23,264541
2022-10-24,261801
2022-10-25,275123
2022-10-26,307207
2022-10-27,337760
2022-10-28,269490
2022-10-29,278287
2022-10-30,284932
2022-10-31,285649
2022-11-01,294963
2022-11-02,271828
2022-11-03,293731
2022-11-04,284260
2022-11-05,280581
2022-11-06,263911
2022-11-07,297720
2022-11-08,323299
2022-11-09,348141
2022-11-10,325071
2022-11-11,322281
2022-11-12,301026
2022-11-13,314553
2022-11-14,315712
2022-11-15,326687
2022-11-16,325970
2022-11-17,342893
2022-11-18,319297
2022-11-19,288776
2022-11-20,267694
2022-11-21,263365
2022-11-22,264629
2022-11-23,291062
2022-11-24,332345
2022-11-25,323110
2022-11-26,318413
2022-11-27,286551
2022-11-28,379502
2022-11-29,297193
2022-11-30,275334
2022-12-01,266109
2022-12-02,333990
2022-12-03,323197
2022-12-04,325758
2022-12-05,283347
2022-12-06,270989
2022-12-07,255932
2022-12-08,255129
2022-12-09,1200443
2022-12-10,327270
2022-12-11,416339
2022-12-12,418755
2022-12-13,309906
2022-12-14,281232
2022-12-15,278098
2022-12-16,330150
2022-12-17,283220
2022-12-18,212906
2022-12-19,265909
2022-12-20,258947
2022-12-21,265047
2022-12-22,268285
2022-12-23,300381
2022-12-24,278140
2022-12-25,256258
2022-12-26,263893
2022-12-27,258464
2022-12-28,264331
2022-12-29,247369
2022-12-30,264838
2022-12-31,241088
2023-01-01,183186
2023-01-02,217407
2023-01-03,237571
2023-01-04,287380
2023-01-05,404722
2023-01-06,271270
2023-01-07,277816
2023-01-08,513246
2023-01-09,304824
2023-01-10,282265
2023-01-11,273300
2023-01-12,290806
2023-01-13,276166
2023-01-14,307119
2023-01-15,285224
2023-01-16,287601
2023-01-17,271279
2023-01-18,269199
2023-01-19,254035
2023-01-20,269365
2023-01-21,261734
2023-01-22,234113
2023-01-23,239210
2023-01-24,259022
2023-01-25,251738
2023-01-26,271321
2023-01-27,302143
2023-01-28,251943
2023-01-29,250386
2023-01-30,282461
2023-01-31,278163
2023-02-01,274215
2023-02-02,289816
2023-02-03,273438
2023-02-04,288776
2023-02-05,305682
2023-02-06,288223
2023-02-07,294355
2023-02-08,287731
2023-02-09,276018
2023-02-10,285202
2023-02-11,255969
2023-02-12,259406
2023-02-13,262925
2023-02-14,301396
2023-02-15,296495
2023-02-16,301636
2023-02-17,292770
2023-02-18,260829
2023-02-19,252763
2023-02-20,281131
2023-02-21,301101
2023-02-22,295378
2023-02-23,306967
2023-02-24,303740
2023-02-25,266657
2023-02-26,281266
2023-02-27,289405
2023-02-28,272097
2023-03-01,296624
2023-03-02,318676
2023-03-03,321423
2023-03-04,274132
2023-03-05,254637
2023-03-06,280681
2023-03-07,279819
2023-03-08,261947
2023-03-09,280895
2023-03-10,283816
2023-03-11,281214
2023-03-12,267595
2023-03-13,403718
2023-03-14,321880
2023-03-15,307887
2023-03-16,274159
2023-03-17,311055
2023-03-18,298406
2023-03-19,278861
2023-03-20,326707
2023-03-21,317346
2023-03-22,318863
2023-03-23,340061
2023-03-24,336968
2023-03-25,328466
2023-03-26,308060
2023-03-27,337993
2023-03-28,328346
2023-03-29,338914
2023-03-30,372523
2023-03-31,367781
2023-04-01,305770
2023-04-02,284097
2023-04-03,307334
2023-04-04,317032
2023-04-05,344733
2023-04-06,313537
2023-04-07,321997
2023-04-08,269907
2023-04-09,257451
2023-04-10,298147
2023-04-11,336444
2023-04-12,317029
2023-04-13,333760
2023-04-14,385182
2023-04-15,384056
2023-04-16,283245
2023-04-17,301050
2023-04-18,313109
2023-04-19,318355
2023-04-20,308267
2023-04-21,290593
2023-04-22,246398
2023-04-23,238695
2023-04-24,264394
2023-04-25,280348
2023-04-26,287103
2023-04-27,288480
2023-04-28,301961
2023-04-29,274357
2023-04-30,281962
2023-05-01,312092
2023-05-02,309997
2023-05-03,301214
2023-05-04,316086
2023-05-05,374821
2023-05-06,340111
2023-05-07,309552
2023-05-08,337622
2023-05-09,338260
2023-05-10,317495
2023-05-11,319461
2023-05-12,325486
2023-05-13,298119
2023-05-14,285472
2023-05-15,309537
2023-05-16,321292
2023-05-17,324950
2023-05-18,310267
2023-05-19,316993
2023-05-20,389183
2023-05-21,338058
2023-05-22,316337
2023-05-23,337924
2023-05-24,309834
2023-05-25,321358
2023-05-26,318830
2023-05-27,311182
2023-05-28,290113
2023-05-29,329916
2023-05-30,366020
2023-05-31,334565
2023-06-01,297879
2023-06-02,382450
2023-06-03,324904
2023-06-04,285658
2023-06-05,403804
2023-06-06,345665
2023-06-07,355906
2023-06-08,296693
2023-06-09,357433
2023-06-10,413640
2023-06-11,355551
2023-06-12,301370
2023-06-13,303988
2023-06-14,335841
2023-06-15,364422
2023-06-16,420849
2023-06-17,341027
2023-06-18,428757
2023-06-19,379683
2023-06-20,389319
2023-06-21,365632
2023-06-22,328483
2023-06-23,315341
2023-06-24,401497
2023-06-25,337730
2023-06-26,320780
2023-06-27,366570
2023-06-28,360442
2023-06-29,330511
2023-06-30,370160
2023-07-01,312647
2023-07-02,283915
2023-07-03,332104
2023-07-04,293425
2023-07-05,258214
2023-07-06,260787
2023-07-07,282860
2023-07-08,315400
2023-07-09,276631
2023-07-10,346790
2023-07-11,353062
2023-07-12,306822
2023-07-13,375980
2023-07-14,366334
2023-07-15,287357
2023-07-16,286905
2023-07-17,296630
2023-07-18,387878
2023-07-19,339484
2023-07-20,307679
2023-07-21,353877
2023-07-22,278696
2023-07-23,274093
2023-07-24,305011
2023-07-25,279552
2023-07-26,321188
2023-07-27,294660
2023-07-28,305672
2023-07-29,285781
2023-07-30,309746
2023-07-31,336237
2023-08-01,351754
2023-08-02,311255
2023-08-03,327138
2023-08-04,371123
2023-08-05,432405
2023-08-06,333762
2023-08-07,333831
2023-08-08,385908
2023-08-09,361156
2023-08-10,304593
2023-08-11,316838
2023-08-12,292949
2023-08-13,263652
2023-08-14,306407
2023-08-15,325712
2023-08-16,338939
2023-08-17,316042
2023-08-18,346931
2023-08-19,332824
2023-08-20,280544
2023-08-21,292557
2023-08-22,303275
2023-08-23,322622
2023-08-24,325110
2023-08-25,300626
2023-08-26,306829
2023-08-27,281219
2023-08-28,280543
2023-08-29,303098
2023-08-30,311031
2023-08-31,304270
2023-09-01,320910
2023-09-02,382747
2023-09-03,401249
2023-09-04,279249
2023-09-05,315503
2023-09-06,365008
2023-09-07,329267
2023-09-08,324232
2023-09-09,280255
2023-09-10,262707
2023-09-11,361587
2023-09-12,430386
2023-09-13,1028777
2023-09-14,365562
2023-09-15,311951
2023-09-16,289032
2023-09-17,277076
2023-09-18,305904
2023-09-19,311477
2023-09-20,316346
2023-09-21,457834
2023-09-22,306217
2023-09-23,279340
2023-09-24,275924
2023-09-25,304750
2023-09-26,312189
2023-09-27,345130
2023-09-28,323877
2023-09-29,327548
2023-09-30,306511
2023-10-01,276745
2023-10-02,295090
2023-10-03,292715
2023-10-04,290456
2023-10-05,293860
2023-10-06,306848
2023-10-07,337956
2023-10-08,289735
2023-10-09,299688
2023-10-10,320463
2023-10-11,326461
2023-10-12,315920
2023-10-13,329169
2023-10-14,275801
2023-10-15,280817
2023-10-16,300408
2023-10-17,300067
2023-10-18,302835
2023-10-19,290211
2023-10-20,360032
2023-10-21,325297
2023-10-22,322774
2023-10-23,324730
2023-10-24,345305
2023-10-25,349081
2023-10-26,339129
2023-10-27,322922
2023-10-28,304460
2023-10-29,403362
2023-10-30,368948
2023-10-31,343697
2023-11-01,365135
2023-11-02,318836
2023-11-03,384542
2023-11-04,335583
2023-11-05,341463
2023-11-06,308140
2023-11-07,319174
2023-11-08,331645
2023-11-09,368387
2023-11-10,365288
2023-11-11,393724
2023-11-12,361855
2023-11-13,342048
2023-11-14,311021
2023-11-15,347126
2023-11-16,359276
2023-11-17,355820
2023-11-18,471156
2023-11-19,306749
2023-11-20,370712
2023-11-21,341664
2023-11-22,382721
2023-11-23,408405
2023-11-24,339237
2023-11-25,301175
2023-11-26,298964
2023-11-27,330392
2023-11-28,426770
2023-11-29,427721
2023-11-30,376099
2023-12-01,372020
2023-12-02,514217
2023-12-03,325746
2023-12-04,369957
2023-12-05,424398
2023-12-06,375206
2023-12-07,395294
2023-12-08,412166
2023-12-09,406434
2023-12-10,389219
2023-12-11,347919
2023-12-12,355876
2023-12-13,385110
2023-12-14,448566
2023-12-15,434398
2023-12-16,393803
2023-12-17,366118
2023-12-18,413802
2023-12-19,406256
2023-12-20,457269
2023-12-21,474574
2023-12-22,456147
2023-12-23,424214
2023-12-24,393276
2023-12-25,378567
2023-12-26,402314
2023-12-27,414236
2023-12-28,400452
2023-12-29,372659
2023-12-30,395668
2023-12-31,397412
2024-01-01,430008
2024-01-02,381386
2024-01-03,353838
2024-01-04,359287
2024-01-05,357451
2024-01-06,354365
2024-01-07,354133
2024-01-08,365999
2024-01-09,359992
2024-01-10,459335
2024-01-11,425429
2024-01-12,419398
2024-01-13,462152
2024-01-14,1341655
2024-01-15,371493
2024-01-16,424542
2024-01-17,350838
2024-01-18,377272
2024-01-19,393170
2024-01-20,367691
2024-01-21,426050
2024-01-22,350333
2024-01-23,347578
2024-01-24,346275
2024-01-25,408322
2024-01-26,402738
2024-01-27,394531
2024-01-28,403060
2024-01-29,380599
2024-01-30,405373
2024-01-31,383250
2024-02-01,373105
2024-02-02,370410
2024-02-03,344556
2024-02-04,362322
2024-02-05,388214
2024-02-06,359192
2024-02-07,389474
2024-02-08,360568
2024-02-09,389828
2024-02-10,351411
2024-02-11,355473
2024-02-12,335062
2024-02-13,389986
2024-02-14,395531
2024-02-15,395692
2024-02-16,404260
2024-02-17,369583
2024-02-18,364903
2024-02-19,381329
2024-02-20,375477
2024-02-21,371568
2024-02-22,376270
2024-02-23,405277
2024-02-24,381466
2024-02-25,378971
2024-02-26,409153
2024-02-27,432570
2024-02-28,444301
2024-02-29,459623
2024-03-01,427920
2024-03-02,415212
2024-03-03,411904
2024-03-04,433458
2024-03-05,459301
2024-03-06,423304
2024-03-07,427570
2024-03-08,417073
2024-03-09,389779
2024-03-10,377158
2024-03-11,433848
2024-03-12,423218
2024-03-13,431605
2024-03-14,446325
2024-03-15,462976
2024-03-16,441724
2024-03-17,406694
2024-03-18,422018
2024-03-19,460339
2024-03-20,472879
2024-03-21,464304
2024-03-22,458219
2024-03-23,442115
2024-03-24,413209
2024-03-25,445692
2024-03-26,435727
2024-03-27,427561
2024-03-28,449096
2024-03-29,466553
2024-03-30,432993
2024-03-31,440682
2024-04-01,426023
2024-04-02,405242
2024-04-03,393135
2024-04-04,400766
2024-04-05,428199
2024-04-06,411654
2024-04-07,387857
2024-04-08,394802
2024-04-09,400244
2024-04-10,380209
2024-04-11,396046
2024-04-12,493947
2024-04-13,366007
2024-04-14,356251
2024-04-15,381221
2024-04-16,397574
2024-04-17,436819
2024-04-18,407668
2024-04-19,391733
2024-04-20,389914
2024-04-21,365477
2024-04-22,376920
2024-04-23,377445
2024-04-24,382409
2024-04-25,397517
2024-04-26,409268
2024-04-27,378048
2024-04-28,385141
2024-04-29,422009
2024-04-30,432065
2024-05-01,396703
2024-05-02,410382
2024-05-03,406073
2024-05-04,412355
2024-05-05,394761
2024-05-06,400151
2024-05-07,418715
2024-05-08,396932
2024-05-09,378009
2024-05-10,381696
2024-05-11,342608
2024-05-12,352152
2024-05-13,397678
2024-05-14,419186
2024-05-15,419401
2024-05-16,438632
2024-05-17,369048
2024-05-18,387447
2024-05-19,349503
2024-05-20,369200
2024-05-21,394471
2024-05-22,398735
2024-05-23,395777
2024-05-24,409394
2024-05-25,432021
2024-05-26,393207
2024-05-27,405214
2024-05-28,361503
2024-05-29,385759
2024-05-30,379902
2024-05-31,396581
2024-06-01,371782
2024-06-02,336277
2024-06-03,353839
2024-06-04,376113
2024-06-05,368266
2024-06-06,368431
2024-06-07,379703
2024-06-08,379559
2024-06-09,379247
2024-06-10,369846
2024-06-11,373490
2024-06-12,393453
2024-06-13,389312
2024-06-14,385674
2024-06-15,358014
2024-06-16,359801
2024-06-17,369450
2024-06-18,358593
2024-06-19,368704
2024-06-20,370442
2024-06-21,497053
2024-06-22,583738
2024-06-23,381104
2024-06-24,382380
2024-06-25,418216
2024-06-26,490404
2024-06-27,418424
2024-06-28,419671
2024-06-29,454381
2024-06-30,407193
2024-07-01,378744
2024-07-02,374341
2024-07-03,364260
2024-07-04,389698
2024-07-05,401729
2024-07-06,405865
2024-07-07,335940
2024-07-08,387910
2024-07-09,396208
2024-07-10,400155
2024-07-11,409037
2024-07-12,432676
2024-07-13,403076
2024-07-14,354747
2024-07-15,393873
2024-07-16,394821
2024-07-17,368137
2024-07-18,348821
2024-07-19,351654
2024-07-20,332795
2024-07-21,337847
2024-07-22,360478
2024-07-23,370480
2024-07-24,356740
2024-07-25,356356
2024-07-26,374298
2024-07-27,333785
2024-07-28,355839
2024-07-29,342077
2024-07-30,351420
2024-07-31,365914
2024-08-01,339022
2024-08-02,325843
2024-08-03,395464
2024-08-04,355323
2024-08-05,357328
2024-08-06,359527
2024-08-07,368977
2024-08-08,339303
2024-08-09,356881
2024-08-10,389692
2024-08-11,330706
2024-08-12,307068
2024-08-13,340754
2024-08-14,530683
2024-08-15,495410
2024-08-16,385927
2024-08-17,365673
2024-08-18,356746
2024-08-19,323164
2024-08-20,330656
2024-08-21,350092
2024-08-22,368267
2024-08-23,380196
2024-08-24,390134
2024-08-25,313182
2024-08-26,349914
2024-08-27,370635
2024-08-28,408741
