date,Tokens Transferred USD - Internal, External, EOA (Total)
2025-06-20,9835709330.86136,,
2025-06-21,4605003453.875772,,
2025-06-22,6787213027.57221,,
2025-06-23,8184641107.132767,,
2025-06-24,8075631825.512559,,
2025-06-25,6798012988.802641,,
2025-06-26,6878222679.457709,,
2025-06-27,5511180732.977909,,
2025-06-28,3468387487.805803,,
2025-06-29,3227765942.135017,,
2025-06-30,6354057691.552644,,
2025-07-01,6856919675.695693,,
2025-07-02,7076127183.145175,,
2025-07-03,6623342739.762691,,
2025-07-04,5517551037.964791,,
2025-07-05,2888170098.476158,,
2025-07-06,2586714644.290108,,
2025-07-07,8675542977.689833,,
2025-07-08,6980698737.360313,,
2025-07-09,13173923619.06748,,
2025-07-10,19027121662.86178,,
2025-07-11,17382532925.70598,,
2025-07-12,4850889820.411696,,
2025-07-13,4495858672.983201,,
2025-07-14,13268667123.802565,,
2025-07-15,12975712715.734028,,
2025-07-16,19586434681.51197,,
2025-07-17,20017604677.039845,,
2025-07-18,28099290102.04488,,
2025-07-19,7486559222.658875,,
2025-07-20,13230831245.436222,,
2025-07-21,20177507132.741337,,
2025-07-22,17805150548.76016,,
2025-07-23,18286193380.357605,,
2025-07-24,19609620073.90921,,
2025-07-25,23028201296.05344,,
2025-07-26,7001111376.620789,,
2025-07-27,10431504107.154724,,
2025-07-28,15917140771.190228,,
2025-07-29,12864743027.161495,,
2025-07-30,13371775228.555994,,
2025-07-31,13717274995.644669,,
2025-08-01,13408928393.234854,,
2025-08-02,8095695689.347809,,
2025-08-03,8446153774.898918,,
2025-08-04,17220523804.759224,,
2025-08-05,13627896732.161612,,
2025-08-06,13067435198.826197,,
2025-08-07,15385294028.532885,,
2025-08-08,19716662876.653294,,
2025-08-09,15631840665.016132,,
2025-08-10,11534458564.715263,,
2025-08-11,22861036318.60593,,
2025-08-12,28152239394.20502,,
2025-08-13,32649691295.417004,,
2025-08-14,32008679569.01604,,
2025-08-15,27043816902.11306,,
2025-08-16,11344882718.964802,,
2025-08-17,7753576905.354967,,
2025-08-18,24435392813.11792,,
2025-08-19,17238877003.795753,,
2025-08-20,17066246715.264828,,
2025-08-21,14507087647.65641,,
2025-08-22,32648750686.044945,,
2025-08-23,17365805255.41001,,
2025-08-24,25122362214.42929,,
2025-08-25,25475929052.87505,,
2025-08-26,22803341620.23859,,
2025-08-27,25467961677.380444,,
2025-08-28,14616404697.942947,,
2025-08-29,17887894722.213703,,
2025-08-30,9252387049.545578,,
2025-08-31,8959324424.307117,,
2025-09-01,16532182808.91301,,
2025-09-02,15445931154.85399,,
2025-09-03,18331474255.331425,,
2025-09-04,16449719182.131172,,
2025-09-05,15854791193.02396,,
2025-09-06,5568070653.600857,,
2025-09-07,5053432378.596347,,
2025-09-08,16227810805.152376,,
2025-09-09,13710873438.068825,,
2025-09-10,13628584320.214151,,
2025-09-11,12522883925.443825,,
2025-09-12,16123213844.335356,,
2025-09-13,7657493936.961838,,
2025-09-14,6503683371.138286,,
2025-09-15,15401610448.115343,,
2025-09-16,15604854009.398,,
2025-09-17,14978940784.737535,,
2025-09-18,18272517197.38145,,
2025-09-19,17105640791.790363,,
2025-09-20,6022544078.026257,,
2025-09-21,6213281831.771163,,
2025-09-22,18912373324.51557,,
2025-09-23,12347778562.45192,,
2025-09-24,15831461381.826582,,
2025-09-25,20852107166.18558,,
2025-09-26,20771633232.443974,,
2025-09-27,7150040376.39826,,
2025-09-28,8704415593.462782,,
2025-09-29,12630872458.003077,,
2025-09-30,15401400999.791454,,
2025-10-01,15813320108.95058,,
2025-10-02,15653949152.24976,,
2025-10-03,13926055722.34031,,
2025-10-04,7297480401.529833,,
2025-10-05,8771659098.557182,,
2025-10-06,23822726663.29612,,
2025-10-07,18738553004.19227,,
2025-10-08,27141237376.028908,,
2025-10-09,14196022069.175798,,
2025-10-10,16627636200.171482,,
2025-10-11,16970951268.774178,,
2025-10-12,11505165966.66793,,
2025-10-13,17127049687.032732,,
2025-10-14,21179675960.44832,,
2025-10-15,15221216694.266245,,
2025-10-16,12458947133.174274,,
2025-10-17,15688217505.396692,,
2025-10-18,4968138207.916713,,
2025-10-19,6210528679.339696,,
2025-10-20,12377068886.641775,,
2025-10-21,12144457180.832462,,
2025-10-22,10459080829.774376,,
2025-10-23,10658289317.311726,,
2025-10-24,15305244734.699966,,
2025-10-25,4175395425.361759,,
2025-10-26,9476511893.814907,,
2025-10-27,11621025377.772278,,
2025-10-28,13094431411.072498,,
2025-10-29,12535450845.083042,,
2025-10-30,12259626730.228245,,
2025-10-31,11475367622.216106,,
2025-11-01,7964719790.324825,,
2025-11-02,4437098055.668787,,
2025-11-03,12956077997.572996,,
2025-11-04,20946616959.69866,,
2025-11-05,16849431833.859652,,
2025-11-06,12837532679.650038,,
2025-11-07,13132605701.182487,,
2025-11-08,4626203860.004865,,
2025-11-09,5794297071.591046,,
2025-11-10,10228012866.24737,,
2025-11-11,8539923484.651764,,
2025-11-12,10122698792.46194,,
2025-11-13,14363979938.456224,,
2025-11-14,13679846004.218086,,
2025-11-15,6396091978.648176,,
2025-11-16,7070259738.231471,,
2025-11-17,11026255245.280844,,
2025-11-18,14052024539.450815,,
2025-11-19,11554868015.534922,,
2025-11-20,10035035128.974392,,
2025-11-21,15168426961.60593,,
2025-11-22,5453721901.972038,,
2025-11-23,15444134064.481424,,
2025-11-24,8946739588.640747,,
2025-11-25,8607845733.44019,,
2025-11-26,8681903222.99551,,
2025-11-27,6854594829.737086,,
2025-11-28,7789059885.005996,,
2025-11-29,5618913630.069028,,
2025-11-30,3666891646.187086,,
2025-12-01,13238201031.203024,,
2025-12-02,10086501945.041182,,
2025-12-03,10624961824.707756,,
2025-12-04,9556263895.311792,,
2025-12-05,12990859883.01729,,
2025-12-06,3564367849.791365,,
2025-12-07,3531745754.652619,,
2025-12-08,6673568648.028307,,
2025-12-09,9270775624.430294,,
2025-12-10,10601484480.878069,,
2025-12-11,10889238565.730543,,
2025-12-12,10135434377.906258,,
2025-12-13,3744524416.696065,,
2025-12-14,4724256763.778963,,
2025-12-15,9704510227.275904,,
2025-12-16,9109639385.71792,,
2025-12-17,10055440128.314222,,
2025-12-18,8512881547.141852,,
2025-12-19,10890392743.115095,,
2025-12-20,2724157239.81254,,
2025-12-21,2995174128.1999097,,
2025-12-22,8159122891.08152,,
2025-12-23,10144915494.398468,,
2025-12-24,7898944298.846973,,
2025-12-25,3467168818.13254,,
2025-12-26,7666942195.12674,,
2025-12-27,4340857200.399237,,
2025-12-28,4690610971.563204,,
2025-12-29,8579768597.681182,,
2025-12-30,7999063208.858662,,
2025-12-31,8304831769.695627,,
2026-01-01,4852804813.869005,,
2026-01-02,8456224525.557039,,
2026-01-03,6304660759.2904005,,
2026-01-04,4376455207.292207,,
2026-01-05,10569974967.113497,,
2026-01-06,13538999828.63771,,
2026-01-07,10867008388.409657,,
2026-01-08,12299265924.379328,,
2026-01-09,7795511268.835782,,
2026-01-10,5710160396.2391815,,
2026-01-11,4488659667.660048,,
2026-01-12,9652276888.699408,,
2026-01-13,10204518529.863426,,
2026-01-14,14114993457.265524,,
2026-01-15,9659316158.2212,,
2026-01-16,9432855585.388351,,
2026-01-17,6905477055.267549,,
2026-01-18,4461775544.546913,,
2026-01-19,9030276236.454733,,
2026-01-20,10825245755.513435,,
2026-01-21,12896899423.516792,,
2026-01-22,10752267313.35884,,
2026-01-23,8259602101.515547,,
2026-01-24,2900396592.6437063,,
2026-01-25,6654735659.898659,,
2026-01-26,11508910305.09672,,
2026-01-27,9543733826.75276,,
2026-01-28,9278284167.401886,,
2026-01-29,10948004283.424809,,
2026-01-30,8758323421.5589,,
2026-01-31,11035053761.734434,,
2026-02-01,9186937998.785646,,
2026-02-02,13183858332.80018,,
2026-02-03,12194061583.761292,,
2026-02-04,11224959102.390398,,
2026-02-05,14881801252.641516,,
2026-02-06,18411860578.70762,,
2026-02-07,7092439869.296035,,
2026-02-08,4664555429.958589,,
2026-02-09,7612877109.141943,,
2026-02-10,8034796122.285907,,
2026-02-11,7238479321.021198,,
2026-02-12,6346372726.015614,,
2026-02-13,7638214971.157302,,
2026-02-14,4861918545.332404,,
2026-02-15,6187012509.23143,,
2026-02-16,4673096441.252767,,
2026-02-17,6568988221.727504,,
2026-02-18,6074206889.157391,,
2026-02-19,5386939075.406354,,
2026-02-20,7164153217.586021,,
2026-02-21,2490658080.657001,,
2026-02-22,2870954641.0794067,,
2026-02-23,6637049727.259807,,
2026-02-24,6303174419.2175455,,
2026-02-25,10103054284.515615,,
2026-02-26,8957935760.990993,,
2026-02-27,5757629201.522333,,
2026-02-28,3975730987.654507,,
2026-03-01,4660832575.74697,,
2026-03-02,7574450992.90308,,
2026-03-03,6354455921.789159,,
2026-03-04,10615731138.595686,,
2026-03-05,6819923494.06619,,
2026-03-06,6869966285.979856,,
2026-03-07,3146089272.9485173,,
2026-03-08,5619353457.970344,,
2026-03-09,5478134842.885082,,
2026-03-10,6304121038.359535,,
2026-03-11,6850038456.963309,,
2026-03-12,5658904075.900723,,
2026-03-13,6750088609.267435,,
2026-03-14,3422986787.6481857,,
2026-03-15,2665442558.711006,,
2026-03-16,9719418060.531954,,
2026-03-17,7009054919.122889,,
2026-03-18,7920699449.271112,,
2026-03-19,6510038532.115771,,
2026-03-20,6375822392.082335,,
2026-03-21,1855194423.989714,,
2026-03-22,6463949991.328818,,
2026-03-23,6453089177.72868,,
2026-03-24,6857241872.517412,,
2026-03-25,4999141462.878887,,
2026-03-26,6911073889.045507,,
2026-03-27,7355252728.143413,,
2026-03-28,2133175575.042224,,
2026-03-29,1822335705.6117225,,
2026-03-30,5931431598.06229,,
2026-03-31,6332594836.510333,,
2026-04-01,6570253650.03991,,
2026-04-02,4947206372.375987,,
2026-04-03,2619667869.1969576,,
2026-04-04,1532217111.295765,,
2026-04-05,1931375906.6828191,,
2026-04-06,5050661196.22595,,
2026-04-07,5976447873.181286,,
2026-04-08,5622563200.142682,,
2026-04-09,5042878274.571309,,
2026-04-10,6119613368.426619,,
