date,Tokens Transferred Between EOA USD (Total)
2016-02-09,6157101.38664034
2016-02-10,8260580.917641527
2016-02-11,10654195.53162118
2016-02-12,11403561.657284526
2016-02-13,6756264.2951185815
2016-02-14,4706438.2365107
2016-02-15,3700729.3489249465
2016-02-16,5337844.146374671
2016-02-17,2724878.956890645
2016-02-18,4942626.353275726
2016-02-19,2154194.1081351503
2016-02-20,5132356.307546806
2016-02-21,2144071.918882146
2016-02-22,4442821.434827438
2016-02-23,8535423.880719658
2016-02-24,12959871.968324428
2016-02-25,5495055.34990756
2016-02-26,23490870.2444382
2016-02-27,13511968.27388452
2016-02-28,4969376.97255217
2016-02-29,4436559.179517659
2016-03-01,9751096.498576405
2016-03-02,29555263.91986694
2016-03-03,18510393.11240253
2016-03-04,15013382.23326958
2016-03-05,30772970.93931388
2016-03-06,17539345.446565118
2016-03-07,13554994.605746904
2016-03-08,20725006.39237366
2016-03-09,12737763.439003192
2016-03-10,9371056.954020545
2016-03-11,10084577.57322872
2016-03-12,20020361.971850708
2016-03-13,28049368.11029188
2016-03-14,19967595.357194044
2016-03-15,16358404.30862392
2016-03-16,13624632.005379634
2016-03-17,18887242.54369721
2016-03-18,25476212.64169754
2016-03-19,8043792.563726337
2016-03-20,5504509.212376332
2016-03-21,10115141.572150117
2016-03-22,7205682.54022109
2016-03-23,6723733.656619722
2016-03-24,10180237.412085537
2016-03-25,5693720.393950529
2016-03-26,3547244.865237477
2016-03-27,12108349.0681696
2016-03-28,8969995.392130317
2016-03-29,14829126.445993964
2016-03-30,10316555.772233171
2016-03-31,9986985.996117882
2016-04-01,4328495.246989627
2016-04-02,4330981.327968559
2016-04-03,2472956.2605774216
2016-04-04,4749808.404527899
2016-04-05,6738925.16878293
2016-04-06,6016451.556295865
2016-04-07,7204416.226207287
2016-04-08,5268663.848333818
2016-04-09,11845313.940943845
2016-04-10,10203723.405979278
2016-04-11,5296632.533084416
2016-04-12,8016372.395524907
2016-04-13,9072722.936105696
2016-04-14,7924322.471787448
2016-04-15,4781776.348537758
2016-04-16,3648085.349442568
2016-04-17,6710361.49913807
2016-04-18,5608951.476281496
2016-04-19,3306068.6608305485
2016-04-20,5512369.345683337
2016-04-21,3715336.826568631
2016-04-22,5835793.819985528
2016-04-23,8445363.356689576
2016-04-24,2949715.320798601
2016-04-25,5297330.293052265
2016-04-26,8433151.094129428
2016-04-27,6012921.075009299
2016-04-28,5469250.048070482
2016-04-29,4268916.421601893
2016-04-30,18258270.053935807
2016-05-01,10053565.622698486
2016-05-02,16258584.751100074
2016-05-03,10070086.9359938
2016-05-04,8249597.374578785
2016-05-05,7863094.7217696225
2016-05-06,14832779.229663782
2016-05-07,11350283.720382407
2016-05-08,9960963.161080362
2016-05-09,14029013.940295417
2016-05-10,14550287.180285498
2016-05-11,23137273.2647296
2016-05-12,21681618.57694035
2016-05-13,55123674.563504845
2016-05-14,39404185.70899286
2016-05-15,10199462.760503232
2016-05-16,14421173.472970149
2016-05-17,14038929.97323055
2016-05-18,21900693.4032701
2016-05-19,37284775.98880287
2016-05-20,23050710.49924636
2016-05-21,13133548.245231556
2016-05-22,8819965.565430399
2016-05-23,15129913.623465154
2016-05-24,21655560.501991827
2016-05-25,20452163.160116065
2016-05-26,14820692.824257312
2016-05-27,26192889.554897524
2016-05-28,24371851.94482391
2016-05-29,12212555.917498104
2016-05-30,12662046.186322792
2016-05-31,14215019.875733754
2016-06-01,10743453.240088012
2016-06-02,6751338.018110376
2016-06-03,8464046.075408624
2016-06-04,6405300.125120864
2016-06-05,5765506.188899132
2016-06-06,6196654.574700692
2016-06-07,14075052.619775534
2016-06-08,20698391.228680182
2016-06-09,6514429.549327468
2016-06-10,7475798.42593598
2016-06-11,7429626.4358994225
2016-06-12,16751582.668962251
2016-06-13,19697125.844394792
2016-06-14,25713199.225426767
2016-06-15,10748092.282340836
2016-06-16,29483664.431479104
2016-06-17,62470455.807389565
2016-06-18,56349545.39109037
2016-06-19,19216084.969304543
2016-06-20,30060354.8488526
2016-06-21,23478656.1314614
2016-06-22,26747961.42362285
2016-06-23,24176261.70245885
2016-06-24,15808293.12763144
2016-06-25,17861036.072668087
2016-06-26,8587686.338311588
2016-06-27,8906043.00182075
2016-06-28,18371998.65878641
2016-06-29,15258262.12159484
2016-06-30,10604340.172975332
2016-07-01,10514759.299503636
2016-07-02,5468627.621365991
2016-07-03,5961163.481825999
2016-07-04,13210932.472298184
2016-07-05,19625316.33750193
2016-07-06,11076522.48891428
2016-07-07,9649982.963946212
2016-07-08,7726152.610437524
2016-07-09,6389200.142315347
2016-07-10,7188260.640884947
2016-07-11,8313144.159660185
2016-07-12,7390160.662291559
2016-07-13,9678784.615170537
2016-07-14,10533345.786374144
2016-07-15,46481001.71542072
2016-07-16,8976008.215228451
2016-07-17,8245003.529972087
2016-07-18,31476312.46561684
2016-07-19,113562371.52800238
2016-07-20,47420107.15308361
2016-07-21,19666180.471926343
2016-07-22,41943985.74115543
2016-07-23,33957696.246702805
2016-07-24,110230063.6135438
2016-07-25,102158753.20668983
2016-07-26,187314033.32985187
2016-07-27,115663948.04783976
2016-07-28,64064615.75034887
2016-07-29,45180420.28204768
2016-07-30,26147885.764735024
2016-07-31,31963856.94915489
2016-08-01,27604229.53044053
2016-08-02,32839985.122074705
2016-08-03,39651882.47375604
2016-08-04,23850612.949060824
2016-08-05,28489533.620419502
2016-08-06,11535086.73459059
2016-08-07,11241838.716533763
2016-08-08,14769838.473576328
2016-08-09,16597540.5185646
2016-08-10,22743288.85816071
2016-08-11,22269751.597254463
2016-08-12,12587308.722086327
2016-08-13,12008458.48888575
2016-08-14,11397096.968828823
2016-08-15,11009875.744477212
2016-08-16,5731698.226750782
2016-08-17,8175702.466783889
2016-08-18,7606850.414031015
2016-08-19,5915481.088935895
2016-08-20,6215954.105889491
2016-08-21,7260128.298656023
2016-08-22,13306921.67711646
2016-08-23,8602220.461916087
2016-08-24,3983936.196331729
2016-08-25,6443444.010037915
2016-08-26,5992461.656708506
2016-08-27,6933409.612464804
2016-08-28,4884092.958756005
2016-08-29,6804373.626679981
2016-08-30,5838004.951499025
2016-08-31,6909588.08285514
2016-09-01,14441843.430055523
2016-09-02,11271189.720527232
2016-09-03,6632272.346917152
2016-09-04,7166130.511463066
2016-09-05,5259823.178732824
2016-09-06,6849744.217490681
2016-09-07,5660421.302580202
2016-09-08,10189766.641277546
2016-09-09,4723945.284646808
2016-09-10,4814244.181372347
2016-09-11,4734767.172016238
2016-09-12,7034473.948999591
2016-09-13,7470085.521007747
2016-09-14,5764106.758340432
2016-09-15,4760415.008649862
2016-09-16,11067626.085044185
2016-09-17,6361238.627525112
2016-09-18,16912078.63534155
2016-09-19,7010378.741547334
2016-09-20,18339527.954342104
2016-09-21,28159552.75010974
2016-09-22,8009137.298560665
2016-09-23,11116212.295352848
2016-09-24,8920608.443105467
2016-09-25,10707111.721588245
2016-09-26,6717872.80538257
2016-09-27,6339047.345707818
2016-09-28,9108711.48329795
2016-09-29,14274445.30942423
2016-09-30,6264053.842464011
2016-10-01,6787686.070898896
2016-10-02,11372961.552751455
2016-10-03,5010712.785370542
2016-10-04,5269304.943539526
2016-10-05,8082488.178165577
2016-10-06,8014857.793948312
2016-10-07,8165984.385135947
2016-10-08,8317809.321455714
2016-10-09,9843197.669296771
2016-10-10,7163080.981327477
2016-10-11,11385910.000269167
2016-10-12,5629045.481852339
2016-10-13,6809053.8296886645
2016-10-14,6240758.473139648
2016-10-15,4293023.587506979
2016-10-16,6325727.521883744
2016-10-17,6807822.32468315
2016-10-18,8859358.894971201
2016-10-19,5683630.880506777
2016-10-20,5582947.568665244
2016-10-21,4732648.731647007
2016-10-22,3536405.845748901
2016-10-23,3790491.289352424
2016-10-24,5335584.766394226
2016-10-25,7882415.911877726
2016-10-26,7064119.849881656
2016-10-27,6423297.888956619
2016-10-28,12648488.741974412
2016-10-29,12606115.701782418
2016-10-30,17985317.80977833
2016-10-31,10048418.811440324
2016-11-01,9430521.357326796
2016-11-02,5609033.818913596
2016-11-03,6660712.476566036
2016-11-04,6710410.611240985
2016-11-05,6529660.497473436
2016-11-06,3213958.9524241304
2016-11-07,5111518.301381244
2016-11-08,5049547.80396843
2016-11-09,6329635.244617456
2016-11-10,5111146.276915858
2016-11-11,10494576.35732363
2016-11-12,7765218.189271031
2016-11-13,5844180.542122927
2016-11-14,3841040.479789716
2016-11-15,6616998.96362388
2016-11-16,7677383.337161303
2016-11-17,14887414.65494105
2016-11-18,7285521.209250519
2016-11-19,4956104.5632573925
2016-11-20,3530423.251284195
2016-11-21,4326249.355948073
2016-11-22,7269526.13191498
2016-11-23,22403801.90772856
2016-11-24,5418278.663082927
2016-11-25,12884044.019116906
2016-11-26,5259846.363411303
2016-11-27,4767132.747142957
2016-11-28,5302320.494930813
2016-11-29,7388845.638372996
2016-11-30,7289368.330475413
2016-12-01,7308738.191055695
2016-12-02,21789540.91824813
2016-12-03,28531383.5406312
2016-12-04,10747428.498542532
2016-12-05,18746479.80745011
2016-12-06,38498124.44052353
2016-12-07,15377959.933113908
2016-12-08,16189813.530162212
2016-12-09,17678720.66634549
2016-12-10,10180348.211451683
2016-12-11,15367256.368939327
2016-12-12,6637817.948225508
2016-12-13,7952489.9624403985
2016-12-14,7510524.250272613
2016-12-15,14599717.547693243
2016-12-16,8555229.427477932
2016-12-17,21882211.73660039
2016-12-18,15692009.747822026
2016-12-19,8620510.54281722
2016-12-20,9126905.127083603
2016-12-21,12240418.904741142
2016-12-22,21219920.61047727
2016-12-23,35059029.00451277
2016-12-24,16140996.33955231
2016-12-25,6296358.0036820825
2016-12-26,4543727.717590905
2016-12-27,7148678.295434314
2016-12-28,18734389.521033045
2016-12-29,33091743.49800057
2016-12-30,20568720.81577321
2016-12-31,49902746.438098215
2017-01-01,11628879.15108415
2017-01-02,21898804.13920549
2017-01-03,44023497.86327042
2017-01-04,77512702.86589204
2017-01-05,75615986.7302207
2017-01-06,67835859.8914464
2017-01-07,38585139.33951756
2017-01-08,23575877.1919683
2017-01-09,35526040.986437425
2017-01-10,44577840.17018738
2017-01-11,43225361.36670216
2017-01-12,40509168.5382982
2017-01-13,20668444.06073632
2017-01-14,6136237.00114928
2017-01-15,4777092.476714387
2017-01-16,6373710.028337671
2017-01-17,11213086.068839183
2017-01-18,6606081.674415713
2017-01-19,7896442.775368811
2017-01-20,24472171.54997132
2017-01-21,8417417.793717168
2017-01-22,8160454.0707455855
2017-01-23,7563347.21302152
2017-01-24,6036367.144629293
2017-01-25,7237318.888391804
2017-01-26,8711779.273252051
2017-01-27,8318329.642358415
2017-01-28,4798121.974820311
2017-01-29,7414661.290438285
2017-01-30,5127449.274478642
2017-01-31,8841504.75717171
2017-02-01,9426066.410747305
2017-02-02,8223564.068108144
2017-02-03,11645877.696314052
2017-02-04,15590061.877307553
2017-02-05,6938738.809045875
2017-02-06,11614561.74373684
2017-02-07,10507971.703953998
2017-02-08,9877275.175202169
2017-02-09,10692475.63857469
2017-02-10,11286569.679843104
2017-02-11,8360199.830094907
2017-02-12,10561127.229459664
2017-02-13,9854244.830390643
2017-02-14,33694128.78225199
2017-02-15,38951939.96686656
2017-02-16,25391476.45656743
2017-02-17,29703489.92650034
2017-02-18,27881311.917603392
2017-02-19,27397713.56035633
2017-02-20,24904464.74140837
2017-02-21,42901105.03101902
2017-02-22,30528639.75425912
2017-02-23,31177150.087520137
2017-02-24,61467229.63618221
2017-02-25,38340152.2823218
2017-02-26,51839686.53730846
2017-02-27,120112153.07897516
2017-02-28,160774256.7573575
2017-03-01,193490746.5199134
2017-03-02,289197742.7434018
2017-03-03,301295869.5325968
2017-03-04,191655727.0670072
2017-03-05,171824357.90949848
2017-03-06,285741650.59826607
2017-03-07,181886269.63770023
2017-03-08,171608336.59799924
2017-03-09,255065947.23856828
2017-03-10,241527138.6348349
2017-03-11,323446639.08253807
2017-03-12,550768793.687541
2017-03-13,474864561.3369791
2017-03-14,208548829.8405824
2017-03-15,248716756.1484494
2017-03-16,1341718625.5921164
2017-03-17,632254005.7478362
2017-03-18,756355145.2581626
2017-03-19,205148874.8406473
2017-03-20,251986256.4231588
2017-03-21,535797015.358157
2017-03-22,450788077.14298224
2017-03-23,473492432.1544244
2017-03-24,795424114.7580358
2017-03-25,575844197.4643531
2017-03-26,464306266.9974564
2017-03-27,516094044.4668775
2017-03-28,525106169.9953051
2017-03-29,676812753.6375744
2017-03-30,866813735.305138
2017-03-31,691472892.4208666
2017-04-01,467155817.55300367
2017-04-02,696037011.4498494
2017-04-03,701766964.4654117
2017-04-04,346591551.5761684
2017-04-05,518751185.0979377
2017-04-06,700973390.1693902
2017-04-07,197976893.72719628
2017-04-08,281057034.4965687
2017-04-09,285102577.58785665
2017-04-10,350847003.1643399
2017-04-11,363280391.8228111
2017-04-12,356246921.21605533
2017-04-13,268272668.8959576
2017-04-14,326679150.7473508
2017-04-15,154933814.98046675
2017-04-16,79222873.62699372
2017-04-17,100255969.12272264
2017-04-18,404812326.4988312
2017-04-19,424191905.04928464
2017-04-20,518074162.0903892
2017-04-21,360684555.2277913
2017-04-22,313973137.1893358
2017-04-23,337144020.4180415
2017-04-24,399860135.1797263
2017-04-25,382534330.544563
2017-04-26,566955032.7204475
2017-04-27,965863358.5695395
2017-04-28,1005014175.5478772
2017-04-29,981493245.9605684
2017-04-30,1265936111.775057
2017-05-01,1796213743.365047
2017-05-02,1513859207.0242038
2017-05-03,1782041891.7503383
2017-05-04,2082176551.1289349
2017-05-05,1949998086.2696788
2017-05-06,1439115822.1992404
2017-05-07,1709025852.2559197
2017-05-08,1687822457.747399
2017-05-09,1613077754.133715
2017-05-10,1602846842.6335237
2017-05-11,1976051104.7830453
2017-05-12,1508925984.80265
2017-05-13,1165790311.6390388
2017-05-14,1100519773.0616407
2017-05-15,1492938173.3717673
2017-05-16,1874091096.888448
2017-05-17,1143359372.5744965
2017-05-18,884590046.8486017
2017-05-19,1753801225.790366
2017-05-20,1142655452.4672034
2017-05-21,1751895995.648716
2017-05-22,3955638873.462563
2017-05-23,2643641402.090368
2017-05-24,2737569223.6484013
2017-05-25,2303373718.309706
2017-05-26,2551469950.276244
2017-05-27,1740730290.906719
2017-05-28,1604062119.1188984
2017-05-29,1923478588.308367
2017-05-30,2479022117.019732
2017-05-31,4888885956.468289
2017-06-01,3476293662.676035
2017-06-02,3405664213.278377
2017-06-03,3342328293.8776374
2017-06-04,3255198528.4485903
2017-06-05,4117600530.276372
2017-06-06,5207686100.826506
2017-06-07,4433912224.815038
2017-06-08,3925017395.708447
2017-06-09,4347626680.261919
2017-06-10,3561034244.979465
2017-06-11,3985178140.431652
2017-06-12,9707281127.7676
2017-06-13,7982031897.73759
2017-06-14,4413306634.087889
2017-06-15,6894131822.771386
2017-06-16,6325737434.162654
2017-06-17,3645955046.614432
2017-06-18,3198578679.51771
2017-06-19,3789531749.470048
2017-06-20,4598211717.419053
2017-06-21,1338458389.1403835
2017-06-22,2419657578.3818
2017-06-23,3157997924.2030973
2017-06-24,3280038855.593356
2017-06-25,988623492.3065442
2017-06-26,2365095316.742171
2017-06-27,3038052093.731893
2017-06-28,3141952827.182713
2017-06-29,3126682092.027989
2017-06-30,2631150764.1040006
2017-07-01,2161037151.792387
2017-07-02,1861059971.9048607
2017-07-03,6643566090.972354
2017-07-04,5259929766.727597
2017-07-05,1737812384.9687076
2017-07-06,2132444665.972368
2017-07-07,2057257491.5656755
2017-07-08,1760368715.0879102
2017-07-09,763993700.7675725
2017-07-10,2059722145.774178
2017-07-11,2281385202.902178
2017-07-12,2704858690.816317
2017-07-13,4286814672.891881
2017-07-14,4860015415.082081
2017-07-15,4032791868.905406
2017-07-16,3855272510.689045
2017-07-17,4251195081.919202
2017-07-18,5854656083.646562
2017-07-19,4405853529.288204
2017-07-20,4539853484.528458
2017-07-21,4454687932.594714
2017-07-22,963375977.1817085
2017-07-23,1498410170.1598034
2017-07-24,4619553686.9334
2017-07-25,4588182909.429228
2017-07-26,3772462448.230191
2017-07-27,4180672944.1308064
2017-07-28,4536576995.996666
2017-07-29,4494358106.747957
2017-07-30,2724909528.879336
2017-07-31,1682189947.3133285
2017-08-01,1980052149.027749
2017-08-02,1844288026.3381443
2017-08-03,1575853911.5726938
2017-08-04,1650626041.7933366
2017-08-05,2195914015.711402
2017-08-06,2184835101.940668
2017-08-07,2504904111.6932664
2017-08-08,3109817354.9455967
2017-08-09,3136391062.9328284
2017-08-10,6704278211.975007
2017-08-11,14204249466.459848
2017-08-12,8425496321.608368
2017-08-13,8867735893.860224
2017-08-14,7104378186.288732
2017-08-15,5366621519.872772
2017-08-16,4389311628.8713045
2017-08-17,4360625525.934752
2017-08-18,4357812635.802182
2017-08-19,3324311340.652797
2017-08-20,2922647355.959346
2017-08-21,3814005880.7262826
2017-08-22,3416742706.0861864
2017-08-23,4026274756.2609663
2017-08-24,3726627436.655114
2017-08-25,3218047630.3311205
2017-08-26,1679464529.6055124
2017-08-27,6675624821.983318
2017-08-28,9554325148.054392
2017-08-29,7592969611.338542
2017-08-30,13473165188.718336
2017-08-31,6163165812.424388
2017-09-01,5896225215.114887
2017-09-02,4581580934.208004
2017-09-03,3561273928.096544
2017-09-04,4583421812.658935
2017-09-05,4731790960.659251
2017-09-06,5241486704.644045
2017-09-07,3692409758.803072
2017-09-08,3878111032.64676
2017-09-09,5727517143.568981
2017-09-10,4969952200.698691
2017-09-11,4323445095.864286
2017-09-12,4281337904.886188
2017-09-13,2494780760.9857907
2017-09-14,3134109647.6010594
2017-09-15,4307872149.194728
2017-09-16,2298751846.7608843
2017-09-17,2984420447.719409
2017-09-18,5340985976.3285
2017-09-19,4034393924.321928
2017-09-20,2589573923.164727
2017-09-21,2289832486.041171
2017-09-22,2126183132.265486
2017-09-23,2045820135.141744
2017-09-24,1774669647.7697506
2017-09-25,2304434276.807396
2017-09-26,2347802472.663779
2017-09-27,2674077515.930141
2017-09-28,2793307501.8814125
2017-09-29,2313683494.6160364
2017-09-30,1882074261.9165013
2017-10-01,1285462823.35901
2017-10-02,1959266359.440369
2017-10-03,6433423377.151685
2017-10-04,4228268346.759234
2017-10-05,2702941612.881564
2017-10-06,2815541785.8740296
2017-10-07,2273726704.2578306
2017-10-08,2532854331.256929
2017-10-09,2961570591.0479274
2017-10-10,3209262720.1547656
2017-10-11,2868005841.555612
2017-10-12,3179148959.279593
2017-10-13,4458835633.491488
2017-10-14,3264272958.200712
2017-10-15,2948650127.296435
2017-10-16,2382560890.8705163
2017-10-17,3314734748.746881
2017-10-18,4460775224.25489
2017-10-19,3731519100.071584
2017-10-20,3343142757.0109186
2017-10-21,3061211528.0705967
2017-10-22,2661858771.493093
2017-10-23,3543408054.7337976
2017-10-24,3595194101.567619
2017-10-25,2936315602.222864
2017-10-26,2787315426.5245605
2017-10-27,2982538182.237284
2017-10-28,3647080856.013629
2017-10-29,3420583793.018969
2017-10-30,3234219456.4308863
2017-10-31,3408895136.275414
2017-11-01,3955694671.446011
2017-11-02,4314533221.564665
2017-11-03,3675006295.9167886
2017-11-04,2475054098.946288
2017-11-05,2290546162.576945
2017-11-06,2763436583.199099
2017-11-07,2216614715.6388803
2017-11-08,3235417704.819307
2017-11-09,5740304798.808229
2017-11-10,3854815445.529872
2017-11-11,3779467246.046368
2017-11-12,5003246991.752386
2017-11-13,3365335386.6110315
2017-11-14,3474702505.1757145
2017-11-15,5365608412.061255
2017-11-16,4930798289.339642
2017-11-17,4971601308.939784
2017-11-18,4322964267.658251
2017-11-19,4346157945.9948845
2017-11-20,5887263062.78603
2017-11-21,5735112460.2764845
2017-11-22,6190247721.484517
2017-11-23,6275729791.841949
2017-11-24,6208255712.527804
2017-11-25,7287307608.915764
2017-11-26,7170635458.451877
2017-11-27,9180833410.939947
2017-11-28,11064812632.168217
2017-11-29,11365048698.072824
2017-11-30,10947721175.894712
2017-12-01,9645964142.656143
2017-12-02,10081396687.488794
2017-12-03,9700487436.57184
2017-12-04,9419457251.622278
2017-12-05,4208272181.869126
2017-12-06,5848615960.8572855
2017-12-07,4422372928.042706
2017-12-08,3908644365.649971
2017-12-09,2917983437.8527293
2017-12-10,2655132986.728673
2017-12-11,3220080249.180466
2017-12-12,8207820583.93225
2017-12-13,6963801303.952878
2017-12-14,7989964021.386225
2017-12-15,6629129372.306931
2017-12-16,5505920935.035948
2017-12-17,5624113275.082605
2017-12-18,6493760769.167252
2017-12-19,8666376954.009436
2017-12-20,9978268870.34295
2017-12-21,10122690783.943983
2017-12-22,9038102761.73081
2017-12-23,6276563263.541175
2017-12-24,4728176494.01916
2017-12-25,4214711452.88081
2017-12-26,6428193180.509728
2017-12-27,7297781225.532978
2017-12-28,8760047761.458717
2017-12-29,10555758584.796364
2017-12-30,10919711162.965675
2017-12-31,6485473842.45185
2018-01-01,6054629833.542674
2018-01-02,11698556681.499464
2018-01-03,12737640419.707674
2018-01-04,18595135012.51215
2018-01-05,17408641942.23416
2018-01-06,15095058146.51243
2018-01-07,13290451227.951023
2018-01-08,16417614895.517042
2018-01-09,20044034878.084007
2018-01-10,20853023268.22993
2018-01-11,17433871370.43591
2018-01-12,15183398439.189505
2018-01-13,12804216001.845177
2018-01-14,33394709296.61297
2018-01-15,14303281286.46977
2018-01-16,15312988079.380884
2018-01-17,15740632049.843548
2018-01-18,13549748051.254433
2018-01-19,9042301687.141771
2018-01-20,8711499593.080275
2018-01-21,7616014702.394413
2018-01-22,8630966169.321228
2018-01-23,8080173183.933531
2018-01-24,8697130952.24189
2018-01-25,3990321947.233468
2018-01-26,10159501863.65556
2018-01-27,6876869712.448172
2018-01-28,8631387578.956177
2018-01-29,8740240541.134672
2018-01-30,8635584991.324213
2018-01-31,8664211586.103243
2018-02-01,7832273555.142502
2018-02-02,9660604500.972803
2018-02-03,5782975205.51908
2018-02-04,4033644192.142053
2018-02-05,4743139178.268321
2018-02-06,6670793258.702662
2018-02-07,5091039779.738074
2018-02-08,2814036339.2016582
2018-02-09,4339131958.891541
2018-02-10,4747940441.163371
2018-02-11,3105180396.605492
