date,Transfers Between EOA (Mean)
2026-01-31,90.56413119
2026-02-01,162.35860913
2026-02-02,133.61731844
2026-02-03,169.29346762
2026-02-04,156.84340045
2026-02-05,121.10587413
2026-02-06,143.38055323
2026-02-07,236.81681095
2026-02-08,146.03361936
2026-02-09,181.70460894
2026-02-10,198.92481833
2026-02-11,153.24169226
2026-02-12,109.48667504
2026-02-13,114.01353992
2026-02-14,94.40373623
2026-02-15,79.68807467
2026-02-16,96.4283324
2026-02-17,89.53312875
2026-02-18,92.21162693
2026-02-19,86.26032366
2026-02-20,84.48035117
2026-02-21,77.31743375
2026-02-22,81.54374478
2026-02-23,102.89623431
2026-02-24,97.67019794
2026-02-25,138.28260262
2026-02-26,97.71755193
2026-02-27,91.80775129
2026-02-28,100.8578815
2026-03-01,82.44732441
2026-03-02,106.19455307
2026-03-03,82.04672897
2026-03-04,80.13007676
2026-03-05,98.57132896
2026-03-06,105.16745943
2026-03-07,92.32560413
2026-03-08,80.87381484
2026-03-09,101.36692254
2026-03-10,108.81487696
2026-03-11,114.12381219
2026-03-12,124.9972067
2026-03-13,115.63538762
2026-03-14,118.6902803
2026-03-15,82.63777003
2026-03-16,112.09918972
2026-03-17,152.98349189
2026-03-18,180.91065196
2026-03-19,175.60008364
2026-03-20,150.88167247
2026-03-21,147.58535565
2026-03-22,106.61350635
2026-03-23,173.0
2026-03-24,172.09247911
2026-03-25,112.2707113
2026-03-26,170.47571867
2026-03-27,201.02639296
2026-03-28,200.2710944
2026-03-29,114.95176356
2026-03-30,149.18482355
2026-03-31,181.48674295
2026-04-01,149.74532515
2026-04-02,173.62663695
2026-04-03,174.61206296
2026-04-04,158.57699805
2026-04-05,156.35758082
2026-04-06,170.47573222
2026-04-07,191.68863193
2026-04-08,149.88647444
2026-04-09,169.7162181
2026-04-10,174.40214964
