leverage,volatility,predicted_tail_probability,ci_low,ci_high,observed_leverage_min,observed_leverage_max,fixed_volatility,tail_threshold,n,sample_start,sample_end,method,plot_key,panel,date,window,step,horizon,connectedness_pct,lag_order,stable,row_sum_max_error,error,specification,variables
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-05-20,connectedness,2022-05-20,252,21,10,60.9351687877,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-06-10,connectedness,2022-06-10,252,21,10,59.7200350979,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-07-01,connectedness,2022-07-01,252,21,10,61.0200388444,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-07-22,connectedness,2022-07-22,252,21,10,61.7927057269,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-08-12,connectedness,2022-08-12,252,21,10,61.8895011961,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-09-02,connectedness,2022-09-02,252,21,10,63.7446571073,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-09-23,connectedness,2022-09-23,252,21,10,62.6371859984,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-10-14,connectedness,2022-10-14,252,21,10,62.0779450435,1,True,0,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-11-04,connectedness,2022-11-04,252,21,10,63.4206837192,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-11-25,connectedness,2022-11-25,252,21,10,65.9776393947,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-12-16,connectedness,2022-12-16,252,21,10,66.5701158923,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-01-06,connectedness,2023-01-06,252,21,10,66.6703722152,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-01-27,connectedness,2023-01-27,252,21,10,64.6871188207,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-02-17,connectedness,2023-02-17,252,21,10,64.9601552811,1,True,0,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-03-10,connectedness,2023-03-10,252,21,10,64.8103469459,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-03-31,connectedness,2023-03-31,252,21,10,63.4318702678,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-04-21,connectedness,2023-04-21,252,21,10,63.3169534013,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-05-12,connectedness,2023-05-12,252,21,10,62.2678927688,1,True,0,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2023-06-02,connectedness,2023-06-02,252,21,10,63.0637290066,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
