date,Transfer Event Count
2020-03-22,9905
2020-03-23,12233
2020-03-24,13002
2020-03-25,9668
2020-03-26,10032
2020-03-27,10961
2020-03-28,10930
2020-03-29,8093
2020-03-30,10927
2020-03-31,10539
2020-04-01,10599
2020-04-02,13177
2020-04-03,11037
2020-04-04,7677
2020-04-05,7444
2020-04-06,14166
2020-04-07,14958
2020-04-08,11127
2020-04-09,9706
2020-04-10,13337
2020-04-11,7820
2020-04-12,7824
2020-04-13,10260
2020-04-14,8626
2020-04-15,9782
2020-04-16,12933
2020-04-17,10349
2020-04-18,9927
2020-04-19,9616
2020-04-20,12193
2020-04-21,10506
2020-04-22,11484
2020-04-23,14176
2020-04-24,11323
2020-04-25,10031
2020-04-26,8920
2020-04-27,10824
2020-04-28,10413
2020-04-29,15104
2020-04-30,14125
2020-05-01,13292
2020-05-02,9482
2020-05-03,10027
2020-05-04,12899
2020-05-05,10383
2020-05-06,11655
2020-05-07,12837
2020-05-08,13355
2020-05-09,10263
2020-05-10,15176
2020-05-11,13615
2020-05-12,11749
2020-05-13,12188
2020-05-14,13991
2020-05-15,12221
2020-05-16,7322
2020-05-17,7518
2020-05-18,11796
2020-05-19,9502
2020-05-20,9548
2020-05-21,12843
2020-05-22,10857
2020-05-23,7614
2020-05-24,9773
2020-05-25,7977
2020-05-26,8832
2020-05-27,10368
2020-05-28,8947
2020-05-29,11295
2020-05-30,10961
2020-05-31,7604
2020-06-01,10572
2020-06-02,16855
2020-06-03,10557
2020-06-04,9849
2020-06-05,12751
2020-06-06,7034
2020-06-07,7051
2020-06-08,11041
2020-06-09,9952
2020-06-10,10313
2020-06-11,15999
2020-06-12,11576
2020-06-13,7594
2020-06-14,11015
2020-06-15,12884
2020-06-16,13583
2020-06-17,16056
2020-06-18,13938
2020-06-19,18642
2020-06-20,20402
2020-06-21,15203
2020-06-22,18676
2020-06-23,19596
2020-06-24,17548
2020-06-25,15386
2020-06-26,20553
2020-06-27,19270
2020-06-28,13061
2020-06-29,15545
2020-06-30,14279
2020-07-01,15881
2020-07-02,21562
2020-07-03,18593
2020-07-04,16697
2020-07-05,12121
2020-07-06,15650
2020-07-07,16721
2020-07-08,22569
2020-07-09,20742
2020-07-10,19156
2020-07-11,12649
2020-07-12,12843
2020-07-13,16606
2020-07-14,18206
2020-07-15,16758
2020-07-16,16698
2020-07-17,19646
2020-07-18,20400
2020-07-19,22680
2020-07-20,24309
2020-07-21,19786
2020-07-22,18967
2020-07-23,24830
2020-07-24,22890
2020-07-25,22211
2020-07-26,23516
2020-07-27,28495
2020-07-28,22811
2020-07-29,23921
2020-07-30,22073
2020-07-31,21304
2020-08-01,22545
2020-08-02,22036
2020-08-03,27566
2020-08-04,21959
2020-08-05,23524
2020-08-06,19496
2020-08-07,23230
2020-08-08,20454
2020-08-09,18194
2020-08-10,24606
2020-08-11,26864
2020-08-12,28673
2020-08-13,27132
2020-08-14,30195
2020-08-15,22063
2020-08-16,20415
2020-08-17,25047
2020-08-18,27585
2020-08-19,28524
2020-08-20,23686
2020-08-21,52182
2020-08-22,20806
2020-08-23,17589
2020-08-24,20474
2020-08-25,22673
2020-08-26,23840
2020-08-27,23248
2020-08-28,23874
2020-08-29,19997
2020-08-30,19965
2020-08-31,21004
2020-09-01,27344
2020-09-02,30394
2020-09-03,32196
2020-09-04,35174
2020-09-05,40437
2020-09-06,31278
2020-09-07,26203
2020-09-08,31362
2020-09-09,36588
2020-09-10,38029
2020-09-11,38924
2020-09-12,34204
2020-09-13,32585
2020-09-14,34591
2020-09-15,37716
2020-09-16,35844
2020-09-17,29186
2020-09-18,32314
2020-09-19,35881
2020-09-20,35312
2020-09-21,34605
2020-09-22,30050
2020-09-23,36343
2020-09-24,33552
2020-09-25,30698
2020-09-26,27225
2020-09-27,22526
2020-09-28,25740
2020-09-29,31882
2020-09-30,31798
2020-10-01,36909
2020-10-02,39023
2020-10-03,25794
2020-10-04,26077
2020-10-05,31312
2020-10-06,33884
2020-10-07,29932
2020-10-08,28576
