date,Market Cap
2018-08-27,119086614060.53365
2018-08-28,121864292734.56702
2018-08-29,121211496576.8231
2018-08-30,120407017500.4817
2018-08-31,120940515349.8568
2018-09-01,124148824380.399
2018-09-02,125927222542.2965
2018-09-03,125261672250.59631
2018-09-04,126624694992.03757
2018-09-05,115571701987.76537
2018-09-06,112388003671.72948
2018-09-07,110347677773.00252
2018-09-08,106755413259.39407
2018-09-09,107774218085.7084
2018-09-10,108945504066.8895
2018-09-11,108633877667.8512
2018-09-12,109295723504.27972
2018-09-13,112014083965.28696
2018-09-14,111828992215.9146
2018-09-15,112497370762.547
2018-09-16,112334455972.3194
2018-09-17,107940899346.48842
2018-09-18,109444751746.05531
2018-09-19,110411813711.8798
2018-09-20,112186936092.01672
2018-09-21,116749740954.14809
2018-09-22,116144769886.7046
2018-09-23,115913087320.26988
2018-09-24,113742885856.08588
2018-09-25,111354732028.2285
2018-09-26,111769156050.26636
2018-09-27,115655961552.53249
2018-09-28,114717020913.67451
2018-09-29,114031551313.76192
2018-09-30,114481851465.79749
2018-10-01,113975414714.85805
2018-10-02,112517484101.9296
2018-10-03,112252615368.59229
2018-10-04,113663666511.62434
2018-10-05,114015719989.71046
2018-10-06,114126998912.26991
2018-10-07,114283126846.6598
2018-10-08,115062235352.29356
2018-10-09,114291841453.451
2018-10-10,114175882544.27748
2018-10-11,106962798854.13724
2018-10-12,108429863658.06346
2018-10-13,109452742046.01431
2018-10-14,107188918373.344
2018-10-15,111878497249.1288
2018-10-16,113708532026.84792
2018-10-17,114760081995.06969
2018-10-18,114085216337.47412
2018-10-19,113034793967.49356
2018-10-20,113624617071.4952
2018-10-21,113187639192.23882
2018-10-22,112545749452.7451
2018-10-23,112674562972.92676
2018-10-24,112875830689.16006
2018-10-25,110847110285.43137
2018-10-26,112741840990.1644
2018-10-27,111388455534.16068
2018-10-28,112136937837.9395
2018-10-29,109364280746.583
2018-10-30,109534547180.52446
2018-10-31,110142106747.04884
2018-11-01,110981299707.78249
2018-11-02,110797407896.30504
2018-11-03,110780049833.15218
2018-11-04,112331331345.4724
2018-11-05,111882316081.43216
2018-11-06,113149969649.27788
2018-11-07,114044295606.7466
2018-11-08,112232589145.15306
2018-11-09,111264753546.44762
2018-11-10,111188529531.9591
2018-11-11,111896256789.48102
2018-11-12,111794609336.71095
2018-11-13,109142282251.57208
2018-11-14,100346263353.96252
2018-11-15,97428657944.6868
2018-11-16,97996696726.01328
2018-11-17,97719035031.05057
2018-11-18,96912318349.36758
2018-11-19,84263038228.95963
2018-11-20,78178247447.28862
2018-11-21,79428786186.37257
2018-11-22,74769067125.91508
2018-11-23,74706252152.48976
2018-11-24,66247404233.10484
2018-11-25,69802976346.1304
2018-11-26,65474779951.6722
2018-11-27,67139996890.39768
2018-11-28,73512739871.44379
2018-11-29,74595791491.75859
2018-11-30,70290776741.5576
2018-12-01,72622099105.98946
2018-12-02,72199860301.32881
2018-12-03,67123291437.72836
2018-12-04,68765926782.80336
2018-12-05,64570909080.8066
2018-12-06,60988879060.193214
2018-12-07,59950755493.48583
2018-12-08,59552253380.248924
2018-12-09,63298156417.77856
2018-12-10,60583740135.17256
2018-12-11,59395425730.93255
2018-12-12,60099238292.0878
2018-12-13,57820440732.49312
2018-12-14,55863980187.72105
2018-12-15,55994716648.794365
2018-12-16,56706455507.41915
2018-12-17,61253083419.309296
2018-12-18,64396599811.83098
2018-12-19,66082101264.47292
2018-12-20,71774680713.28082
2018-12-21,69178642703.98712
2018-12-22,71044373597.24367
2018-12-23,69566650915.48674
2018-12-24,70383528122.5457
2018-12-25,66092264762.74315
2018-12-26,66261056987.64536
2018-12-27,62537902238.30096
2018-12-28,69665623593.59506
2018-12-29,67668652851.06018
2018-12-30,69097728006.73607
2018-12-31,65671059692.10915
2019-01-01,68971047399.76526
2019-01-02,68520160516.47271
2019-01-03,66015364649.93616
2019-01-04,66403602048.52144
2019-01-05,68070286554.36703
2019-01-06,71116473055.54076
2019-01-07,70645893284.36407
2019-01-08,70592326664.9954
2019-01-09,70978621276.89563
2019-01-10,63551413412.43721
2019-01-11,63608302188.57536
2019-01-12,64404737436.2015
2019-01-13,61991756559.52646
2019-01-14,64089607328.926216
2019-01-15,62934719840.29913
2019-01-16,63180435612.097046
2019-01-17,63877600321.38772
2019-01-18,63043473932.136185
2019-01-19,64503542209.64461
2019-01-20,62016073699.82365
2019-01-21,62549657683.69698
2019-01-22,62553603632.02648
2019-01-23,62690034574.37552
2019-01-24,62498654950.45707
2019-01-25,62437485664.33586
2019-01-26,63482939324.27564
2019-01-27,62684643550.69498
2019-01-28,60892442818.60376
2019-01-29,60014189475.06767
2019-01-30,61035287007.61376
2019-01-31,60666662486.86504
2019-02-01,61693816137.11855
2019-02-02,62198132637.94593
2019-02-03,60723882762.54416
2019-02-04,59762498023.41438
2019-02-05,60187450202.57445
2019-02-06,59503574740.44364
2019-02-07,59720812611.58079
2019-02-08,63703389244.532745
2019-02-09,64483089591.39321
2019-02-10,65247088687.209175
2019-02-11,64503321722.10057
2019-02-12,63557922087.06366
2019-02-13,63105296902.22786
2019-02-14,62699973490.09703
2019-02-15,62784972479.20843
2019-02-16,62836018660.94984
2019-02-17,65265479430.226295
2019-02-18,69432528497.29118
2019-02-19,69697315840.96298
2019-02-20,70504485426.08057
2019-02-21,69757461124.61267
2019-02-22,71033359338.28113
2019-02-23,73863859021.74843
2019-02-24,66090853129.95728
2019-02-25,67635021234.41477
2019-02-26,67378159130.898445
2019-02-27,68287248249.35754
2019-02-28,68243518226.09832
2019-03-01,68459286251.42955
2019-03-02,67106907169.234215
2019-03-03,67997182658.29804
2019-03-04,65588464835.487946
2019-03-05,67822959451.909454
2019-03-06,67659617980.12916
2019-03-07,67957451769.59533
2019-03-08,67786732787.08745
2019-03-09,69308167198.67368
2019-03-10,69810974698.89282
2019-03-11,69453863759.60571
2019-03-12,68989425627.94644
2019-03-13,68854906752.31209
2019-03-14,68811458197.96594
2019-03-15,69893910078.67357
2019-03-16,71726875568.89197
2019-03-17,70899399495.81857
2019-03-18,71333143521.14687
2019-03-19,71407936860.62328
2019-03-20,72070206054.46387
2019-03-21,71002539118.36963
2019-03-22,71171454165.56567
2019-03-23,70201806404.9402
2019-03-24,70850947090.24998
2019-03-25,69689074594.72522
2019-03-26,69372065563.29916
2019-03-27,71086883855.8369
2019-03-28,70704379746.38707
2019-03-29,72860621559.65137
2019-03-30,72892324666.87042
2019-03-31,73303899448.79106
2019-04-01,73937916653.19969
2019-04-02,86705524209.74063
2019-04-03,87239983861.92412
2019-04-04,86640300917.87462
2019-04-05,89144555716.13242
2019-04-06,89700541622.96524
2019-04-07,92285264181.16605
2019-04-08,93498144776.57137
2019-04-09,90858419412.482
2019-04-10,93814239540.0483
2019-04-11,89100643348.16678
2019-04-12,90134263563.6837
2019-04-13,90009880887.76161
2019-04-14,91521126574.40096
2019-04-15,88936861626.57642
2019-04-16,91725625719.60872
2019-04-17,91962364042.8776
2019-04-18,93071993551.43372
2019-04-19,93377927680.76248
2019-04-20,93519541365.33064
2019-04-21,93871914451.98705
2019-04-22,94842253198.89034
2019-04-23,97746130276.46793
2019-04-24,96213431175.80374
2019-04-25,91510399841.41286
2019-04-26,93040846558.87572
2019-04-27,95224952400.6857
2019-04-28,94655362443.00208
2019-04-29,94911406809.1206
2019-04-30,93694390271.11192
2019-05-01,94548391168.24107
2019-05-02,98114588968.60818
2019-05-03,102149042444.71078
2019-05-04,104989538963.36617
2019-05-05,106258044400.45212
2019-05-06,105502774215.77193
2019-05-07,104163033225.96889
2019-05-08,107094706151.798
2019-05-09,110521261977.0164
2019-05-10,112653844241.39928
2019-05-11,126528293543.67592
2019-05-12,123535625922.30296
2019-05-13,137903022621.09592
2019-05-14,140720800065.10934
2019-05-15,144623520132.319
2019-05-16,139299982536.0127
2019-05-17,130759821329.03528
2019-05-18,128585406754.65636
2019-05-19,145028501941.44626
2019-05-20,141442773935.1838
2019-05-21,140690897374.89084
2019-05-22,135068554469.80014
2019-05-23,139235101746.9452
2019-05-24,141622562895.64105
2019-05-25,142687909111.9588
2019-05-26,154408468928.27167
2019-05-27,155771573474.60468
2019-05-28,154795465155.19534
2019-05-29,153720514530.23468
2019-05-30,146688830662.87286
2019-05-31,151869344738.8804
2019-06-01,151612958368.32315
2019-06-02,154839541551.60745
2019-06-03,143785792891.9195
2019-06-04,136288550018.66292
2019-06-05,138023886912.0297
2019-06-06,138708512415.9166
2019-06-07,141965703344.8308
2019-06-08,140201933569.1053
2019-06-09,135532408178.50284
2019-06-10,142303956602.42188
2019-06-11,140181441576.4142
2019-06-12,145023237177.99573
2019-06-13,146264296202.58386
2019-06-14,154507325791.80316
2019-06-15,157269375811.26172
2019-06-16,159323548864.13345
2019-06-17,166019515551.02466
2019-06-18,161524950465.0053
2019-06-19,164587871333.57364
2019-06-20,169673079216.25708
2019-06-21,181459079022.30112
2019-06-22,190460434400.485
2019-06-23,193088432229.37256
2019-06-24,196328874490.7733
2019-06-25,209138135049.256
2019-06-26,229670134121.95395
2019-06-27,198052185544.2664
2019-06-28,220399116174.21143
2019-06-29,211710972720.85388
2019-06-30,191470328966.686
2019-07-01,188439267137.36267
2019-07-02,193151675288.81543
2019-07-03,212764124868.34897
2019-07-04,198373839385.3469
2019-07-05,195652666990.3877
2019-07-06,200380728170.5859
2019-07-07,203610248635.1293
2019-07-08,218500878142.63568
