date,timestamp_utc,0 ~ 1 USD (%),1 ~ 10 USD (%),10 ~ 100 USD (%),100 ~ 1K USD (%),1K ~ 10K USD (%),10K ~ 100K USD (%),100K ~ 1M USD (%),1M USD ~ (%)
2021-01-23,2021-01-23T00:00:00Z,0.00247393,0.02201053,0.24046501,1.04205798,3.9218627,9.91492441,15.99013834,68.86606711
2021-01-24,2021-01-24T00:00:00Z,0.00247112,0.02193808,0.24008741,1.03061725,3.88634036,9.90339871,15.97596183,68.93918525
2021-01-25,2021-01-25T00:00:00Z,0.00246656,0.02189041,0.23915278,1.03040805,3.88722928,9.88331316,15.93035225,69.0051875
2021-01-26,2021-01-26T00:00:00Z,0.00246595,0.02186637,0.23811969,1.02647442,3.87915902,9.87127667,15.90729688,69.05334101
2021-01-27,2021-01-27T00:00:00Z,0.00245425,0.02177295,0.23777221,1.02705396,3.86565825,9.83912092,15.78848633,69.21768113
2021-01-28,2021-01-28T00:00:00Z,0.0024451,0.02167951,0.23737649,1.02623087,3.86877539,9.81747244,15.71451892,69.31150127
2021-01-29,2021-01-29T00:00:00Z,0.002424,0.02153771,0.2365565,1.02544622,3.8512771,9.7700037,15.77356672,69.31918805
2021-01-30,2021-01-30T00:00:00Z,0.00242032,0.02151544,0.23705015,1.02646981,3.84502266,9.77279265,15.80214721,69.29258175
2021-01-31,2021-01-31T00:00:00Z,0.00241444,0.02145443,0.23554711,1.02277259,3.83875035,9.7743996,15.80532418,69.2993373
2021-02-01,2021-02-01T00:00:00Z,0.00241122,0.02145937,0.2366048,1.02737329,3.85245539,9.80957087,15.78231284,69.26781223
2021-02-02,2021-02-02T00:00:00Z,0.00240261,0.02141697,0.23695993,1.02863974,3.85522397,9.82600788,15.74270651,69.2866424
2021-02-03,2021-02-03T00:00:00Z,0.00239359,0.02135751,0.23694105,1.02791025,3.85643634,9.8251627,15.70829333,69.32150522
2021-02-04,2021-02-04T00:00:00Z,0.00237946,0.02127088,0.23685044,1.02730788,3.81945278,9.76971244,15.65397739,69.46904872
2021-02-05,2021-02-05T00:00:00Z,0.00236139,0.02110314,0.23543264,1.01458296,3.79596829,9.73605862,15.56717672,69.62731624
2021-02-06,2021-02-06T00:00:00Z,0.0023488,0.02098196,0.23414164,1.00779482,3.78301866,9.70899847,15.60200576,69.64070989
2021-02-07,2021-02-07T00:00:00Z,0.00233842,0.02084344,0.23217035,0.99775835,3.76942636,9.72226647,15.61300327,69.64219333
2021-02-08,2021-02-08T00:00:00Z,0.00231209,0.02061886,0.22915545,0.98698869,3.72774599,9.66186782,15.57216129,69.79914981
2021-02-09,2021-02-09T00:00:00Z,0.00226342,0.02023271,0.22627461,0.97962936,3.68293045,9.44657228,15.10617657,70.53592061
2021-02-10,2021-02-10T00:00:00Z,0.00223947,0.02004554,0.22562923,0.97687178,3.65318595,9.42227363,15.04876181,70.65099258
2021-02-11,2021-02-11T00:00:00Z,0.00222114,0.0198745,0.22575632,0.97786246,3.64368804,9.41178955,15.02014039,70.6986676
2021-02-12,2021-02-12T00:00:00Z,0.00220173,0.01973115,0.22564654,0.98064683,3.62855093,9.38568839,14.75998891,70.99754552
2021-02-13,2021-02-13T00:00:00Z,0.00219311,0.01967492,0.22441686,0.97393966,3.6243167,9.39980807,14.81665652,70.93899417
2021-02-14,2021-02-14T00:00:00Z,0.00218514,0.01957392,0.22230445,0.96541039,3.61614045,9.4318455,14.86938144,70.87315871
2021-02-15,2021-02-15T00:00:00Z,0.00216384,0.01938853,0.2195225,0.95404475,3.58935055,9.37440351,14.79344977,71.04767654
2021-02-16,2021-02-16T00:00:00Z,0.00215042,0.0193033,0.21983444,0.95545073,3.59017649,9.36164344,14.80939974,71.04204143
2021-02-17,2021-02-17T00:00:00Z,0.00212898,0.01913712,0.21841729,0.95390646,3.57393484,9.33812832,14.75856371,71.13578328
2021-02-18,2021-02-18T00:00:00Z,0.00210506,0.01894603,0.21706335,0.95077776,3.54698216,9.28743152,14.68273081,71.2939633
2021-02-19,2021-02-19T00:00:00Z,0.00206765,0.01861936,0.21371111,0.93968709,3.50524508,9.22030913,14.53289822,71.56746237
2021-02-20,2021-02-20T00:00:00Z,0.00204037,0.01839548,0.21160922,0.93190931,3.47157517,9.18089355,14.49662253,71.68695437
2021-02-21,2021-02-21T00:00:00Z,0.00202369,0.01820395,0.21003403,0.92235192,3.39490791,8.83449542,14.50504394,72.11293913
2021-02-22,2021-02-22T00:00:00Z,0.00200968,0.01810195,0.20843571,0.92154641,3.39791977,8.83431259,14.48226123,72.13541265
2021-02-23,2021-02-23T00:00:00Z,0.00199131,0.01797711,0.20808966,0.92173787,3.38326208,8.79018851,14.45374423,72.22300924
2021-02-24,2021-02-24T00:00:00Z,0.00197674,0.01783522,0.207225,0.92051173,3.3748499,8.74490279,14.42690106,72.30579756
2021-02-25,2021-02-25T00:00:00Z,0.00196519,0.01772595,0.20614139,0.91900225,3.36484683,8.72177193,14.28050208,72.48804438
2021-02-26,2021-02-26T00:00:00Z,0.00195189,0.0176246,0.20591255,0.91830896,3.34405613,8.69130473,14.21282066,72.60802048
2021-02-27,2021-02-27T00:00:00Z,0.00195642,0.01762311,0.20613604,0.91560466,3.35247579,8.74233103,14.30977675,72.4540962
2021-02-28,2021-02-28T00:00:00Z,0.00195544,0.01760718,0.20450303,0.91160187,3.35214375,8.76268617,14.34174718,72.40775539
2021-03-01,2021-03-01T00:00:00Z,0.00194683,0.0175345,0.20413794,0.91651547,3.35981826,8.77456144,14.31278973,72.41269583
2021-03-02,2021-03-02T00:00:00Z,0.0019382,0.01746587,0.20433378,0.9165303,3.35508934,8.76904262,14.28062087,72.45497902
2021-03-03,2021-03-03T00:00:00Z,0.0019312,0.01738915,0.20429698,0.91917022,3.35743346,8.77404244,14.3155217,72.41021485
2021-03-04,2021-03-04T00:00:00Z,0.00192645,0.01736522,0.20490304,0.92351977,3.3600066,8.79948825,14.35571249,72.33707819
2021-03-05,2021-03-05T00:00:00Z,0.00192275,0.0173392,0.20481826,0.92535885,3.36063066,8.80169742,14.06410826,72.62412459
2021-03-06,2021-03-06T00:00:00Z,0.00191918,0.01727129,0.20373598,0.91978549,3.35406561,8.85012543,14.0890331,72.56406392
2021-03-07,2021-03-07T00:00:00Z,0.00191494,0.01723113,0.20126393,0.91466533,3.35789647,8.88077775,14.10909582,72.51715463
2021-03-08,2021-03-08T00:00:00Z,0.00190363,0.01710563,0.19921581,0.90875703,3.35083035,8.8543414,14.00767836,72.66016778
2021-03-09,2021-03-09T00:00:00Z,0.00189501,0.01703109,0.19862509,0.90729282,3.34951861,8.83796035,14.0170449,72.67063212
2021-03-10,2021-03-10T00:00:00Z,0.00188267,0.01693853,0.1984081,0.90594161,3.33697697,8.82448704,13.98223035,72.73313473
2021-03-11,2021-03-11T00:00:00Z,0.00186366,0.01679241,0.19740856,0.90029401,3.31017965,8.76133381,13.91543292,72.89669497
2021-03-12,2021-03-12T00:00:00Z,0.00185068,0.01665855,0.19629032,0.89822843,3.29229298,8.73288241,13.87086097,72.99093566
2021-03-13,2021-03-13T00:00:00Z,0.00184057,0.01657395,0.19571726,0.89260357,3.24654238,8.53445912,13.75203675,73.36022641
2021-03-14,2021-03-14T00:00:00Z,0.00182898,0.01644039,0.19401854,0.88565345,3.23274026,8.53453473,13.80312017,73.33166348
2021-03-15,2021-03-15T00:00:00Z,0.00182257,0.01640293,0.19305332,0.88678214,3.23863006,8.54354608,13.85002588,73.26973702
2021-03-16,2021-03-16T00:00:00Z,0.0018131,0.01633005,0.19261296,0.88572196,3.22931889,8.52881817,13.87221685,73.27316802
2021-03-17,2021-03-17T00:00:00Z,0.00180404,0.01624043,0.1929082,0.89088379,3.23020426,8.53130939,13.88461736,73.25203253
2021-03-18,2021-03-18T00:00:00Z,0.0018009,0.0162243,0.19381253,0.89397297,3.22155486,8.54061143,13.93379193,73.19823109
2021-03-19,2021-03-19T00:00:00Z,0.00179678,0.0161968,0.19438594,0.89567642,3.220241,8.51731346,13.92696141,73.22742818
2021-03-20,2021-03-20T00:00:00Z,0.00179205,0.01613905,0.1931931,0.89228852,3.20969774,8.50753537,13.93248485,73.24686931
2021-03-21,2021-03-21T00:00:00Z,0.00178645,0.0160616,0.18975976,0.87845216,3.21018905,8.5176634,13.89068949,73.2953981
2021-03-22,2021-03-22T00:00:00Z,0.00177771,0.01601822,0.18929609,0.87652931,3.21077437,8.52414817,13.91826086,73.26319528
2021-03-23,2021-03-23T00:00:00Z,0.00176867,0.01590198,0.18799881,0.87164131,3.20623606,8.51445027,13.84267446,73.35932844
2021-03-24,2021-03-24T00:00:00Z,0.00176,0.01575849,0.18760721,0.87119579,3.20722563,8.51924322,13.83503199,73.36217767
2021-03-25,2021-03-25T00:00:00Z,0.00175451,0.01571059,0.18773823,0.87195424,3.19683861,8.53507964,13.7980066,73.39291758
2021-03-26,2021-03-26T00:00:00Z,0.00175091,0.01568824,0.18785184,0.87508455,3.20025516,8.54232562,13.69683032,73.48021336
2021-03-27,2021-03-27T00:00:00Z,0.00174315,0.01560024,0.18516486,0.87131866,3.19186049,8.53653754,13.68429394,73.51348112
2021-03-28,2021-03-28T00:00:00Z,0.00174002,0.01554849,0.18207147,0.86525373,3.19096151,8.55114371,13.74210322,73.45117786
2021-03-29,2021-03-29T00:00:00Z,0.00173243,0.01545306,0.18165667,0.86631287,3.19057464,8.5588675,13.72478527,73.46061757
2021-03-30,2021-03-30T00:00:00Z,0.00172514,0.01539619,0.18191245,0.86497409,3.17972592,8.52597823,13.70854761,73.52174036
2021-03-31,2021-03-31T00:00:00Z,0.00172096,0.01533721,0.18202652,0.86520274,3.1649768,8.47616904,13.69939598,73.59517075
2021-04-01,2021-04-01T00:00:00Z,0.00171146,0.01525779,0.1818327,0.8636043,3.15617039,8.45874007,13.66912222,73.65356108
2021-04-02,2021-04-02T00:00:00Z,0.00170557,0.01521697,0.18227987,0.86396384,3.15226747,8.45852202,13.66412558,73.66191867
2021-04-03,2021-04-03T00:00:00Z,0.00170467,0.01520955,0.18265433,0.86397765,3.15487198,8.48917961,13.73899823,73.55340399
2021-04-04,2021-04-04T00:00:00Z,0.00170192,0.01514853,0.18104292,0.8574125,3.15416743,8.51319377,13.7309869,73.54634603
2021-04-05,2021-04-05T00:00:00Z,0.00169766,0.01509098,0.17951043,0.85524383,3.15640063,8.51568452,13.74132843,73.53504352
2021-04-06,2021-04-06T00:00:00Z,0.00167251,0.01485829,0.17768004,0.84634248,3.12204183,8.40501744,13.4962539,73.93613351
2021-04-07,2021-04-07T00:00:00Z,0.00166991,0.01484507,0.17787067,0.84772938,3.11789009,8.42985897,13.5151927,73.89494321
2021-04-08,2021-04-08T00:00:00Z,0.0016667,0.01481841,0.17835647,0.8490234,3.11587981,8.40716039,13.43952479,73.99357003
2021-04-09,2021-04-09T00:00:00Z,0.00166503,0.01481358,0.17855328,0.85023395,3.1161917,8.40949254,13.46393232,73.9651176
2021-04-10,2021-04-10T00:00:00Z,0.00166202,0.01476617,0.17763053,0.84425148,3.10780218,8.39939997,13.27236781,74.18211984
2021-04-11,2021-04-11T00:00:00Z,0.00165548,0.01468457,0.17523731,0.83783733,3.10274615,8.4007144,13.35481094,74.11231381
2021-04-12,2021-04-12T00:00:00Z,0.00164868,0.0146013,0.17464557,0.83752988,3.09917171,8.32700902,13.29113518,74.25425865
2021-04-13,2021-04-13T00:00:00Z,0.00163808,0.01452743,0.17445688,0.83488201,3.09584184,8.33392378,13.26829651,74.27643347
2021-04-14,2021-04-14T00:00:00Z,0.00162569,0.01444363,0.17452731,0.83526155,3.08037597,8.30327553,13.23835741,74.35213291
2021-04-15,2021-04-15T00:00:00Z,0.00161717,0.01439462,0.17454667,0.82984925,3.05788573,8.25596284,13.15358351,74.51216021
2021-04-16,2021-04-16T00:00:00Z,0.00161309,0.01439261,0.17604408,0.83822106,3.07276579,8.28463391,13.18367799,74.42865148
2021-04-17,2021-04-17T00:00:00Z,0.0016092,0.01438542,0.17666859,0.84264186,3.0790732,8.29432057,13.21792843,74.37337271
2021-04-18,2021-04-18T00:00:00Z,0.00159263,0.01426276,0.17572736,0.83782451,3.04622161,8.21388015,13.10198736,74.60850362
2021-04-19,2021-04-19T00:00:00Z,0.00159212,0.01429304,0.1770218,0.84572186,3.06311866,8.23574856,13.08718265,74.57532132
2021-04-20,2021-04-20T00:00:00Z,0.00159005,0.0143052,0.17795001,0.85246368,3.0669246,8.22251278,13.08991375,74.57433992
2021-04-21,2021-04-21T00:00:00Z,0.00158916,0.01433293,0.17964716,0.86034163,3.07713883,8.24005547,13.12867622,74.49821859
2021-04-22,2021-04-22T00:00:00Z,0.00158537,0.01430822,0.17926572,0.8588772,3.06632733,8.22508897,13.15375061,74.50079658
2021-04-23,2021-04-23T00:00:00Z,0.00158764,0.01434152,0.18001331,0.86423279,3.07486739,8.21791624,13.15220909,74.49483202
2021-04-24,2021-04-24T00:00:00Z,0.00158741,0.01432952,0.17902686,0.85917977,3.06920445,8.20733551,13.19705975,74.47227672
2021-04-25,2021-04-25T00:00:00Z,0.00158833,0.01429028,0.17779474,0.85126384,3.04285369,8.09587847,13.13105063,74.68528002
2021-04-26,2021-04-26T00:00:00Z,0.00158432,0.01426043,0.17778077,0.85336885,3.04181172,8.09677045,13.03639667,74.7780268
2021-04-27,2021-04-27T00:00:00Z,0.00157816,0.01421087,0.17675237,0.85009921,3.03607861,8.07334386,12.98969234,74.85824457
2021-04-28,2021-04-28T00:00:00Z,0.00157729,0.0141909,0.17537514,0.85000196,3.03950804,8.10757749,13.00909911,74.80267008
2021-04-29,2021-04-29T00:00:00Z,0.00157295,0.01415808,0.17559236,0.8499797,3.01902525,8.09152921,12.97472213,74.87342033
2021-04-30,2021-04-30T00:00:00Z,0.0015666,0.01409994,0.17480203,0.84486179,2.99442237,7.99741435,12.95585809,75.01697483
2021-05-01,2021-05-01T00:00:00Z,0.0015641,0.01405808,0.17441588,0.83993959,2.98876403,7.99492974,13.02326515,74.96306344
2021-05-02,2021-05-02T00:00:00Z,0.00156167,0.01394471,0.1702521,0.82660747,2.97829353,8.00839627,13.10779752,74.89314671
2021-05-03,2021-05-03T00:00:00Z,0.00155763,0.0138467,0.16725034,0.81816747,2.97765614,8.02524306,13.11837903,74.87789963
2021-05-04,2021-05-04T00:00:00Z,0.00155348,0.01375723,0.16607994,0.81078673,2.95191195,8.02880226,13.02686507,75.00024333
2021-05-05,2021-05-05T00:00:00Z,0.00154812,0.01368319,0.16560249,0.81148485,2.95531755,8.04441907,12.9840805,75.02386423
2021-05-06,2021-05-06T00:00:00Z,0.00154111,0.01361368,0.16501088,0.81110067,2.94768759,8.0117215,12.94332177,75.1060028
2021-05-07,2021-05-07T00:00:00Z,0.00153028,0.0134975,0.16365697,0.80457812,2.92252381,7.96808959,12.90373594,75.22238781
2021-05-08,2021-05-08T00:00:00Z,0.00152634,0.01346765,0.16341207,0.79167499,2.86890494,7.95000644,12.90511093,75.30589664
2021-05-09,2021-05-09T00:00:00Z,0.0015203,0.01340122,0.16181728,0.77468585,2.82739156,7.9357016,12.97598139,75.3095008
2021-05-10,2021-05-10T00:00:00Z,0.00151629,0.0133075,0.15989425,0.77251194,2.82698284,7.93959504,12.96961128,75.31658086
2021-05-11,2021-05-11T00:00:00Z,0.00151479,0.01325351,0.15968312,0.77400593,2.82908403,7.94494344,12.94543339,75.33208179
2021-05-12,2021-05-12T00:00:00Z,0.00151143,0.01317803,0.15899396,0.76746443,2.81932437,7.89986416,12.73733526,75.60232836
2021-05-13,2021-05-13T00:00:00Z,0.00151333,0.01318055,0.15914943,0.76415988,2.82450847,7.92009584,12.71218844,75.60520405
2021-05-14,2021-05-14T00:00:00Z,0.00151303,0.0131855,0.15999587,0.76497597,2.82482067,7.90377918,12.65445241,75.67727738
2021-05-15,2021-05-15T00:00:00Z,0.00151324,0.01318703,0.1601494,0.76336297,2.825404,7.91205074,12.66948942,75.65484321
2021-05-16,2021-05-16T00:00:00Z,0.00151336,0.01316776,0.15959934,0.76012254,2.82370134,7.92958496,12.71792939,75.5943813
2021-05-17,2021-05-17T00:00:00Z,0.0015181,0.01321126,0.16021333,0.76518279,2.83847218,7.95103579,12.76862315,75.50174339
2021-05-18,2021-05-18T00:00:00Z,0.00152004,0.01323827,0.16114999,0.76984862,2.8491481,7.96880945,12.78597361,75.45031193
2021-05-19,2021-05-19T00:00:00Z,0.00153134,0.01335174,0.16311232,0.78083828,2.87226305,8.00654234,12.87190748,75.29045344
2021-05-20,2021-05-20T00:00:00Z,0.00153808,0.01342347,0.16477476,0.79103762,2.88331094,8.0430415,12.85282654,75.25004708
2021-05-21,2021-05-21T00:00:00Z,0.00154178,0.01347306,0.16659259,0.79724308,2.89187548,8.06627951,12.77788938,75.28510513
2021-05-22,2021-05-22T00:00:00Z,0.00154568,0.01351381,0.16732892,0.79522478,2.88872507,8.07175301,12.71908239,75.34282634
2021-05-23,2021-05-23T00:00:00Z,0.00155035,0.01350382,0.16680143,0.79497745,2.88733648,8.06464868,12.61377546,75.45740632
2021-05-24,2021-05-24T00:00:00Z,0.00154747,0.01347862,0.16604746,0.7910737,2.88713783,8.0682855,12.62478834,75.44764107
2021-05-25,2021-05-25T00:00:00Z,0.00155071,0.01349563,0.165905,0.79331342,2.89697383,8.09413726,12.65672674,75.37789741
2021-05-26,2021-05-26T00:00:00Z,0.00155058,0.0134938,0.16553649,0.79501288,2.89870606,8.10371495,12.69795052,75.32403472
2021-05-27,2021-05-27T00:00:00Z,0.00155283,0.01351907,0.16590905,0.79526181,2.90131162,8.12662391,12.71207129,75.28375043
2021-05-28,2021-05-28T00:00:00Z,0.00155613,0.01354451,0.16568269,0.79858141,2.90919762,8.1374933,12.73029865,75.2436457
2021-05-29,2021-05-29T00:00:00Z,0.00155835,0.01355373,0.16561507,0.79511951,2.89566599,8.16279582,12.63065486,75.33503666
2021-05-30,2021-05-30T00:00:00Z,0.00155366,0.01344216,0.16303658,0.78922062,2.88731792,8.15582071,12.60429025,75.38531809
2021-05-31,2021-05-31T00:00:00Z,0.00155376,0.01342392,0.16195815,0.78256245,2.88098577,8.14754517,12.56930324,75.44266755
2021-06-01,2021-06-01T00:00:00Z,0.00155318,0.01341169,0.16141154,0.78016306,2.86294541,8.11069427,12.55778537,75.51203548
2021-06-02,2021-06-02T00:00:00Z,0.00155131,0.01337895,0.1600713,0.77676928,2.83775956,8.12505335,12.57550182,75.50991443
2021-06-03,2021-06-03T00:00:00Z,0.00154927,0.01334581,0.16013659,0.77655718,2.78992306,8.09867926,12.56313928,75.59666953
2021-06-04,2021-06-04T00:00:00Z,0.00155178,0.01334796,0.16059377,0.77874661,2.77817645,8.05212849,12.58063449,75.63482045
2021-06-05,2021-06-05T00:00:00Z,0.00155319,0.0133487,0.161082,0.78016794,2.78007944,7.96806177,12.58135311,75.71435385
2021-06-06,2021-06-06T00:00:00Z,0.00155202,0.01333661,0.16061659,0.77977684,2.78763976,7.81153567,12.61231345,75.83322906
2021-06-07,2021-06-07T00:00:00Z,0.00155406,0.01334409,0.16061956,0.78049295,2.79522222,7.72086924,12.63370093,75.89419696
2021-06-08,2021-06-08T00:00:00Z,0.0015583,0.01332421,0.16121508,0.78188512,2.8128308,7.75149753,12.66437758,75.81331138
2021-06-09,2021-06-09T00:00:00Z,0.0015576,0.01330929,0.16142763,0.78474994,2.82019943,7.75232441,12.68009138,75.78634031
2021-06-10,2021-06-10T00:00:00Z,0.00155767,0.01331481,0.16218565,0.78754563,2.81507437,7.74710918,12.70916285,75.76404984
2021-06-11,2021-06-11T00:00:00Z,0.00155819,0.01330306,0.16297029,0.78936601,2.81312607,7.75389066,12.691692,75.77409372
2021-06-12,2021-06-12T00:00:00Z,0.00156041,0.0133004,0.16258802,0.77976112,2.77901207,7.71954787,12.77395682,75.77027327
2021-06-13,2021-06-13T00:00:00Z,0.00155936,0.01322572,0.16253005,0.77641267,2.77928961,7.73318308,12.8026497,75.73114981
2021-06-14,2021-06-14T00:00:00Z,0.00155656,0.01317844,0.16259856,0.77406932,2.78057073,7.59475635,12.7722882,75.90098184
2021-06-15,2021-06-15T00:00:00Z,0.00155702,0.01316942,0.16229424,0.77601978,2.78221077,7.45453902,12.707076,76.10313375
2021-06-16,2021-06-16T00:00:00Z,0.00155522,0.01316669,0.16264438,0.77665942,2.78384337,7.46809228,12.69624547,76.09779316
2021-06-17,2021-06-17T00:00:00Z,0.0015551,0.01318373,0.16309456,0.77917816,2.79351256,7.49087373,12.69631592,76.06228624
2021-06-18,2021-06-18T00:00:00Z,0.00155547,0.01318545,0.16360625,0.78103225,2.79965396,7.49281663,12.66880016,76.07934983
2021-06-19,2021-06-19T00:00:00Z,0.00155667,0.0131968,0.16367125,0.78129715,2.80411993,7.49753592,12.67245272,76.06616955
2021-06-20,2021-06-20T00:00:00Z,0.00155859,0.01321201,0.1639363,0.76658846,2.80817973,7.50166427,12.69466365,76.05019699
2021-06-21,2021-06-21T00:00:00Z,0.00156355,0.01325255,0.16413714,0.7677037,2.82419714,7.506871,12.72388786,75.99838705
2021-06-22,2021-06-22T00:00:00Z,0.0015668,0.01328136,0.16484729,0.77268159,2.83590425,7.52827286,12.76233454,75.92111131
2021-06-23,2021-06-23T00:00:00Z,0.00156734,0.01330043,0.16536179,0.77385732,2.83765211,7.52908078,12.76705596,75.91212427
2021-06-24,2021-06-24T00:00:00Z,0.00156948,0.0133118,0.16580786,0.77362601,2.8366334,7.53366077,12.76712357,75.90826712
2021-06-25,2021-06-25T00:00:00Z,0.00158441,0.01343163,0.16740238,0.77891882,2.85746776,7.61544063,12.92853348,75.63722089
2021-06-26,2021-06-26T00:00:00Z,0.00158725,0.01345665,0.16750093,0.77983798,2.8649708,7.64279685,12.95122064,75.5786289
2021-06-27,2021-06-27T00:00:00Z,0.00158645,0.01346395,0.16821252,0.77885577,2.86537364,7.65709468,12.95340012,75.56201287
2021-06-28,2021-06-28T00:00:00Z,0.00158675,0.01348197,0.16901452,0.78400489,2.87463243,7.67151518,12.97190669,75.51385757
2021-06-29,2021-06-29T00:00:00Z,0.0015881,0.01348976,0.1697174,0.78618831,2.88017967,7.68119942,12.94614978,75.52148756
2021-06-30,2021-06-30T00:00:00Z,0.00158974,0.01351519,0.17081075,0.79043805,2.88384955,7.69048097,12.96011391,75.48920183
2021-07-01,2021-07-01T00:00:00Z,0.00159203,0.01355424,0.17180463,0.79532603,2.89090774,7.69832652,12.94675285,75.48173597
2021-07-02,2021-07-02T00:00:00Z,0.00159718,0.01358661,0.17265416,0.8013008,2.90428828,7.73558913,12.98182745,75.38915638
2021-07-03,2021-07-03T00:00:00Z,0.00159913,0.01356529,0.17131256,0.79228629,2.89810929,7.73811795,13.03731641,75.34769307
2021-07-04,2021-07-04T00:00:00Z,0.0015989,0.01354136,0.16911026,0.78465734,2.87990999,7.73644932,13.03943912,75.3752937
2021-07-05,2021-07-05T00:00:00Z,0.00159959,0.01352218,0.16773176,0.7815153,2.87515458,7.74160712,13.03762373,75.38124575
2021-07-06,2021-07-06T00:00:00Z,0.00159895,0.01352741,0.16784488,0.78167648,2.87282483,7.75722168,13.03566781,75.36963797
2021-07-07,2021-07-07T00:00:00Z,0.00159879,0.01352768,0.16789029,0.78313555,2.8714952,7.75563936,13.03998398,75.36672914
2021-07-08,2021-07-08T00:00:00Z,0.00160098,0.01354725,0.16844185,0.78638636,2.87853112,7.7610418,13.06974657,75.32070406
2021-07-09,2021-07-09T00:00:00Z,0.00160089,0.0135343,0.16839537,0.78429216,2.87900648,7.75735725,13.10297328,75.29284027
2021-07-10,2021-07-10T00:00:00Z,0.00160074,0.01353733,0.16855989,0.78504899,2.87351172,7.76769551,13.11490265,75.27514316
2021-07-11,2021-07-11T00:00:00Z,0.00159999,0.01353154,0.16753515,0.77821704,2.87492402,7.78868396,13.09196161,75.28354668
2021-07-12,2021-07-12T00:00:00Z,0.00159979,0.01353819,0.1675315,0.77708495,2.87183247,7.79673567,13.10405535,75.26762209
2021-07-13,2021-07-13T00:00:00Z,0.00159855,0.01353589,0.16720148,0.77743007,2.87888296,7.80651613,13.12451334,75.23032158
2021-07-14,2021-07-14T00:00:00Z,0.00159943,0.01356158,0.16737715,0.77871848,2.88366189,7.81852147,13.1551613,75.18139869
