date,Realized Cap
2019-10-02,101842209804.63016
2019-10-03,101803363958.81558
2019-10-04,101779696466.70049
2019-10-05,101781605387.17764
2019-10-06,101757284728.75136
2019-10-07,101749958251.57124
2019-10-08,101766640507.14212
2019-10-09,101781661663.93756
2019-10-10,101796988712.0062
2019-10-11,101781580947.71053
2019-10-12,101799318565.89915
2019-10-13,101801335714.59958
2019-10-14,102269942933.788
2019-10-15,102207568661.66838
2019-10-16,102147792387.8377
2019-10-17,102139233165.35866
2019-10-18,102107022214.07877
2019-10-19,102118412634.51202
2019-10-20,102133910710.0053
2019-10-21,102107081947.67378
2019-10-22,102107157122.3085
2019-10-23,101930756697.6854
2019-10-24,101727134722.56998
2019-10-25,101825544213.89069
2019-10-26,102155339511.76236
2019-10-27,102254081415.97469
2019-10-28,102521549337.16467
2019-10-29,102662931377.0898
2019-10-30,102695144427.95631
2019-10-31,102738834999.43318
2019-11-01,102895553361.2296
2019-11-02,102942249509.4908
2019-11-03,102954056558.5218
2019-11-04,103006937652.92693
2019-11-05,102660710217.8998
2019-11-06,102684355071.87308
2019-11-07,102730174842.27084
2019-11-08,102686514593.5946
2019-11-09,102679030971.71558
2019-11-10,102708465671.76582
2019-11-11,102717670571.82552
2019-11-12,102700992463.7953
2019-11-13,102926714865.49911
2019-11-14,102915959720.75069
2019-11-15,102911714412.8115
2019-11-16,102907483634.46646
2019-11-17,102921679219.1574
2019-11-18,102878804645.39088
2019-11-19,102841557922.14928
2019-11-20,102797661840.14264
2019-11-21,102670649314.20024
2019-11-22,102398575368.96336
2019-11-23,102265472173.6102
2019-11-24,102279271250.32884
2019-11-25,102139072110.5542
2019-11-26,102022685910.41087
2019-11-27,101909874362.69516
2019-11-28,101917250258.15384
2019-11-29,101905585860.30032
2019-11-30,101862066829.57729
2019-12-01,101828680261.53168
2019-12-02,101761731973.88664
2019-12-03,101694594471.66936
2019-12-04,101690785512.55162
2019-12-05,101646474666.63962
2019-12-06,101576431279.31628
2019-12-07,101597183494.26814
2019-12-08,101603600986.69632
2019-12-09,101595494810.79774
2019-12-10,101558005702.35916
2019-12-11,101507788947.0798
2019-12-12,101464079328.75356
2019-12-13,101464554124.83688
2019-12-14,101442910188.5214
2019-12-15,101446424503.87833
2019-12-16,101396030691.9327
2019-12-17,101300686064.85414
2019-12-18,101133827139.83806
2019-12-19,101155397983.79378
2019-12-20,101179860059.52203
2019-12-21,101185106481.72162
2019-12-22,101199137388.3532
2019-12-23,101232875902.28532
2019-12-24,101245676767.9798
2019-12-25,101077903048.53796
2019-12-26,101073262909.99908
2019-12-27,101045549563.1251
2019-12-28,101055045873.69716
2019-12-29,101075727442.12408
2019-12-30,100956470619.22758
2019-12-31,100935548396.5526
2020-01-01,100946260833.54507
2020-01-02,100943833655.82826
2020-01-03,100969809905.98082
2020-01-04,100966122506.02995
2020-01-05,100986991632.69786
2020-01-06,101026731740.18929
2020-01-07,101099882554.50842
2020-01-08,101197738451.21216
2020-01-09,101265097573.5338
2020-01-10,101293852170.38158
2020-01-11,101329783160.48846
2020-01-12,101365278040.55997
2020-01-13,101413466957.34438
2020-01-14,101675789153.4796
2020-01-15,101864284892.35097
2020-01-16,101966059013.11964
2020-01-17,102087438588.53555
2020-01-18,102136174105.38928
2020-01-19,102157926915.63742
2020-01-20,102164753087.50764
2020-01-21,102204365699.0055
2020-01-22,102237390067.60696
2020-01-23,102263093335.33252
2020-01-24,102317268145.20007
2020-01-25,102342378718.3878
2020-01-26,102376068010.05336
2020-01-27,102452452631.41422
2020-01-28,102557399358.1473
2020-01-29,102795716727.96384
2020-01-30,102969132979.183
2020-01-31,103178718363.09488
2020-02-01,103237652158.07475
2020-02-02,103253260519.80008
2020-02-03,103336830326.27162
2020-02-04,103388808828.68004
2020-02-05,103490459914.4013
2020-02-06,103785556741.0685
2020-02-07,104201517401.0468
2020-02-08,104336453259.6144
2020-02-09,104460779220.32806
2020-02-10,104757973107.90495
2020-02-11,104933579653.26624
2020-02-12,105097670199.15
2020-02-13,105237901660.23694
2020-02-14,105349137664.159
2020-02-15,105386286874.18591
2020-02-16,105436100489.17409
2020-02-17,105453339343.0138
2020-02-18,105591643183.1948
2020-02-19,105723852718.8032
2020-02-20,105698883664.91396
2020-02-21,105749828733.5268
2020-02-22,105783931166.7858
2020-02-23,105861660247.59148
2020-02-24,105905655670.1951
2020-02-25,106061796498.36456
2020-02-26,105998096548.52708
2020-02-27,105908165340.24896
2020-02-28,105893775101.53436
2020-02-29,105888171056.38164
2020-03-01,105872026549.75864
2020-03-02,105924551931.39656
2020-03-03,105979462256.7303
2020-03-04,105822828766.92969
2020-03-05,105866578811.63878
2020-03-06,105916574783.77554
2020-03-07,105937643268.14244
2020-03-08,105915732987.55214
2020-03-09,105705844510.1472
2020-03-10,105599793973.23029
2020-03-11,105344172867.23264
2020-03-12,103942570636.93356
2020-03-13,102723246772.68604
2020-03-14,102480898885.37248
2020-03-15,102334271061.88264
2020-03-16,101854117479.09155
2020-03-17,101611280211.14076
2020-03-18,101517404314.79613
2020-03-19,101518275250.1664
2020-03-20,101471268154.6086
2020-03-21,101448838456.83829
2020-03-22,101479054117.07396
2020-03-23,101448040934.20914
2020-03-24,101583018009.47208
2020-03-25,101542496605.7209
2020-03-26,101570628244.04532
2020-03-27,101575766305.61226
2020-03-28,101516418181.70345
2020-03-29,101444603381.34917
2020-03-30,101404042101.73744
2020-03-31,101381382437.00824
2020-04-01,100979090505.40231
2020-04-02,101022195510.0754
2020-04-03,101047258613.61894
2020-04-04,101043384899.08138
2020-04-05,101062753909.15326
2020-04-06,101186670633.68243
2020-04-07,101223875754.69383
2020-04-08,101283848550.16817
2020-04-09,101322526150.66776
2020-04-10,100961418251.72829
2020-04-11,100956711544.7342
2020-04-12,100971678657.48758
2020-04-13,100919787042.07898
2020-04-14,100931403182.7919
2020-04-15,100915218724.20116
2020-04-16,100917451027.479
2020-04-17,100939167710.95071
2020-04-18,100971216799.73718
2020-04-19,100984427128.22528
2020-04-20,100963567951.80086
2020-04-21,100931591002.59346
2020-04-22,100954562057.85056
2020-04-23,101046806977.39185
2020-04-24,101123846698.92767
2020-04-25,101158312903.99144
2020-04-26,101189769806.9796
2020-04-27,101390758509.8034
2020-04-28,101431494319.97713
2020-04-29,101971094583.35796
2020-04-30,102398737400.9963
2020-05-01,102558316397.21808
2020-05-02,102649446588.641
2020-05-03,102825785182.08035
2020-05-04,102912383898.73814
2020-05-05,102987812640.521
2020-05-06,103236322379.778
2020-05-07,103748998672.9843
2020-05-08,104096198059.85657
2020-05-09,104202786528.36392
2020-05-10,104142605670.8361
2020-05-11,104085083580.78894
2020-05-12,104040091785.87288
2020-05-13,104161514994.87102
2020-05-14,104333037858.44162
2020-05-15,104419612397.09113
2020-05-16,104458462308.9998
2020-05-17,104525245404.79704
2020-05-18,104721761831.85635
2020-05-19,104843334666.04524
2020-05-20,104941704788.9785
2020-05-21,104914055754.03606
2020-05-22,104912227529.18658
2020-05-23,104942894332.66872
2020-05-24,104966452931.9038
2020-05-25,104855141832.38858
2020-05-26,104848128125.13936
2020-05-27,104914143129.35846
2020-05-28,104990642671.57732
2020-05-29,105036553816.21724
2020-05-30,105074524833.4795
2020-05-31,105117088984.66048
2020-06-01,105272909990.91331
2020-06-02,105466033064.4723
2020-06-03,105518472246.05624
2020-06-04,105596497439.84984
2020-06-05,105652013880.70844
2020-06-06,105692896468.95824
2020-06-07,105721875498.90622
2020-06-08,105906567727.24088
2020-06-09,105973162783.23029
2020-06-10,106038961626.56444
2020-06-11,106055537601.51958
2020-06-12,106074869994.70142
2020-06-13,106096193823.63596
