date,Open,High,Low,Close,Volume
2021-03-06,56617981.88210118,56965416.76488079,54711480.49913006,56207499.41498935,12433.239244842183
2021-03-07,56183403.33523427,58671537.19243227,56178624.19326623,58096953.64310909,13990.481157528067
2021-03-08,58120086.07456417,59807666.73551798,57018276.3455415,59796591.33971457,23176.462990840617
2021-03-09,59786114.50144097,62945726.23180923,59310416.21584626,62940492.26147272,19186.30362874359
2021-03-10,62934674.51807279,65420060.37119307,60804419.84761818,64263970.92391432,18907.75520732356
2021-03-11,64298073.40989986,66691009.42716077,62872053.2346725,66160072.74951632,16307.206123606358
2021-03-12,66124736.70031645,66950518.54819259,64556900.91498854,66566203.06489881,13993.655155740917
2021-03-13,66573600.90077546,70983349.72166643,65065410.75768498,70605762.57462879,16794.79552096136
2021-03-14,70601024.09306923,71365448.48798788,68563699.30321227,68580730.44405527,11181.347662569837
2021-03-15,68579998.5042012,70112675.58666027,63349946.96273718,64458110.67620712,26479.37316011548
2021-03-16,64450448.4065355,66016004.06754019,61901555.80947728,66016004.06754019,19700.56742513267
2021-03-17,65988671.25386777,68722512.1746014,62496673.28387673,68418643.01465285,20141.19507115586
2021-03-18,68402945.86191595,70104891.16582254,66755855.08087975,67070944.31367248,16164.23838568754
2021-03-19,67076762.16363373,69615863.78107195,65560242.67948944,67940675.54652703,12950.231252002275
2021-03-20,67844710.77827564,69903350.27441245,67634419.60408068,67778800.7851404,12150.895397750875
2021-03-21,67750589.60637487,68607933.10981622,65454558.08335925,67113488.40973018,11999.528488940166
2021-03-22,67070229.95891786,68314706.12660164,64336941.85511422,64607151.62538342,13334.188065586388
2021-03-23,64616110.14465113,66255264.25001353,62892696.05410255,65407786.09186197,15640.19787674261
2021-03-24,65396433.86189269,68307840.46203092,64445758.01463614,64724906.1551345,16454.256275250675
2021-03-25,64706294.03935395,65281097.24928415,62422518.57894763,63211661.1556983,15828.544867364286
2021-03-26,63233462.85805023,65668491.71317223,63169410.45619231,65624094.24966925,11374.43271008044
2021-03-27,65560173.49937904,67275335.04450466,65041607.81859052,66568108.89861277,8775.066341586407
2021-03-28,66624851.29041467,67487047.6841739,66081558.75969492,67120794.02325478,7179.72212345867
2021-03-29,67098769.35612638,69341983.18287706,66322328.46908836,68641137.53178574,12506.290061048254
2021-03-30,68560580.24967201,70935171.99232924,68239502.73890112,70691615.48215106,11468.764040709048
2021-03-31,70673481.68346345,71763132.0664297,69173286.66007873,71473931.1869223,14657.059266128774
2021-04-01,71300520.3856257,73162799.8893529,70680984.45393725,72654615.43229198,14622.344087861986
2021-04-02,72678881.6111558,74285825.99375418,71674731.5619492,73811332.044973,12725.715734018351
2021-04-03,73895347.71126163,75656591.50927885,71715891.78910637,72164617.19289191,13901.89725175668
2021-04-04,72137227.25795053,74174185.04246353,71538708.22704937,73941051.10651976,9797.646027313687
2021-04-05,73950019.0857313,78641697.61968483,73910079.21832784,78629612.80724104,19477.26051617816
2021-04-06,78667057.3470898,79378341.79017793,76252027.6723398,77848398.88290378,17172.483606287245
2021-04-07,77807507.51299268,79497491.1060917,68402490.54800858,72882978.90240572,29107.64097971927
2021-04-08,72882036.54587163,75249400.74654268,70396419.18580925,75238505.87386958,14542.0637927173
2021-04-09,75253896.5382973,76334536.32650445,73303278.41553843,75955695.15907699,13636.099595546984
2021-04-10,75865942.27215914,79488583.55348565,75522286.32137996,78468296.28136078,14165.637449627287
2021-04-11,78377812.20132016,79284567.97968258,76428364.58321247,78654383.14995743,11040.730171441432
2021-04-12,78759712.80144735,78994187.28791064,77438571.57773742,78119189.31074636,9885.86077475875
2021-04-13,78094755.240709,81723011.2321936,77812517.55042945,80723611.97861171,17051.663485736684
2021-04-14,80696535.83581164,81891581.0776659,79191865.38499208,80310168.28214975,16595.699714384464
2021-04-15,80265518.6016695,80652805.27258775,78038052.34207414,79623725.64672934,11763.624852385215
2021-04-16,79600220.26908833,81129438.57078655,76796127.60418925,79334972.45849791,15852.577328481424
2021-04-17,79282216.68965611,79891382.3236549,77377427.32057875,77930127.32732357,10918.653874103757
2021-04-18,77922587.87551011,78376984.63009664,70732412.17490293,75690991.86279692,25777.992793103207
2021-04-19,75738564.24389511,77377176.47332296,70622665.20445678,71168662.2339514,20024.551185813205
2021-04-20,71197509.15975524,72031893.60728703,65840633.19000076,70311834.3827784,24052.723738300345
2021-04-21,70333104.2418356,71291678.5801594,67509589.73137613,68121862.18700986,11865.27540157664
2021-04-22,68046061.28523128,68931567.09693646,58737927.65359036,59828323.69642899,31107.59305460682
2021-04-23,59804972.83053993,61781590.17633988,54998048.42845667,61081745.83430868,33799.34831267284
2021-04-24,60959373.12545662,62498710.35078727,58445485.5305881,60851018.52815484,14386.402030568885
2021-04-25,60847457.09432907,62020655.6835833,57350556.34097581,59837121.01814621,13926.875730270527
2021-04-26,59809086.93118481,64310520.29980568,59092382.11644174,64160231.11370995,14632.9734012646
2021-04-27,64176690.70941176,64999614.81975463,63367564.82771624,64702180.49320018,8832.458514594724
2021-04-28,64751881.90700896,65850095.02667842,62608176.32932076,64099075.48492856,9010.405852769669
2021-04-29,64059763.59632895,64881678.46576866,62962980.71516956,63808792.07044538,9833.929286584716
2021-04-30,63810335.41694213,68539593.27774166,63499881.01042334,67942284.44311382,18947.511494691586
2021-05-01,67957805.79417743,69385037.95673916,67561268.52047081,69046740.59236741,10267.123842789671
2021-05-02,69039413.33721699,69296098.13102642,66805284.67372214,68437323.98928656,8229.357253440981
2021-05-03,68451652.75310238,70998392.0872396,68276660.4629632,69993393.17013256,10077.57810690631
2021-05-04,69973445.20427562,70450068.92941888,66490000.70136522,66825314.48272958,13565.382750943169
2021-05-05,66821993.9851064,70002822.50815319,66460886.29902542,68676822.9956763,12471.067429379224
2021-05-06,68670383.83198106,70833066.25129776,67683001.32325779,68760463.69923066,14099.992122444248
2021-05-07,68738345.5147465,69721522.36981852,66883504.62362568,68566681.18100137,13168.050814513295
2021-05-08,68563968.7337247,71871145.40031427,67603464.81152363,71728087.11310431,13264.633418585052
2021-05-09,71695797.69892056,73075495.00573803,70035069.89661564,71445354.8535308,15911.447185841796
2021-05-10,71431525.48613001,72486982.10858124,70014356.58450465,70860988.74360974,19471.464108946744
2021-05-11,70866772.10453759,71731808.01479134,67595771.53198126,69731615.8664881,14224.579238225468
2021-05-12,69695889.40392268,70479211.3338873,60800865.66487706,61951365.12276657,28892.820003625777
2021-05-13,62066783.12248081,65393839.21586143,59641298.57758889,63005524.14805472,31590.46907448095
2021-05-14,63037240.66752578,63606613.70916937,60926789.49541762,61697130.66599184,18430.370248845
2021-05-15,61760899.56435467,62091926.56982121,57491532.040718,58727395.21368207,22781.24172953
2021-05-16,58655881.81884191,60699080.87157123,55441311.55903921,57641645.01340972,22508.87161084
2021-05-17,57597252.11036142,57967530.23857835,51200838.25123778,54050662.06873337,37353.90429782
2021-05-18,54047362.07828433,56365082.71949756,52742426.62768347,53330636.73046877,21477.10697463
2021-05-19,53273184.28526249,53929497.26770595,42477673.42262948,50338822.43076106,56440.669538545
2021-05-20,50414695.38756484,53031764.82141824,48239609.99818356,51289108.68108567,30250.89614156
2021-05-21,51293078.68767205,52707885.87753188,45462451.06289798,49076734.90262808,32100.870213235
2021-05-22,49044525.41695082,49240972.9141981,43886450.82228157,47436760.4704992,23333.06310113
2021-05-23,47343216.77933401,48567524.54296348,39147278.45554248,42572804.9032774,38148.80758983
2021-05-24,42573215.01367021,47638158.4419909,41249829.51814172,47047435.81916866,31725.08252822
2021-05-25,46995911.75836196,49107585.97411807,45145624.29956449,47029766.18011139,23238.02312157
2021-05-26,47045880.98873978,49039092.66211164,46207006.15302344,47316634.64769117,16511.55798205
2021-05-27,47301094.06465134,48111226.5142021,45368643.54134785,46550522.93534783,15950.08614767
2021-05-28,46552108.50948574,47052826.84210441,42345019.47150198,43692390.64917603,21674.56238129
2021-05-29,43671735.78822741,44796579.7105882,41103082.14635523,42673057.68456715,16450.42094269
2021-05-30,42684076.35272324,43832003.19617936,40559384.21993425,43168849.3324595,13663.84672046
2021-05-31,43165107.02620972,44217242.51790137,41214910.39900722,43737977.57470197,16247.12254648
2021-06-01,43728312.45780737,44544360.81439299,42474327.33764973,43189697.85543813,13806.12821254
2021-06-02,43203199.60386236,44355379.178954,42431106.13896041,43726399.85186631,11450.18270238
2021-06-03,43728815.31716626,45677296.13459771,43383497.94161481,45440884.56693503,13178.6518547
2021-06-04,45438415.79013664,45507300.79989676,42181812.87082964,42940670.74216403,14731.52501966
2021-06-05,42940430.04415268,43770745.40429013,41442758.11274281,41942488.92079486,10750.910470865
2021-06-06,41945653.34104883,42474696.80543778,41434120.02233285,41778920.57141831,7208.69153953
2021-06-07,41779931.8233028,42467992.59857641,38833969.05208735,39029747.6873397,14783.30356302
2021-06-08,38996651.23490595,39629025.24157312,36317762.7377963,38501864.77478871,19162.7346044
2021-06-09,38488391.91211851,43591302.94623882,37213163.79661857,43262250.78515526,25326.41192252
2021-06-10,43275747.48289273,44597194.39865234,41809268.24932781,42820933.41312562,23082.351309685
2021-06-11,42811211.32372397,43793267.94595093,41972658.91660792,43684128.53491858,21311.62042143
2021-06-12,43692074.22462589,44065784.85034214,40620074.28110062,41421758.60146112,19975.4426867
2021-06-13,41419435.45061568,45152361.61898016,40535570.48598452,44754688.40036039,16749.55739965
2021-06-14,44753275.30019505,47424209.42027709,44406548.29155766,46501810.59545044,25036.33105382
2021-06-15,46517499.68156986,47503875.49109358,45483583.45021385,46366358.19427043,14652.49295485
2021-06-16,46377604.968279,46523950.40260779,44757019.77962615,45286148.37701645,15873.71357425
2021-06-17,45222283.67147013,46046666.7268075,44319034.37047224,44845736.07693645,14288.83576137
2021-06-18,44816816.53257327,44922707.50702197,42061014.28870708,42590605.18257812,20289.39505972
2021-06-19,42583977.3966843,42999549.76423433,41357734.40807599,42070217.29669105,12131.06887236
2021-06-20,42075903.02030696,42435984.76916993,39783699.84193059,41843664.76460199,17438.17227742
2021-06-21,41845907.50519687,42045437.32756925,36748968.57577957,37368590.49080416,31895.637888745
2021-06-22,37363844.69403881,39063099.58876392,33829242.19872202,37788073.55080378,41212.70800281
2021-06-23,37795708.47521601,40098583.1830363,36748426.68350091,39071697.58292225,24559.00190986
2021-06-24,39071345.14637344,40705883.90298661,37757266.97297684,40127066.87539045,16708.51744065
2021-06-25,40122124.70284559,40954638.786264,36842044.03918918,37142284.39872565,20079.57835283
2021-06-26,37145242.31127226,38042174.19758973,35508676.9291187,37641918.63558707,18376.79025391
2021-06-27,37638857.32255985,40003084.21377613,37266573.48243546,39985218.02400193,16581.18818136
2021-06-28,39986765.83796584,40589460.08283552,39158722.33107573,39961720.27769697,16983.21917279
2021-06-29,39977093.39345051,42183271.50437125,39801484.64905739,41528716.82816341,17394.40851924
2021-06-30,41530460.03556816,41844357.29371251,39512139.89796966,40674491.07667654,12824.94086693
2021-07-01,40673741.00445831,40693195.03050147,38672778.34459331,39331262.27936413,13129.58067623
2021-07-02,39321130.54104576,39833553.32975725,38265670.39704562,39439630.01228445,9350.29088456
2021-07-03,39430759.75881672,40576963.32137972,38953222.47861861,40299083.21020522,6638.83623344
2021-07-04,40302175.45878625,41643617.37360574,40087751.34619835,40946703.77997355,7032.37306362
2021-07-05,40916455.25761343,40944261.99457296,38870084.5958395,39503305.62925118,11980.28280978
2021-07-06,39502264.89576373,40650222.61013403,39299956.82237392,39817513.2889798,8984.08335148
2021-07-07,39815798.7057024,40721756.95523868,39626819.1052509,39732841.3126036,8299.61513202
2021-07-08,39710739.79087848,39904190.65382449,38176597.03851178,39078028.23290884,12181.362995
2021-07-09,39050290.58041971,40097988.30424565,38135053.08687456,39820142.67287194,8766.62033821
2021-07-10,39801679.09315464,40294922.22223508,39133421.1836177,39624138.58152267,5878.70669027
2021-07-11,39622472.89600912,40576294.74878369,39252117.52096707,40190336.22710406,5076.11063491
2021-07-12,40190266.10073332,40559704.09558863,38776024.03415451,39175437.64968408,7870.72078015
2021-07-13,39172347.22210389,39349180.7449686,38253810.63505291,38717234.43210839,6820.83389286
2021-07-14,38743548.09989798,38978788.70353705,37552764.35708137,38589632.75341822,9638.65287199
2021-07-15,38586066.96593933,39043981.70701839,36993584.15855079,37601805.43710643,10153.38147384
2021-07-16,37606856.88059432,38039082.40780271,36732575.82398253,37178548.26753757,8173.54536512
2021-07-17,37176756.54745947,37795129.47302542,36816310.99053136,37204149.39599742,5187.76333728
2021-07-18,37202369.59594734,38167983.43999059,36962027.13004481,37657960.35747406,5226.9193489
2021-07-19,37656104.84760967,37697811.81518386,36434077.17192077,36790785.92405611,6700.28328838
2021-07-20,36765331.29580554,36923604.92410208,34811369.68894972,35300985.38206422,10163.56304791
2021-07-21,35310566.11703487,38439041.1752879,34975104.91636435,38012433.24468694,10553.16540817
2021-07-22,38015942.67858896,38452342.54563664,37433278.48040277,37921455.28685129,6211.22591905
2021-07-23,37917144.39205888,39123528.614035,37770101.65261433,39122727.41987444,7094.3330193
2021-07-24,39130751.08422251,40237822.40878128,38933609.16500671,40118955.82435878,7119.37205643
2021-07-25,40090279.06059075,41112447.66813395,39560635.53267079,41072237.52905143,6580.2173931
2021-07-26,41060558.8376062,46827461.84578486,40871713.60762764,43022859.70534068,25790.78016621
2021-07-27,43029509.78544302,45515809.1543908,42041750.78147864,45446186.33050971,14490.972746
2021-07-28,45469839.0251451,47473636.2566527,45003531.15243617,46349959.81414363,15847.27125017
2021-07-29,46348616.05203623,46982853.68986545,45512833.41086991,45915105.56229328,8029.54559579
2021-07-30,45937888.10768101,48658866.30556326,44424044.09535057,48555250.00761505,12608.23805706
2021-07-31,48562937.69648458,48762005.66908525,47636604.16071654,48012981.66764647,7189.12078028
2021-08-01,47985777.34473571,49455721.83957826,46024914.22648943,46264517.30560945,9689.53766812
2021-08-02,46257532.32891194,46782350.68702209,45106448.26898846,45447235.80020696,10015.95291049
2021-08-03,45443219.2371429,46152773.94752913,44395674.12850322,44929098.40538936,10399.40829431
2021-08-04,44935294.4367927,46023282.32826582,43974734.57059648,45732328.54162223,9040.46888556
2021-08-05,45732597.13329196,47659645.30370729,43806515.01711066,47137097.24234527,14309.72263846
2021-08-06,47104642.7441349,49917903.47304443,46204976.36761257,49350521.24141929,12883.55532683
2021-08-07,49342026.94316538,51286065.08812395,49008246.10129321,50973805.21810225,14676.24833617
2021-08-08,50969071.51560931,51727690.2679044,50126549.34897532,50793341.15206488,11995.27721059
2021-08-09,50787422.48846497,53151061.29660579,49522662.72923586,52881142.28716153,14850.7825504
2021-08-10,52880951.56116643,53468896.13859486,51800868.07078808,52338674.69126357,12668.11242247
2021-08-11,52333567.13162504,53498559.24120423,52205955.25684708,52580495.30843236,13953.05146999
2021-08-12,52567069.33082984,53391075.37831772,51393140.04532321,52076472.52472698,16551.75871539
2021-08-13,52077232.69353872,55343093.99675732,51781238.348364,55173349.4536467,16248.21239837
2021-08-14,55171396.10300361,55730325.98867084,53551453.67340002,54816205.98236132,13819.23162964
2021-08-15,54830779.03212152,55167000.96676699,53309467.47069895,54634652.23852161,11310.81181128
2021-08-16,54634713.23117921,55690064.7467584,53707414.96804573,53858604.96678436,11390.07608968
2021-08-17,53862738.35492573,54645293.20605542,52452017.76670708,52639014.90241783,13095.1293422
2021-08-18,52635610.61642605,53850572.4806744,51912317.95888031,52783724.36275595,17297.40388836
2021-08-19,52785736.88883317,55041260.8159114,51928552.91484878,55010691.32624818,17038.91591636
2021-08-20,55004106.19973793,57912094.47668447,54814877.57089561,57680106.98586361,16196.82848102
2021-08-21,57689521.78319255,58300194.86572608,56567289.56959944,57539683.53411636,11499.91881513
2021-08-22,57569499.16685163,58010331.25171069,56623051.75977413,57680546.26651712,8913.36105794
2021-08-23,57704133.24090386,58723071.2490932,57381653.48072206,57648119.8223948,13843.17624885
2021-08-24,57645069.65507371,57890592.86694199,55806436.03686716,56130420.53887662,20213.60844282
2021-08-25,56125027.05789656,57330218.51253075,55105786.64870815,57115206.7484649,13773.79463347
2021-08-26,57096288.09596483,57495549.88853359,54508929.67199747,55226961.88846521,11875.17725004
2021-08-27,55252676.09599664,57611640.33824645,54605544.72120458,57404048.42270909,10474.63590883
2021-08-28,57400374.89094918,57881659.96771056,56677736.51579934,57425064.36379969,6749.49880828
2021-08-29,57427059.00611803,57998750.57867934,56452738.29083795,57270080.93214346,13182.49077034
2021-08-30,57270598.16703865,57474833.21101081,55506538.17826405,55791374.42574722,16696.7290331
2021-08-31,55768848.89525847,56333313.96167987,55009478.67050058,55223542.41367473,13651.62177654
2021-09-01,55222566.06869561,56935271.25554016,52171168.05413784,56458869.86916465,12137.85587738
2021-09-02,56450177.24409277,58385734.97025977,56262958.37578199,57178590.12717207,12003.85922633
2021-09-03,57176672.62609485,59106011.27371342,56486597.06548579,57788696.06409805,14695.18111432
2021-09-04,57728174.01686767,58474770.23090038,57194791.69793357,57829140.34429983,8795.46090216
2021-09-05,57837139.10309636,59630432.52399629,57217000.0,59253015.42348962,9643.07862172
2021-09-06,59230979.21241437,61048441.27824475,58809615.54375021,60841699.66576879,9808.06481465
2021-09-07,60840597.41681692,61108291.39523732,54907097.27621513,56668539.87222307,26801.47706054
2021-09-08,56664940.6054576,57246684.37130608,53111944.72992716,55588379.29284309,17262.58182451
2021-09-09,55583622.49168632,56558849.13813754,54378442.86927829,55888871.78912574,10806.16983022
2021-09-10,55852230.58561717,56793083.35841175,54631132.80963002,55023970.87573078,13528.37677978
2021-09-11,54998299.02461097,55404286.74390293,54317128.35853211,54793921.25941601,5581.99195345
2021-09-12,54786320.1677322,55569812.26284778,54303729.24532538,55074323.27215729,6101.54642113
2021-09-13,55077019.25574577,56659216.39401971,53477177.71387512,54274718.47049755,11290.08643367
2021-09-14,54336546.72912934,56841805.93805349,54110840.79115958,56572706.83918908,8434.4026327
2021-09-15,56551849.96470702,57656306.75415158,55951119.02513604,57173169.76434643,8242.89131236
2021-09-16,57159009.51340238,57504243.78474166,56421868.27434573,57263228.50505492,7898.29156234
2021-09-17,57264234.21529856,57804010.68260355,56846550.17904435,57636849.99850391,9237.33617735
2021-09-18,57631593.41008372,58970080.8707885,57561485.70131502,58591408.68193532,6643.17690876
2021-09-19,58599039.75667489,58793215.48654258,57452593.20067099,57975281.87739837,6323.31006206
2021-09-20,58026688.30033023,58112527.14141088,53203594.44029765,53806534.41928006,16170.689876085
2021-09-21,53800031.26827262,54366931.33659019,50201663.35083324,50694608.41255305,16263.19075267
2021-09-22,50694852.94257296,54143317.3992048,50059337.62439089,53852005.92211736,12218.30499229
2021-09-23,53852721.43812968,54633356.97970315,52585072.35237288,54409249.03551717,10803.48288439
2021-09-24,54394109.65119036,54553795.99441465,50884185.05767334,52172415.97006089,16475.96527206
2021-09-25,52174406.21070004,52451613.8361902,51030414.89913259,52325827.42434251,5935.80529065
2021-09-26,52324570.64336153,53604149.77661146,50731212.09245272,52797110.84553119,8170.40567768
2021-09-27,52793011.62916439,53777718.5452335,51708413.44207021,51813470.57702438,6761.45897086
2021-09-28,51804564.96528446,52097859.02011827,50202038.00259234,50295857.60774841,8502.9212035
2021-09-29,50300286.19958724,51799428.69313755,49919591.74223517,50799121.27660777,7336.880422925
2021-09-30,50800012.36678669,53656913.48601166,50706710.00763852,53514858.05067614,8804.06550115
2021-10-01,53514614.04648619,58571189.5869157,53021665.90226825,58348693.02889607,12713.33082589
2021-10-02,58351903.37999794,58994010.26502251,57665303.01614029,58206079.59838633,6313.9479934
2021-10-03,58201919.06094268,59379183.37553794,57251873.40399695,58533205.75787059,6130.02219374
2021-10-04,58466919.48362226,60316178.52440632,57338464.02125148,60002758.23333547,8974.98015057
2021-10-05,60010756.52529988,62495554.61932279,59522956.42033099,61724031.12381813,13746.68050946
2021-10-06,61707797.5704259,67650980.82247365,61122506.70083624,67008366.01454544,19425.95596607
2021-10-07,67011002.61216347,67287509.8331765,65259716.26021415,65499295.59824124,11154.73468609
2021-10-08,65499813.42986565,68154154.34810522,65160479.72727327,65970543.96838144,10484.26091547
2021-10-09,65954756.2772626,67720778.59466635,65659890.21072219,67060350.89753211,6221.87352799
2021-10-10,67059879.43481506,69001093.64626276,66344725.86119121,67788739.17721598,7206.76059277
2021-10-11,67792828.6446804,71582163.54276285,67306724.39916234,70923899.32876632,11855.10383843
2021-10-12,70952402.17517766,71352532.8428168,67433364.2285879,69171144.19453357,11337.88417613
2021-10-13,69190866.78369582,70677784.8328902,66856652.03663304,69858377.61406533,10543.62367459
2021-10-14,69868803.36905237,71446054.57629947,69260705.82866581,69779183.22481589,9340.37615913
2021-10-15,69772456.5150909,76690296.620513,69398010.6335915,75688698.28129236,21446.09533392
2021-10-16,75696428.42059839,76312389.52656937,73963337.85628399,74803985.30223845,11540.24372796
2021-10-17,74788815.2750408,76192457.1614179,73918864.8699171,75941095.5358953,8877.53009238
2021-10-18,75929387.0530565,77182689.3119549,74122141.63791656,76531799.04018505,12137.26252808
2021-10-19,76526893.50796103,79215027.5477365,75867398.530848,78765680.42445733,13118.6016557
2021-10-20,78766496.78639773,81656050.39492615,77957644.33556506,79867376.76586378,18899.30973914
2021-10-21,79884738.64213452,80757188.55817124,76291604.22009447,76376965.98244068,20813.69907737
2021-10-22,76364631.56038424,77578469.32794169,74008881.85857826,74354578.22366303,16193.2203065
2021-10-23,74333670.29215702,75556968.38554274,73239693.21242177,74841132.7365459,10319.96212495
2021-10-24,74841451.11752719,75500564.81590717,73577553.59700666,74496245.9364998,9403.67452934
2021-10-25,74498941.41323948,77019663.88597555,74219361.96946295,76208427.35641505,10641.95532625
2021-10-26,76254827.14143565,76471361.96961994,72942949.55766247,73192933.69336738,12490.52424158
2021-10-27,73219187.72600257,74132929.0489225,70213783.085579,71779613.39201792,19975.72273146
2021-10-28,71785060.9890791,74718500.09903497,70934456.83616771,73086718.5629921,13572.51278532
2021-10-29,73002738.93996723,75424967.04487497,72575313.68353726,74590301.05752967,12274.24146189
2021-10-30,74586945.30022152,74746997.19079803,72934328.6074866,73560875.93336414,9793.16490796
2021-10-31,73501980.62603794,74501744.21282622,71607121.3723117,72451661.90170749,10990.7312561
2021-11-01,72401432.32925087,73917951.28272086,71007428.80157547,72409483.1724007,9442.74183132
2021-11-02,72400754.47105147,75564281.25166543,72037729.91242842,74148360.9091667,11564.860453525
2021-11-03,74119896.08625437,75115994.94401605,72255297.47345608,74609940.78811863,11801.96212155
2021-11-04,74615578.28745957,74845972.16113879,73415801.67410251,73791833.38238268,9550.43559651
2021-11-05,73794881.40468433,74978260.48237781,73374264.70715863,74112151.27929354,8982.67947688
2021-11-06,74086945.70423566,74636755.69721828,73778550.85019436,74570041.76899333,6687.7005094
2021-11-07,74571765.9490472,76687325.29806694,74479778.31228518,76558982.62011345,7189.86877418
2021-11-08,76647864.39185414,81622183.48354658,76561505.21019857,81422294.8368929,13494.78996029
2021-11-09,81433625.6029755,82674859.72824363,79898688.23568939,80817814.9421644,13404.61387889
2021-11-10,80774555.89412042,82503978.73102178,78354637.2163206,79627836.87148772,18174.85604126
2021-11-11,79617214.85862963,79717992.61017309,78517132.26168585,78889019.49902898,11083.15133801
2021-11-12,78916196.96947452,79129861.54874747,76703199.90694126,78156111.32548827,11253.59974246
2021-11-13,78161029.89720713,78777637.2687096,77135229.38009793,77864888.71167386,6472.17632366
2021-11-14,77856297.92407113,79355140.07067658,77492575.88876505,79321809.78406584,6320.00037412
2021-11-15,79331786.18801689,80187607.10581653,77314550.01810317,77593050.20894317,10612.63536106
2021-11-16,77572674.57374506,77584837.13001268,73262054.14596374,73894921.18062262,18747.22824193
2021-11-17,73893740.67493345,74688068.63512018,71927820.99551289,73942578.00790516,14367.57703155
2021-11-18,73944955.04190955,74470177.876567,69960901.09807085,70560099.53143445,20327.29257049
2021-11-19,70538709.34120148,72301875.58137009,69128899.12494783,71806557.70883715,13704.25991977
2021-11-20,71804280.79452328,74063228.54496454,71454774.15835486,73684169.49423543,8856.0710471
2021-11-21,73697352.62326129,74195814.75252764,72632568.5228646,73023465.33451225,7681.57133253
2021-11-22,73039523.1090819,73487551.89201047,70136612.92353378,70562276.95680945,12351.74141046
2021-11-23,70540263.24375144,72130747.03213514,69537455.35068366,71753478.0540899,12777.801228505
2021-11-24,71657687.32499425,72307313.98469311,70157638.9252931,71661993.71149248,11010.15362268
2021-11-25,71676744.25323331,74108992.58868761,71153219.92150529,73162505.92829958,13720.347828555
2021-11-26,73161381.80641414,73554189.51359992,68000874.49453492,68512148.69037217,17377.25334231
2021-11-27,68503286.07989123,70267657.24123572,68135188.24401914,70052210.14668866,6976.79992982
