Datetime,Miner In-House Transactions
2025-12-31T00:00:00Z,5569
2025-12-30T00:00:00Z,5168
2025-12-29T00:00:00Z,6174
2025-12-28T00:00:00Z,5868
2025-12-27T00:00:00Z,5256
2025-12-26T00:00:00Z,12590
2025-12-25T00:00:00Z,33065
2025-12-24T00:00:00Z,41756
2025-12-23T00:00:00Z,10429
2025-12-22T00:00:00Z,15762
2025-12-21T00:00:00Z,40944
2025-12-20T00:00:00Z,13434
2025-12-19T00:00:00Z,6474
2025-12-18T00:00:00Z,10703
2025-12-17T00:00:00Z,30024
2025-12-16T00:00:00Z,59225
2025-12-15T00:00:00Z,27131
2025-12-14T00:00:00Z,63520
2025-12-13T00:00:00Z,80679
2025-12-12T00:00:00Z,16074
2025-12-11T00:00:00Z,8218
2025-12-10T00:00:00Z,61619
2025-12-09T00:00:00Z,50324
2025-12-08T00:00:00Z,104504
2025-12-07T00:00:00Z,101355
2025-12-06T00:00:00Z,94403
2025-12-05T00:00:00Z,22939
2025-12-04T00:00:00Z,52646
2025-12-03T00:00:00Z,94459
2025-12-02T00:00:00Z,60769
2025-12-01T00:00:00Z,48095
2025-11-30T00:00:00Z,124468
2025-11-29T00:00:00Z,53986
2025-11-28T00:00:00Z,12190
2025-11-27T00:00:00Z,81791
2025-11-26T00:00:00Z,147896
2025-11-25T00:00:00Z,63407
2025-11-24T00:00:00Z,53358
2025-11-23T00:00:00Z,31698
2025-11-22T00:00:00Z,9458
2025-11-21T00:00:00Z,23281
2025-11-20T00:00:00Z,22961
2025-11-19T00:00:00Z,30028
2025-11-18T00:00:00Z,22129
2025-11-17T00:00:00Z,6633
2025-11-16T00:00:00Z,7618
2025-11-15T00:00:00Z,8391
2025-11-14T00:00:00Z,13381
2025-11-13T00:00:00Z,18247
2025-11-12T00:00:00Z,57007
2025-11-11T00:00:00Z,56764
2025-11-10T00:00:00Z,29599
2025-11-09T00:00:00Z,52046
2025-11-08T00:00:00Z,30201
2025-11-07T00:00:00Z,87672
2025-11-06T00:00:00Z,76522
2025-11-05T00:00:00Z,79145
2025-11-04T00:00:00Z,26942
2025-11-03T00:00:00Z,26914
2025-11-02T00:00:00Z,53049
2025-11-01T00:00:00Z,20985
2025-10-31T00:00:00Z,31470
2025-10-30T00:00:00Z,144168
2025-10-29T00:00:00Z,62282
2025-10-28T00:00:00Z,86811
2025-10-27T00:00:00Z,89657
2025-10-26T00:00:00Z,105476
2025-10-25T00:00:00Z,112165
2025-10-24T00:00:00Z,73460
2025-10-23T00:00:00Z,34495
2025-10-22T00:00:00Z,106320
2025-10-21T00:00:00Z,70703
2025-10-20T00:00:00Z,115539
2025-10-19T00:00:00Z,39125
2025-10-18T00:00:00Z,10629
2025-10-17T00:00:00Z,22818
2025-10-16T00:00:00Z,106645
2025-10-15T00:00:00Z,137311
2025-10-14T00:00:00Z,121829
2025-10-13T00:00:00Z,113960
2025-10-12T00:00:00Z,117092
2025-10-11T00:00:00Z,86778
2025-10-10T00:00:00Z,55169
2025-10-09T00:00:00Z,27372
2025-10-08T00:00:00Z,37703
2025-10-07T00:00:00Z,62740
2025-10-06T00:00:00Z,114905
2025-10-05T00:00:00Z,172723
2025-10-04T00:00:00Z,62071
2025-10-03T00:00:00Z,38361
2025-10-02T00:00:00Z,47437
2025-10-01T00:00:00Z,118653
2025-09-30T00:00:00Z,154424
2025-09-29T00:00:00Z,93093
2025-09-28T00:00:00Z,208860
2025-09-27T00:00:00Z,187580
2025-09-26T00:00:00Z,104253
2025-09-25T00:00:00Z,89656
2025-09-24T00:00:00Z,209372
2025-09-23T00:00:00Z,168105
2025-09-22T00:00:00Z,102688
2025-09-21T00:00:00Z,132983
2025-09-20T00:00:00Z,88683
2025-09-19T00:00:00Z,51021
2025-09-18T00:00:00Z,41959
2025-09-17T00:00:00Z,27006
2025-09-16T00:00:00Z,111787
2025-09-15T00:00:00Z,102812
2025-09-14T00:00:00Z,141693
2025-09-13T00:00:00Z,145138
2025-09-12T00:00:00Z,53150
2025-09-11T00:00:00Z,159781
2025-09-10T00:00:00Z,217311
2025-09-09T00:00:00Z,187891
2025-09-08T00:00:00Z,166077
2025-09-07T00:00:00Z,188094
2025-09-06T00:00:00Z,100281
2025-09-05T00:00:00Z,58510
2025-09-04T00:00:00Z,84977
2025-09-03T00:00:00Z,69685
2025-09-02T00:00:00Z,173123
2025-09-01T00:00:00Z,109997
2025-08-31T00:00:00Z,173234
2025-08-30T00:00:00Z,277848
2025-08-29T00:00:00Z,84849
2025-08-28T00:00:00Z,76842
2025-08-27T00:00:00Z,54550
2025-08-26T00:00:00Z,32699
2025-08-25T00:00:00Z,46335
2025-08-24T00:00:00Z,118603
2025-08-23T00:00:00Z,52063
2025-08-22T00:00:00Z,43798
2025-08-21T00:00:00Z,70430
2025-08-20T00:00:00Z,24377
2025-08-19T00:00:00Z,21248
2025-08-18T00:00:00Z,17078
2025-08-17T00:00:00Z,16489
2025-08-16T00:00:00Z,16429
2025-08-15T00:00:00Z,12369
2025-08-14T00:00:00Z,12348
2025-08-13T00:00:00Z,6693
2025-08-12T00:00:00Z,5534
2025-08-11T00:00:00Z,9706
2025-08-10T00:00:00Z,19680
2025-08-09T00:00:00Z,7648
2025-08-08T00:00:00Z,6161
2025-08-07T00:00:00Z,9800
2025-08-06T00:00:00Z,5415
2025-08-05T00:00:00Z,6178
2025-08-04T00:00:00Z,6400
2025-08-03T00:00:00Z,4894
2025-08-02T00:00:00Z,4946
2025-08-01T00:00:00Z,7680
2025-07-31T00:00:00Z,7460
2025-07-30T00:00:00Z,8565
2025-07-29T00:00:00Z,8204
2025-07-28T00:00:00Z,9087
2025-07-27T00:00:00Z,10250
2025-07-26T00:00:00Z,8346
2025-07-25T00:00:00Z,8717
2025-07-24T00:00:00Z,6353
2025-07-23T00:00:00Z,9304
2025-07-22T00:00:00Z,7190
2025-07-21T00:00:00Z,8389
2025-07-20T00:00:00Z,11687
2025-07-19T00:00:00Z,20940
2025-07-18T00:00:00Z,9950
2025-07-17T00:00:00Z,13189
2025-07-16T00:00:00Z,4992
2025-07-15T00:00:00Z,5270
2025-07-14T00:00:00Z,6353
2025-07-13T00:00:00Z,6087
2025-07-12T00:00:00Z,5234
2025-07-11T00:00:00Z,6248
2025-07-10T00:00:00Z,9449
2025-07-09T00:00:00Z,6885
2025-07-08T00:00:00Z,12369
2025-07-07T00:00:00Z,10927
2025-07-06T00:00:00Z,5538
2025-07-05T00:00:00Z,4508
2025-07-04T00:00:00Z,5077
2025-07-03T00:00:00Z,4946
2025-07-02T00:00:00Z,7845
2025-07-01T00:00:00Z,5477
2025-06-30T00:00:00Z,4933
2025-06-29T00:00:00Z,5487
2025-06-28T00:00:00Z,4631
2025-06-27T00:00:00Z,5556
2025-06-26T00:00:00Z,21866
2025-06-25T00:00:00Z,5685
2025-06-24T00:00:00Z,5740
2025-06-23T00:00:00Z,4307
2025-06-22T00:00:00Z,4316
2025-06-21T00:00:00Z,4368
2025-06-20T00:00:00Z,4564
2025-06-19T00:00:00Z,5829
2025-06-18T00:00:00Z,38294
2025-06-17T00:00:00Z,17014
2025-06-16T00:00:00Z,14675
2025-06-15T00:00:00Z,6638
2025-06-14T00:00:00Z,7092
2025-06-13T00:00:00Z,13710
2025-06-12T00:00:00Z,25277
2025-06-11T00:00:00Z,12759
2025-06-10T00:00:00Z,20975
2025-06-09T00:00:00Z,22546
2025-06-08T00:00:00Z,5599
2025-06-07T00:00:00Z,5671
2025-06-06T00:00:00Z,11501
2025-06-05T00:00:00Z,11124
2025-06-04T00:00:00Z,13636
2025-06-03T00:00:00Z,5977
2025-06-02T00:00:00Z,10407
2025-06-01T00:00:00Z,5127
2025-05-31T00:00:00Z,5749
2025-05-30T00:00:00Z,21078
2025-05-29T00:00:00Z,15228
2025-05-28T00:00:00Z,48358
2025-05-27T00:00:00Z,32584
2025-05-26T00:00:00Z,12002
2025-05-25T00:00:00Z,6690
2025-05-24T00:00:00Z,9073
2025-05-23T00:00:00Z,19007
2025-05-22T00:00:00Z,14215
2025-05-21T00:00:00Z,6980
2025-05-20T00:00:00Z,169832
2025-05-19T00:00:00Z,138523
2025-05-18T00:00:00Z,77416
2025-05-17T00:00:00Z,4467
2025-05-16T00:00:00Z,11125
2025-05-15T00:00:00Z,6254
2025-05-14T00:00:00Z,5905
2025-05-13T00:00:00Z,5815
2025-05-12T00:00:00Z,15876
2025-05-11T00:00:00Z,6098
2025-05-10T00:00:00Z,6071
2025-05-09T00:00:00Z,9064
2025-05-08T00:00:00Z,6287
2025-05-07T00:00:00Z,5309
2025-05-06T00:00:00Z,5783
2025-05-05T00:00:00Z,5278
2025-05-04T00:00:00Z,4958
2025-05-03T00:00:00Z,4656
2025-05-02T00:00:00Z,4823
2025-05-01T00:00:00Z,4467
2025-04-30T00:00:00Z,4501
2025-04-29T00:00:00Z,18241
2025-04-28T00:00:00Z,7804
2025-04-27T00:00:00Z,5948
2025-04-26T00:00:00Z,6292
2025-04-25T00:00:00Z,7246
2025-04-24T00:00:00Z,13468
2025-04-23T00:00:00Z,20778
2025-04-22T00:00:00Z,16373
2025-04-21T00:00:00Z,10730
2025-04-20T00:00:00Z,8073
2025-04-19T00:00:00Z,11054
2025-04-18T00:00:00Z,8406
2025-04-17T00:00:00Z,7291
2025-04-16T00:00:00Z,8267
2025-04-15T00:00:00Z,17680
2025-04-14T00:00:00Z,7283
2025-04-13T00:00:00Z,7071
2025-04-12T00:00:00Z,8073
2025-04-11T00:00:00Z,5746
2025-04-10T00:00:00Z,4816
2025-04-09T00:00:00Z,6666
2025-04-08T00:00:00Z,8168
2025-04-07T00:00:00Z,4189
2025-04-06T00:00:00Z,4009
2025-04-05T00:00:00Z,4495
2025-04-04T00:00:00Z,6365
2025-04-03T00:00:00Z,5535
2025-04-02T00:00:00Z,7141
2025-04-01T00:00:00Z,6322
2025-03-31T00:00:00Z,7736
2025-03-30T00:00:00Z,5610
2025-03-29T00:00:00Z,5580
2025-03-28T00:00:00Z,5662
2025-03-27T00:00:00Z,6511
2025-03-26T00:00:00Z,6655
2025-03-25T00:00:00Z,24819
2025-03-24T00:00:00Z,5360
2025-03-23T00:00:00Z,5547
2025-03-22T00:00:00Z,6426
2025-03-21T00:00:00Z,4714
2025-03-20T00:00:00Z,4799
2025-03-19T00:00:00Z,5608
2025-03-18T00:00:00Z,8694
2025-03-17T00:00:00Z,5734
2025-03-16T00:00:00Z,4800
2025-03-15T00:00:00Z,5016
2025-03-14T00:00:00Z,5994
2025-03-13T00:00:00Z,6783
2025-03-12T00:00:00Z,7154
2025-03-11T00:00:00Z,8132
2025-03-10T00:00:00Z,11371
2025-03-09T00:00:00Z,5566
2025-03-08T00:00:00Z,6361
2025-03-07T00:00:00Z,6799
2025-03-06T00:00:00Z,8023
2025-03-05T00:00:00Z,8680
2025-03-04T00:00:00Z,7004
2025-03-03T00:00:00Z,8882
2025-03-02T00:00:00Z,5515
2025-03-01T00:00:00Z,5099
2025-02-28T00:00:00Z,6267
2025-02-27T00:00:00Z,5885
2025-02-26T00:00:00Z,6312
2025-02-25T00:00:00Z,11649
2025-02-24T00:00:00Z,5934
2025-02-23T00:00:00Z,5187
2025-02-22T00:00:00Z,5455
2025-02-21T00:00:00Z,5763
2025-02-20T00:00:00Z,7019
2025-02-19T00:00:00Z,8041
2025-02-18T00:00:00Z,9250
2025-02-17T00:00:00Z,7066
2025-02-16T00:00:00Z,6439
2025-02-15T00:00:00Z,6898
2025-02-14T00:00:00Z,7576
2025-02-13T00:00:00Z,6792
2025-02-12T00:00:00Z,7670
2025-02-11T00:00:00Z,6563
2025-02-10T00:00:00Z,5975
2025-02-09T00:00:00Z,6867
2025-02-08T00:00:00Z,6889
2025-02-07T00:00:00Z,8008
2025-02-06T00:00:00Z,11618
2025-02-05T00:00:00Z,7576
2025-02-04T00:00:00Z,6257
2025-02-03T00:00:00Z,8343
2025-02-02T00:00:00Z,7809
2025-02-01T00:00:00Z,8032
2025-01-31T00:00:00Z,9541
2025-01-30T00:00:00Z,12681
2025-01-29T00:00:00Z,13773
2025-01-28T00:00:00Z,8356
2025-01-27T00:00:00Z,9453
2025-01-26T00:00:00Z,8593
2025-01-25T00:00:00Z,9061
2025-01-24T00:00:00Z,8499
2025-01-23T00:00:00Z,10247
2025-01-22T00:00:00Z,15574
2025-01-21T00:00:00Z,15119
2025-01-20T00:00:00Z,12801
2025-01-19T00:00:00Z,9713
2025-01-18T00:00:00Z,15623
2025-01-17T00:00:00Z,10168
2025-01-16T00:00:00Z,9989
2025-01-15T00:00:00Z,10583
2025-01-14T00:00:00Z,11111
2025-01-13T00:00:00Z,12349
2025-01-12T00:00:00Z,10619
2025-01-11T00:00:00Z,13446
2025-01-10T00:00:00Z,12944
2025-01-09T00:00:00Z,14958
2025-01-08T00:00:00Z,17153
2025-01-07T00:00:00Z,10149
2025-01-06T00:00:00Z,10661
2025-01-05T00:00:00Z,11060
2025-01-04T00:00:00Z,11736
2025-01-03T00:00:00Z,11899
2025-01-02T00:00:00Z,12612
2025-01-01T00:00:00Z,9436
2024-12-31T00:00:00Z,10718
2024-12-30T00:00:00Z,15586
2024-12-29T00:00:00Z,22499
2024-12-28T00:00:00Z,19343
2024-12-27T00:00:00Z,15094
2024-12-26T00:00:00Z,9540
2024-12-25T00:00:00Z,34223
2024-12-24T00:00:00Z,10052
2024-12-23T00:00:00Z,9331
2024-12-22T00:00:00Z,18770
2024-12-21T00:00:00Z,10294
2024-12-20T00:00:00Z,13669
2024-12-19T00:00:00Z,18199
2024-12-18T00:00:00Z,15527
2024-12-17T00:00:00Z,18099
2024-12-16T00:00:00Z,12518
2024-12-15T00:00:00Z,15379
2024-12-14T00:00:00Z,28452
2024-12-13T00:00:00Z,19907
2024-12-12T00:00:00Z,16827
2024-12-11T00:00:00Z,23018
2024-12-10T00:00:00Z,15188
2024-12-09T00:00:00Z,12773
2024-12-08T00:00:00Z,12661
2024-12-07T00:00:00Z,27878
2024-12-06T00:00:00Z,16591
2024-12-05T00:00:00Z,14519
2024-12-04T00:00:00Z,18118
2024-12-03T00:00:00Z,10769
2024-12-02T00:00:00Z,11723
2024-12-01T00:00:00Z,44604
2024-11-30T00:00:00Z,28381
2024-11-29T00:00:00Z,11443
2024-11-28T00:00:00Z,10917
2024-11-27T00:00:00Z,16441
2024-11-26T00:00:00Z,20640
2024-11-25T00:00:00Z,31318
2024-11-24T00:00:00Z,19602
2024-11-23T00:00:00Z,15445
2024-11-22T00:00:00Z,29386
2024-11-21T00:00:00Z,28357
2024-11-20T00:00:00Z,56941
2024-11-19T00:00:00Z,79616
2024-11-18T00:00:00Z,58390
2024-11-17T00:00:00Z,33373
2024-11-16T00:00:00Z,29328
2024-11-15T00:00:00Z,33232
2024-11-14T00:00:00Z,43326
2024-11-13T00:00:00Z,38794
2024-11-12T00:00:00Z,26624
2024-11-11T00:00:00Z,24273
2024-11-10T00:00:00Z,29091
2024-11-09T00:00:00Z,50333
2024-11-08T00:00:00Z,60420
2024-11-07T00:00:00Z,132293
2024-11-06T00:00:00Z,71741
2024-11-05T00:00:00Z,127931
2024-11-04T00:00:00Z,76952
2024-11-03T00:00:00Z,89757
2024-11-02T00:00:00Z,73368
2024-11-01T00:00:00Z,132731
2024-10-31T00:00:00Z,127321
2024-10-30T00:00:00Z,215254
2024-10-29T00:00:00Z,179949
2024-10-28T00:00:00Z,254093
2024-10-27T00:00:00Z,171173
2024-10-26T00:00:00Z,117397
2024-10-25T00:00:00Z,44592
2024-10-24T00:00:00Z,75482
2024-10-23T00:00:00Z,82331
2024-10-22T00:00:00Z,122296
2024-10-21T00:00:00Z,74404
2024-10-20T00:00:00Z,79419
2024-10-19T00:00:00Z,70070
2024-10-18T00:00:00Z,25727
2024-10-17T00:00:00Z,48052
2024-10-16T00:00:00Z,47841
2024-10-15T00:00:00Z,49029
2024-10-14T00:00:00Z,40851
2024-10-13T00:00:00Z,45690
2024-10-12T00:00:00Z,68624
2024-10-11T00:00:00Z,61971
2024-10-10T00:00:00Z,60740
2024-10-09T00:00:00Z,43182
2024-10-08T00:00:00Z,76872
2024-10-07T00:00:00Z,95267
2024-10-06T00:00:00Z,96208
2024-10-05T00:00:00Z,63167
2024-10-04T00:00:00Z,124482
2024-10-03T00:00:00Z,194552
2024-10-02T00:00:00Z,189324
2024-10-01T00:00:00Z,213400
2024-09-30T00:00:00Z,169638
2024-09-29T00:00:00Z,153113
2024-09-28T00:00:00Z,29035
2024-09-27T00:00:00Z,27322
2024-09-26T00:00:00Z,50460
2024-09-25T00:00:00Z,106304
2024-09-24T00:00:00Z,124038
2024-09-23T00:00:00Z,120142
2024-09-22T00:00:00Z,151609
2024-09-21T00:00:00Z,174661
2024-09-20T00:00:00Z,99482
2024-09-19T00:00:00Z,82607
2024-09-18T00:00:00Z,142852
2024-09-17T00:00:00Z,160681
2024-09-16T00:00:00Z,155474
2024-09-15T00:00:00Z,231235
2024-09-14T00:00:00Z,268031
2024-09-13T00:00:00Z,90254
2024-09-12T00:00:00Z,126997
2024-09-11T00:00:00Z,86539
2024-09-10T00:00:00Z,199893
2024-09-09T00:00:00Z,182620
2024-09-08T00:00:00Z,323294
2024-09-07T00:00:00Z,285598
2024-09-06T00:00:00Z,255330
2024-09-05T00:00:00Z,252080
2024-09-04T00:00:00Z,270438
2024-09-03T00:00:00Z,175388
2024-09-02T00:00:00Z,223444
2024-09-01T00:00:00Z,222020
2024-08-31T00:00:00Z,298009
2024-08-30T00:00:00Z,137144
2024-08-29T00:00:00Z,89207
2024-08-28T00:00:00Z,183274
2024-08-27T00:00:00Z,176474
2024-08-26T00:00:00Z,169884
2024-08-25T00:00:00Z,150215
2024-08-24T00:00:00Z,149265
2024-08-23T00:00:00Z,206185
2024-08-22T00:00:00Z,215465
2024-08-21T00:00:00Z,152622
2024-08-20T00:00:00Z,238264
2024-08-19T00:00:00Z,136743
2024-08-18T00:00:00Z,287621
2024-08-17T00:00:00Z,211477
2024-08-16T00:00:00Z,115122
2024-08-15T00:00:00Z,204967
2024-08-14T00:00:00Z,93571
2024-08-13T00:00:00Z,129649
2024-08-12T00:00:00Z,60355
2024-08-11T00:00:00Z,187191
2024-08-10T00:00:00Z,136458
2024-08-09T00:00:00Z,56777
2024-08-08T00:00:00Z,59162
2024-08-07T00:00:00Z,39825
2024-08-06T00:00:00Z,82295
2024-08-05T00:00:00Z,94930
2024-08-04T00:00:00Z,71431
2024-08-03T00:00:00Z,115658
2024-08-02T00:00:00Z,53779
2024-08-01T00:00:00Z,123779
2024-07-31T00:00:00Z,144423
2024-07-30T00:00:00Z,210207
2024-07-29T00:00:00Z,144051
2024-07-28T00:00:00Z,179752
2024-07-27T00:00:00Z,14555
2024-07-26T00:00:00Z,49817
2024-07-25T00:00:00Z,142740
2024-07-24T00:00:00Z,114897
2024-07-23T00:00:00Z,126210
2024-07-22T00:00:00Z,94920
2024-07-21T00:00:00Z,86946
2024-07-20T00:00:00Z,62528
2024-07-19T00:00:00Z,33818
2024-07-18T00:00:00Z,56246
2024-07-17T00:00:00Z,57628
2024-07-16T00:00:00Z,38848
2024-07-15T00:00:00Z,35102
2024-07-14T00:00:00Z,68656
2024-07-13T00:00:00Z,94291
2024-07-12T00:00:00Z,176910
2024-07-11T00:00:00Z,87322
2024-07-10T00:00:00Z,116005
2024-07-09T00:00:00Z,117174
2024-07-08T00:00:00Z,68341
2024-07-07T00:00:00Z,87996
2024-07-06T00:00:00Z,73459
2024-07-05T00:00:00Z,76378
2024-07-04T00:00:00Z,85334
2024-07-03T00:00:00Z,87573
2024-07-02T00:00:00Z,69210
2024-07-01T00:00:00Z,65345
2024-06-30T00:00:00Z,61866
2024-06-29T00:00:00Z,179229
2024-06-28T00:00:00Z,106822
2024-06-27T00:00:00Z,37070
2024-06-26T00:00:00Z,65912
2024-06-25T00:00:00Z,67761
2024-06-24T00:00:00Z,59936
2024-06-23T00:00:00Z,94393
2024-06-22T00:00:00Z,108692
2024-06-21T00:00:00Z,70400
2024-06-20T00:00:00Z,47648
2024-06-19T00:00:00Z,58718
2024-06-18T00:00:00Z,45068
2024-06-17T00:00:00Z,40446
2024-06-16T00:00:00Z,28674
2024-06-15T00:00:00Z,43529
2024-06-14T00:00:00Z,57761
2024-06-13T00:00:00Z,90203
2024-06-12T00:00:00Z,76213
2024-06-11T00:00:00Z,44589
2024-06-10T00:00:00Z,71272
2024-06-09T00:00:00Z,94080
2024-06-08T00:00:00Z,50209
2024-06-07T00:00:00Z,21760
2024-06-06T00:00:00Z,51074
2024-06-05T00:00:00Z,51797
2024-06-04T00:00:00Z,69454
2024-06-03T00:00:00Z,59280
2024-06-02T00:00:00Z,62394
2024-06-01T00:00:00Z,88689
2024-05-31T00:00:00Z,45080
2024-05-30T00:00:00Z,32581
2024-05-29T00:00:00Z,92339
2024-05-28T00:00:00Z,108608
2024-05-27T00:00:00Z,41445
2024-05-26T00:00:00Z,160174
2024-05-25T00:00:00Z,176056
2024-05-24T00:00:00Z,100723
2024-05-23T00:00:00Z,129544
2024-05-22T00:00:00Z,126471
2024-05-21T00:00:00Z,110929
2024-05-20T00:00:00Z,123811
2024-05-19T00:00:00Z,97195
2024-05-18T00:00:00Z,62576
2024-05-17T00:00:00Z,191673
2024-05-16T00:00:00Z,90179
2024-05-15T00:00:00Z,86103
2024-05-14T00:00:00Z,105942
2024-05-13T00:00:00Z,108754
2024-05-12T00:00:00Z,165289
2024-05-11T00:00:00Z,120339
2024-05-10T00:00:00Z,118013
2024-05-09T00:00:00Z,68729
2024-05-08T00:00:00Z,55153
2024-05-07T00:00:00Z,24884
2024-05-06T00:00:00Z,70687
2024-05-05T00:00:00Z,57907
2024-05-04T00:00:00Z,30113
2024-05-03T00:00:00Z,30268
2024-05-02T00:00:00Z,130601
2024-05-01T00:00:00Z,89494
2024-04-30T00:00:00Z,57030
2024-04-29T00:00:00Z,60008
2024-04-28T00:00:00Z,44591
2024-04-27T00:00:00Z,59277
2024-04-26T00:00:00Z,44655
2024-04-25T00:00:00Z,30672
2024-04-24T00:00:00Z,33327
2024-04-23T00:00:00Z,38408
2024-04-22T00:00:00Z,38939
2024-04-21T00:00:00Z,46031
2024-04-20T00:00:00Z,46875
2024-04-19T00:00:00Z,54827
2024-04-18T00:00:00Z,45812
2024-04-17T00:00:00Z,42357
2024-04-16T00:00:00Z,50143
2024-04-15T00:00:00Z,42520
2024-04-14T00:00:00Z,42211
2024-04-13T00:00:00Z,40695
2024-04-12T00:00:00Z,40563
2024-04-11T00:00:00Z,44426
2024-04-10T00:00:00Z,57710
2024-04-09T00:00:00Z,35233
2024-04-08T00:00:00Z,36400
2024-04-07T00:00:00Z,34271
2024-04-06T00:00:00Z,28487
2024-04-05T00:00:00Z,20914
2024-04-04T00:00:00Z,16482
2024-04-03T00:00:00Z,16299
2024-04-02T00:00:00Z,22543
2024-04-01T00:00:00Z,23790
2024-03-31T00:00:00Z,19806
2024-03-30T00:00:00Z,19314
2024-03-29T00:00:00Z,21127
2024-03-28T00:00:00Z,25579
2024-03-27T00:00:00Z,24084
2024-03-26T00:00:00Z,18857
2024-03-25T00:00:00Z,19751
2024-03-24T00:00:00Z,21165
2024-03-23T00:00:00Z,23903
2024-03-22T00:00:00Z,21874
2024-03-21T00:00:00Z,24016
2024-03-20T00:00:00Z,20116
2024-03-19T00:00:00Z,36478
2024-03-18T00:00:00Z,30233
2024-03-17T00:00:00Z,22820
2024-03-16T00:00:00Z,21350
2024-03-15T00:00:00Z,22314
2024-03-14T00:00:00Z,21627
2024-03-13T00:00:00Z,21198
2024-03-12T00:00:00Z,19516
2024-03-11T00:00:00Z,22406
2024-03-10T00:00:00Z,25206
2024-03-09T00:00:00Z,27792
2024-03-08T00:00:00Z,27517
2024-03-07T00:00:00Z,20238
2024-03-06T00:00:00Z,21593
2024-03-05T00:00:00Z,23129
2024-03-04T00:00:00Z,27268
2024-03-03T00:00:00Z,31070
2024-03-02T00:00:00Z,23795
2024-03-01T00:00:00Z,27825
2024-02-29T00:00:00Z,25730
2024-02-28T00:00:00Z,23720
2024-02-27T00:00:00Z,20319
2024-02-26T00:00:00Z,23990
