date,Coinbase Premium Gap
2019-01-21,4.86
2019-01-22,6.1
2019-01-23,0.19
2019-01-24,-0.65
2019-01-25,-3.12
2019-01-26,-9.18
2019-01-27,-19.82
2019-01-28,-4.2
2019-01-29,-13.62
2019-01-30,-20.63
2019-01-31,-22.6
2019-02-01,-24.57
2019-02-02,-36.34
2019-02-03,-43.33
2019-02-04,-53.65
2019-02-05,-43.19
2019-02-06,-38.01
2019-02-07,-39.4
2019-02-08,-37.05
2019-02-09,-41.45
2019-02-10,-31.22
2019-02-11,-40.69
2019-02-12,-43.4
2019-02-13,-32.72
2019-02-14,-29.06
2019-02-15,-35.88
2019-02-16,-36.04
2019-02-17,-42.5
2019-02-18,-31.6
2019-02-19,-19.78
2019-02-20,-30.75
2019-02-21,-39.6
2019-02-22,-19.98
2019-02-23,-7.76
2019-02-24,-9.34
2019-02-25,-9.13
2019-02-26,-9.75
2019-02-27,-18.16
2019-02-28,-21.55
2019-03-01,-16.83
2019-03-02,-10.23
2019-03-03,-20.82
2019-03-04,-14.58
2019-03-05,-13.14
2019-03-06,-9.95
2019-03-07,-16.59
2019-03-08,-21.77
2019-03-09,-26.04
2019-03-10,-15.9
2019-03-11,-21.93
2019-03-12,-22.73
2019-03-13,-14.98
2019-03-14,-23.17
2019-03-15,-20.96
2019-03-16,-15.98
2019-03-17,-14.13
2019-03-18,-17.31
2019-03-19,-14.68
2019-03-20,-11.19
2019-03-21,-7.88
2019-03-22,-3.15
2019-03-23,-22.58
2019-03-24,-22.66
2019-03-25,-28.59
2019-03-26,-27.1
2019-03-27,-11.52
2019-03-28,-16.64
2019-03-29,-12.24
2019-03-30,-12.83
2019-03-31,-8.96
2019-04-01,-7.56
2019-04-02,44.64
2019-04-03,43.37
2019-04-04,7.83
2019-04-05,35.71
2019-04-06,5.33
2019-04-07,24.52
2019-04-08,48.64
2019-04-09,37.21
2019-04-10,10.33
2019-04-11,23.93
2019-04-12,30.18
2019-04-13,21.0
2019-04-14,32.97
2019-04-15,5.04
2019-04-16,29.18
2019-04-17,24.18
2019-04-18,23.37
2019-04-19,31.68
2019-04-20,28.16
2019-04-21,41.5
2019-04-22,30.46
2019-04-23,39.44
2019-04-24,26.9
2019-04-25,-85.09
2019-04-26,-154.59
2019-04-27,-125.09
2019-04-28,-152.52
2019-04-29,-89.89
2019-04-30,-50.12
2019-05-01,-62.05
2019-05-02,-102.86
2019-05-03,-115.29
2019-05-04,-59.44
2019-05-05,-59.76
2019-05-06,-59.89
2019-05-07,-97.89
2019-05-08,-38.88
2019-05-09,-56.09
2019-05-10,-30.19
2019-05-11,143.73
2019-05-12,12.45
2019-05-13,34.22
2019-05-14,43.36
2019-05-15,33.45
2019-05-16,12.37
2019-05-17,8.43
2019-05-18,4.95
2019-05-19,51.52
2019-05-20,61.39
2019-05-21,46.83
2019-05-22,-1.95
2019-05-23,30.47
2019-05-24,36.83
2019-05-25,38.4
2019-05-26,117.29
2019-05-27,15.97
2019-05-28,-0.28
2019-05-29,16.76
2019-05-30,10.15
2019-05-31,-0.94
2019-06-01,14.88
2019-06-02,10.57
2019-06-03,-7.86
2019-06-04,-16.07
2019-06-05,12.98
2019-06-06,18.3
2019-06-07,17.6
2019-06-08,36.52
2019-06-09,6.45
2019-06-10,32.94
2019-06-11,33.27
2019-06-12,48.38
2019-06-13,20.5
2019-06-14,47.46
2019-06-15,51.53
2019-06-16,21.67
2019-06-17,19.18
2019-06-18,-3.07
2019-06-19,22.05
2019-06-20,14.09
2019-06-21,76.34
2019-06-22,-62.64
2019-06-23,-73.05
2019-06-24,-24.27
2019-06-25,-65.33
2019-06-26,-166.36
2019-06-27,-170.7
2019-06-28,-40.18
2019-06-29,-37.84
2019-06-30,-92.84
2019-07-01,-47.3
2019-07-02,-13.67
2019-07-03,36.42
2019-07-04,-9.67
2019-07-05,33.78
2019-07-06,-18.72
2019-07-07,68.18
2019-07-08,54.93
2019-07-09,27.7
2019-07-10,-10.41
2019-07-11,6.11
2019-07-12,44.78
2019-07-13,14.32
2019-07-14,10.85
2019-07-15,15.75
2019-07-16,-16.87
2019-07-17,28.39
2019-07-18,21.91
2019-07-19,33.77
2019-07-20,20.8
2019-07-21,1.25
2019-07-22,-16.92
2019-07-23,-24.79
2019-07-24,9.32
2019-07-25,3.46
2019-07-26,19.0
2019-07-27,3.46
2019-07-28,-8.54
2019-07-29,-12.63
2019-07-30,14.8
2019-07-31,6.77
2019-08-01,30.95
2019-08-02,9.26
2019-08-03,3.9
2019-08-04,48.28
2019-08-05,-9.31
2019-08-06,-16.2
2019-08-07,0.0
2019-08-08,-18.77
2019-08-09,-23.89
2019-08-10,-28.36
2019-08-11,-9.21
2019-08-12,-6.8
2019-08-13,-37.79
2019-08-14,-24.51
2019-08-15,6.08
2019-08-16,21.24
2019-08-17,1.77
2019-08-18,8.7
2019-08-19,4.46
2019-08-20,8.58
2019-08-21,-12.57
2019-08-22,7.27
2019-08-23,21.3
2019-08-24,13.61
2019-08-25,-3.97
2019-08-26,-10.6
2019-08-27,-13.2
2019-08-28,-6.69
2019-08-29,-3.44
2019-08-30,-2.12
2019-08-31,13.39
2019-09-01,41.54
2019-09-02,41.26
2019-09-03,13.2
2019-09-04,14.82
2019-09-05,10.24
2019-09-06,10.19
2019-09-07,28.49
2019-09-08,17.79
2019-09-09,6.88
2019-09-10,-5.14
2019-09-11,1.87
2019-09-12,8.71
2019-09-13,23.87
2019-09-14,25.23
2019-09-15,2.45
2019-09-16,11.23
2019-09-17,-2.43
2019-09-18,-1.73
2019-09-19,30.72
2019-09-20,0.26
2019-09-21,-12.4
2019-09-22,-2.07
2019-09-23,-8.51
2019-09-24,36.87
2019-09-25,8.3
2019-09-26,-3.73
2019-09-27,16.08
2019-09-28,18.66
2019-09-29,8.58
2019-09-30,15.62
2019-10-01,29.08
2019-10-02,21.78
2019-10-03,16.45
2019-10-04,19.54
2019-10-05,21.44
2019-10-06,5.54
2019-10-07,18.91
2019-10-08,11.61
2019-10-09,29.26
2019-10-10,29.47
2019-10-11,8.83
2019-10-12,8.94
2019-10-13,7.96
2019-10-14,6.8
2019-10-15,3.15
2019-10-16,1.8
2019-10-17,5.62
2019-10-18,7.15
2019-10-19,17.27
2019-10-20,12.77
2019-10-21,12.65
2019-10-22,4.72
2019-10-23,8.23
2019-10-24,18.46
2019-10-25,12.98
2019-10-26,29.78
2019-10-27,18.91
2019-10-28,21.36
2019-10-29,23.18
2019-10-30,9.72
2019-10-31,18.63
2019-11-01,21.51
2019-11-02,19.0
2019-11-03,11.81
2019-11-04,19.18
2019-11-05,13.43
2019-11-06,2.22
2019-11-07,-17.36
2019-11-08,-10.72
2019-11-09,-1.52
2019-11-10,-7.24
2019-11-11,-11.73
2019-11-12,-11.94
2019-11-13,-18.78
2019-11-14,-16.68
2019-11-15,-14.25
2019-11-16,-10.02
2019-11-17,-2.39
2019-11-18,-18.33
2019-11-19,-10.28
2019-11-20,-15.05
2019-11-21,-11.28
2019-11-22,14.8
2019-11-23,17.72
2019-11-24,5.36
2019-11-25,17.44
2019-11-26,6.53
2019-11-27,15.2
2019-11-28,12.92
2019-11-29,20.32
2019-11-30,14.03
2019-12-01,13.38
2019-12-02,10.73
2019-12-03,10.23
2019-12-04,4.67
2019-12-05,4.54
2019-12-06,12.61
2019-12-07,13.98
2019-12-08,9.89
2019-12-09,-1.13
2019-12-10,-4.76
2019-12-11,-8.77
2019-12-12,-12.17
2019-12-13,-8.58
2019-12-14,-1.14
2019-12-15,-7.59
2019-12-16,-14.69
2019-12-17,-7.2
2019-12-18,7.7
2019-12-19,-1.18
2019-12-20,2.17
2019-12-21,10.26
2019-12-22,11.62
2019-12-23,-6.3
2019-12-24,-0.76
2019-12-25,-12.51
2019-12-26,-7.87
2019-12-27,-8.91
2019-12-28,-13.47
2019-12-29,-3.35
2019-12-30,-28.0
2019-12-31,-29.51
2020-01-01,-26.52
2020-01-02,-20.69
2020-01-03,-10.51
2020-01-04,-5.48
2020-01-05,-3.35
2020-01-06,6.63
2020-01-07,13.24
2020-01-08,-10.47
2020-01-09,-3.98
2020-01-10,1.07
2020-01-11,-0.01
2020-01-12,-4.17
2020-01-13,-5.84
2020-01-14,5.68
2020-01-15,-12.6
2020-01-16,-5.25
2020-01-17,-13.86
2020-01-18,-6.64
2020-01-19,-4.17
2020-01-20,-13.46
2020-01-21,-14.0
2020-01-22,-21.98
2020-01-23,-19.3
2020-01-24,-11.74
2020-01-25,-13.77
2020-01-26,-20.0
2020-01-27,-11.61
2020-01-28,20.29
2020-01-29,-13.09
2020-01-30,-10.13
2020-01-31,-17.91
2020-02-01,-4.43
2020-02-02,-8.01
2020-02-03,-11.75
2020-02-04,-32.69
2020-02-05,1.78
2020-02-06,-8.99
2020-02-07,-5.68
2020-02-08,10.59
2020-02-09,16.6
2020-02-10,-0.05
2020-02-11,46.93
2020-02-12,24.67
2020-02-13,6.86
2020-02-14,26.97
2020-02-15,6.5
2020-02-16,3.73
2020-02-17,-6.0
2020-02-18,23.33
2020-02-19,6.29
2020-02-20,13.63
2020-02-21,18.61
2020-02-22,17.37
2020-02-23,28.61
2020-02-24,3.87
2020-02-25,-10.84
2020-02-26,-6.95
2020-02-27,-10.72
2020-02-28,15.98
2020-02-29,1.46
2020-03-01,-9.57
2020-03-02,-0.24
2020-03-03,-2.23
2020-03-04,9.79
2020-03-05,15.49
2020-03-06,26.63
2020-03-07,14.71
2020-03-08,4.45
2020-03-09,4.65
2020-03-10,0.12
2020-03-11,3.53
2020-03-12,57.1
2020-03-13,59.0
2020-03-14,-6.81
2020-03-15,-15.95
2020-03-16,8.64
2020-03-17,19.07
2020-03-18,20.6
2020-03-19,23.89
2020-03-20,-2.26
2020-03-21,11.8
2020-03-22,2.06
2020-03-23,23.32
2020-03-24,21.92
2020-03-25,13.53
2020-03-26,20.82
2020-03-27,13.25
2020-03-28,15.17
2020-03-29,-4.21
2020-03-30,12.02
2020-03-31,13.91
2020-04-01,23.19
2020-04-02,10.43
2020-04-03,7.89
2020-04-04,17.78
2020-04-05,5.47
2020-04-06,11.66
2020-04-07,2.69
2020-04-08,8.83
2020-04-09,9.7
2020-04-10,12.99
2020-04-11,12.82
2020-04-12,4.34
2020-04-13,23.3
2020-04-14,8.67
2020-04-15,2.88
2020-04-16,10.7
2020-04-17,9.91
2020-04-18,13.16
2020-04-19,9.97
2020-04-20,11.36
2020-04-21,12.31
2020-04-22,11.7
2020-04-23,6.44
2020-04-24,9.64
2020-04-25,8.94
2020-04-26,13.3
2020-04-27,15.15
2020-04-28,16.03
2020-04-29,15.18
2020-04-30,4.28
2020-05-01,2.46
2020-05-02,13.53
2020-05-03,15.79
2020-05-04,11.57
2020-05-05,6.96
2020-05-06,12.87
2020-05-07,18.37
2020-05-08,9.99
2020-05-09,-2.19
2020-05-10,7.09
2020-05-11,10.88
2020-05-12,10.63
2020-05-13,11.89
2020-05-14,3.36
2020-05-15,-4.32
2020-05-16,1.89
2020-05-17,-3.41
2020-05-18,-5.41
2020-05-19,8.23
2020-05-20,-2.02
2020-05-21,-6.69
2020-05-22,-1.16
2020-05-23,2.61
2020-05-24,-4.61
2020-05-25,-1.04
2020-05-26,3.24
2020-05-27,4.46
2020-05-28,4.3
2020-05-29,-3.23
2020-05-30,2.61
2020-05-31,-1.7
2020-06-01,8.19
2020-06-02,4.42
2020-06-03,1.83
2020-06-04,-1.03
2020-06-05,-7.95
2020-06-06,5.4
2020-06-07,3.13
2020-06-08,-0.5
2020-06-09,6.98
2020-06-10,9.04
2020-06-11,-12.24
2020-06-12,-0.96
2020-06-13,1.66
2020-06-14,-17.1
2020-06-15,6.51
2020-06-16,0.66
2020-06-17,-7.63
2020-06-18,-10.18
2020-06-19,-8.32
2020-06-20,-3.21
2020-06-21,-8.55
2020-06-22,5.05
2020-06-23,-1.33
2020-06-24,-10.58
2020-06-25,-5.98
2020-06-26,-6.79
2020-06-27,-9.54
2020-06-28,-3.11
2020-06-29,-8.11
2020-06-30,-2.35
2020-07-01,7.97
2020-07-02,4.99
2020-07-03,5.61
2020-07-04,3.05
2020-07-05,4.98
2020-07-06,-0.89
2020-07-07,-3.45
2020-07-08,-0.78
2020-07-09,4.52
2020-07-10,2.71
2020-07-11,0.97
2020-07-12,0.62
2020-07-13,-5.7
2020-07-14,1.09
2020-07-15,-7.44
2020-07-16,-3.61
2020-07-17,-0.03
2020-07-18,5.57
2020-07-19,3.88
2020-07-20,0.27
2020-07-21,4.14
2020-07-22,18.02
2020-07-23,9.97
2020-07-24,13.41
2020-07-25,10.91
2020-07-26,9.46
2020-07-27,18.95
2020-07-28,27.96
2020-07-29,9.59
2020-07-30,16.34
2020-07-31,16.16
2020-08-01,8.9
2020-08-02,-2.81
2020-08-03,13.32
2020-08-04,5.07
2020-08-05,11.84
2020-08-06,11.43
2020-08-07,12.29
2020-08-08,13.57
2020-08-09,6.8
2020-08-10,6.81
2020-08-11,-3.55
2020-08-12,2.12
2020-08-13,15.95
2020-08-14,18.46
2020-08-15,6.84
2020-08-16,7.84
2020-08-17,23.13
2020-08-18,4.99
2020-08-19,4.28
2020-08-20,10.71
2020-08-21,-2.12
2020-08-22,9.97
2020-08-23,1.88
2020-08-24,5.65
2020-08-25,6.5
2020-08-26,1.84
2020-08-27,-0.32
2020-08-28,8.09
2020-08-29,8.47
2020-08-30,4.85
2020-08-31,5.49
2020-09-01,2.25
2020-09-02,6.94
2020-09-03,31.67
2020-09-04,53.8
2020-09-05,1.67
2020-09-06,1.66
2020-09-07,1.56
2020-09-08,-0.96
2020-09-09,5.36
2020-09-10,6.36
2020-09-11,6.52
2020-09-12,5.6
2020-09-13,3.93
2020-09-14,8.18
2020-09-15,-1.56
2020-09-16,5.6
2020-09-17,3.62
2020-09-18,4.13
2020-09-19,-0.65
2020-09-20,0.61
2020-09-21,-0.4
2020-09-22,1.52
2020-09-23,-6.36
2020-09-24,3.69
2020-09-25,3.86
2020-09-26,1.4
2020-09-27,3.95
2020-09-28,-0.57
2020-09-29,0.25
2020-09-30,3.04
2020-10-01,-1.5
2020-10-02,2.72
2020-10-03,9.59
2020-10-04,4.48
2020-10-05,2.79
2020-10-06,3.0
2020-10-07,4.08
2020-10-08,7.52
2020-10-09,6.43
2020-10-10,6.28
2020-10-11,4.99
2020-10-12,7.21
2020-10-13,7.66
2020-10-14,9.81
2020-10-15,4.22
2020-10-16,9.63
2020-10-17,7.69
2020-10-18,11.06
2020-10-19,8.98
2020-10-20,13.84
2020-10-21,27.04
2020-10-22,18.5
2020-10-23,14.02
2020-10-24,14.51
2020-10-25,16.17
2020-10-26,16.6
2020-10-27,62.01
2020-10-28,14.65
2020-10-29,4.3
2020-10-30,11.41
2020-10-31,13.81
2020-11-01,10.09
2020-11-02,13.85
2020-11-03,12.27
2020-11-04,17.47
2020-11-05,18.19
2020-11-06,20.03
2020-11-07,15.79
2020-11-08,7.8
2020-11-09,13.84
2020-11-10,17.82
2020-11-11,21.55
2020-11-12,18.95
2020-11-13,18.86
2020-11-14,11.56
2020-11-15,9.89
2020-11-16,13.07
2020-11-17,19.98
2020-11-18,6.79
2020-11-19,18.76
2020-11-20,19.58
2020-11-21,17.41
2020-11-22,23.23
2020-11-23,16.82
2020-11-24,12.83
2020-11-25,2.82
2020-11-26,20.53
2020-11-27,14.43
2020-11-28,20.0
2020-11-29,17.05
2020-11-30,18.07
2020-12-01,18.01
2020-12-02,21.54
2020-12-03,26.74
2020-12-04,7.58
2020-12-05,11.3
2020-12-06,16.2
2020-12-07,10.81
2020-12-08,-7.89
2020-12-09,5.27
2020-12-10,-1.19
2020-12-11,5.62
2020-12-12,12.59
2020-12-13,-8.34
2020-12-14,-0.77
2020-12-15,18.17
2020-12-16,24.13
2020-12-17,29.32
2020-12-18,30.37
2020-12-19,28.38
2020-12-20,20.99
2020-12-21,9.69
