date,Active Sending Addresses (%)
2018-06-04,57.14285714
2018-06-05,66.66666667
2018-06-06,65.85365854
2018-06-07,55.76923077
2018-06-08,47.61904762
2018-06-09,50.0
2018-06-10,42.0
2018-06-11,53.48837209
2018-06-12,57.14285714
2018-06-13,55.31914894
2018-06-14,65.82278481
2018-06-15,45.45454545
2018-06-16,70.27027027
2018-06-17,55.55555556
2018-06-18,71.73913043
2018-06-19,70.27027027
2018-06-20,57.14285714
2018-06-21,48.07692308
2018-06-22,47.82608696
2018-06-23,58.82352941
2018-06-24,52.94117647
2018-06-25,58.2278481
2018-06-26,41.26984127
2018-06-27,54.43037975
2018-06-28,42.52199413
2018-06-29,41.55405405
2018-06-30,61.48148148
2018-07-01,18.28571429
2018-07-02,10.95890411
2018-07-03,23.58490566
2018-07-04,21.80094787
2018-07-05,87.97814208
2018-07-06,45.45454545
2018-07-07,77.14884696
2018-07-08,72.16494845
2018-07-09,80.0
2018-07-10,62.74509804
2018-07-11,64.28571429
2018-07-12,61.81818182
2018-07-13,48.8372093
2018-07-14,50.0
2018-07-15,63.63636364
2018-07-16,65.2173913
2018-07-17,53.33333333
2018-07-18,53.06122449
2018-07-19,58.13953488
2018-07-20,69.6969697
2018-07-21,55.0
2018-07-22,62.5
2018-07-23,45.45454545
2018-07-24,70.58823529
2018-07-25,63.26530612
2018-07-26,77.14285714
2018-07-27,52.77777778
2018-07-28,19.29824561
2018-07-29,33.33333333
2018-07-30,87.46518106
2018-07-31,81.39534884
2018-08-01,73.4939759
2018-08-02,66.66666667
2018-08-03,74.19354839
2018-08-04,57.89473684
2018-08-05,66.66666667
2018-08-06,70.0
2018-08-07,49.33333333
2018-08-08,53.125
2018-08-09,70.93023256
2018-08-10,44.7761194
2018-08-11,51.42857143
2018-08-12,54.16666667
2018-08-13,76.14678899
2018-08-14,60.81081081
2018-08-15,66.66666667
2018-08-16,43.33333333
2018-08-17,42.59259259
2018-08-18,55.55555556
2018-08-19,41.66666667
2018-08-20,57.14285714
2018-08-21,59.18367347
2018-08-22,52.72727273
2018-08-23,42.85714286
2018-08-24,40.6779661
2018-08-25,58.33333333
2018-08-26,46.51162791
2018-08-27,45.09803922
2018-08-28,46.37681159
2018-08-29,61.97183099
2018-08-30,61.70212766
2018-08-31,51.66666667
2018-09-01,42.10526316
2018-09-02,47.72727273
2018-09-03,47.56097561
2018-09-04,67.0
2018-09-05,51.51515152
2018-09-06,60.71428571
2018-09-07,67.27272727
2018-09-08,44.44444444
2018-09-09,62.29508197
2018-09-10,45.56962025
2018-09-11,65.65656566
2018-09-12,57.60869565
2018-09-13,57.8313253
2018-09-14,50.4950495
2018-09-15,53.93258427
2018-09-16,50.81967213
2018-09-17,45.95959596
2018-09-18,67.30769231
2018-09-19,31.81818182
2018-09-20,48.40182648
2018-09-21,40.42553191
2018-09-22,81.11111111
2018-09-23,46.34146341
2018-09-24,55.12820513
2018-09-25,59.48275862
2018-09-26,31.29770992
2018-09-27,46.72131148
2018-09-28,57.75862069
2018-09-29,36.09022556
2018-09-30,65.13761468
2018-10-01,61.01694915
2018-10-02,58.57142857
2018-10-03,68.96551724
2018-10-04,50.70422535
2018-10-05,56.41025641
2018-10-06,55.55555556
2018-10-07,56.4516129
2018-10-08,51.35135135
2018-10-09,70.12987013
2018-10-10,46.07843137
2018-10-11,72.26890756
2018-10-12,74.72527473
2018-10-13,61.11111111
2018-10-14,55.76923077
2018-10-15,73.8372093
2018-10-16,69.30693069
2018-10-17,67.5
2018-10-18,67.39130435
2018-10-19,71.42857143
2018-10-20,72.34042553
2018-10-21,55.73770492
2018-10-22,71.42857143
2018-10-23,68.0
2018-10-24,57.89473684
2018-10-25,64.61538462
2018-10-26,64.19753086
2018-10-27,60.6557377
2018-10-28,60.97560976
2018-10-29,63.52941176
2018-10-30,58.2278481
2018-10-31,59.52380952
2018-11-01,66.66666667
2018-11-02,59.70149254
2018-11-03,73.46938776
2018-11-04,58.73015873
2018-11-05,66.66666667
2018-11-06,63.41463415
2018-11-07,74.71264368
2018-11-08,46.73913043
2018-11-09,63.36633663
2018-11-10,65.45454545
2018-11-11,61.01694915
2018-11-12,58.06451613
2018-11-13,50.0
2018-11-14,60.74766355
2018-11-15,67.54966887
2018-11-16,61.95652174
2018-11-17,46.66666667
2018-11-18,50.68493151
2018-11-19,60.50420168
2018-11-20,69.52380952
2018-11-21,53.84615385
2018-11-22,75.70093458
2018-11-23,67.88990826
2018-11-24,67.85714286
2018-11-25,73.13432836
2018-11-26,61.79775281
2018-11-27,78.0
2018-11-28,68.60465116
2018-11-29,89.76377953
2018-11-30,57.57575758
2018-12-01,68.49315068
2018-12-02,65.625
2018-12-03,63.80952381
2018-12-04,59.09090909
2018-12-05,57.5
2018-12-06,65.80645161
2018-12-07,68.38709677
2018-12-08,46.34146341
2018-12-09,61.93548387
2018-12-10,46.95652174
2018-12-11,57.30337079
2018-12-12,65.66037736
2018-12-13,65.2173913
2018-12-14,60.60606061
2018-12-15,62.80487805
2018-12-16,55.27950311
2018-12-17,75.42372881
2018-12-18,70.24793388
2018-12-19,75.625
2018-12-20,75.79617834
2018-12-21,60.0
2018-12-22,70.83333333
2018-12-23,78.08219178
2018-12-24,76.99115044
2018-12-25,67.03296703
2018-12-26,69.41176471
2018-12-27,71.05263158
2018-12-28,67.24137931
2018-12-29,71.83098592
2018-12-30,68.25396825
2018-12-31,57.37704918
2019-01-01,63.46153846
2019-01-02,68.18181818
2019-01-03,68.13186813
2019-01-04,65.90909091
2019-01-05,68.49315068
2019-01-06,51.94805195
2019-01-07,66.08695652
2019-01-08,65.34653465
2019-01-09,68.53932584
2019-01-10,70.14925373
2019-01-11,75.90361446
2019-01-12,60.86956522
2019-01-13,66.66666667
2019-01-14,70.70707071
2019-01-15,60.43956044
2019-01-16,63.29113924
2019-01-17,50.0
2019-01-18,48.27586207
2019-01-19,60.56338028
2019-01-20,54.16666667
2019-01-21,66.16541353
2019-01-22,62.71186441
2019-01-23,53.33333333
2019-01-24,67.32673267
2019-01-25,49.42528736
2019-01-26,44.82758621
2019-01-27,62.5
2019-01-28,66.92307692
2019-01-29,64.89361702
2019-01-30,53.91304348
2019-01-31,61.11111111
2019-02-01,67.0212766
2019-02-02,72.34042553
2019-02-03,52.5
2019-02-04,69.04761905
2019-02-05,67.74193548
2019-02-06,62.79069767
2019-02-07,67.64705882
2019-02-08,46.0
2019-02-09,60.0
2019-02-10,57.14285714
2019-02-11,60.0
2019-02-12,64.51612903
2019-02-13,67.24137931
2019-02-14,73.56321839
2019-02-15,60.0
2019-02-16,55.71428571
2019-02-17,57.35294118
2019-02-18,59.40594059
2019-02-19,77.93103448
2019-02-20,72.85714286
2019-02-21,69.87951807
2019-02-22,80.43478261
2019-02-23,73.80952381
2019-02-24,80.12820513
2019-02-25,75.93984962
2019-02-26,67.51592357
2019-02-27,68.93939394
2019-02-28,70.80291971
2019-03-01,67.71653543
2019-03-02,78.37837838
2019-03-03,68.23529412
2019-03-04,69.11764706
2019-03-05,77.20207254
2019-03-06,81.01265823
2019-03-07,72.05882353
2019-03-08,74.65753425
2019-03-09,73.58490566
2019-03-10,65.30612245
2019-03-11,60.11904762
2019-03-12,61.45251397
2019-03-13,70.23809524
2019-03-14,62.91390728
2019-03-15,66.66666667
2019-03-16,57.2327044
2019-03-17,57.36434109
2019-03-18,76.13168724
2019-03-19,73.59307359
2019-03-20,72.93577982
2019-03-21,72.4137931
2019-03-22,73.7704918
2019-03-23,75.25252525
2019-03-24,70.73170732
2019-03-25,71.42857143
2019-03-26,77.1978022
2019-03-27,79.07692308
2019-03-28,76.64233577
2019-03-29,79.63636364
2019-03-30,72.36180905
2019-03-31,75.72815534
2019-04-01,76.23762376
2019-04-02,82.08955224
2019-04-03,77.97619048
2019-04-04,78.24427481
2019-04-05,80.17751479
2019-04-06,51.41242938
2019-04-07,66.90391459
2019-04-08,81.60469667
2019-04-09,79.88636364
2019-04-10,81.84176394
2019-04-11,76.63934426
2019-04-12,72.97709924
2019-04-13,74.52471483
2019-04-14,66.92913386
2019-04-15,60.03039514
2019-04-16,68.21917808
2019-04-17,78.05519054
2019-04-18,83.90804598
2019-04-19,79.81651376
2019-04-20,70.17017017
2019-04-21,55.01193317
2019-04-22,60.53082192
2019-04-23,86.13750699
2019-04-24,56.22406639
2019-04-25,79.97678468
2019-04-26,59.36073059
2019-04-27,43.22709163
2019-04-28,50.12562814
2019-04-29,45.48981571
2019-04-30,85.52009456
2019-05-01,86.63148637
2019-05-02,80.76923077
2019-05-03,76.95473251
2019-05-04,77.48049052
2019-05-05,44.55384615
2019-05-06,51.16407982
2019-05-07,77.14552239
2019-05-08,48.94795127
2019-05-09,42.73010227
2019-05-10,49.69217238
2019-05-11,43.34715417
