date,Active Receiving Addresses (%)
2022-02-24,83.57404823
2022-02-25,75.78482473
2022-02-26,70.47619048
2022-02-27,71.03855289
2022-02-28,71.30124159
2022-03-01,75.67153746
2022-03-02,78.85530473
2022-03-03,75.86213384
2022-03-04,72.8763228
2022-03-05,72.25266605
2022-03-06,61.04367387
2022-03-07,63.60587596
2022-03-08,55.51508695
2022-03-09,72.08066359
2022-03-10,69.14940428
2022-03-11,75.49010464
2022-03-12,66.48871582
2022-03-13,67.15690697
2022-03-14,70.40629974
2022-03-15,72.21368633
2022-03-16,53.00775418
2022-03-17,72.08581203
2022-03-18,77.86496556
2022-03-19,46.95105499
2022-03-20,64.66951485
2022-03-21,72.36856271
2022-03-22,72.93309842
2022-03-23,70.18727444
2022-03-24,74.16202103
2022-03-25,75.27522139
2022-03-26,74.64334705
2022-03-27,61.95007915
2022-03-28,74.88516168
2022-03-29,71.90570637
2022-03-30,67.45845323
2022-03-31,71.1644862
2022-04-01,75.87247748
2022-04-02,72.88261807
2022-04-03,70.95364783
2022-04-04,75.52408132
2022-04-05,77.85145397
2022-04-06,76.89494793
2022-04-07,75.4336426
2022-04-08,77.57449218
2022-04-09,72.39958146
2022-04-10,73.54754793
2022-04-11,74.41604745
2022-04-12,74.15890202
2022-04-13,78.07375426
2022-04-14,77.55902329
2022-04-15,76.20820713
2022-04-16,73.8000094
2022-04-17,75.90681758
2022-04-18,77.31191595
2022-04-19,79.55862224
2022-04-20,80.46228082
2022-04-21,79.89098696
2022-04-22,77.10511512
2022-04-23,77.29481912
2022-04-24,74.14381365
2022-04-25,79.41230929
2022-04-26,78.76028935
2022-04-27,78.3064363
2022-04-28,78.04779929
2022-04-29,80.85800727
2022-04-30,73.45952002
2022-05-01,73.32602049
2022-05-02,77.5475946
2022-05-03,77.72101772
2022-05-04,77.93024585
2022-05-05,79.93911933
2022-05-06,78.51661949
2022-05-07,70.15714228
2022-05-08,68.80456548
2022-05-09,77.51827092
2022-05-10,70.52935103
2022-05-11,80.47384171
2022-05-12,65.9973166
2022-05-13,69.56084405
2022-05-14,72.87289484
2022-05-15,66.69182037
2022-05-16,68.34206621
2022-05-17,58.6725526
2022-05-18,57.20820917
2022-05-19,73.42910102
2022-05-20,73.3607178
2022-05-21,67.83656117
2022-05-22,70.39693682
2022-05-23,72.78382876
2022-05-24,69.30446194
2022-05-25,63.77422219
2022-05-26,71.93449903
2022-05-27,78.79876285
2022-05-28,73.40532286
2022-05-29,68.97840943
2022-05-30,79.7510704
2022-05-31,80.27378901
2022-06-01,79.73371356
2022-06-02,79.41418249
2022-06-03,80.44826385
2022-06-04,75.30885381
2022-06-05,75.07991038
2022-06-06,80.00558923
2022-06-07,80.02399263
2022-06-08,81.23540402
2022-06-09,80.09554504
2022-06-10,64.21925736
2022-06-11,68.87875383
2022-06-12,70.61364211
2022-06-13,77.64466045
2022-06-14,75.74496448
2022-06-15,68.69637542
2022-06-16,74.59727385
2022-06-17,62.93758627
2022-06-18,59.10375389
2022-06-19,63.59496164
2022-06-20,73.01888966
2022-06-21,75.68702065
2022-06-22,65.28653397
2022-06-23,73.19093557
2022-06-24,76.2447462
2022-06-25,73.21404547
2022-06-26,76.79324895
2022-06-27,70.47208398
2022-06-28,72.82419495
2022-06-29,74.68965517
2022-06-30,79.28516229
2022-07-01,68.6562725
2022-07-02,69.52312808
2022-07-03,66.91230118
2022-07-04,66.2925018
2022-07-05,63.64587399
2022-07-06,55.75266314
2022-07-07,67.64461666
2022-07-08,69.93882848
2022-07-09,61.4972687
2022-07-10,59.921483
2022-07-11,65.78762826
2022-07-12,69.76562209
2022-07-13,74.32201027
2022-07-14,76.88073763
2022-07-15,72.13829005
2022-07-16,68.30445517
2022-07-17,74.88718103
2022-07-18,79.17855106
2022-07-19,77.50606306
2022-07-20,73.63791753
