Datetime,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2022-03-17T00:00:00Z,70791.86153876,282806.51907266,940567.90952451,1980329.7417792,4801791.25045425,5292478.22712195,4003144.517125,1614461.01835463
2022-03-16T00:00:00Z,70764.82200175,282918.66173078,941247.03373517,1981368.20719905,4806014.4660962,5294431.20433769,3995508.19825526,1613124.70161506
2022-03-15T00:00:00Z,70728.02193919,282822.66725466,940754.75814306,1981436.76340299,4813958.24622595,5296634.40428145,3972502.6454687,1625571.03825496
2022-03-14T00:00:00Z,70664.87162356,282823.98096693,940977.27572915,1981237.52133164,4824197.31668515,5294242.57226046,3963832.79904183,1625563.45733224
2022-03-13T00:00:00Z,70652.89563563,282707.84734493,940392.56694505,1983278.34517031,4823256.00802677,5286044.51594474,3970787.44448986,1625463.92141367
2022-03-12T00:00:00Z,70551.37650193,282552.13539626,940051.15611126,1982275.51092554,4823831.81559774,5285830.13227893,3971102.8577278,1625444.8104315
2022-03-11T00:00:00Z,70454.33508533,282319.59565096,939430.81466361,1980074.87731212,4826809.40284386,5284576.70427546,3971559.95436511,1625439.11077451
2022-03-10T00:00:00Z,70301.11741128,281983.09621225,938420.13824196,1980326.58376116,4828974.46004945,5299939.49457323,3946391.12220923,1633466.2825124
2022-03-09T00:00:00Z,70272.09804115,281716.21075519,937895.28919181,1978712.38074472,4826461.21651584,5304936.66682849,3946545.08686977,1632357.09602399
2022-03-08T00:00:00Z,70143.32300977,281483.86558992,937076.58771731,1982325.704548,4836578.91486926,5292669.60831062,3934990.86700293,1642764.67392315
2022-03-07T00:00:00Z,70158.67736708,281183.42015462,935777.47618856,1981556.43990102,4839562.18777714,5290918.13863686,3935180.62351811,1642771.58142757
2022-03-06T00:00:00Z,70125.68380592,280837.74531732,935244.47193865,1980687.60594513,4839980.14441341,5301123.49928576,3925403.58309969,1642780.81116508
2022-03-05T00:00:00Z,70168.42572014,280600.89891646,934976.19042733,1979177.92327726,4835511.51135838,5303564.0756113,3928603.28956119,1642762.4800989
2022-03-04T00:00:00Z,70038.25602838,280297.48586268,933976.76514321,1978645.79485374,4835334.80866612,5305333.45385479,3928189.21558836,1642780.26497368
2022-03-03T00:00:00Z,70003.74542691,280148.93365863,933534.73076393,1977996.13855507,4839486.24260358,5300543.16803518,3927185.23685522,1644829.09907244
2022-03-02T00:00:00Z,69956.55440809,280081.76447706,933298.5526783,1975947.57537982,4844869.28739871,5293896.82643765,3934116.85410321,1640634.88008812
2022-03-01T00:00:00Z,70028.46718525,280333.42670082,933099.28262025,1975097.64036675,4838555.86811612,5295979.67416109,3938188.16278186,1640669.77303882
2022-02-28T00:00:00Z,70016.62652549,279977.83815118,932424.69082428,1974954.91584208,4837044.03687081,5299741.10625669,3923725.421758,1653055.15874243
2022-02-27T00:00:00Z,70049.36337813,279481.31433012,930945.30113291,1973159.94190442,4835807.51063863,5292748.9236669,3943331.69672948,1644453.24319037
2022-02-26T00:00:00Z,69885.03548088,278982.65291031,929600.01288844,1972442.75152051,4834381.37907777,5292114.54645686,3947188.2090871,1644532.70754909
2022-02-25T00:00:00Z,69779.86718386,278927.52926432,928849.87224629,1971048.35661217,4834411.14072989,5295317.45071944,3945460.57171019,1644551.2565048
2022-02-24T00:00:00Z,69658.3002383,278650.31462565,928243.1496261,1968544.30569956,4835288.34884696,5297321.13139017,3956532.02485085,1633270.96969337
2022-02-23T00:00:00Z,69569.15769268,278359.34409802,927534.3547688,1967063.46977286,4830357.14979124,5291767.93115704,3968788.85154685,1633243.28614347
2022-02-22T00:00:00Z,69445.93131902,278349.0215622,927269.47648246,1966650.90395935,4824513.47464233,5291508.15619356,3974744.18713477,1633264.89367727
2022-02-21T00:00:00Z,69373.07174195,277966.19011596,926335.15544753,1965115.61276587,4827281.30231621,5290671.11522463,3974746.07071107,1633307.52664774
2022-02-20T00:00:00Z,69376.04011423,277723.57343089,925581.23358308,1964635.62520985,4829943.81378897,5291025.47775128,3972396.80944732,1633344.72164534
2022-02-19T00:00:00Z,69245.14691027,277409.21950993,924964.94071242,1964428.64670698,4829011.79886662,5292724.84178967,3972083.38607712,1633259.31439795
2022-02-18T00:00:00Z,69151.58617136,277299.27385653,924289.18772911,1962519.85477654,4829319.02814008,5292830.92481853,3973515.10344021,1633271.0860386
2022-02-17T00:00:00Z,69038.45565715,276829.14033778,923955.23134655,1961664.56518243,4829732.06695069,5288523.96281642,3970694.99584285,1640920.12683709
2022-02-16T00:00:00Z,68980.35556846,276686.23019526,924009.41227576,1961300.75985184,4840157.53363988,5281158.39054666,3969655.62224119,1638428.99065191
2022-02-15T00:00:00Z,68891.54191925,276386.02944909,923766.48945734,1960669.0843715,4839642.52458525,5283784.57628395,3967796.1970191,1638465.85188548
2022-02-14T00:00:00Z,68956.94716303,276389.56980667,923176.94714931,1961239.43726193,4844922.62390145,5275961.14443073,3979404.69952766,1628257.17573018
2022-02-13T00:00:00Z,68921.1094551,276215.25189556,922695.0231905,1962729.17530882,4848736.29277663,5270976.19549754,3978800.23395286,1628279.01289395
2022-02-12T00:00:00Z,68821.74622884,276010.9381239,922617.03257066,1962413.88285504,4848964.34543264,5269552.38332877,3979741.35585519,1628243.11057592
2022-02-11T00:00:00Z,69465.39026433,276139.86258418,922052.88507745,1962061.71605074,4852324.37003716,5273614.74749003,3974312.71419302,1625224.35927405
2022-02-10T00:00:00Z,69688.16786387,276452.82740002,921261.41267838,1959672.95463472,4849183.86337086,5272220.60039424,3969168.27969798,1636660.43893089
2022-02-09T00:00:00Z,69954.93443389,276487.63433951,921358.81567777,1969089.56345239,4850009.55682449,5259235.63417193,3979337.34801961,1627916.30805137
2022-02-08T00:00:00Z,70151.60271451,276409.76427125,920828.48754553,1966653.88418969,4849749.38009868,5263527.89770389,3977391.15080456,1627802.62764285
2022-02-07T00:00:00Z,70303.55734379,277009.58012896,921748.66906701,1966168.24932721,4847260.42859627,5257822.474752,3983352.43986209,1627886.89589363
2022-02-06T00:00:00Z,70200.63110301,276670.97965289,920923.61599496,1966956.82975193,4848582.44474716,5271559.83545925,3967746.25120154,1628061.70706022
2022-02-05T00:00:00Z,70361.37796405,276901.66058655,921073.74613325,1966520.58680222,4848903.06467546,5269467.32174014,3968370.69559933,1628128.84146996
