date,Phase 0 Success Rate (%)
2021-10-08,1510.64
2021-10-09,1511.56
2021-10-10,1512.41
2021-10-11,1513.41
2021-10-12,1514.17
2021-10-13,1515.02
2021-10-14,1516.18
2021-10-15,1520.92
2021-10-16,1521.81
2021-10-17,1522.4
2021-10-18,1523.19
2021-10-19,1523.76
2021-10-20,1524.61
2021-10-21,1525.68
2021-10-22,1526.62
2021-10-23,1527.47
2021-10-24,1528.03
2021-10-25,1529.3
2021-10-26,1530.32
2021-10-27,1531.59
2021-10-28,1532.34
2021-10-29,1536.29
2021-10-30,1542.9
2021-10-31,1543.32
2021-11-01,1544.93
2021-11-02,1551.16
2021-11-03,1552.67
2021-11-04,1553.87
2021-11-05,1561.66
2021-11-06,1562.54
2021-11-07,1564.16
2021-11-08,1565.68
2021-11-09,1566.46
2021-11-10,1567.88
2021-11-11,1569.66
2021-11-12,1571.49
2021-11-13,1572.2
2021-11-14,1573.1
2021-11-15,1575.53
2021-11-16,1583.89
2021-11-17,1585.45
2021-11-18,1587.25
2021-11-19,1589.04
2021-11-20,1590.2
2021-11-21,1591.52
2021-11-22,1594.21
2021-11-23,1598.23
2021-11-24,1600.3
2021-11-25,1602.15
2021-11-26,1604.55
2021-11-27,1605.95
2021-11-28,1608.24
2021-11-29,1609.23
2021-11-30,1611.99
2021-12-01,1617.19
2021-12-02,1619.8
2021-12-03,1624.18
2021-12-04,1625.69
2021-12-05,1628.38
2021-12-06,1630.12
2021-12-07,1634.41
2021-12-08,1636.46
2021-12-09,1638.25
2021-12-10,1639.81
2021-12-11,1642.21
2021-12-12,1643.91
2021-12-13,1645.78
2021-12-14,1650.01
2021-12-15,1653.22
2021-12-16,1655.45
2021-12-17,1658.78
2021-12-18,1661.16
2021-12-19,1665.38
2021-12-20,1668.33
2021-12-21,1670.49
2021-12-22,1672.31
2021-12-23,1673.31
2021-12-24,1676.01
2021-12-25,1677.12
2021-12-26,1678.11
2021-12-27,1680.01
2021-12-28,1681.03
2021-12-29,1682.37
2021-12-30,1684.53
2021-12-31,1685.9
2022-01-01,1688.53
2022-01-02,1691.23
2022-01-03,1695.08
2022-01-04,1700.5
2022-01-05,1703.47
2022-01-06,1706.51
2022-01-07,1709.56
2022-01-08,1712.54
2022-01-09,1713.63
2022-01-10,1715.94
2022-01-11,1717.69
2022-01-12,1718.98
2022-01-13,1720.7
2022-01-14,1723.13
2022-01-15,1725.28
2022-01-16,1726.67
2022-01-17,1728.17
2022-01-18,1729.54
2022-01-19,1735.3
2022-01-20,1736.03
2022-01-21,1737.71
2022-01-22,1742.19
2022-01-23,1751.42
2022-01-24,1753.42
2022-01-25,1757.07
2022-01-26,1758.37
2022-01-27,1761.29
2022-01-28,1763.25
2022-01-29,1765.9
2022-01-30,1766.94
2022-01-31,1768.37
2022-02-01,1770.21
2022-02-02,1771.3
2022-02-03,1772.84
2022-02-04,1776.43
2022-02-05,1778.37
2022-02-06,1779.66
2022-02-07,1781.74
2022-02-08,1784.97
2022-02-09,1786.41
2022-02-10,1789.98
2022-02-11,1793.26
2022-02-12,1794.22
2022-02-13,1798.3
2022-02-14,1799.61
2022-02-15,1803.9
2022-02-16,1806.51
2022-02-17,1807.76
2022-02-18,1810.37
2022-02-19,1811.64
2022-02-20,1812.96
2022-02-21,1813.57
2022-02-22,1816.64
2022-02-23,1826.77
2022-02-24,1828.93
2022-02-25,1831.61
2022-02-26,1834.43
2022-02-27,1837.4
2022-02-28,1841.9
2022-03-01,1849.78
