date,Number of ETH 2.0 Deposits
2021-12-14,725
2021-12-15,547
2021-12-16,378
2021-12-17,568
2021-12-18,444
2021-12-19,744
2021-12-20,535
2021-12-21,391
2021-12-22,331
2021-12-23,178
2021-12-24,452
2021-12-25,196
2021-12-26,200
2021-12-27,325
2021-12-28,182
2021-12-29,240
2021-12-30,382
2021-12-31,282
2022-01-01,464
2022-01-02,462
2022-01-03,649
2022-01-04,919
2022-01-05,493
2022-01-06,509
2022-01-07,505
2022-01-08,524
2022-01-09,184
2022-01-10,383
2022-01-11,289
2022-01-12,223
2022-01-13,291
2022-01-14,421
2022-01-15,373
2022-01-16,251
2022-01-17,270
2022-01-18,243
2022-01-19,965
2022-01-20,129
2022-01-21,281
2022-01-22,742
2022-01-23,1531
2022-01-24,346
2022-01-25,607
2022-01-26,222
2022-01-27,491
2022-01-28,333
2022-01-29,446
2022-01-30,182
2022-01-31,247
2022-02-01,318
2022-02-02,194
2022-02-03,268
2022-02-04,594
2022-02-05,326
2022-02-06,226
2022-02-07,346
2022-02-08,543
2022-02-09,266
2022-02-10,605
2022-02-11,553
2022-02-12,196
2022-02-13,680
2022-02-14,229
2022-02-15,712
2022-02-16,474
2022-02-17,217
2022-02-18,433
2022-02-19,212
2022-02-20,240
2022-02-21,124
2022-02-22,511
2022-02-23,1674
2022-02-24,386
2022-02-25,516
2022-02-26,517
2022-02-27,515
2022-02-28,742
2022-03-01,1337
2022-03-02,797
2022-03-03,1407
2022-03-04,970
2022-03-05,764
2022-03-06,436
2022-03-07,1865
2022-03-08,1399
2022-03-09,1770
2022-03-10,1347
2022-03-11,1366
2022-03-12,850
2022-03-13,386
2022-03-14,1254
2022-03-15,6346
2022-03-16,2040
2022-03-17,1602
2022-03-18,1653
2022-03-19,3689
2022-03-20,565
2022-03-21,315
2022-03-22,931
2022-03-23,1194
2022-03-24,654
2022-03-25,724
2022-03-26,428
2022-03-27,276
2022-03-28,383
2022-03-29,736
2022-03-30,2065
2022-03-31,3791
2022-04-01,1295
2022-04-02,825
2022-04-03,1264
2022-04-04,509
2022-04-05,2113
2022-04-06,1023
2022-04-07,1530
2022-04-08,1269
2022-04-09,600
2022-04-10,936
2022-04-11,552
2022-04-12,898
2022-04-13,2252
2022-04-14,742
2022-04-15,2237
2022-04-16,1126
2022-04-17,84
2022-04-18,140
2022-04-19,2179
2022-04-20,1527
2022-04-21,1632
2022-04-22,1375
2022-04-23,432
2022-04-24,222
2022-04-25,483
2022-04-26,1955
2022-04-27,2166
2022-04-28,1441
2022-04-29,1010
2022-04-30,589
2022-05-01,1710
2022-05-02,3810
2022-05-03,1906
2022-05-04,1150
2022-05-05,703
2022-05-06,1719
2022-05-07,605
2022-05-08,218
2022-05-09,2079
2022-05-10,539
2022-05-11,623
2022-05-12,371
2022-05-13,452
2022-05-14,195
2022-05-15,145
2022-05-16,167
2022-05-17,278
2022-05-18,280
2022-05-19,846
2022-05-20,289
2022-05-21,283
2022-05-22,73
2022-05-23,123
2022-05-24,246
2022-05-25,386
2022-05-26,144
2022-05-27,389
2022-05-28,124
2022-05-29,348
2022-05-30,165
2022-05-31,665
2022-06-01,852
2022-06-02,348
2022-06-03,213
2022-06-04,200
2022-06-05,187
2022-06-06,237
2022-06-07,145
2022-06-08,80
2022-06-09,160
2022-06-10,242
2022-06-11,992
2022-06-12,569
2022-06-13,193
2022-06-14,160
2022-06-15,302
2022-06-16,284
2022-06-17,413
2022-06-18,212
2022-06-19,50
2022-06-20,323
2022-06-21,398
2022-06-22,293
2022-06-23,93
2022-06-24,150
2022-06-25,75
2022-06-26,165
2022-06-27,258
2022-06-28,85
2022-06-29,206
2022-06-30,226
2022-07-01,135
2022-07-02,213
2022-07-03,48
2022-07-04,72
2022-07-05,69
2022-07-06,173
2022-07-07,112
2022-07-08,127
2022-07-09,87
2022-07-10,187
2022-07-11,79
2022-07-12,102
2022-07-13,1979
2022-07-14,202
2022-07-15,233
2022-07-16,105
2022-07-17,140
2022-07-18,320
2022-07-19,156
2022-07-20,350
2022-07-21,398
2022-07-22,75
2022-07-23,61
2022-07-24,50
2022-07-25,66
2022-07-26,262
2022-07-27,158
2022-07-28,361
2022-07-29,220
2022-07-30,106
2022-07-31,150
2022-08-01,66
2022-08-02,175
2022-08-03,74
2022-08-04,181
2022-08-05,120
2022-08-06,107
2022-08-07,137
2022-08-08,178
2022-08-09,544
2022-08-10,200
2022-08-11,617
2022-08-12,1129
2022-08-13,145
2022-08-14,193
2022-08-15,110
2022-08-16,362
2022-08-17,162
2022-08-18,256
2022-08-19,90
2022-08-20,123
2022-08-21,114
2022-08-22,146
2022-08-23,427
2022-08-24,406
2022-08-25,102
2022-08-26,339
2022-08-27,87
2022-08-28,96
2022-08-29,224
2022-08-30,381
2022-08-31,124
2022-09-01,3003
2022-09-02,177
2022-09-03,194
2022-09-04,92
2022-09-05,127
2022-09-06,447
2022-09-07,1844
2022-09-08,520
2022-09-09,583
2022-09-10,169
2022-09-11,334
2022-09-12,1742
2022-09-13,254
2022-09-14,161
2022-09-15,979
2022-09-16,680
2022-09-17,716
2022-09-18,769
2022-09-19,659
2022-09-20,720
2022-09-21,554
2022-09-22,1811
2022-09-23,728
2022-09-24,534
2022-09-25,440
2022-09-26,891
2022-09-27,1034
2022-09-28,592
2022-09-29,776
2022-09-30,1092
2022-10-01,407
2022-10-02,319
2022-10-03,398
2022-10-04,301
2022-10-05,430
2022-10-06,435
2022-10-07,600
2022-10-08,174
2022-10-09,370
2022-10-10,303
2022-10-11,235
2022-10-12,828
2022-10-13,342
2022-10-14,270
2022-10-15,277
2022-10-16,304
2022-10-17,466
2022-10-18,1505
2022-10-19,1008
2022-10-20,483
2022-10-21,895
2022-10-22,439
2022-10-23,367
2022-10-24,370
2022-10-25,1774
2022-10-26,967
2022-10-27,1417
2022-10-28,675
2022-10-29,1386
2022-10-30,1222
2022-10-31,736
2022-11-01,955
2022-11-02,664
2022-11-03,757
2022-11-04,515
2022-11-05,501
2022-11-06,334
2022-11-07,304
2022-11-08,685
2022-11-09,679
2022-11-10,823
2022-11-11,1597
2022-11-12,400
2022-11-13,1115
2022-11-14,1031
2022-11-15,860
2022-11-16,520
2022-11-17,916
2022-11-18,1177
2022-11-19,694
2022-11-20,856
2022-11-21,1048
2022-11-22,3261
2022-11-23,930
2022-11-24,561
2022-11-25,997
2022-11-26,317
2022-11-27,192
2022-11-28,392
2022-11-29,1144
2022-11-30,444
2022-12-01,1374
2022-12-02,698
2022-12-03,229
2022-12-04,284
2022-12-05,400
2022-12-06,585
2022-12-07,352
2022-12-08,406
2022-12-09,868
2022-12-10,480
2022-12-11,321
2022-12-12,309
2022-12-13,393
2022-12-14,328
2022-12-15,309
2022-12-16,578
2022-12-17,442
2022-12-18,296
2022-12-19,467
2022-12-20,227
2022-12-21,419
2022-12-22,299
2022-12-23,384
2022-12-24,146
2022-12-25,131
2022-12-26,366
2022-12-27,934
2022-12-28,200
2022-12-29,471
2022-12-30,418
2022-12-31,281
2023-01-01,205
2023-01-02,309
2023-01-03,224
2023-01-04,466
2023-01-05,439
2023-01-06,946
2023-01-07,401
2023-01-08,269
2023-01-09,403
2023-01-10,480
2023-01-11,869
2023-01-12,372
2023-01-13,465
2023-01-14,493
2023-01-15,599
2023-01-16,525
2023-01-17,386
2023-01-18,450
2023-01-19,1117
2023-01-20,342
2023-01-21,498
2023-01-22,352
2023-01-23,2208
2023-01-24,378
2023-01-25,914
2023-01-26,510
2023-01-27,357
2023-01-28,474
2023-01-29,492
2023-01-30,504
2023-01-31,1059
2023-02-01,530
2023-02-02,747
2023-02-03,455
2023-02-04,766
2023-02-05,470
2023-02-06,364
2023-02-07,402
2023-02-08,758
2023-02-09,1061
2023-02-10,615
2023-02-11,784
2023-02-12,460
2023-02-13,365
2023-02-14,1134
2023-02-15,523
2023-02-16,952
2023-02-17,656
2023-02-18,474
2023-02-19,625
2023-02-20,1278
2023-02-21,1195
2023-02-22,1003
2023-02-23,759
2023-02-24,559
2023-02-25,6309
2023-02-26,2318
2023-02-27,5637
2023-02-28,2284
2023-03-01,581
2023-03-02,1150
2023-03-03,580
2023-03-04,361
2023-03-05,144
2023-03-06,502
2023-03-07,465
2023-03-08,451
2023-03-09,1259
2023-03-10,385
2023-03-11,505
2023-03-12,530
2023-03-13,491
2023-03-14,611
2023-03-15,849
2023-03-16,597
2023-03-17,711
2023-03-18,545
2023-03-19,334
2023-03-20,1052
2023-03-21,320
2023-03-22,1039
2023-03-23,483
2023-03-24,413
2023-03-25,448
2023-03-26,284
2023-03-27,320
2023-03-28,800
2023-03-29,814
2023-03-30,897
2023-03-31,1744
2023-04-01,322
2023-04-02,247
2023-04-03,201
2023-04-04,527
2023-04-05,708
2023-04-06,595
2023-04-07,386
2023-04-08,469
2023-04-09,299
2023-04-10,336
2023-04-11,375
2023-04-12,575
2023-04-13,3029
2023-04-14,3503
2023-04-15,1276
2023-04-16,3792
2023-04-17,2866
2023-04-18,3762
2023-04-19,3531
2023-04-20,3461
2023-04-21,4107
2023-04-22,1794
2023-04-23,1492
2023-04-24,4171
2023-04-25,3081
2023-04-26,3941
2023-04-27,3224
2023-04-28,2787
2023-04-29,1445
2023-04-30,1455
2023-05-01,1933
2023-05-02,3030
2023-05-03,6231
2023-05-04,3891
2023-05-05,2213
2023-05-06,5717
2023-05-07,5679
2023-05-08,2204
2023-05-09,3543
2023-05-10,6654
2023-05-11,6972
2023-05-12,7315
2023-05-13,3387
2023-05-14,1774
2023-05-15,2832
2023-05-16,5063
2023-05-17,4359
2023-05-18,6046
2023-05-19,4509
2023-05-20,4660
2023-05-21,3364
2023-05-22,2418
2023-05-23,6940
2023-05-24,2715
2023-05-25,2130
2023-05-26,5321
2023-05-27,2663
2023-05-28,1476
2023-05-29,2043
2023-05-30,2463
2023-05-31,3591
2023-06-01,12863
2023-06-02,7295
2023-06-03,2105
2023-06-04,795
2023-06-05,2886
2023-06-06,3275
2023-06-07,2895
2023-06-08,3673
2023-06-09,1523
2023-06-10,738
2023-06-11,1451
2023-06-12,1688
2023-06-13,2446
2023-06-14,1311
2023-06-15,2465
2023-06-16,1311
2023-06-17,1072
2023-06-18,857
2023-06-19,2253
2023-06-20,1925
2023-06-21,2683
2023-06-22,4933
2023-06-23,1824
2023-06-24,1171
2023-06-25,1454
2023-06-26,2097
2023-06-27,3397
2023-06-28,958
2023-06-29,1248
2023-06-30,1938
2023-07-01,1631
2023-07-02,1158
2023-07-03,715
2023-07-04,1388
2023-07-05,1062
2023-07-06,1527
2023-07-07,2067
2023-07-08,1025
2023-07-09,460
2023-07-10,1014
2023-07-11,2352
2023-07-12,2527
2023-07-13,4103
2023-07-14,3091
2023-07-15,1115
2023-07-16,812
2023-07-17,1323
2023-07-18,1213
2023-07-19,3966
2023-07-20,2738
2023-07-21,2864
2023-07-22,1578
2023-07-23,1567
2023-07-24,846
2023-07-25,3434
2023-07-26,2015
2023-07-27,2069
2023-07-28,4500
2023-07-29,940
2023-07-30,1093
2023-07-31,928
2023-08-01,1212
2023-08-02,933
2023-08-03,778
2023-08-04,1434
2023-08-05,1006
2023-08-06,546
2023-08-07,855
2023-08-08,1380
2023-08-09,1782
2023-08-10,2129
2023-08-11,3314
2023-08-12,989
2023-08-13,847
2023-08-14,918
2023-08-15,1754
2023-08-16,1265
2023-08-17,1187
2023-08-18,3090
2023-08-19,2098
2023-08-20,853
2023-08-21,2798
2023-08-22,3622
2023-08-23,1257
2023-08-24,2024
2023-08-25,1936
2023-08-26,921
2023-08-27,711
2023-08-28,1950
2023-08-29,3620
2023-08-30,1792
2023-08-31,2003
2023-09-01,1871
2023-09-02,804
2023-09-03,475
2023-09-04,1483
2023-09-05,1382
2023-09-06,736
2023-09-07,1091
2023-09-08,1408
2023-09-09,678
2023-09-10,466
2023-09-11,2023
2023-09-12,963
2023-09-13,4243
2023-09-14,817
2023-09-15,1753
2023-09-16,396
2023-09-17,691
2023-09-18,1932
2023-09-19,1861
2023-09-20,2678
2023-09-21,784
2023-09-22,1303
2023-09-23,1075
2023-09-24,811
2023-09-25,1037
2023-09-26,2016
2023-09-27,1129
2023-09-28,980
2023-09-29,2399
2023-09-30,870
2023-10-01,797
2023-10-02,1399
2023-10-03,1469
2023-10-04,1455
2023-10-05,1440
2023-10-06,1984
2023-10-07,572
2023-10-08,992
2023-10-09,3499
2023-10-10,3022
2023-10-11,1126
2023-10-12,1541
2023-10-13,2348
2023-10-14,1756
2023-10-15,543
2023-10-16,1223
2023-10-17,2114
2023-10-18,1744
2023-10-19,1070
2023-10-20,789
2023-10-21,732
2023-10-22,484
2023-10-23,2056
2023-10-24,1235
2023-10-25,1290
2023-10-26,1391
2023-10-27,1565
2023-10-28,783
2023-10-29,1198
2023-10-30,3980
2023-10-31,2362
2023-11-01,1772
2023-11-02,1189
2023-11-03,3583
2023-11-04,1894
2023-11-05,1621
2023-11-06,3011
2023-11-07,2235
2023-11-08,3649
2023-11-09,2537
2023-11-10,1777
2023-11-11,782
2023-11-12,2758
2023-11-13,1012
2023-11-14,1743
2023-11-15,918
2023-11-16,1205
2023-11-17,1885
2023-11-18,880
2023-11-19,1233
2023-11-20,1334
2023-11-21,1403
2023-11-22,3957
2023-11-23,2561
2023-11-24,1458
2023-11-25,1355
2023-11-26,734
2023-11-27,1951
2023-11-28,1316
2023-11-29,1707
2023-11-30,2601
2023-12-01,2997
2023-12-02,2899
2023-12-03,5456
2023-12-04,1685
2023-12-05,1443
2023-12-06,1667
2023-12-07,1325
2023-12-08,1411
2023-12-09,540
2023-12-10,609
2023-12-11,2183
2023-12-12,1619
2023-12-13,2608
2023-12-14,1529
2023-12-15,1164
2023-12-16,427
2023-12-17,1515
2023-12-18,1642
2023-12-19,2114
2023-12-20,2786
2023-12-21,1554
2023-12-22,3511
2023-12-23,1307
2023-12-24,1378
2023-12-25,1832
2023-12-26,885
2023-12-27,3354
2023-12-28,1574
2023-12-29,2002
2023-12-30,2882
2023-12-31,1440
2024-01-01,1622
2024-01-02,1810
2024-01-03,1916
2024-01-04,1411
2024-01-05,1967
2024-01-06,937
2024-01-07,736
2024-01-08,1850
2024-01-09,1914
2024-01-10,3117
2024-01-11,2012
2024-01-12,1800
2024-01-13,956
2024-01-14,625
2024-01-15,2530
2024-01-16,1807
2024-01-17,2086
2024-01-18,3588
2024-01-19,3063
2024-01-20,1616
2024-01-21,1571
2024-01-22,1817
2024-01-23,3236
2024-01-24,2485
2024-01-25,3753
2024-01-26,4597
2024-01-27,3112
2024-01-28,2052
2024-01-29,2437
2024-01-30,3085
2024-01-31,5573
2024-02-01,4970
2024-02-02,5797
2024-02-03,1359
2024-02-04,2119
2024-02-05,3171
2024-02-06,2823
2024-02-07,5914
2024-02-08,4571
2024-02-09,5455
2024-02-10,4158
2024-02-11,2536
2024-02-12,2831
2024-02-13,4833
2024-02-14,2954
2024-02-15,2912
2024-02-16,3098
2024-02-17,2757
2024-02-18,1409
2024-02-19,1418
2024-02-20,2852
2024-02-21,1762
2024-02-22,2201
2024-02-23,2173
2024-02-24,1321
2024-02-25,1277
2024-02-26,3087
2024-02-27,4833
2024-02-28,3089
2024-02-29,2795
2024-03-01,2723
2024-03-02,1979
2024-03-03,2028
2024-03-04,959
2024-03-05,1611
2024-03-06,3072
2024-03-07,2354
2024-03-08,3304
2024-03-09,1188
2024-03-10,1239
2024-03-11,1737
2024-03-12,769
2024-03-13,1936
2024-03-14,3013
2024-03-15,4176
2024-03-16,1713
2024-03-17,2094
2024-03-18,2194
2024-03-19,2392
2024-03-20,5005
2024-03-21,4021
2024-03-22,1707
2024-03-23,1115
2024-03-24,659
2024-03-25,2126
2024-03-26,3459
2024-03-27,5677
2024-03-28,2843
2024-03-29,2976
2024-03-30,1979
2024-03-31,1460
2024-04-01,1870
2024-04-02,2367
2024-04-03,3418
2024-04-04,1939
2024-04-05,1210
2024-04-06,1589
2024-04-07,1619
2024-04-08,1711
2024-04-09,3323
2024-04-10,2927
2024-04-11,4406
2024-04-12,2645
2024-04-13,1587
2024-04-14,1985
2024-04-15,3104
2024-04-16,947
2024-04-17,1526
2024-04-18,729
2024-04-19,1324
2024-04-20,1337
2024-04-21,1208
2024-04-22,1800
2024-04-23,1048
2024-04-24,1374
2024-04-25,1274
2024-04-26,1353
2024-04-27,1468
2024-04-28,679
2024-04-29,1289
2024-04-30,439
2024-05-01,310
2024-05-02,387
2024-05-03,767
2024-05-04,483
2024-05-05,846
2024-05-06,456
2024-05-07,1506
2024-05-08,1001
2024-05-09,990
2024-05-10,780
2024-05-11,370
2024-05-12,1011
2024-05-13,477
2024-05-14,1241
2024-05-15,1294
2024-05-16,744
2024-05-17,612
2024-05-18,531
2024-05-19,897
2024-05-20,3343
2024-05-21,3515
2024-05-22,512
2024-05-23,797
2024-05-24,610
2024-05-25,310
2024-05-26,376
2024-05-27,661
2024-05-28,4679
2024-05-29,3865
2024-05-30,2228
2024-05-31,3264
2024-06-01,1372
2024-06-02,2197
2024-06-03,2417
2024-06-04,2798
2024-06-05,2662
2024-06-06,1491
2024-06-07,2031
2024-06-08,1707
2024-06-09,2546
2024-06-10,1321
2024-06-11,2350
2024-06-12,1604
2024-06-13,2950
2024-06-14,2030
2024-06-15,451
2024-06-16,901
2024-06-17,2283
2024-06-18,643
2024-06-19,2789
2024-06-20,2198
2024-06-21,1699
2024-06-22,1726
2024-06-23,1348
2024-06-24,1254
2024-06-25,2388
2024-06-26,1010
2024-06-27,2477
2024-06-28,1131
2024-06-29,314
2024-06-30,370
2024-07-01,1054
2024-07-02,1189
2024-07-03,2215
2024-07-04,942
2024-07-05,1226
2024-07-06,251
2024-07-07,516
2024-07-08,892
2024-07-09,1130
2024-07-10,1514
2024-07-11,2611
2024-07-12,1711
2024-07-13,800
2024-07-14,182
2024-07-15,1521
2024-07-16,1255
2024-07-17,1866
2024-07-18,1252
2024-07-19,2913
2024-07-20,4068
2024-07-21,1432
2024-07-22,978
2024-07-23,1980
2024-07-24,1771
2024-07-25,942
2024-07-26,2192
2024-07-27,1609
2024-07-28,1015
2024-07-29,2996
2024-07-30,4119
2024-07-31,1638
2024-08-01,1958
2024-08-02,479
2024-08-03,224
2024-08-04,190
2024-08-05,813
2024-08-06,761
2024-08-07,1404
2024-08-08,975
2024-08-09,1364
2024-08-10,435
2024-08-11,377
2024-08-12,1553
2024-08-13,2419
2024-08-14,987
2024-08-15,2973
2024-08-16,1322
2024-08-17,424
2024-08-18,296
2024-08-19,2108
2024-08-20,783
2024-08-21,705
2024-08-22,547
2024-08-23,853
2024-08-24,521
2024-08-25,482
2024-08-26,1805
2024-08-27,1577
2024-08-28,2775
2024-08-29,1934
2024-08-30,1720
2024-08-31,1082
2024-09-01,526
2024-09-02,842
2024-09-03,2624
2024-09-04,1041
2024-09-05,867
2024-09-06,664
2024-09-07,528
2024-09-08,604
2024-09-09,737
2024-09-10,337
2024-09-11,3014
2024-09-12,923
2024-09-13,2962
2024-09-14,197
2024-09-15,617
2024-09-16,790
2024-09-17,421
2024-09-18,610
2024-09-19,330
2024-09-20,978
2024-09-21,371
2024-09-22,391
2024-09-23,848
2024-09-24,1620
2024-09-25,1651
2024-09-26,900
2024-09-27,2107
2024-09-28,319
2024-09-29,422
2024-09-30,1143
2024-10-01,1367
2024-10-02,2251
2024-10-03,2045
2024-10-04,1877
2024-10-05,1325
2024-10-06,574
2024-10-07,1616
2024-10-08,732
2024-10-09,314
2024-10-10,591
2024-10-11,1117
2024-10-12,1324
2024-10-13,407
2024-10-14,1012
2024-10-15,1788
2024-10-16,1285
2024-10-17,1577
2024-10-18,1690
2024-10-19,337
2024-10-20,846
2024-10-21,1574
2024-10-22,2638
2024-10-23,1187
2024-10-24,1746
2024-10-25,1279
2024-10-26,2124
2024-10-27,1016
2024-10-28,1873
2024-10-29,3971
2024-10-30,4811
2024-10-31,2156
2024-11-01,1097
2024-11-02,231
2024-11-03,1093
2024-11-04,934
2024-11-05,1514
2024-11-06,1447
2024-11-07,2794
2024-11-08,1387
2024-11-09,867
2024-11-10,633
2024-11-11,862
2024-11-12,1065
2024-11-13,909
2024-11-14,1520
2024-11-15,952
2024-11-16,528
2024-11-17,337
2024-11-18,893
2024-11-19,1271
2024-11-20,863
2024-11-21,689
2024-11-22,3850
2024-11-23,3497
2024-11-24,1996
2024-11-25,1439
2024-11-26,1288
