date,Number of Unique Depositors
2022-08-09,413522
2022-08-10,413719
2022-08-11,414333
2022-08-12,415456
2022-08-13,415597
2022-08-14,415785
2022-08-15,415890
2022-08-16,416242
2022-08-17,416401
2022-08-18,416574
2022-08-19,416657
2022-08-20,416763
2022-08-21,416853
2022-08-22,416981
2022-08-23,417392
2022-08-24,417773
2022-08-25,417863
2022-08-26,418179
2022-08-27,418252
2022-08-28,418328
2022-08-29,418531
2022-08-30,418904
2022-08-31,419024
2022-09-01,422019
2022-09-02,422186
2022-09-03,422364
2022-09-04,422449
2022-09-05,422560
2022-09-06,423002
2022-09-07,424841
2022-09-08,425354
2022-09-09,425920
2022-09-10,426080
2022-09-11,426334
2022-09-12,428046
2022-09-13,428291
2022-09-14,428438
2022-09-15,429396
2022-09-16,430041
2022-09-17,430615
2022-09-18,431139
2022-09-19,431683
2022-09-20,432362
2022-09-21,432857
2022-09-22,434630
2022-09-23,435230
2022-09-24,435699
2022-09-25,436087
2022-09-26,436865
2022-09-27,437887
2022-09-28,438426
2022-09-29,439065
2022-09-30,439811
2022-10-01,440189
2022-10-02,440474
2022-10-03,440855
2022-10-04,441132
2022-10-05,441538
2022-10-06,441950
2022-10-07,442535
2022-10-08,442685
2022-10-09,443044
2022-10-10,443326
2022-10-11,443548
2022-10-12,444312
2022-10-13,444634
2022-10-14,444889
2022-10-15,445159
2022-10-16,445435
2022-10-17,445875
2022-10-18,447352
2022-10-19,448324
2022-10-20,448795
2022-10-21,449684
2022-10-22,450111
2022-10-23,450424
2022-10-24,450773
2022-10-25,452234
2022-10-26,453185
2022-10-27,454544
2022-10-28,455213
2022-10-29,456581
2022-10-30,457788
2022-10-31,458512
2022-11-01,459455
2022-11-02,460110
2022-11-03,460862
2022-11-04,461342
2022-11-05,461839
2022-11-06,462168
2022-11-07,462469
2022-11-08,463148
2022-11-09,463821
2022-11-10,464636
2022-11-11,466220
2022-11-12,466610
2022-11-13,467671
2022-11-14,468685
2022-11-15,469511
2022-11-16,470012
2022-11-17,470887
2022-11-18,472018
2022-11-19,472665
2022-11-20,473497
2022-11-21,474517
2022-11-22,477760
2022-11-23,478659
2022-11-24,479189
2022-11-25,480146
2022-11-26,480449
2022-11-27,480635
2022-11-28,481016
2022-11-29,482145
2022-11-30,482566
2022-12-01,483923
2022-12-02,484574
2022-12-03,484777
2022-12-04,485053
2022-12-05,485432
2022-12-06,485925
2022-12-07,486238
2022-12-08,486631
2022-12-09,487459
2022-12-10,487910
2022-12-11,488172
2022-12-12,488473
2022-12-13,488847
2022-12-14,489148
2022-12-15,489442
2022-12-16,490012
2022-12-17,490435
2022-12-18,490720
2022-12-19,491175
2022-12-20,491391
2022-12-21,491795
2022-12-22,492081
2022-12-23,492446
2022-12-24,492583
2022-12-25,492691
2022-12-26,493045
2022-12-27,493976
2022-12-28,494159
2022-12-29,494617
2022-12-30,494989
2022-12-31,495257
2023-01-01,495452
2023-01-02,495727
2023-01-03,495926
2023-01-04,496378
2023-01-05,496729
2023-01-06,497561
2023-01-07,497949
2023-01-08,498203
2023-01-09,498590
2023-01-10,499029
2023-01-11,499886
2023-01-12,500233
2023-01-13,500676
2023-01-14,501155
2023-01-15,501671
2023-01-16,502133
2023-01-17,502498
2023-01-18,502845
2023-01-19,503930
2023-01-20,504254
2023-01-21,504658
