Datetime,Number of ETH 2.0 Deposits
2026-01-03T00:00:00Z,626
2026-01-02T00:00:00Z,1671
2026-01-01T00:00:00Z,1620
2025-12-31T00:00:00Z,1803
2025-12-30T00:00:00Z,869
2025-12-29T00:00:00Z,5181
2025-12-28T00:00:00Z,652
2025-12-27T00:00:00Z,362
2025-12-26T00:00:00Z,465
2025-12-25T00:00:00Z,463
2025-12-24T00:00:00Z,1222
2025-12-23T00:00:00Z,430
2025-12-22T00:00:00Z,969
2025-12-21T00:00:00Z,554
2025-12-20T00:00:00Z,639
2025-12-19T00:00:00Z,415
2025-12-18T00:00:00Z,476
2025-12-17T00:00:00Z,417
2025-12-16T00:00:00Z,526
2025-12-15T00:00:00Z,747
2025-12-14T00:00:00Z,285
2025-12-13T00:00:00Z,375
2025-12-12T00:00:00Z,559
2025-12-11T00:00:00Z,1138
2025-12-10T00:00:00Z,1430
2025-12-09T00:00:00Z,2032
2025-12-08T00:00:00Z,1037
2025-12-07T00:00:00Z,375
2025-12-06T00:00:00Z,1165
2025-12-05T00:00:00Z,1244
2025-12-04T00:00:00Z,333
2025-12-03T00:00:00Z,514
2025-12-02T00:00:00Z,1524
2025-12-01T00:00:00Z,1047
2025-11-30T00:00:00Z,212
2025-11-29T00:00:00Z,522
2025-11-28T00:00:00Z,206
2025-11-27T00:00:00Z,380
2025-11-26T00:00:00Z,381
2025-11-25T00:00:00Z,246
2025-11-24T00:00:00Z,405
2025-11-23T00:00:00Z,197
2025-11-22T00:00:00Z,943
2025-11-21T00:00:00Z,660
2025-11-20T00:00:00Z,434
2025-11-19T00:00:00Z,347
2025-11-18T00:00:00Z,599
2025-11-17T00:00:00Z,709
2025-11-16T00:00:00Z,254
2025-11-15T00:00:00Z,388
2025-11-14T00:00:00Z,786
2025-11-13T00:00:00Z,359
2025-11-12T00:00:00Z,470
2025-11-11T00:00:00Z,745
2025-11-10T00:00:00Z,187
2025-11-09T00:00:00Z,148
2025-11-08T00:00:00Z,139
2025-11-07T00:00:00Z,306
2025-11-06T00:00:00Z,415
2025-11-05T00:00:00Z,1895
2025-11-04T00:00:00Z,392
2025-11-03T00:00:00Z,649
2025-11-02T00:00:00Z,1088
2025-11-01T00:00:00Z,743
2025-10-31T00:00:00Z,4005
2025-10-30T00:00:00Z,4656
2025-10-29T00:00:00Z,1242
2025-10-28T00:00:00Z,1166
2025-10-27T00:00:00Z,1403
2025-10-26T00:00:00Z,364
2025-10-25T00:00:00Z,280
2025-10-24T00:00:00Z,3761
2025-10-23T00:00:00Z,446
2025-10-22T00:00:00Z,933
2025-10-21T00:00:00Z,995
2025-10-20T00:00:00Z,1180
2025-10-19T00:00:00Z,179
2025-10-18T00:00:00Z,345
2025-10-17T00:00:00Z,1298
2025-10-16T00:00:00Z,2357
2025-10-15T00:00:00Z,651
2025-10-14T00:00:00Z,1219
2025-10-13T00:00:00Z,1363
2025-10-12T00:00:00Z,1582
2025-10-11T00:00:00Z,980
2025-10-10T00:00:00Z,2281
2025-10-09T00:00:00Z,1016
2025-10-08T00:00:00Z,3467
2025-10-07T00:00:00Z,1724
2025-10-06T00:00:00Z,1937
2025-10-05T00:00:00Z,414
2025-10-04T00:00:00Z,249
2025-10-03T00:00:00Z,2117
2025-10-02T00:00:00Z,1365
2025-10-01T00:00:00Z,777
2025-09-30T00:00:00Z,1105
2025-09-29T00:00:00Z,1909
2025-09-28T00:00:00Z,2585
2025-09-27T00:00:00Z,227
2025-09-26T00:00:00Z,1509
2025-09-25T00:00:00Z,376
2025-09-24T00:00:00Z,1731
2025-09-23T00:00:00Z,734
2025-09-22T00:00:00Z,317
2025-09-21T00:00:00Z,383
2025-09-20T00:00:00Z,397
2025-09-19T00:00:00Z,477
2025-09-18T00:00:00Z,491
2025-09-17T00:00:00Z,251
2025-09-16T00:00:00Z,547
2025-09-15T00:00:00Z,313
2025-09-14T00:00:00Z,141
2025-09-13T00:00:00Z,242
2025-09-12T00:00:00Z,272
2025-09-11T00:00:00Z,358
2025-09-10T00:00:00Z,278
2025-09-09T00:00:00Z,2356
2025-09-08T00:00:00Z,355
2025-09-07T00:00:00Z,390
2025-09-06T00:00:00Z,293
2025-09-05T00:00:00Z,422
2025-09-04T00:00:00Z,671
2025-09-03T00:00:00Z,951
2025-09-02T00:00:00Z,393
2025-09-01T00:00:00Z,558
2025-08-31T00:00:00Z,275
2025-08-30T00:00:00Z,383
2025-08-29T00:00:00Z,2214
2025-08-28T00:00:00Z,1311
2025-08-27T00:00:00Z,831
2025-08-26T00:00:00Z,629
2025-08-25T00:00:00Z,535
2025-08-24T00:00:00Z,1230
2025-08-23T00:00:00Z,405
2025-08-22T00:00:00Z,647
2025-08-21T00:00:00Z,1854
2025-08-20T00:00:00Z,720
2025-08-19T00:00:00Z,1023
2025-08-18T00:00:00Z,2211
2025-08-17T00:00:00Z,509
2025-08-16T00:00:00Z,235
2025-08-15T00:00:00Z,3351
2025-08-14T00:00:00Z,5291
2025-08-13T00:00:00Z,3639
2025-08-12T00:00:00Z,2816
2025-08-11T00:00:00Z,1530
2025-08-10T00:00:00Z,1485
2025-08-09T00:00:00Z,371
2025-08-08T00:00:00Z,2025
2025-08-07T00:00:00Z,867
2025-08-06T00:00:00Z,502
2025-08-05T00:00:00Z,635
2025-08-04T00:00:00Z,1016
2025-08-03T00:00:00Z,2251
2025-08-02T00:00:00Z,253
2025-08-01T00:00:00Z,1159
2025-07-31T00:00:00Z,1550
2025-07-30T00:00:00Z,441
2025-07-29T00:00:00Z,1090
2025-07-28T00:00:00Z,566
2025-07-27T00:00:00Z,2770
2025-07-26T00:00:00Z,272
2025-07-25T00:00:00Z,353
2025-07-24T00:00:00Z,735
2025-07-23T00:00:00Z,523
2025-07-22T00:00:00Z,864
2025-07-21T00:00:00Z,935
2025-07-20T00:00:00Z,594
2025-07-19T00:00:00Z,658
2025-07-18T00:00:00Z,1820
2025-07-17T00:00:00Z,1771
2025-07-16T00:00:00Z,2527
2025-07-15T00:00:00Z,2052
2025-07-14T00:00:00Z,1642
2025-07-13T00:00:00Z,493
2025-07-12T00:00:00Z,1146
2025-07-11T00:00:00Z,2944
2025-07-10T00:00:00Z,1785
2025-07-09T00:00:00Z,3434
2025-07-08T00:00:00Z,3801
2025-07-07T00:00:00Z,6429
2025-07-06T00:00:00Z,371
2025-07-05T00:00:00Z,1175
2025-07-04T00:00:00Z,2791
2025-07-03T00:00:00Z,1000
2025-07-02T00:00:00Z,1292
2025-07-01T00:00:00Z,1937
2025-06-30T00:00:00Z,630
2025-06-29T00:00:00Z,1094
2025-06-28T00:00:00Z,977
2025-06-27T00:00:00Z,544
2025-06-26T00:00:00Z,449
2025-06-25T00:00:00Z,739
2025-06-24T00:00:00Z,865
2025-06-23T00:00:00Z,1467
2025-06-22T00:00:00Z,1470
2025-06-21T00:00:00Z,3225
2025-06-20T00:00:00Z,1465
2025-06-19T00:00:00Z,1155
2025-06-18T00:00:00Z,1138
2025-06-17T00:00:00Z,2576
2025-06-16T00:00:00Z,3655
2025-06-15T00:00:00Z,610
2025-06-14T00:00:00Z,2201
2025-06-13T00:00:00Z,3946
2025-06-12T00:00:00Z,627
2025-06-11T00:00:00Z,1759
2025-06-10T00:00:00Z,2619
2025-06-09T00:00:00Z,2396
2025-06-08T00:00:00Z,650
2025-06-07T00:00:00Z,2727
2025-06-06T00:00:00Z,1221
2025-06-05T00:00:00Z,1685
2025-06-04T00:00:00Z,4511
2025-06-03T00:00:00Z,2806
2025-06-02T00:00:00Z,6970
2025-06-01T00:00:00Z,2430
2025-05-31T00:00:00Z,2251
2025-05-30T00:00:00Z,2898
2025-05-29T00:00:00Z,2422
2025-05-28T00:00:00Z,2955
2025-05-27T00:00:00Z,2470
2025-05-26T00:00:00Z,977
2025-05-25T00:00:00Z,332
2025-05-24T00:00:00Z,963
2025-05-23T00:00:00Z,1900
2025-05-22T00:00:00Z,2969
2025-05-21T00:00:00Z,2386
2025-05-20T00:00:00Z,1852
2025-05-19T00:00:00Z,1688
2025-05-18T00:00:00Z,1445
2025-05-17T00:00:00Z,877
2025-05-16T00:00:00Z,1763
2025-05-15T00:00:00Z,949
2025-05-14T00:00:00Z,1340
2025-05-13T00:00:00Z,1393
2025-05-12T00:00:00Z,4195
2025-05-11T00:00:00Z,1657
2025-05-10T00:00:00Z,1578
2025-05-09T00:00:00Z,1971
2025-05-08T00:00:00Z,1818
2025-05-07T00:00:00Z,830
2025-05-06T00:00:00Z,4052
2025-05-05T00:00:00Z,1508
2025-05-04T00:00:00Z,428
2025-05-03T00:00:00Z,371
2025-05-02T00:00:00Z,960
2025-05-01T00:00:00Z,1948
2025-04-30T00:00:00Z,851
2025-04-29T00:00:00Z,429
2025-04-28T00:00:00Z,908
2025-04-27T00:00:00Z,380
2025-04-26T00:00:00Z,518
2025-04-25T00:00:00Z,833
2025-04-24T00:00:00Z,810
2025-04-23T00:00:00Z,1253
2025-04-22T00:00:00Z,4077
2025-04-21T00:00:00Z,535
2025-04-20T00:00:00Z,527
2025-04-19T00:00:00Z,556
2025-04-18T00:00:00Z,1024
2025-04-17T00:00:00Z,3255
2025-04-16T00:00:00Z,2450
2025-04-15T00:00:00Z,1430
2025-04-14T00:00:00Z,2212
2025-04-13T00:00:00Z,387
2025-04-12T00:00:00Z,489
2025-04-11T00:00:00Z,852
2025-04-10T00:00:00Z,5931
2025-04-09T00:00:00Z,1386
2025-04-08T00:00:00Z,1520
2025-04-07T00:00:00Z,975
2025-04-06T00:00:00Z,480
2025-04-05T00:00:00Z,411
2025-04-04T00:00:00Z,901
2025-04-03T00:00:00Z,835
2025-04-02T00:00:00Z,3118
2025-04-01T00:00:00Z,1024
2025-03-31T00:00:00Z,1294
2025-03-30T00:00:00Z,460
2025-03-29T00:00:00Z,920
2025-03-28T00:00:00Z,1860
2025-03-27T00:00:00Z,2530
2025-03-26T00:00:00Z,2315
2025-03-25T00:00:00Z,3221
2025-03-24T00:00:00Z,3317
2025-03-23T00:00:00Z,3158
2025-03-22T00:00:00Z,1615
2025-03-21T00:00:00Z,2459
2025-03-20T00:00:00Z,3207
2025-03-19T00:00:00Z,3662
2025-03-18T00:00:00Z,3080
2025-03-17T00:00:00Z,3594
2025-03-16T00:00:00Z,559
2025-03-15T00:00:00Z,414
2025-03-14T00:00:00Z,1135
2025-03-13T00:00:00Z,2904
2025-03-12T00:00:00Z,1988
2025-03-11T00:00:00Z,1528
2025-03-10T00:00:00Z,2053
2025-03-09T00:00:00Z,1490
2025-03-08T00:00:00Z,450
2025-03-07T00:00:00Z,1078
2025-03-06T00:00:00Z,2108
2025-03-05T00:00:00Z,1873
2025-03-04T00:00:00Z,5135
2025-03-03T00:00:00Z,1444
2025-03-02T00:00:00Z,326
2025-03-01T00:00:00Z,728
2025-02-28T00:00:00Z,1136
2025-02-27T00:00:00Z,779
2025-02-26T00:00:00Z,954
2025-02-25T00:00:00Z,1656
2025-02-24T00:00:00Z,996
2025-02-23T00:00:00Z,853
2025-02-22T00:00:00Z,1489
2025-02-21T00:00:00Z,1770
2025-02-20T00:00:00Z,2510
2025-02-19T00:00:00Z,1471
2025-02-18T00:00:00Z,1741
2025-02-17T00:00:00Z,1333
2025-02-16T00:00:00Z,1142
2025-02-15T00:00:00Z,1295
2025-02-14T00:00:00Z,1798
2025-02-13T00:00:00Z,1694
2025-02-12T00:00:00Z,1038
2025-02-11T00:00:00Z,2271
2025-02-10T00:00:00Z,582
2025-02-09T00:00:00Z,221
2025-02-08T00:00:00Z,1056
2025-02-07T00:00:00Z,998
2025-02-06T00:00:00Z,1264
2025-02-05T00:00:00Z,1775
2025-02-04T00:00:00Z,2265
2025-02-03T00:00:00Z,1670
2025-02-02T00:00:00Z,1480
2025-02-01T00:00:00Z,950
2025-01-31T00:00:00Z,2053
2025-01-30T00:00:00Z,2108
2025-01-29T00:00:00Z,804
2025-01-28T00:00:00Z,2904
2025-01-27T00:00:00Z,2105
2025-01-26T00:00:00Z,644
2025-01-25T00:00:00Z,1712
2025-01-24T00:00:00Z,1794
2025-01-23T00:00:00Z,964
2025-01-22T00:00:00Z,1198
2025-01-21T00:00:00Z,3281
2025-01-20T00:00:00Z,1281
2025-01-19T00:00:00Z,2124
2025-01-18T00:00:00Z,1469
2025-01-17T00:00:00Z,1138
2025-01-16T00:00:00Z,679
2025-01-15T00:00:00Z,1636
2025-01-14T00:00:00Z,1377
2025-01-13T00:00:00Z,3233
2025-01-12T00:00:00Z,733
2025-01-11T00:00:00Z,572
2025-01-10T00:00:00Z,1634
2025-01-09T00:00:00Z,2616
2025-01-08T00:00:00Z,3971
2025-01-07T00:00:00Z,1516
2025-01-06T00:00:00Z,837
2025-01-05T00:00:00Z,1275
2025-01-04T00:00:00Z,649
2025-01-03T00:00:00Z,1434
2025-01-02T00:00:00Z,677
2025-01-01T00:00:00Z,522
2024-12-31T00:00:00Z,3129
2024-12-30T00:00:00Z,1149
2024-12-29T00:00:00Z,579
2024-12-28T00:00:00Z,405
2024-12-27T00:00:00Z,704
2024-12-26T00:00:00Z,1125
2024-12-25T00:00:00Z,3190
2024-12-24T00:00:00Z,2438
2024-12-23T00:00:00Z,2330
2024-12-22T00:00:00Z,1417
2024-12-21T00:00:00Z,881
2024-12-20T00:00:00Z,933
2024-12-19T00:00:00Z,1137
2024-12-18T00:00:00Z,3693
2024-12-17T00:00:00Z,2199
2024-12-16T00:00:00Z,631
2024-12-15T00:00:00Z,350
2024-12-14T00:00:00Z,522
2024-12-13T00:00:00Z,1358
2024-12-12T00:00:00Z,697
2024-12-11T00:00:00Z,1454
2024-12-10T00:00:00Z,600
2024-12-09T00:00:00Z,422
2024-12-08T00:00:00Z,369
2024-12-07T00:00:00Z,704
2024-12-06T00:00:00Z,1246
2024-12-05T00:00:00Z,1332
2024-12-04T00:00:00Z,2751
2024-12-03T00:00:00Z,1223
2024-12-02T00:00:00Z,2560
2024-12-01T00:00:00Z,1079
2024-11-30T00:00:00Z,1854
2024-11-29T00:00:00Z,1679
2024-11-28T00:00:00Z,2078
2024-11-27T00:00:00Z,2461
2024-11-26T00:00:00Z,1288
2024-11-25T00:00:00Z,1439
2024-11-24T00:00:00Z,1996
2024-11-23T00:00:00Z,3497
2024-11-22T00:00:00Z,3850
2024-11-21T00:00:00Z,689
2024-11-20T00:00:00Z,863
2024-11-19T00:00:00Z,1271
2024-11-18T00:00:00Z,893
2024-11-17T00:00:00Z,337
2024-11-16T00:00:00Z,528
2024-11-15T00:00:00Z,952
2024-11-14T00:00:00Z,1520
2024-11-13T00:00:00Z,909
2024-11-12T00:00:00Z,1065
2024-11-11T00:00:00Z,862
2024-11-10T00:00:00Z,633
2024-11-09T00:00:00Z,867
2024-11-08T00:00:00Z,1387
2024-11-07T00:00:00Z,2794
2024-11-06T00:00:00Z,1447
2024-11-05T00:00:00Z,1514
2024-11-04T00:00:00Z,934
2024-11-03T00:00:00Z,1093
2024-11-02T00:00:00Z,231
2024-11-01T00:00:00Z,1097
2024-10-31T00:00:00Z,2156
2024-10-30T00:00:00Z,4811
2024-10-29T00:00:00Z,3971
2024-10-28T00:00:00Z,1873
2024-10-27T00:00:00Z,1016
2024-10-26T00:00:00Z,2124
2024-10-25T00:00:00Z,1279
2024-10-24T00:00:00Z,1746
2024-10-23T00:00:00Z,1187
2024-10-22T00:00:00Z,2638
2024-10-21T00:00:00Z,1574
2024-10-20T00:00:00Z,846
2024-10-19T00:00:00Z,337
2024-10-18T00:00:00Z,1690
2024-10-17T00:00:00Z,1577
2024-10-16T00:00:00Z,1285
2024-10-15T00:00:00Z,1788
2024-10-14T00:00:00Z,1012
2024-10-13T00:00:00Z,407
2024-10-12T00:00:00Z,1324
2024-10-11T00:00:00Z,1117
2024-10-10T00:00:00Z,591
2024-10-09T00:00:00Z,314
2024-10-08T00:00:00Z,732
2024-10-07T00:00:00Z,1616
2024-10-06T00:00:00Z,574
2024-10-05T00:00:00Z,1325
2024-10-04T00:00:00Z,1877
2024-10-03T00:00:00Z,2045
2024-10-02T00:00:00Z,2251
2024-10-01T00:00:00Z,1367
2024-09-30T00:00:00Z,1143
2024-09-29T00:00:00Z,422
2024-09-28T00:00:00Z,319
2024-09-27T00:00:00Z,2107
2024-09-26T00:00:00Z,900
2024-09-25T00:00:00Z,1651
2024-09-24T00:00:00Z,1620
2024-09-23T00:00:00Z,848
2024-09-22T00:00:00Z,391
2024-09-21T00:00:00Z,371
2024-09-20T00:00:00Z,978
2024-09-19T00:00:00Z,330
2024-09-18T00:00:00Z,610
2024-09-17T00:00:00Z,421
2024-09-16T00:00:00Z,790
2024-09-15T00:00:00Z,617
2024-09-14T00:00:00Z,197
2024-09-13T00:00:00Z,2962
2024-09-12T00:00:00Z,923
2024-09-11T00:00:00Z,3014
2024-09-10T00:00:00Z,337
2024-09-09T00:00:00Z,737
2024-09-08T00:00:00Z,604
2024-09-07T00:00:00Z,528
2024-09-06T00:00:00Z,664
2024-09-05T00:00:00Z,867
2024-09-04T00:00:00Z,1041
2024-09-03T00:00:00Z,2624
2024-09-02T00:00:00Z,842
2024-09-01T00:00:00Z,526
2024-08-31T00:00:00Z,1082
2024-08-30T00:00:00Z,1720
2024-08-29T00:00:00Z,1934
2024-08-28T00:00:00Z,2775
2024-08-27T00:00:00Z,1577
2024-08-26T00:00:00Z,1805
2024-08-25T00:00:00Z,482
2024-08-24T00:00:00Z,521
2024-08-23T00:00:00Z,853
2024-08-22T00:00:00Z,547
2024-08-21T00:00:00Z,705
2024-08-20T00:00:00Z,783
2024-08-19T00:00:00Z,2108
2024-08-18T00:00:00Z,296
2024-08-17T00:00:00Z,424
2024-08-16T00:00:00Z,1322
2024-08-15T00:00:00Z,2973
2024-08-14T00:00:00Z,987
2024-08-13T00:00:00Z,2419
2024-08-12T00:00:00Z,1553
2024-08-11T00:00:00Z,377
2024-08-10T00:00:00Z,435
2024-08-09T00:00:00Z,1364
2024-08-08T00:00:00Z,975
2024-08-07T00:00:00Z,1404
2024-08-06T00:00:00Z,761
2024-08-05T00:00:00Z,813
2024-08-04T00:00:00Z,190
2024-08-03T00:00:00Z,224
2024-08-02T00:00:00Z,479
2024-08-01T00:00:00Z,1958
2024-07-31T00:00:00Z,1638
2024-07-30T00:00:00Z,4119
2024-07-29T00:00:00Z,2996
2024-07-28T00:00:00Z,1015
2024-07-27T00:00:00Z,1609
2024-07-26T00:00:00Z,2192
2024-07-25T00:00:00Z,942
2024-07-24T00:00:00Z,1771
2024-07-23T00:00:00Z,1980
2024-07-22T00:00:00Z,978
2024-07-21T00:00:00Z,1432
2024-07-20T00:00:00Z,4068
2024-07-19T00:00:00Z,2913
2024-07-18T00:00:00Z,1252
2024-07-17T00:00:00Z,1866
2024-07-16T00:00:00Z,1255
2024-07-15T00:00:00Z,1521
2024-07-14T00:00:00Z,182
2024-07-13T00:00:00Z,800
2024-07-12T00:00:00Z,1711
2024-07-11T00:00:00Z,2611
2024-07-10T00:00:00Z,1514
2024-07-09T00:00:00Z,1130
2024-07-08T00:00:00Z,892
2024-07-07T00:00:00Z,516
2024-07-06T00:00:00Z,251
2024-07-05T00:00:00Z,1226
2024-07-04T00:00:00Z,942
2024-07-03T00:00:00Z,2215
2024-07-02T00:00:00Z,1189
2024-07-01T00:00:00Z,1054
2024-06-30T00:00:00Z,370
2024-06-29T00:00:00Z,314
2024-06-28T00:00:00Z,1131
2024-06-27T00:00:00Z,2477
2024-06-26T00:00:00Z,1010
2024-06-25T00:00:00Z,2388
2024-06-24T00:00:00Z,1254
2024-06-23T00:00:00Z,1348
2024-06-22T00:00:00Z,1726
2024-06-21T00:00:00Z,1699
2024-06-20T00:00:00Z,2198
2024-06-19T00:00:00Z,2789
2024-06-18T00:00:00Z,643
2024-06-17T00:00:00Z,2283
2024-06-16T00:00:00Z,901
2024-06-15T00:00:00Z,451
2024-06-14T00:00:00Z,2030
2024-06-13T00:00:00Z,2950
2024-06-12T00:00:00Z,1604
2024-06-11T00:00:00Z,2350
2024-06-10T00:00:00Z,1321
2024-06-09T00:00:00Z,2546
2024-06-08T00:00:00Z,1707
2024-06-07T00:00:00Z,2031
2024-06-06T00:00:00Z,1491
2024-06-05T00:00:00Z,2662
2024-06-04T00:00:00Z,2798
2024-06-03T00:00:00Z,2417
2024-06-02T00:00:00Z,2197
2024-06-01T00:00:00Z,1372
2024-05-31T00:00:00Z,3264
2024-05-30T00:00:00Z,2228
2024-05-29T00:00:00Z,3865
2024-05-28T00:00:00Z,4679
2024-05-27T00:00:00Z,661
2024-05-26T00:00:00Z,376
2024-05-25T00:00:00Z,310
2024-05-24T00:00:00Z,610
2024-05-23T00:00:00Z,797
2024-05-22T00:00:00Z,512
2024-05-21T00:00:00Z,3515
2024-05-20T00:00:00Z,3343
2024-05-19T00:00:00Z,897
2024-05-18T00:00:00Z,531
2024-05-17T00:00:00Z,612
2024-05-16T00:00:00Z,744
2024-05-15T00:00:00Z,1294
2024-05-14T00:00:00Z,1241
2024-05-13T00:00:00Z,477
2024-05-12T00:00:00Z,1011
2024-05-11T00:00:00Z,370
2024-05-10T00:00:00Z,780
2024-05-09T00:00:00Z,990
2024-05-08T00:00:00Z,1001
2024-05-07T00:00:00Z,1506
2024-05-06T00:00:00Z,456
2024-05-05T00:00:00Z,846
2024-05-04T00:00:00Z,483
2024-05-03T00:00:00Z,767
2024-05-02T00:00:00Z,387
2024-05-01T00:00:00Z,310
2024-04-30T00:00:00Z,439
2024-04-29T00:00:00Z,1289
2024-04-28T00:00:00Z,679
2024-04-27T00:00:00Z,1468
2024-04-26T00:00:00Z,1353
2024-04-25T00:00:00Z,1274
2024-04-24T00:00:00Z,1374
2024-04-23T00:00:00Z,1048
2024-04-22T00:00:00Z,1800
2024-04-21T00:00:00Z,1208
2024-04-20T00:00:00Z,1337
2024-04-19T00:00:00Z,1324
2024-04-18T00:00:00Z,729
2024-04-17T00:00:00Z,1526
2024-04-16T00:00:00Z,947
2024-04-15T00:00:00Z,3104
2024-04-14T00:00:00Z,1985
2024-04-13T00:00:00Z,1587
2024-04-12T00:00:00Z,2645
2024-04-11T00:00:00Z,4406
2024-04-10T00:00:00Z,2927
2024-04-09T00:00:00Z,3323
2024-04-08T00:00:00Z,1711
2024-04-07T00:00:00Z,1619
2024-04-06T00:00:00Z,1589
2024-04-05T00:00:00Z,1210
2024-04-04T00:00:00Z,1939
2024-04-03T00:00:00Z,3418
2024-04-02T00:00:00Z,2367
2024-04-01T00:00:00Z,1870
2024-03-31T00:00:00Z,1460
2024-03-30T00:00:00Z,1979
2024-03-29T00:00:00Z,2976
2024-03-28T00:00:00Z,2843
2024-03-27T00:00:00Z,5677
2024-03-26T00:00:00Z,3459
2024-03-25T00:00:00Z,2126
2024-03-24T00:00:00Z,659
2024-03-23T00:00:00Z,1115
2024-03-22T00:00:00Z,1707
2024-03-21T00:00:00Z,4021
2024-03-20T00:00:00Z,5005
2024-03-19T00:00:00Z,2392
2024-03-18T00:00:00Z,2194
2024-03-17T00:00:00Z,2094
2024-03-16T00:00:00Z,1713
2024-03-15T00:00:00Z,4176
2024-03-14T00:00:00Z,3013
2024-03-13T00:00:00Z,1936
2024-03-12T00:00:00Z,769
2024-03-11T00:00:00Z,1737
2024-03-10T00:00:00Z,1239
2024-03-09T00:00:00Z,1188
2024-03-08T00:00:00Z,3304
2024-03-07T00:00:00Z,2354
2024-03-06T00:00:00Z,3072
2024-03-05T00:00:00Z,1611
2024-03-04T00:00:00Z,959
2024-03-03T00:00:00Z,2028
2024-03-02T00:00:00Z,1979
2024-03-01T00:00:00Z,2723
2024-02-29T00:00:00Z,2795
2024-02-28T00:00:00Z,3089
2024-02-27T00:00:00Z,4833
2024-02-26T00:00:00Z,3087
2024-02-25T00:00:00Z,1277
2024-02-24T00:00:00Z,1321
2024-02-23T00:00:00Z,2173
2024-02-22T00:00:00Z,2201
2024-02-21T00:00:00Z,1762
2024-02-20T00:00:00Z,2852
2024-02-19T00:00:00Z,1418
2024-02-18T00:00:00Z,1409
2024-02-17T00:00:00Z,2757
2024-02-16T00:00:00Z,3098
2024-02-15T00:00:00Z,2912
2024-02-14T00:00:00Z,2954
2024-02-13T00:00:00Z,4833
2024-02-12T00:00:00Z,2831
2024-02-11T00:00:00Z,2536
2024-02-10T00:00:00Z,4158
2024-02-09T00:00:00Z,5455
2024-02-08T00:00:00Z,4571
2024-02-07T00:00:00Z,5914
2024-02-06T00:00:00Z,2823
2024-02-05T00:00:00Z,3171
2024-02-04T00:00:00Z,2119
2024-02-03T00:00:00Z,1359
