date,timestamp_utc,Fund Volume
2020-08-17,2020-08-17T00:00:00Z,146534
2020-08-18,2020-08-18T00:00:00Z,104727
2020-08-19,2020-08-19T00:00:00Z,443067
2020-08-20,2020-08-20T00:00:00Z,332634
2020-08-21,2020-08-21T00:00:00Z,221745
2020-08-24,2020-08-24T00:00:00Z,155039
2020-08-25,2020-08-25T00:00:00Z,156120
2020-08-26,2020-08-26T00:00:00Z,76241
2020-08-27,2020-08-27T00:00:00Z,113289
2020-08-28,2020-08-28T00:00:00Z,181735
2020-08-31,2020-08-31T00:00:00Z,359361
2020-09-01,2020-09-01T00:00:00Z,342335
2020-09-02,2020-09-02T00:00:00Z,217386
2020-09-03,2020-09-03T00:00:00Z,178755
2020-09-04,2020-09-04T00:00:00Z,144587
2020-09-08,2020-09-08T00:00:00Z,225311
2020-09-09,2020-09-09T00:00:00Z,146920
2020-09-10,2020-09-10T00:00:00Z,84055
2020-09-11,2020-09-11T00:00:00Z,59759
2020-09-14,2020-09-14T00:00:00Z,83488
2020-09-15,2020-09-15T00:00:00Z,104386
2020-09-16,2020-09-16T00:00:00Z,81808
2020-09-17,2020-09-17T00:00:00Z,87553
2020-09-18,2020-09-18T00:00:00Z,74451
2020-09-21,2020-09-21T00:00:00Z,100509
2020-09-22,2020-09-22T00:00:00Z,44389
2020-09-23,2020-09-23T00:00:00Z,58296
2020-09-24,2020-09-24T00:00:00Z,197841
2020-09-25,2020-09-25T00:00:00Z,133238
2020-09-28,2020-09-28T00:00:00Z,139950
2020-09-29,2020-09-29T00:00:00Z,136311
2020-09-30,2020-09-30T00:00:00Z,123652
2020-10-01,2020-10-01T00:00:00Z,162455
2020-10-02,2020-10-02T00:00:00Z,107653
2020-10-05,2020-10-05T00:00:00Z,47816
2020-10-06,2020-10-06T00:00:00Z,58817
2020-10-07,2020-10-07T00:00:00Z,63592
2020-10-08,2020-10-08T00:00:00Z,181208
2020-10-09,2020-10-09T00:00:00Z,191218
2020-10-12,2020-10-12T00:00:00Z,188614
2020-10-13,2020-10-13T00:00:00Z,144710
2020-10-14,2020-10-14T00:00:00Z,118327
2020-10-15,2020-10-15T00:00:00Z,75876
2020-10-16,2020-10-16T00:00:00Z,70906
2020-10-19,2020-10-19T00:00:00Z,96776
2020-10-20,2020-10-20T00:00:00Z,97113
2020-10-21,2020-10-21T00:00:00Z,191561
