date,timestamp_utc,Fund Holdings
2021-03-28,2021-03-28T00:00:00Z,3174841.336115
2021-03-29,2021-03-29T00:00:00Z,3174190.003265
2021-03-30,2021-03-30T00:00:00Z,3173972.892315
2021-03-31,2021-03-31T00:00:00Z,3173755.781365
2021-04-01,2021-04-01T00:00:00Z,3173535.56883
2021-04-02,2021-04-02T00:00:00Z,3173318.45788
2021-04-03,2021-04-03T00:00:00Z,3173318.45788
2021-04-04,2021-04-04T00:00:00Z,3173318.45788
2021-04-05,2021-04-05T00:00:00Z,3172667.12503
2021-04-06,2021-04-06T00:00:00Z,3172450.01408
2021-04-07,2021-04-07T00:00:00Z,3172232.90313
2021-04-08,2021-04-08T00:00:00Z,3172015.79218
2021-04-09,2021-04-09T00:00:00Z,3171798.68123
2021-04-10,2021-04-10T00:00:00Z,3171798.68123
2021-04-11,2021-04-11T00:00:00Z,3171798.68123
2021-04-12,2021-04-12T00:00:00Z,3171147.3483800003
2021-04-13,2021-04-13T00:00:00Z,3170930.23743
2021-04-14,2021-04-14T00:00:00Z,3170713.12648
2021-04-15,2021-04-15T00:00:00Z,3170496.0155300004
2021-04-16,2021-04-16T00:00:00Z,3170278.90458
2021-04-17,2021-04-17T00:00:00Z,3170278.90458
2021-04-18,2021-04-18T00:00:00Z,3170278.90458
2021-04-19,2021-04-19T00:00:00Z,3174624.84458
2021-04-20,2021-04-20T00:00:00Z,3178211.2408045004
2021-04-21,2021-04-21T00:00:00Z,3180094.5768545
2021-04-22,2021-04-22T00:00:00Z,3181210.1899045003
2021-04-23,2021-04-23T00:00:00Z,3182101.8199545
2021-04-24,2021-04-24T00:00:00Z,3182101.8199545
2021-04-25,2021-04-25T00:00:00Z,3182101.8199545
2021-04-26,2021-04-26T00:00:00Z,3181631.717263
2021-04-27,2021-04-27T00:00:00Z,3183270.225313
2021-04-28,2021-04-28T00:00:00Z,3185679.4945215
2021-04-29,2021-04-29T00:00:00Z,3187046.4665715
2021-04-30,2021-04-30T00:00:00Z,3187875.462778
2021-05-01,2021-05-01T00:00:00Z,3187875.462778
2021-05-02,2021-05-02T00:00:00Z,3187875.462778
2021-05-03,2021-05-03T00:00:00Z,3190910.769247
2021-05-04,2021-05-04T00:00:00Z,3192963.618297
2021-05-05,2021-05-05T00:00:00Z,3194065.2125055
2021-05-06,2021-05-06T00:00:00Z,3194607.024714
2021-05-07,2021-05-07T00:00:00Z,3197116.5139224995
2021-05-08,2021-05-08T00:00:00Z,3197116.5139224995
2021-05-09,2021-05-09T00:00:00Z,3197116.5139224995
2021-05-10,2021-05-10T00:00:00Z,3198321.0055480003
2021-05-11,2021-05-11T00:00:00Z,3200177.7817565
2021-05-12,2021-05-12T00:00:00Z,3202028.342965
2021-05-13,2021-05-13T00:00:00Z,3203008.6871735
2021-05-14,2021-05-14T00:00:00Z,3204222.202382
2021-05-15,2021-05-15T00:00:00Z,3204222.202382
2021-05-16,2021-05-16T00:00:00Z,3204222.202382
2021-05-17,2021-05-17T00:00:00Z,3204199.0481640003
2021-05-18,2021-05-18T00:00:00Z,3204617.9453745005
2021-05-19,2021-05-19T00:00:00Z,3208749.7297415
2021-05-20,2021-05-20T00:00:00Z,3209579.53195
2021-05-21,2021-05-21T00:00:00Z,3209375.450315
2021-05-22,2021-05-22T00:00:00Z,3209375.450315
2021-05-23,2021-05-23T00:00:00Z,3209375.450315
2021-05-24,2021-05-24T00:00:00Z,3208725.6682575
2021-05-25,2021-05-25T00:00:00Z,3209501.057465
2021-05-26,2021-05-26T00:00:00Z,3211126.854835
2021-05-27,2021-05-27T00:00:00Z,3212133.433202
2021-05-28,2021-05-28T00:00:00Z,3212814.732569
2021-05-29,2021-05-29T00:00:00Z,3212814.732569
2021-05-30,2021-05-30T00:00:00Z,3212814.732569
2021-05-31,2021-05-31T00:00:00Z,3212814.732569
2021-06-01,2021-06-01T00:00:00Z,3212888.617037
2021-06-02,2021-06-02T00:00:00Z,3213260.519404
2021-06-03,2021-06-03T00:00:00Z,3213137.626771
2021-06-04,2021-06-04T00:00:00Z,3213601.445138
2021-06-05,2021-06-05T00:00:00Z,3213601.445138
2021-06-06,2021-06-06T00:00:00Z,3213601.445138
2021-06-07,2021-06-07T00:00:00Z,3213527.1413974995
2021-06-08,2021-06-08T00:00:00Z,3213875.832923
2021-06-09,2021-06-09T00:00:00Z,3213846.45729
2021-06-10,2021-06-10T00:00:00Z,3213568.113657
2021-06-11,2021-06-11T00:00:00Z,3213535.6801825
2021-06-12,2021-06-12T00:00:00Z,3213535.6801825
2021-06-13,2021-06-13T00:00:00Z,3213535.6801825
2021-06-14,2021-06-14T00:00:00Z,3213480.7636005
2021-06-15,2021-06-15T00:00:00Z,3213245.521126
2021-06-16,2021-06-16T00:00:00Z,3213326.0174930003
2021-06-17,2021-06-17T00:00:00Z,3213296.4110185
2021-06-18,2021-06-18T00:00:00Z,3213717.726544
2021-06-19,2021-06-19T00:00:00Z,3213717.726544
2021-06-20,2021-06-20T00:00:00Z,3213717.726544
2021-06-21,2021-06-21T00:00:00Z,3214583.2861205
2021-06-22,2021-06-22T00:00:00Z,3214974.553646
2021-06-23,2021-06-23T00:00:00Z,3214734.2341715
2021-06-24,2021-06-24T00:00:00Z,3214011.024697
2021-06-25,2021-06-25T00:00:00Z,3213953.6582225
2021-06-26,2021-06-26T00:00:00Z,3213953.6582225
2021-06-27,2021-06-27T00:00:00Z,3213953.6582225
2021-06-28,2021-06-28T00:00:00Z,3213735.5729575
2021-06-29,2021-06-29T00:00:00Z,3214086.8926415
2021-06-30,2021-06-30T00:00:00Z,3213870.712167
2021-07-01,2021-07-01T00:00:00Z,3213654.841851
2021-07-02,2021-07-02T00:00:00Z,3213613.6613765
2021-07-03,2021-07-03T00:00:00Z,3213613.6613765
2021-07-04,2021-07-04T00:00:00Z,3213613.6613765
2021-07-05,2021-07-05T00:00:00Z,3213614.4073765
2021-07-06,2021-07-06T00:00:00Z,3213201.6859540003
2021-07-07,2021-07-07T00:00:00Z,3212890.2966380003
2021-07-08,2021-07-08T00:00:00Z,3212223.8921635
2021-07-09,2021-07-09T00:00:00Z,3211981.2198475003
2021-07-10,2021-07-10T00:00:00Z,3211981.2198475003
2021-07-11,2021-07-11T00:00:00Z,3211981.2198475003
2021-07-12,2021-07-12T00:00:00Z,3211891.0738995
2021-07-13,2021-07-13T00:00:00Z,3211675.2035835
2021-07-14,2021-07-14T00:00:00Z,3212193.1782675004
2021-07-15,2021-07-15T00:00:00Z,3211977.3079495
2021-07-16,2021-07-16T00:00:00Z,3211761.7477940004
2021-07-17,2021-07-17T00:00:00Z,3211761.7477940004
2021-07-18,2021-07-18T00:00:00Z,3211761.7477940004
2021-07-19,2021-07-19T00:00:00Z,3211114.4470015
2021-07-20,2021-07-20T00:00:00Z,3211265.8896855
2021-07-21,2021-07-21T00:00:00Z,3211605.1923705
2021-07-22,2021-07-22T00:00:00Z,3211430.911213
2021-07-23,2021-07-23T00:00:00Z,3211215.040897
2021-07-24,2021-07-24T00:00:00Z,3211215.040897
2021-07-25,2021-07-25T00:00:00Z,3211215.040897
2021-07-26,2021-07-26T00:00:00Z,3210225.391265
2021-07-27,2021-07-27T00:00:00Z,3209916.6101075
2021-07-28,2021-07-28T00:00:00Z,3209701.049951
2021-07-29,2021-07-29T00:00:00Z,3209485.4897925
2021-07-30,2021-07-30T00:00:00Z,3209176.2616350004
2021-07-31,2021-07-31T00:00:00Z,3209176.2616350004
2021-08-01,2021-08-01T00:00:00Z,3209176.2616350004
2021-08-02,2021-08-02T00:00:00Z,3208529.271004
2021-08-03,2021-08-03T00:00:00Z,3207905.3218465
2021-08-04,2021-08-04T00:00:00Z,3208179.7528475
2021-08-05,2021-08-05T00:00:00Z,3208285.195691
2021-08-06,2021-08-06T00:00:00Z,3209078.7015335
2021-08-07,2021-08-07T00:00:00Z,3209078.7015335
2021-08-08,2021-08-08T00:00:00Z,3209078.7015335
2021-08-09,2021-08-09T00:00:00Z,3207818.5072195
2021-08-10,2021-08-10T00:00:00Z,3207689.143062
2021-08-11,2021-08-11T00:00:00Z,3207672.090063
2021-08-12,2021-08-12T00:00:00Z,3207923.2699045
2021-08-13,2021-08-13T00:00:00Z,3208085.7259054994
2021-08-14,2021-08-14T00:00:00Z,3208085.7259054994
2021-08-15,2021-08-15T00:00:00Z,3208085.7259054994
2021-08-16,2021-08-16T00:00:00Z,3207548.402751
2021-08-17,2021-08-17T00:00:00Z,3207418.0515924995
2021-08-18,2021-08-18T00:00:00Z,3206745.8775935
2021-08-19,2021-08-19T00:00:00Z,3206111.2155955
2021-08-20,2021-08-20T00:00:00Z,3206600.1405955
2021-08-21,2021-08-21T00:00:00Z,3206600.1405955
2021-08-22,2021-08-22T00:00:00Z,3206600.1405955
2021-08-23,2021-08-23T00:00:00Z,3205819.7895995
2021-08-24,2021-08-24T00:00:00Z,3205712.6806005
2021-08-25,2021-08-25T00:00:00Z,3205497.4306015
2021-08-26,2021-08-26T00:00:00Z,3205543.4466015
2021-08-27,2021-08-27T00:00:00Z,3205107.9966035
2021-08-28,2021-08-28T00:00:00Z,3205107.9966035
2021-08-29,2021-08-29T00:00:00Z,3205107.9966035
2021-08-30,2021-08-30T00:00:00Z,3204368.289764
2021-08-31,2021-08-31T00:00:00Z,3205129.9517650004
2021-09-01,2021-09-01T00:00:00Z,3205626.4279245
2021-09-02,2021-09-02T00:00:00Z,3205874.0589255
2021-09-03,2021-09-03T00:00:00Z,3205770.6680850005
2021-09-04,2021-09-04T00:00:00Z,3205770.6680850005
2021-09-05,2021-09-05T00:00:00Z,3205770.6680850005
2021-09-06,2021-09-06T00:00:00Z,3205770.6680850005
2021-09-07,2021-09-07T00:00:00Z,3206568.334807
2021-09-08,2021-09-08T00:00:00Z,3206804.6859655003
2021-09-09,2021-09-09T00:00:00Z,3207910.834125
2021-09-10,2021-09-10T00:00:00Z,3207667.8892845004
2021-09-11,2021-09-11T00:00:00Z,3207667.8892845004
2021-09-12,2021-09-12T00:00:00Z,3207667.8892845004
2021-09-13,2021-09-13T00:00:00Z,3207044.261764
2021-09-14,2021-09-14T00:00:00Z,3207005.9609235004
2021-09-15,2021-09-15T00:00:00Z,3207072.8980830004
2021-09-16,2021-09-16T00:00:00Z,3206492.7362415
2021-09-17,2021-09-17T00:00:00Z,3206277.796401
2021-09-18,2021-09-18T00:00:00Z,3206277.796401
2021-09-19,2021-09-19T00:00:00Z,3206277.796401
2021-09-20,2021-09-20T00:00:00Z,3206540.126038
2021-09-21,2021-09-21T00:00:00Z,3207309.2173570003
2021-09-22,2021-09-22T00:00:00Z,3207491.2635155
2021-09-23,2021-09-23T00:00:00Z,3207648.127676
2021-09-24,2021-09-24T00:00:00Z,3207783.394993
2021-09-25,2021-09-25T00:00:00Z,3207783.394993
2021-09-26,2021-09-26T00:00:00Z,3207783.394993
2021-09-27,2021-09-27T00:00:00Z,3207400.1977885
2021-09-28,2021-09-28T00:00:00Z,3207185.5681065
2021-09-29,2021-09-29T00:00:00Z,3207640.6802660003
2021-09-30,2021-09-30T00:00:00Z,3207870.0575850005
2021-10-01,2021-10-01T00:00:00Z,3207355.762902
2021-10-02,2021-10-02T00:00:00Z,3207355.762902
2021-10-03,2021-10-03T00:00:00Z,3207355.762902
2021-10-04,2021-10-04T00:00:00Z,3207124.3592220005
2021-10-05,2021-10-05T00:00:00Z,3206759.249858
2021-10-06,2021-10-06T00:00:00Z,3206987.568492
2021-10-07,2021-10-07T00:00:00Z,3206659.8211270003
2021-10-08,2021-10-08T00:00:00Z,3206357.480762
2021-10-09,2021-10-09T00:00:00Z,3206357.480762
2021-10-10,2021-10-10T00:00:00Z,3206357.480762
2021-10-11,2021-10-11T00:00:00Z,3206357.480762
2021-10-12,2021-10-12T00:00:00Z,3205498.341718
