date,gecko_id,total_flow_usd
2025-05-14,ethereum,63500000
2025-05-15,ethereum,-39800000
2025-05-16,ethereum,22200000
2025-05-19,ethereum,13700000
2025-05-20,ethereum,64800000
2025-05-21,ethereum,600000
2025-05-22,bitcoin,934800000
2025-05-23,ethereum,58600000
2025-05-27,ethereum,38800000
2025-05-28,bitcoin,432700000
2025-05-29,ethereum,91900000
2025-05-30,ethereum,70200000
2025-06-02,ethereum,78200000
2025-06-03,ethereum,109500000
2025-06-04,bitcoin,87000000
2025-06-05,ethereum,11300000
2025-06-06,bitcoin,-47800000
2025-06-09,ethereum,52700000
2025-06-10,ethereum,125000000
2025-06-11,ethereum,240300000
2025-06-12,ethereum,112300000
2025-06-13,ethereum,-2100000
2025-06-16,bitcoin,412200000
2025-06-17,ethereum,11100000
2025-06-18,bitcoin,388300000
2025-06-20,bitcoin,6400000
2025-06-23,ethereum,100700000
2025-06-24,ethereum,71300000
2025-06-25,ethereum,60400000
2025-06-26,ethereum,-26400000
2025-06-27,ethereum,77500000
2025-06-30,bitcoin,102100000
2025-07-01,bitcoin,-342200000
2025-07-02,ethereum,-1900000
2025-07-03,ethereum,148500000
2025-07-07,ethereum,62100000
2025-07-08,ethereum,46700000
2025-07-09,ethereum,211300000
2025-07-10,ethereum,383100000
2025-07-11,bitcoin,1029600000
2025-07-14,ethereum,259000000
2025-07-15,bitcoin,403100000
2025-07-16,bitcoin,799400000
2025-07-17,ethereum,602000000
2025-07-18,ethereum,402500000
2025-07-21,ethereum,296500000
2025-07-22,ethereum,533800000
2025-07-23,bitcoin,-85800000
2025-07-24,ethereum,231200000
2025-07-25,bitcoin,130800000
2025-07-28,ethereum,65200000
2025-07-29,ethereum,218600000
2025-07-30,ethereum,5800000
2025-07-31,ethereum,17000000
2025-08-01,ethereum,-152300000
2025-08-04,bitcoin,-323500000
2025-08-05,ethereum,73300000
2025-08-06,bitcoin,91600000
2025-08-07,bitcoin,277400000
2025-08-08,ethereum,461000000
2025-08-11,ethereum,1018800000
2025-08-12,ethereum,523900000
2025-08-13,ethereum,729100000
2025-08-14,bitcoin,230800000
2025-08-15,bitcoin,-14100000
2025-08-18,bitcoin,-121700000
2025-08-19,ethereum,-429600000
2025-08-20,ethereum,-240200000
2025-08-21,ethereum,287600000
2025-08-22,bitcoin,-23200000
2025-08-25,ethereum,443900000
2025-08-26,ethereum,455000000
2025-08-27,ethereum,309500000
2025-08-28,bitcoin,178900000
2025-08-29,ethereum,-164600000
2025-09-02,bitcoin,332800000
2025-09-03,ethereum,-38200000
2025-09-04,ethereum,-167300000
2025-09-05,ethereum,-446800000
2025-09-08,ethereum,-96700000
2025-09-09,ethereum,44200000
2025-09-10,bitcoin,741500000
2025-09-11,bitcoin,552700000
2025-09-12,ethereum,405500000
2025-09-15,ethereum,359700000
2025-09-16,ethereum,-61700000
2025-09-17,ethereum,-1900000
2025-09-18,ethereum,213100000
2025-09-19,ethereum,47800000
2025-09-22,bitcoin,-363100000
2025-09-23,bitcoin,-103800000
2025-09-24,bitcoin,241000000
2025-09-25,ethereum,-251200000
2025-09-26,ethereum,-248400000
2025-09-29,ethereum,546900000
2025-09-30,ethereum,127500000
2025-10-01,bitcoin,675800000
2025-10-02,bitcoin,627200000
2025-10-03,bitcoin,985100000
2025-10-06,ethereum,181800000
2025-10-07,ethereum,420900000
2025-10-08,ethereum,69100000
2025-10-09,ethereum,-8700000
2025-10-10,ethereum,-174900000
2025-10-13,ethereum,-428500000
2025-10-14,bitcoin,102700000
2025-10-15,ethereum,169600000
2025-10-16,bitcoin,-530900000
2025-10-17,bitcoin,-366600000
2025-10-20,ethereum,-145700000
2025-10-21,ethereum,141700000
2025-10-22,ethereum,-18900000
2025-10-23,ethereum,-127400000
2025-10-24,bitcoin,90600000
2025-10-27,ethereum,133900000
2025-10-28,bitcoin,202400000
2025-10-29,ethereum,-81400000
2025-10-30,ethereum,-184200000
2025-10-31,ethereum,-98200000
2025-11-03,ethereum,-135700000
2025-11-04,ethereum,-219400000
2025-11-05,bitcoin,-137000000
2025-11-06,ethereum,12500000
2025-11-07,bitcoin,-558400000
2025-11-10,bitcoin,1200000
2025-11-11,ethereum,-107100000
2025-11-12,ethereum,-183700000
2025-11-13,ethereum,-259600000
2025-11-14,ethereum,-177900000
2025-11-17,ethereum,-182700000
2025-11-18,bitcoin,-372800000
2025-11-19,ethereum,-37400000
2025-11-20,ethereum,-261600000
2025-11-21,ethereum,55700000
2025-11-24,ethereum,96600000
2025-11-25,ethereum,78600000
2025-11-26,ethereum,60800000
2025-11-28,ethereum,76600000
2025-12-01,bitcoin,8500000
2025-12-02,ethereum,-9900000
2025-12-03,ethereum,140200000
2025-12-04,bitcoin,-194600000
2025-12-05,ethereum,-75200000
2025-12-08,ethereum,35500000
2025-12-09,ethereum,177700000
2025-12-10,ethereum,57600000
2025-12-11,bitcoin,-77500000
2025-12-12,ethereum,-19400000
2025-12-15,bitcoin,-357600000
2025-12-16,ethereum,-224200000
2025-12-17,ethereum,-22400000
2025-12-18,ethereum,-96600000
2025-12-19,ethereum,-75900000
2025-12-22,ethereum,84600000
2025-12-23,bitcoin,-188600000
2025-12-24,ethereum,-52800000
2025-12-26,bitcoin,-275900000
2025-12-29,bitcoin,-19300000
2025-12-30,ethereum,67900000
2025-12-31,ethereum,-72000000
2026-01-02,ethereum,174500000
2026-01-05,ethereum,168000000
2026-01-06,bitcoin,-243200000
2026-01-07,bitcoin,-486100000
2026-01-08,bitcoin,-398800000
2026-01-09,ethereum,-93800000
2026-01-12,solana,10800000
2026-01-13,solana,5900000
2026-01-14,solana,23600000
2026-01-15,bitcoin,100200000
2026-01-16,bitcoin,-394700000
2026-01-20,solana,2900000
2026-01-21,solana,3000000
2026-01-22,bitcoin,-32200000
2026-01-23,bitcoin,-103500000
2026-01-26,bitcoin,6800000
2026-01-27,ethereum,-63600000
2026-01-28,solana,6700000
2026-01-29,solana,-2200000
2026-01-30,ethereum,-252900000
2026-02-02,solana,5500000
2026-02-03,bitcoin,-272000000
2026-02-04,ethereum,-79400000
2026-02-05,solana,2900000
2026-02-06,ethereum,-16700000
2026-02-09,bitcoin,144900000
2026-02-10,bitcoin,166500000
2026-02-11,bitcoin,-276300000
2026-02-12,bitcoin,-410200000
2026-02-13,solana,1500000
2026-02-17,ethereum,48600000
2026-02-18,solana,2000000
2026-02-19,bitcoin,-165800000
2026-02-20,bitcoin,88100000
2026-02-23,solana,8000000
2026-02-24,ethereum,9200000
2026-02-25,bitcoin,506600000
2026-02-26,bitcoin,254400000
2026-02-27,solana,1300000
2026-03-02,solana,16800000
2026-03-03,bitcoin,225200000
2026-03-04,ethereum,169400000
2026-03-05,solana,-6000000
2026-03-06,bitcoin,-348900000
2026-03-09,ethereum,-51300000
2026-03-10,solana,0
2026-03-11,ethereum,57000000
2026-03-12,bitcoin,53800000
2026-03-13,bitcoin,180400000
2026-03-16,bitcoin,199400000
2026-03-17,solana,17800000
2026-03-18,solana,-300000
2026-03-19,bitcoin,-90200000
2026-03-20,solana,0
2026-03-23,bitcoin,167200000
2026-03-24,solana,4500000
2026-03-25,solana,0
2026-03-26,bitcoin,-171300000
2026-03-27,solana,-7800000
