name,symbol,pegType,pegMechanism,circulating,circulatingPrevDay,circulatingPrevWeek,circulatingPrevMonth,chains,price
Global Dollar,USDG,peggedUSD,fiat-backed,"{""peggedUSD"":2135249169.154291}","{""peggedUSD"":2078296438.053573}","{""peggedUSD"":1922180240.0082932}","{""peggedUSD"":1657465455.2788575}","Solana, Ethereum, X Layer, Ink",0.9999350726655876
Falcon USD,USDf,peggedUSD,crypto-backed,"{""peggedUSD"":1621677957.9647985}","{""peggedUSD"":1621561618.9155693}","{""peggedUSD"":1627798474.4659503}","{""peggedUSD"":1635521990.2454798}","Ethereum, BSC",0.9978104092346405
USDD,USDD,peggedUSD,crypto-backed,"{""peggedUSD"":1543777908.060106}","{""peggedUSD"":1548146077.9778714}","{""peggedUSD"":1516453472.9042249}","{""peggedUSD"":1078396112.8513422}","Tron, Ethereum, BSC, Bittorrent",1.0000211071726324
Ripple USD,RLUSD,peggedUSD,fiat-backed,"{""peggedUSD"":1467708194.523665}","{""peggedUSD"":1463768002.6305745}","{""peggedUSD"":1374277856.240368}","{""peggedUSD"":1549578444.0306513}","Ethereum, XRPL",1.00000454119335
United Stables,U,peggedUSD,crypto-backed,"{""peggedUSD"":972709936.7665439}","{""peggedUSD"":972709936.7665439}","{""peggedUSD"":972709436.8828831}","{""peggedUSD"":1004746544.3740382}","BSC, Ethereum",0.9998473095048763
Ethena USDtb,USDTB,peggedUSD,fiat-backed,"{""peggedUSD"":937763512.0513567}","{""peggedUSD"":939607455.9949392}","{""peggedUSD"":939170445.6460391}","{""peggedUSD"":890499137.4846653}","Ethereum, Solana",0.9997913731900411
GHO,GHO,peggedUSD,crypto-backed,"{""peggedUSD"":583738520.3404464}","{""peggedUSD"":583738520.3404464}","{""peggedUSD"":583738520.3404464}","{""peggedUSD"":583738520.3404464}",Ethereum,0.9995522608569286
YLDS,YLDS,peggedUSD,fiat-backed,"{""peggedUSD"":580485766.0797307}","{""peggedUSD"":575003665.686908}","{""peggedUSD"":611638412.2004985}","{""peggedUSD"":567821978.1140656}","Solana, Provenance, Sui",0.9999170779908375
Usual USD,USD0,peggedUSD,fiat-backed,"{""peggedUSD"":557581359.337511}","{""peggedUSD"":557693817.4730246}","{""peggedUSD"":557917078.4662013}","{""peggedUSD"":561806939.915215}","Ethereum, Arbitrum",0.9982519103316437
TrueUSD,TUSD,peggedUSD,fiat-backed,"{""peggedUSD"":484123155.4839407}","{""peggedUSD"":484123155.4839407}","{""peggedUSD"":484123155.4839407}","{""peggedUSD"":484123155.4839407}","Ethereum, Tron, BSC, Avalanche, Fantom, Polygon, Arbitrum, Syscoin, Near, Heco",0.9992537156034507
First Digital USD,FDUSD,peggedUSD,fiat-backed,"{""peggedUSD"":410968020.67488706}","{""peggedUSD"":404968265.67083305}","{""peggedUSD"":396968592.33210653}","{""peggedUSD"":377431883.442569}","Ethereum, BSC, Sui, Solana, Arbitrum, TON",0.9999582173820191
Solstice USX,USX,peggedUSD,crypto-backed,"{""peggedUSD"":378274071.2204877}","{""peggedUSD"":368906736.32390547}","{""peggedUSD"":363158731.2868971}","{""peggedUSD"":371568167.1836344}",Solana,0.9996363645162801
rwaUSDi,rwaUSDi,peggedUSD,crypto-backed,"{""peggedUSD"":310011085.19211423}","{""peggedUSD"":310011085.19211423}","{""peggedUSD"":310011085.19211423}","{""peggedUSD"":125000383.04913984}","Ethereum, Base, Monad, Arbitrum",1.00000298439288
USD.AI,USDai,peggedUSD,crypto-backed,"{""peggedUSD"":298502616.6490733}","{""peggedUSD"":298223732.744075}","{""peggedUSD"":268071388.99925637}","{""peggedUSD"":328701797.4801127}","Arbitrum, Plasma, Ethereum",0.9998441244874783
M by M0,M,peggedUSD,fiat-backed,"{""peggedUSD"":293603706.66242003}","{""peggedUSD"":284029215.025259}","{""peggedUSD"":278851116.786861}","{""peggedUSD"":194810274.304959}","Ethereum, Solana, Noble, Hyperliquid L1, Arbitrum, OP Mainnet, Plume Mainnet",
Avalon USDa,USDA,peggedUSD,crypto-backed,"{""peggedUSD"":270844395.42131597}","{""peggedUSD"":270844395.42131597}","{""peggedUSD"":270844262.76522994}","{""peggedUSD"":270844395.52131593}","Ethereum, Movement, BSC, Berachain, Nibiru, Taiko, Sonic, Sei, Bitlayer, Morph, Corn, Base, BOB, Zircuit, ZKsync Era, Mantle, Kaia",
crvUSD,crvUSD,peggedUSD,crypto-backed,"{""peggedUSD"":260983174.96144044}","{""peggedUSD"":265195894.1129455}","{""peggedUSD"":238417824.3281933}","{""peggedUSD"":242884152.34935203}","Ethereum, Arbitrum, OP Mainnet, Base, Fraxtal, Taiko, Sonic, Polygon, Gnosis, ZKsync Era, BSC, Waves",0.9997156819180939
Binance Peg BUSD,BUSD,peggedUSD,crypto-backed,"{""peggedUSD"":232795244.63221225}","{""peggedUSD"":232794953.48074028}","{""peggedUSD"":232794952.36355484}","{""peggedUSD"":232784567.5671824}","BSC, Avalanche, Meter, Polygon, Moonriver, Moonbeam, ZKsync Era, Fantom, Astar, OKExChain, ThunderCore, Boba, KCC, Solana, OP Mainnet, Aurora, Shiden, Theta, Rootstock, Elastos, Evmos, Syscoin, Metis, Oasis, Milkomeda C1, Terra Classic, Kaia",0.9994512068928304
Frax,FRAX,peggedUSD,algorithmic,"{""peggedUSD"":195886725.79035074}","{""peggedUSD"":199080598.7625276}","{""peggedUSD"":199004567.4547095}","{""peggedUSD"":212332063.7629812}","Ethereum, Fraxtal, Harmony, Moonriver, Arbitrum, BSC, Avalanche, OP Mainnet, Moonbeam, Fantom, Polygon, Boba, Evmos, Aurora, zkSync Lite, ZKsync Era, Osmosis, Solana, Dogechain, Milkomeda C1, Near, Everscale",0.9940861048312459
HUSD,HUSD,peggedUSD,fiat-backed,"{""peggedUSD"":192313547.97963187}","{""peggedUSD"":192313547.97963187}","{""peggedUSD"":192313547.97963187}","{""peggedUSD"":192313547.97963187}","Ethereum, Tron, Solana, Elastos, Heco",
Re Protocol reUSD,reUSD,peggedUSD,crypto-backed,"{""peggedUSD"":186265954.51179036}","{""peggedUSD"":179369519.14060828}","{""peggedUSD"":187769573.86758158}","{""peggedUSD"":169395969.56301433}","Ethereum, Avalanche, Base, BSC, Ink, Arbitrum",1.0718908775473008
flexUSD,FLEXUSD,peggedUSD,crypto-backed,"{""peggedUSD"":166350741.78623617}","{""peggedUSD"":166350741.78623617}","{""peggedUSD"":166350741.78623617}","{""peggedUSD"":166350741.78623617}","Ethereum, smartBCH",1.00000298439288
Agora Dollar,AUSD,peggedUSD,fiat-backed,"{""peggedUSD"":165845955.6345732}","{""peggedUSD"":161746708.72686026}","{""peggedUSD"":165493473.8793005}","{""peggedUSD"":163171938.40125358}","Ethereum, Monad, Immutable zkEVM, Sui, Avalanche, Mantle, Polygon, Solana, Katana, BSC, CORE, Arbitrum, Plasma, Plume Mainnet",0.9998754351430674
Neutrl USD,NUSD,peggedUSD,crypto-backed,"{""peggedUSD"":162876782.95760277}","{""peggedUSD"":168085580.8943729}","{""peggedUSD"":171856373.79834154}","{""peggedUSD"":209828898.94005862}",Ethereum,0.9979554750758441
Gate USD,GUSD,peggedUSD,fiat-backed,"{""peggedUSD"":159041672.68815243}","{""peggedUSD"":158815060.10633725}","{""peggedUSD"":160295842.82635558}","{""peggedUSD"":143217051.39692503}",Ethereum,0.9996717139279427
River Stablecoin,satUSD,peggedUSD,crypto-backed,"{""peggedUSD"":158593134.54194406}","{""peggedUSD"":158592650.5583177}","{""peggedUSD"":158655495.7184295}","{""peggedUSD"":158649894.1560621}","BSC, Base, BOB, Arbitrum, Ethereum, BSquared, Hemi, X Layer, Bitlayer, Sonic, BEVM",0.9961896892573283
Mustang Finance,MUST,peggedUSD,crypto-backed,"{""peggedUSD"":154311874.56083196}","{""peggedUSD"":154311874.56083196}","{""peggedUSD"":154311874.56083196}","{""peggedUSD"":154311874.56083196}",Saga,1.00000298439288
USAT,USAT,peggedUSD,fiat-backed,"{""peggedUSD"":149682128.70498565}","{""peggedUSD"":49728712.28781262}","{""peggedUSD"":37734302.317751855}","{""peggedUSD"":27739115.60383}",Ethereum,0.9995341641717302
apxUSD,apxUSD,peggedUSD,crypto-backed,"{""peggedUSD"":147273890.58768976}","{""peggedUSD"":147273890.58768976}","{""peggedUSD"":110275036.02516198}","{""peggedUSD"":51476856.34200969}",Ethereum,0.9999690422304809
OpenEden TBILL,TBILL,peggedUSD,fiat-backed,"{""peggedUSD"":135458375.49020824}","{""peggedUSD"":135291250.0253727}","{""peggedUSD"":134291536.31377053}","{""peggedUSD"":79703191.05664375}","Ethereum, XRPL, Solana, Arbitrum",1.14054161
Dola,DOLA,peggedUSD,crypto-backed,"{""peggedUSD"":135091956.5574051}","{""peggedUSD"":135091956.5574051}","{""peggedUSD"":135017511.025955}","{""peggedUSD"":182256674.85584503}","Ethereum, Arbitrum, BSC, Fantom, Base, OP Mainnet, Avalanche, Polygon",0.9926070860013457
Frax USD,FRXUSD,peggedUSD,fiat-backed,"{""peggedUSD"":134544839.0783827}","{""peggedUSD"":133430995.26405416}","{""peggedUSD"":134108320.63995679}","{""peggedUSD"":126353101.40907705}","Ethereum, Fraxtal, Sonic, Polygon, Base, Solana, Avalanche, OP Mainnet, Linea, BSC, Sei, Unichain, Katana, Arbitrum, Ink, X Layer, Plume Mainnet, Movement, Mode, Polygon zkEVM, Blast",0.9998058558655889
USDGO,USDGO,peggedUSD,fiat-backed,"{""peggedUSD"":134000644.90937708}","{""peggedUSD"":134000629.90933232}","{""peggedUSD"":74000450.84575953}","{""peggedUSD"":65000423.98622361}",Solana,1.00000298439288
Avant USD,avUSD,peggedUSD,fiat-backed,"{""peggedUSD"":128008265.55248891}","{""peggedUSD"":126127099.78211328}","{""peggedUSD"":127899232.27909234}","{""peggedUSD"":125628991.7447261}",Avalanche,0.9996462513902008
CASH,CASH,peggedUSD,fiat-backed,"{""peggedUSD"":124881086.62035038}","{""peggedUSD"":123267668.9407063}","{""peggedUSD"":121166077.5376752}","{""peggedUSD"":122581809.97534165}",Solana,0.9995633581084093
Pleasing USD,PUSD,peggedUSD,crypto-backed,"{""peggedUSD"":119593188.95777757}","{""peggedUSD"":119593188.95777757}","{""peggedUSD"":119593188.95777757}","{""peggedUSD"":119593188.95777757}",Arbitrum,0.9966099079814797
Astherus,USDF,peggedUSD,crypto-backed,"{""peggedUSD"":118173988.38431548}","{""peggedUSD"":118415433.29543826}","{""peggedUSD"":119648672.86026585}","{""peggedUSD"":132752166.9905118}",BSC,0.9986836515989863
Cap cUSD,CUSD,peggedUSD,crypto-backed,"{""peggedUSD"":114635688.73887779}","{""peggedUSD"":93589082.14338541}","{""peggedUSD"":102009854.33335483}","{""peggedUSD"":106707860.10625964}","Ethereum, MegaETH",0.99987898
Unitas,USDU,peggedUSD,crypto-backed,"{""peggedUSD"":103136822.83546317}","{""peggedUSD"":102340917.79274894}","{""peggedUSD"":96136698.77664213}","{""peggedUSD"":84819389.06007557}","BSC, Solana",0.9998596133049042
MNEE USD,MNEE,peggedUSD,fiat-backed,"{""peggedUSD"":102378789.47456245}","{""peggedUSD"":101350846.81390324}","{""peggedUSD"":101772160.0504667}","{""peggedUSD"":100554622.62497361}",Ethereum,1.00009988
infiniFi USD,IUSD,peggedUSD,crypto-backed,"{""peggedUSD"":100738239.72228761}","{""peggedUSD"":106585594.10771653}","{""peggedUSD"":110448057.43702845}","{""peggedUSD"":174457781.15096098}",Ethereum,0.9996139964355594
StandX DUSD,DUSD,peggedUSD,crypto-backed,"{""peggedUSD"":99619518.92571606}","{""peggedUSD"":99415319.49871874}","{""peggedUSD"":101191805.69056052}","{""peggedUSD"":100196965.6204794}","BSC, Solana",0.9995461656826929
pmUSD,pmUSD,peggedUSD,crypto-backed,"{""peggedUSD"":99063940.9215312}","{""peggedUSD"":99063940.9215312}","{""peggedUSD"":99063940.9215312}","{""peggedUSD"":108456117.90877283}",Ethereum,0.9886502091833276
US Permissionless Dollar,USPD,peggedUSD,crypto-backed,"{""peggedUSD"":98934783.08929051}","{""peggedUSD"":480271.27563724905}","{""peggedUSD"":357682.50250667747}","{""peggedUSD"":320521.3190801695}","Ethereum, Base, BSC, OP Mainnet, Polygon, Arbitrum",0
USDH Stablecoin,USDH,peggedUSD,fiat-backed,"{""peggedUSD"":94966051.93131244}","{""peggedUSD"":95031674.45702279}","{""peggedUSD"":91831037.43179405}","{""peggedUSD"":95432375.25415844}",Hyperliquid L1,1.000266072581682
Elixir deUSD,DEUSD,peggedUSD,crypto-backed,"{""peggedUSD"":92153211.33377971}","{""peggedUSD"":92153211.33377971}","{""peggedUSD"":92153211.3337797}","{""peggedUSD"":92153211.33377971}","Ethereum, Avalanche, Sei, Polygon",
Lista USD,LISUSD,peggedUSD,crypto-backed,"{""peggedUSD"":76233381.2428837}","{""peggedUSD"":76230447.09917569}","{""peggedUSD"":76255434.15180051}","{""peggedUSD"":76247822.25577682}",BSC,0.9989782534560916
Cygnus Finance Global USD,cgUSD,peggedUSD,fiat-backed,"{""peggedUSD"":75171566.38125558}","{""peggedUSD"":75171565.3620471}","{""peggedUSD"":75049531.97591674}","{""peggedUSD"":74881509.25455351}",Base,0.9968803366965301
JupUSD,JUPUSD,peggedUSD,crypto-backed,"{""peggedUSD"":75010424.8872832}","{""peggedUSD"":75220439.69773039}","{""peggedUSD"":80262723.05595797}","{""peggedUSD"":72703968.28733458}",Solana,0.9996674105174805
MegaUSD,USDM,peggedUSD,crypto-backed,"{""peggedUSD"":67222402.3499813}","{""peggedUSD"":66376291.48478068}","{""peggedUSD"":61953905.631795496}","{""peggedUSD"":62997863.21780853}","MegaETH, Ethereum",
USP Stablecoin,USP,peggedUSD,crypto-backed,"{""peggedUSD"":65438084.048612066}","{""peggedUSD"":65438084.048612066}","{""peggedUSD"":65438084.048612066}","{""peggedUSD"":65438084.048612066}",Avalanche,1.00000298439288
Yuzu USD,YZUSD,peggedUSD,crypto-backed,"{""peggedUSD"":62945196.49765392}","{""peggedUSD"":63176597.6792453}","{""peggedUSD"":66945648.62043437}","{""peggedUSD"":62901932.211615816}","Plasma, Monad",1.0003281705635214
Quantoz USDQ,USDQ,peggedUSD,fiat-backed,"{""peggedUSD"":52089809.000384}","{""peggedUSD"":52089809.000384}","{""peggedUSD"":52089809.000384}","{""peggedUSD"":52089811.220384}","Ethereum, XRPL, Algorand, Polygon",
Fidelity Digital Dollar,FIDD,peggedUSD,fiat-backed,"{""peggedUSD"":50839114.85896805}","{""peggedUSD"":49839350.60077937}","{""peggedUSD"":49539416.32450146}","{""peggedUSD"":51588913.05850311}",Ethereum,0.9997642581886846
StraitsX XUSD,XUSD,peggedUSD,fiat-backed,"{""peggedUSD"":50259228.802548185}","{""peggedUSD"":50259228.802548185}","{""peggedUSD"":53259022.753146335}","{""peggedUSD"":49797789.0478536}","BSC, Ethereum",0.9999313168660512
Main Street USD,MSUSD,peggedUSD,crypto-backed,"{""peggedUSD"":48310875.013645716}","{""peggedUSD"":47714346.25834649}","{""peggedUSD"":47333975.529647306}","{""peggedUSD"":37446450.358123176}","Ethereum, Sonic",0.9998401369788132
Sui Dollar,USDSUI,peggedUSD,fiat-backed,"{""peggedUSD"":42588372.84351659}","{""peggedUSD"":36571469.24433239}","{""peggedUSD"":36070066.627970636}",{},Sui,1.0028172665306996
Gemini Dollar,GUSD,peggedUSD,fiat-backed,"{""peggedUSD"":42186058.843221836}","{""peggedUSD"":43570688.854406476}","{""peggedUSD"":43623444.01600107}","{""peggedUSD"":43364056.70834927}","Ethereum, Wanchain",0.9996538332754111
Hex Trust USDX,USDX,peggedUSD,fiat-backed,"{""peggedUSD"":42165949.20681388}","{""peggedUSD"":43176176.566430144}","{""peggedUSD"":42747608.56938637}","{""peggedUSD"":40997353.26354083}","Flare, Songbird, Ethereum",1.0001458890545942
OpenDollar USDO,USDO,peggedUSD,fiat-backed,"{""peggedUSD"":41300502.34061735}","{""peggedUSD"":41319192.29054452}","{""peggedUSD"":41588254.372598626}","{""peggedUSD"":49160386.700677834}","Ethereum, BSC, Base, Plasma",0.9982319816645063
Pax Dollar,USDP,peggedUSD,fiat-backed,"{""peggedUSD"":40556020.29188173}","{""peggedUSD"":40556020.29188173}","{""peggedUSD"":40556020.299130335}","{""peggedUSD"":40556021.11993333}","Ethereum, Solana, BSC, Linea",0.9996687251533609
Binance USD,BUSD,peggedUSD,fiat-backed,"{""peggedUSD"":39964334.38950891}","{""peggedUSD"":39964334.38950891}","{""peggedUSD"":39964334.38950891}","{""peggedUSD"":39964334.38950891}","Ethereum, IoTeX, Avalanche, Solana, Osmosis, EthereumClassic, Loopring, ThunderCore, ZKsync Era, Metis, Moonriver, Harmony, Meter, BSC, Astar, Oasis, Shiden, Fantom, OKExChain, Evmos, Milkomeda C1, Terra Classic, KCC, Near, Rootstock, Moonbeam, Elastos, Boba, Aurora, Theta, Polygon, Syscoin, Kaia",0.9984519493211764
sUSD,SUSD,peggedUSD,crypto-backed,"{""peggedUSD"":38066353.06295854}","{""peggedUSD"":38066353.06295854}","{""peggedUSD"":38073095.42776065}","{""peggedUSD"":38061123.1459473}","Ethereum, OP Mainnet, Arbitrum, Fantom, Ontology",0.7247947713922359
Aegis YUSD,YUSD,peggedUSD,fiat-backed,"{""peggedUSD"":36022608.91853133}","{""peggedUSD"":36089607.02596048}","{""peggedUSD"":36408252.318040475}","{""peggedUSD"":37945493.92048712}","Ethereum, BSC",
Resupply USD,REUSD,peggedUSD,crypto-backed,"{""peggedUSD"":35538838.867502004}","{""peggedUSD"":34265230.43451535}","{""peggedUSD"":35688197.50852336}","{""peggedUSD"":35992838.5825192}",Ethereum,0.9992458122872484
Bean,BEAN,peggedUSD,algorithmic,"{""peggedUSD"":33391303.127731}","{""peggedUSD"":33391303.127731}","{""peggedUSD"":33391303.127731}","{""peggedUSD"":33391303.127731}",Ethereum,
Metamask USD,MUSD,peggedUSD,crypto-backed,"{""peggedUSD"":32224043.43059052}","{""peggedUSD"":32218145.73215627}","{""peggedUSD"":30201581.163457803}","{""peggedUSD"":26642746.418042306}","Ethereum, Linea",0.9997384306526794
Liquity BOLD,BOLD,peggedUSD,crypto-backed,"{""peggedUSD"":32166100.784516986}","{""peggedUSD"":32179369.363454815}","{""peggedUSD"":31260680.13194636}","{""peggedUSD"":30227465.488335438}","Ethereum, OP Mainnet, Base, Hyperliquid L1, Scroll, Arbitrum, Avalanche",
Magic Internet Money,MIM,peggedUSD,crypto-backed,"{""peggedUSD"":30323467.89150535}","{""peggedUSD"":30332524.34223831}","{""peggedUSD"":30353292.47851584}","{""peggedUSD"":30559753.752491057}","Ethereum, Arbitrum, Avalanche, Kava, Fantom, Blast, Moonriver, Nibiru, BSC, OP Mainnet, Polygon, Base, Berachain, Linea",0.997878381026823
Liquity USD,LUSD,peggedUSD,crypto-backed,"{""peggedUSD"":29282476.211752772}","{""peggedUSD"":29282476.211752772}","{""peggedUSD"":29356991.28525165}","{""peggedUSD"":30582555.768409673}","Ethereum, OP Mainnet, Arbitrum, Scroll, Polygon, BSC, Fantom, Avalanche, Polygon zkEVM, ZKsync Era",1.0019920821399404
Zoth ZeUSD,ZeUSD,peggedUSD,fiat-backed,"{""peggedUSD"":27646019.696034107}","{""peggedUSD"":27646019.696034107}","{""peggedUSD"":27646019.696034107}","{""peggedUSD"":27646019.696034107}","Ethereum, Manta, Metis, Avalanche",1.00000298439288
Gyroscope GYD,GYD,peggedUSD,crypto-backed,"{""peggedUSD"":26558618.801549315}","{""peggedUSD"":26558618.801549315}","{""peggedUSD"":26558618.801549315}","{""peggedUSD"":26558618.801549315}","Ethereum, Polygon",
USD CoinVertible,USDCV,peggedUSD,fiat-backed,"{""peggedUSD"":26318845.134567767}","{""peggedUSD"":26318945.06585112}","{""peggedUSD"":26318745.20328442}","{""peggedUSD"":23315167.580520924}","Solana, Ethereum",0.9993128334813866
Bucket Protocol BUCK Stablecoin,BUCK,peggedUSD,crypto-backed,"{""peggedUSD"":26159561.925223634}","{""peggedUSD"":26159561.925223634}","{""peggedUSD"":26159560.06283959}","{""peggedUSD"":25956994.883579463}",Sui,1.0012817438218404
Noon USN,USN,peggedUSD,crypto-backed,"{""peggedUSD"":25726322.19622885}","{""peggedUSD"":25892593.36611105}","{""peggedUSD"":24794515.392639372}","{""peggedUSD"":29622020.044774354}","Ethereum, ZKsync Era, Sophon",0.9998245202462631
Honey,HONEY,peggedUSD,crypto-backed,"{""peggedUSD"":25291753.75976252}","{""peggedUSD"":25341911.197536785}","{""peggedUSD"":26057012.329200894}","{""peggedUSD"":24868819.63155481}",Berachain,0.999010157772808
Metronome Synth USD,MSUSD,peggedUSD,crypto-backed,"{""peggedUSD"":25198020.925675157}","{""peggedUSD"":24321649.787774403}","{""peggedUSD"":23254021.35349375}","{""peggedUSD"":23973640.341051582}","Ethereum, Base, OP Mainnet, Plasma",0.9961604682386963
USDB Blast,USDB,peggedUSD,crypto-backed,"{""peggedUSD"":23449079.797103558}","{""peggedUSD"":23504034.881977577}","{""peggedUSD"":24090089.307731804}","{""peggedUSD"":24522967.565169774}",Blast,1.0001345729496682
Electronic USD,EUSD,peggedUSD,crypto-backed,"{""peggedUSD"":22638209.7260301}","{""peggedUSD"":22799048.444430165}","{""peggedUSD"":22913019.04790357}","{""peggedUSD"":22394730.604853917}","Base, Ethereum, Arbitrum",1.0007119749468798
XSY UTY,UTY,peggedUSD,crypto-backed,"{""peggedUSD"":20974948.305110384}","{""peggedUSD"":20974948.305110384}","{""peggedUSD"":20974948.305110384}","{""peggedUSD"":20974948.305110384}",Avalanche,0.9993176455399365
