date,timestamp_utc,Exchange Outflow (Mean)
2020-03-07,2020-03-07T00:00:00Z,14505.01726572
2020-03-08,2020-03-08T00:00:00Z,19477.81049647
2020-03-09,2020-03-09T00:00:00Z,24516.72119629
2020-03-10,2020-03-10T00:00:00Z,25444.3631664
2020-03-11,2020-03-11T00:00:00Z,20222.20655695
2020-03-12,2020-03-12T00:00:00Z,27192.28736178
2020-03-13,2020-03-13T00:00:00Z,30735.99365146
2020-03-14,2020-03-14T00:00:00Z,23039.57462638
2020-03-15,2020-03-15T00:00:00Z,15933.87324877
2020-03-16,2020-03-16T00:00:00Z,28910.60165552
2020-03-17,2020-03-17T00:00:00Z,12731.58360582
2020-03-18,2020-03-18T00:00:00Z,20892.91642402
2020-03-19,2020-03-19T00:00:00Z,16904.26169986
2020-03-20,2020-03-20T00:00:00Z,20413.52732119
2020-03-21,2020-03-21T00:00:00Z,20728.51854619
2020-03-22,2020-03-22T00:00:00Z,24362.16848264
2020-03-23,2020-03-23T00:00:00Z,20674.64609061
2020-03-24,2020-03-24T00:00:00Z,17903.32893324
2020-03-25,2020-03-25T00:00:00Z,16319.96847375
2020-03-26,2020-03-26T00:00:00Z,10197.40856479
2020-03-27,2020-03-27T00:00:00Z,10047.71965357
2020-03-28,2020-03-28T00:00:00Z,20576.09547309
2020-03-29,2020-03-29T00:00:00Z,10480.10654594
2020-03-30,2020-03-30T00:00:00Z,13057.65616577
2020-03-31,2020-03-31T00:00:00Z,14382.64340532
2020-04-01,2020-04-01T00:00:00Z,15541.36978332
2020-04-02,2020-04-02T00:00:00Z,15339.90621274
2020-04-03,2020-04-03T00:00:00Z,12735.52640506
2020-04-04,2020-04-04T00:00:00Z,11987.74764267
2020-04-05,2020-04-05T00:00:00Z,7026.2789783
2020-04-06,2020-04-06T00:00:00Z,15243.86517713
2020-04-07,2020-04-07T00:00:00Z,17809.55019837
2020-04-08,2020-04-08T00:00:00Z,10501.50715722
2020-04-09,2020-04-09T00:00:00Z,12370.90105842
2020-04-10,2020-04-10T00:00:00Z,14404.49716157
2020-04-11,2020-04-11T00:00:00Z,9117.84010392
2020-04-12,2020-04-12T00:00:00Z,15956.9629403
2020-04-13,2020-04-13T00:00:00Z,14938.03284601
